dtfk1,ft1,dtfk4,ft4,dtsk4,dtfk5,ft5,dtsk5,dtfk7,ft7,dtfk8,dtsk8,dtsk9,dtfk10,dtsk10,dtfk11,ft11,dtfk13,ft14,dtsk14,gender
78,47,40,271,380,380,47,125,47,16,94,62,172,47,63,125,32,32,16,78,1
62,31,78,32,78,0,47,125,62,31,78,78,125,63,63,312,63,62,31,79,1
63,0,40,271,380,125,140,94,62,0,76,62,62,47,63,125,32,79,16,78,1
78,94,78,140,79,79,250,93,47,141,62,63,47,125,63,63,93,63,110,78,1
63,47,63,94,62,94,125,125,78,78,78,62,156,62,63,78,110,78,47,78,1
63,78,78,140,79,78,172,125,63,125,47,110,78,125,63,63,93,78,110,78,1
126,31,109,31,172,172,31,156,94,16,109,63,187,0,453,140,47,31,32,78,1
125,46,125,15,78,110,125,156,31,63,94,62,0,93,78,829,31,62,31,109,1
141,0,109,31,172,172,93,157,94,78,94,109,31,0,453,140,47,109,32,78,1
62,78,63,78,62,62,94,94,78,31,93,31,93,32,110,78,94,31,62,63,1
94,0,78,61,52,78,94,188,63,62,47,78,0,78,63,62,110,31,47,78,1
94,47,63,78,62,79,78,78,94,47,109,141,63,32,110,78,94,78,62,63,1
125,16,93,188,78,78,31,94,110,31,109,125,250,78,62,78,110,125,32,125,1
156,16,78,0,78,0,31,109,156,31,78,125,16,78,63,62,94,125,235,125,1
109,31,93,188,78,0,0,94,156,16,78,125,156,78,62,78,110,125,32,125,1
125,16,47,109,203,203,47,62,31,63,47,31,125,16,94,157,31,156,16,62,1
47,78,344,94,0,1469,140,31,0,62,125,31,141,78,78,0,47,31,31,94,1
16,79,47,109,203,141,15,125,125,719,78,78,0,16,94,157,31,94,16,62,1
141,62,78,203,78,78,249,88,78,344,78,78,94,234,93,94,140,78,109,94,1
109,63,62,157,78,62,204,78,78,172,109,78,156,281,93,94,172,78,125,93,1
110,0,78,203,78,1109,63,250,94,203,78,213,78,234,93,94,140,93,109,94,1
156,47,78,79,110,110,15,110,78,16,94,78,16,63,79,63,47,48,109,78,1
15,63,15,94,31,141,0,94,16,78,46,93,16,31,63,16,78,16,109,16,1
63,15,78,79,110,438,125,31,625,32,93,31,16,63,79,63,47,16,109,78,1
156,16,187,109,157,157,156,94,110,94,218,111,203,94,63,94,203,110,15,94,1
125,110,78,141,47,172,0,172,125,125,297,109,157,93,62,16,141,531,63,93,1
250,110,187,109,157,94,156,110,141,140,110,47,125,94,63,94,203,93,15,94,1
125,93,94,125,125,125,78,125,109,63,78,93,125,94,94,125,94,94,62,79,1
141,78,94,47,109,109,32,171,110,140,109,94,16,47,78,156,47,94,94,94,1
109,16,94,125,125,125,47,141,125,110,110,187,110,94,94,125,94,94,62,79,1
78,63,78,125,94,94,219,98,78,109,94,78,110,93,78,78,110,63,62,94,1
109,32,94,31,78,94,187,78,110,15,94,78,109,78,47,94,93,63,109,63,1
78,78,78,125,94,110,234,78,93,0,94,125,110,93,78,78,110,63,62,94,1
93,47,94,47,156,156,32,140,94,31,141,125,203,15,94,250,31,78,0,109,1
94,16,125,0,63,110,78,187,62,109,94,78,16,62,93,125,93,62,0,125,1
250,0,94,47,156,125,79,140,141,15,94,110,62,15,94,250,31,125,0,109,1
125,15,78,16,141,141,62,125,78,63,140,63,157,47,63,62,140,0,62,156,1
78,15,78,78,63,0,15,125,78,78,172,63,79,78,63,78,93,94,31,78,1
78,31,78,16,141,187,0,94,140,63,78,31,78,47,63,62,140,78,62,156,1
93,47,297,16,203,203,15,137,125,16,78,94,125,157,125,94,78,94,31,110,1
172,16,93,32,78,156,16,137,109,0,94,125,46,110,79,109,63,15,15,78,1
62,110,297,16,203,0,47,140,47,16,78,375,109,157,125,94,78,78,31,110,1
94,78,110,109,203,203,78,109,125,47,110,78,468,156,125,109,63,78,47,78,1
500,15,125,47,62,0,15,109,46,109,110,78,15,79,94,78,110,79,31,94,1
93,375,110,109,203,0,47,125,141,31,78,94,46,156,125,109,63,94,47,78,1
156,47,109,31,78,78,32,31,15,47,78,32,16,94,62,47,125,31,78,16,1
78,156,31,156,16,531,625,31,47,79,31,63,32,31,62,94,0,32,62,0,1
78,156,109,31,78,671,193,31,78,32,16,47,47,94,62,47,125,0,78,16,1
110,15,110,31,125,125,31,125,63,125,203,93,125,125,93,47,141,46,93,47,1
47,31,16,110,94,0,0,125,0,16,16,62,47,47,79,0,93,0,63,93,1
32,62,110,31,125,657,720,15,250,78,94,1000,0,125,93,47,141,93,93,47,1
94,62,63,172,78,78,31,78,78,79,63,47,78,40,106,47,125,63,79,62,1
78,47,79,62,63,78,250,47,94,93,78,47,62,47,31,78,109,63,141,62,1
63,62,63,172,78,62,188,78,78,140,74,101,94,40,106,47,125,62,79,62,1
78,78,109,79,109,109,31,78,47,234,110,62,94,141,109,140,16,32,16,62,2
78,47,125,63,62,0,31,141,94,109,78,63,110,78,63,109,16,78,16,78,2
78,16,109,79,109,0,16,94,125,109,63,125,94,141,109,140,16,78,16,62,2
375,16,94,156,250,250,31,141,109,62,109,141,235,156,62,94,62,156,47,110,2
94,31,47,47,62,0,32,141,47,125,78,110,47,63,63,79,78,16,31,78,2
171,63,94,156,250,62,94,94,63,15,109,94,47,156,62,94,62,78,47,110,2
109,47,94,141,250,250,47,47,62,47,47,47,94,63,78,32,141,16,31,78,2
63,15,78,172,16,0,47,47,47,125,94,49,47,15,78,31,94,16,31,110,2
32,93,94,141,250,906,1000,47,94,203,91,968,47,63,78,32,141,110,31,78,2
62,16,78,31,109,109,31,63,62,32,62,94,94,16,359,218,47,16,46,63,2
47,359,62,16,47,0,15,94,31,47,62,78,94,62,94,94,15,16,47,47,2
63,78,78,31,109,0,31,94,125,78,62,94,31,16,359,218,47,47,46,63,2
172,437,94,31,140,140,31,62,93,16,94,78,94,125,109,62,94,125,78,62,2
219,15,94,62,78,0,16,62,31,109,94,78,32,78,63,94,109,16,63,78,2
140,110,94,31,140,109,16,78,109,16,62,109,31,125,109,62,94,78,78,62,2
57,4369,90,63,80,80,442,110,89,36,79,80,141,47,78,69,111,81,69,61,2
192,4,78,31,78,70,411,65,89,24,94,78,406,58,150,78,94,79,63,78,2
74,6,90,63,80,73,185,103,11,73,47,141,89,47,78,69,111,78,69,61,2
110,156,109,63,172,172,47,109,79,78,109,94,63,110,78,156,63,15,78,125,2
94,15,156,16,78,0,31,109,109,94,110,94,110,78,63,110,47,410,172,125,2
187,78,109,63,172,0,15,109,93,172,141,109,109,110,78,156,63,125,78,125,2
93,32,93,32,187,187,0,78,63,31,78,94,78,16,78,94,78,20,16,93,2
125,32,62,16,62,110,31,78,47,117,94,156,15,47,63,94,31,32,46,125,2
78,78,93,32,187,109,47,63,63,15,94,109,47,16,78,94,78,125,16,93,2
62,141,78,219,62,62,31,47,63,109,94,63,94,547,1015,79,125,62,47,78,2
62,78,62,63,78,63,94,78,79,125,63,63,78,31,62,93,110,47,62,63,2
31,109,78,219,62,47,78,109,94,219,63,188,79,547,1015,79,125,63,47,78,2
109,125,125,63,109,109,47,125,94,0,94,110,125,63,109,78,93,47,31,78,2
94,16,94,31,110,78,78,187,16,62,109,94,125,78,78,109,110,78,31,94,2
125,0,125,63,109,93,78,110,94,31,94,94,16,63,109,78,93,94,31,78,2
93,47,94,31,79,79,31,140,78,16,110,78,94,31,79,125,62,31,16,78,2
94,16,78,32,78,98,59,124,62,94,94,94,78,63,93,79,93,62,32,62,2
79,31,94,31,79,94,31,125,78,16,78,78,62,31,79,125,62,62,16,78,2
94,31,79,15,140,140,47,90,109,0,110,47,140,47,78,94,94,16,16,78,2
94,0,78,32,94,0,16,93,31,140,78,78,0,63,78,78,94,78,16,94,2
62,16,79,15,140,0,63,125,62,31,109,94,31,47,78,94,94,94,16,78,2
63,343,47,62,78,78,125,79,62,16,156,94,78,94,156,63,109,47,31,47,2
63,0,93,47,63,125,62,141,110,62,78,63,125,32,47,62,125,16,47,62,2
203,47,47,62,78,79,46,110,62,16,47,140,110,94,156,63,109,62,31,47,2
140,31,94,62,172,172,15,100,94,46,94,78,93,78,62,141,62,16,47,62,2
125,32,93,32,78,94,46,110,16,141,94,63,94,47,46,109,31,16,62,79,2
31,109,94,62,172,78,94,125,79,15,516,110,16,78,62,141,62,79,47,62,2
63,78,62,63,78,78,62,79,63,78,78,62,124,109,94,78,93,47,47,62,2
78,62,63,78,63,63,125,62,78,125,63,62,62,62,63,78,94,78,62,63,2
94,78,62,63,78,47,125,63,62,78,78,79,78,109,94,78,93,63,47,62,2
109,47,78,47,125,125,47,47,93,16,78,78,94,15,78,47,63,16,0,31,2
47,16,16,93,32,484,500,47,609,47,16,31,93,31,78,31,62,0,94,16,2
94,156,78,47,125,0,47,62,31,78,78,78,609,15,78,47,63,16,0,31,2
94,32,62,157,78,78,172,62,79,78,94,63,266,141,79,79,78,94,31,79,2
94,16,93,0,94,109,157,78,125,141,110,94,47,94,78,78,110,78,94,94,2
110,78,62,157,78,47,156,94,140,63,79,141,125,141,79,79,78,94,31,79,2
94,109,63,94,78,78,187,63,63,62,63,63,110,156,109,78,94,78,78,63,2
94,47,62,63,62,63,62,78,62,94,78,63,109,63,78,63,109,63,62,47,2
63,62,63,94,78,63,140,47,63,47,62,156,62,156,109,78,94,47,78,63,2
78,47,156,0,78,78,78,180,63,16,266,62,141,78,62,31,109,31,31,63,2
94,15,15,78,47,141,47,187,62,47,156,70,165,94,63,15,125,16,0,63,2
47,47,156,0,78,0,15,172,125,94,31,1390,62,78,62,31,109,63,31,63,2
62,79,78,62,109,109,31,125,94,141,110,109,94,63,94,141,0,31,32,93,2
78,125,47,78,31,110,31,125,78,78,156,111,62,94,46,63,172,78,93,78,2
78,31,78,62,109,0,0,94,78,47,63,0,78,63,94,141,0,78,32,93,2
