ft1,dtsk1,ft2,dtsk2,ft4,dtsk4,dtfk5,ft5,dtfk7,ft7,dtfk8,dtsk9,dtfk10,ft10,dtsk10,dtfk11,ft11,dtsk11,dtfk12,dtfk13,dtsk13,ft14,dtsk14,gender
187,94,110,78,62,94,94,141,62,16,78,156,31,94,62,78,47,78,109,32,78,31,78,1
15,78,79,78,47,62,94,109,203,265,62,94,47,110,62,156,63,125,78,62,78,16,94,1
16,62,63,93,62,94,78,94,32,15,110,203,31,94,62,78,47,78,109,94,63,31,78,1
31,109,79,94,32,110,110,62,78,16,79,16,656,47,63,32,78,79,766,47,16,62,47,1
15,78,93,32,15,62,640,703,47,94,16,62,78,63,141,110,15,93,832,15,15,62,31,1
157,15,63,94,32,110,0,15,703,16,62,47,656,47,63,32,78,79,766,31,16,62,47,1
16,93,79,78,15,78,78,94,63,94,94,78,31,79,62,63,93,63,78,15,469,15,78,1
15,94,156,62,15,93,47,125,79,78,15,46,63,78,62,63,94,62,78,78,78,31,78,1
47,78,125,47,15,78,94,125,141,15,78,79,31,79,62,63,93,63,78,78,109,15,78,1
16,94,94,78,78,125,125,94,125,109,94,891,94,156,78,94,94,203,94,94,109,78,78,1
16,125,15,110,16,78,0,62,141,93,47,63,172,62,79,265,78,110,156,94,62,813,125,1
16,94,110,93,78,125,891,93,94,78,156,141,94,156,78,94,94,203,94,125,110,78,78,1
16,78,110,78,0,94,94,109,78,15,94,234,109,62,94,94,125,78,78,78,78,47,78,1
16,78,16,78,78,78,94,78,78,31,62,32,63,78,109,94,78,78,109,78,78,47,94,1
47,78,94,94,0,94,94,78,47,31,78,78,109,62,94,94,125,78,78,94,94,47,78,1
157,109,141,93,265,390,390,63,15,93,109,141,46,125,985,203,62,141,47,125,141,110,109,1
129,297,47,109,250,31,0,15,94,125,94,235,94,172,109,16,110,78,157,344,16,313,391,1
125,344,141,78,265,390,0,46,141,187,94,94,46,125,985,203,62,141,47,391,109,110,109,1
296,110,31,141,78,156,156,63,109,31,94,78,78,63,234,234,63,157,109,62,94,203,140,1
94,94,63,156,16,62,0,78,94,94,641,94,78,94,78,156,47,109,141,32,47,63,109,1
93,32,62,94,78,156,125,62,125,62,94,94,78,63,234,234,63,157,109,109,63,203,140,1
16,93,172,94,391,110,110,15,78,109,125,172,297,78,235,297,31,141,93,344,360,32,109,1
32,93,31,125,47,94,125,15,16,125,125,15,78,94,94,172,31,140,78,62,344,62,94,1
141,62,16,94,391,110,0,15,125,188,94,16,297,78,235,297,31,141,93,94,266,32,109,1
32,109,234,78,15,109,109,16,46,47,63,188,94,47,94,109,16,31,94,15,47,32,78,1
15,94,16,78,63,31,0,15,78,63,93,94,78,63,62,94,47,94,109,62,63,47,94,1
63,62,203,16,15,109,125,16,62,16,78,78,94,47,94,109,16,31,94,94,47,32,78,1
15,82,121,102,53,91,91,259,31,78,125,125,156,47,78,110,94,187,110,110,125,15,125,1
188,62,78,94,15,63,78,172,219,16,16,109,79,78,93,94,125,78,125,110,109,15,109,1
15,110,78,109,53,91,94,223,156,16,171,219,156,47,78,110,94,187,110,109,125,15,125,1
31,78,94,78,15,63,63,62,62,32,31,109,78,15,79,63,109,140,78,79,47,47,16,1
16,62,94,125,79,62,515,63,78,31,15,94,63,62,125,78,79,78,109,63,78,16,79,1
31,63,78,78,15,63,94,62,110,172,110,78,78,15,79,63,109,140,78,79,62,47,16,1
62,94,125,63,63,78,78,125,46,16,125,78,265,79,78,141,46,32,62,41,78,15,63,1
16,78,31,63,31,94,78,125,172,116,63,62,31,62,79,156,47,94,126,47,62,47,46,1
31,47,62,78,63,78,62,125,32,31,94,172,265,79,78,141,46,32,62,46,94,15,63,1
62,110,125,78,156,141,141,16,78,16,109,140,47,63,94,94,125,78,187,109,109,78,62,1
31,125,125,94,16,62,172,15,109,63,78,15,63,93,79,78,110,78,110,78,93,31,63,1
47,78,125,110,156,141,125,109,94,15,63,109,47,63,94,94,125,78,187,63,47,78,62,1
32,78,125,47,47,62,62,141,62,110,78,79,78,62,79,79,140,47,63,47,63,16,62,1
47,62,110,94,32,93,78,157,94,203,78,125,47,109,47,109,94,62,125,47,62,47,78,1
125,47,94,62,47,62,63,140,78,31,63,94,78,62,79,79,140,47,63,78,63,16,62,1
141,93,157,47,250,328,328,62,47,78,422,172,62,78,344,140,234,63,47,62,125,31,94,1
109,32,47,110,79,31,0,62,140,235,359,282,62,78,78,16,93,63,94,156,78,281,79,1
78,156,47,78,250,328,0,63,109,141,94,140,62,78,344,140,234,63,47,79,109,31,94,1
282,93,94,78,234,94,94,47,63,218,79,78,78,78,78,63,140,94,78,78,78,219,78,1
297,62,141,62,188,62,93,63,78,250,93,125,62,94,62,78,140,78,94,94,79,204,62,1
797,94,94,62,234,94,141,203,78,375,62,78,78,78,78,63,140,94,78,62,63,219,78,1
32,93,63,94,110,250,250,63,125,46,187,344,78,78,63,125,47,63,109,47,78,78,63,1
16,94,47,109,31,78,125,16,78,16,62,16,63,93,63,125,15,78,94,0,31,16,78,1
172,0,93,78,110,250,844,938,109,32,94,78,78,78,63,125,47,63,109,78,187,78,63,1
0,94,16,93,32,171,171,16,63,62,156,78,31,47,375,156,47,78,63,47,16,31,125,1
16,94,141,16,93,47,110,31,94,109,93,78,63,78,78,78,47,125,16,62,62,15,94,1
31,62,16,93,32,171,94,31,62,125,125,94,31,47,375,156,47,78,63,94,78,31,125,1
15,110,78,78,94,78,78,203,141,0,78,203,141,109,63,94,78,94,93,78,78,32,62,1
16,78,125,63,31,63,0,0,94,63,93,31,234,328,110,110,93,78,94,78,62,31,78,1
31,78,109,62,94,78,94,171,109,16,79,94,141,109,63,94,78,94,93,78,78,32,62,1
172,94,203,109,250,78,78,110,125,140,62,78,94,78,110,47,156,79,94,63,78,94,78,1
359,94,62,78,219,93,94,78,62,328,109,141,93,94,63,78,109,79,156,93,94,125,93,1
313,93,109,78,250,78,93,250,94,187,109,62,94,78,110,47,156,79,94,93,63,94,78,1
94,93,125,47,93,156,156,31,78,125,141,141,78,56,73,78,31,125,79,78,47,31,63,1
16,47,140,47,16,47,0,594,62,125,78,16,62,78,63,140,0,63,47,31,63,31,78,1
31,31,94,63,93,156,0,16,94,31,78,62,78,56,73,78,31,125,79,78,78,31,63,1
16,110,47,109,391,438,438,31,78,31,110,109,94,31,78,109,125,109,109,15,31,0,94,1
0,109,63,110,141,78,0,32,31,78,63,110,63,62,78,125,31,62,687,32,31,31,94,1
109,32,31,93,391,438,0,31,110,31,0,31,94,31,78,109,125,109,109,94,63,0,94,1
31,110,46,125,485,594,594,47,78,141,125,125,47,78,78,47,62,109,125,0,62,32,93,1
16,94,31,125,47,78,125,31,32,110,78,109,62,94,62,125,62,125,172,94,63,47,93,1
16,94,47,63,485,594,234,16,125,78,109,32,47,78,78,47,62,109,125,93,94,32,93,1
63,93,110,47,125,63,63,171,62,32,78,78,63,47,93,78,78,47,78,63,63,79,78,1
15,93,94,47,46,47,47,31,78,15,78,125,62,78,63,78,94,63,125,63,31,63,78,1
0,63,78,63,125,63,46,47,62,16,62,78,63,47,93,78,78,47,78,78,32,79,78,1
547,156,16,172,128,225,225,40,63,47,15,203,47,62,109,78,63,93,47,32,16,47,94,1
16,109,47,109,47,62,609,734,79,93,109,78,78,78,78,79,78,172,110,78,63,62,47,1
78,78,63,47,128,225,0,47,94,31,47,79,47,62,109,78,63,93,47,47,47,47,94,1
15,63,93,63,63,140,140,188,63,578,78,78,47,94,141,78,94,188,47,47,47,63,62,1
78,125,93,63,62,78,125,207,94,78,94,93,47,78,63,78,125,62,93,47,62,31,94,1
31,47,109,63,63,140,47,687,125,453,63,94,47,94,141,78,94,188,47,94,62,63,62,1
47,94,78,78,271,380,380,47,47,16,94,172,47,62,63,125,32,0,47,32,31,16,78,1
31,78,110,0,32,78,0,47,62,31,78,125,63,62,63,312,63,94,62,62,62,31,79,1
0,62,125,78,271,380,125,140,62,0,76,62,47,62,63,125,32,0,47,79,156,16,78,1
94,94,109,78,140,79,79,250,47,141,62,47,125,47,63,63,93,63,63,63,62,110,78,1
47,78,109,63,94,62,94,125,78,78,78,156,62,78,63,78,110,62,110,78,46,47,78,1
78,78,125,47,140,79,78,172,63,125,47,78,125,47,63,63,93,63,63,78,47,110,78,1
31,125,94,78,31,172,172,31,94,16,109,187,0,93,453,140,47,63,32,31,78,32,78,1
46,125,172,16,15,78,110,125,31,63,94,0,93,110,78,829,31,93,109,62,94,31,109,1
0,62,109,110,31,172,172,93,94,78,94,31,0,93,453,140,47,63,32,109,110,32,78,1
78,110,62,78,78,62,62,94,78,31,93,93,32,62,110,78,94,63,141,31,46,62,63,1
0,78,156,16,61,52,78,94,63,62,47,0,78,78,63,62,110,62,141,31,94,47,78,1
47,31,110,94,78,62,79,78,94,47,109,63,32,62,110,78,94,63,141,78,78,62,63,1
16,94,109,78,188,78,78,31,110,31,109,250,78,63,62,78,110,78,93,125,125,32,125,1
16,62,63,78,0,78,0,31,156,31,78,16,78,47,63,62,94,62,125,125,94,235,125,1
31,125,110,78,188,78,0,0,156,16,78,156,78,63,62,78,110,78,93,125,109,32,125,1
16,109,15,125,109,203,203,47,31,63,47,125,16,62,94,157,31,62,31,156,62,16,62,1
78,16,62,63,94,0,1469,140,0,62,125,141,78,78,78,0,47,63,78,31,15,31,94,1
79,31,47,62,109,203,141,15,125,719,78,0,16,62,94,157,31,62,31,94,62,16,62,1
62,110,250,94,203,78,78,249,78,344,78,94,234,79,93,94,140,79,78,78,109,109,94,1
63,93,93,94,157,78,62,204,78,172,109,156,281,63,93,94,172,78,213,78,78,125,93,1
0,78,110,78,203,78,1109,63,94,203,78,78,234,79,93,94,140,79,78,93,78,109,94,1
47,47,62,140,79,110,110,15,78,16,94,16,63,78,79,63,47,15,63,48,84,109,78,1
63,31,79,46,94,31,141,0,16,78,46,16,31,78,63,16,78,62,31,16,0,109,16,1
15,16,328,32,79,110,438,125,625,32,93,16,63,78,79,63,47,15,63,16,15,109,78,1
16,125,109,109,109,157,157,156,110,94,218,203,94,109,63,94,203,63,47,110,161,15,94,1
110,109,16,94,141,47,172,0,125,125,297,157,93,110,62,16,141,62,47,531,516,63,93,1
110,531,16,125,109,157,94,156,141,140,110,125,94,109,63,94,203,63,47,93,109,15,94,1
93,125,94,94,125,125,125,78,109,63,78,125,94,62,94,125,94,78,109,94,109,62,79,1
78,125,125,94,47,109,109,32,110,140,109,16,47,93,78,156,47,110,187,94,125,94,94,1
16,94,31,78,125,125,125,47,125,110,110,110,94,62,94,125,94,78,109,94,141,62,79,1
63,109,78,63,125,94,94,219,78,109,94,110,93,63,78,78,110,46,94,63,78,62,94,1
32,62,109,47,31,78,94,187,110,15,94,109,78,109,47,94,93,78,125,63,93,109,63,1
78,63,110,62,125,94,110,234,93,0,94,110,93,63,78,78,110,46,94,63,94,62,94,1
47,110,93,171,47,156,156,32,94,31,141,203,15,141,94,250,31,125,125,78,16,0,109,1
16,109,140,63,0,63,110,78,62,109,94,16,62,110,93,125,93,94,110,62,16,0,125,1
0,62,63,125,47,156,125,79,141,15,94,62,15,141,94,250,31,125,125,125,109,0,109,1
15,78,94,78,16,141,141,62,78,63,140,157,47,47,63,62,140,63,109,0,15,62,156,1
15,94,109,16,78,63,0,15,78,78,172,79,78,109,63,78,93,32,31,94,94,31,78,1
31,94,93,110,16,141,187,0,140,63,78,78,47,47,63,62,140,63,109,78,78,62,156,1
47,94,141,109,16,203,203,15,125,16,78,125,157,62,125,94,78,109,141,94,125,31,110,1
16,78,0,125,32,78,156,16,109,0,94,46,110,93,79,109,63,141,375,15,0,15,78,1
110,15,219,62,16,203,0,47,47,16,78,109,157,62,125,94,78,109,141,78,141,31,110,1
78,125,94,109,109,203,203,78,125,47,110,468,156,78,125,109,63,78,109,78,78,47,78,1
15,156,16,93,47,62,0,15,46,109,110,15,79,62,94,78,110,109,94,79,78,31,94,1
375,79,109,63,109,203,0,47,141,31,78,46,156,78,125,109,63,78,109,94,203,47,78,1
47,78,63,141,31,78,78,32,15,47,78,16,94,16,62,47,125,47,62,31,0,78,16,1
156,32,125,47,156,16,531,625,47,79,31,32,31,94,62,94,0,62,47,32,31,62,0,1
156,32,47,62,31,78,671,193,78,32,16,47,94,16,62,47,125,47,62,0,78,78,16,1
15,109,63,141,31,125,125,31,63,125,203,125,125,47,93,47,141,31,31,46,16,93,47,1
31,109,547,125,110,94,0,0,0,16,16,47,47,93,79,0,93,47,1000,0,15,63,93,1
62,0,63,47,31,125,657,720,250,78,94,0,125,47,93,47,141,31,31,93,219,93,47,1
62,62,125,63,172,78,78,31,78,79,63,78,40,60,106,47,125,63,63,63,62,79,62,1
47,62,125,46,62,63,78,250,94,93,78,62,47,78,31,78,109,63,101,63,62,141,62,1
62,63,126,46,172,78,62,188,78,140,74,94,40,60,106,47,125,63,63,62,235,79,62,1
78,110,78,109,79,109,109,31,47,234,110,94,141,62,109,140,16,62,109,32,109,16,62,2
47,78,47,94,63,62,0,31,94,109,78,110,78,78,63,109,16,78,125,78,110,16,78,2
16,78,31,125,79,109,0,16,125,109,63,94,141,62,109,140,16,62,109,78,78,16,62,2
16,78,94,62,156,250,250,31,109,62,109,235,156,63,62,94,62,94,109,156,109,47,110,2
31,78,31,110,47,62,0,32,47,125,78,47,63,62,63,79,78,62,94,16,31,31,78,2
63,16,63,31,156,250,62,94,63,15,109,47,156,63,62,94,62,94,109,78,172,47,110,2
47,172,31,78,141,250,250,47,62,47,47,94,63,62,78,32,141,31,16,16,47,31,78,2
15,109,62,109,172,16,0,47,47,125,94,47,15,63,78,31,94,31,968,16,16,31,110,2
93,16,188,62,141,250,906,1000,94,203,91,47,63,62,78,32,141,31,16,110,93,31,78,2
16,109,16,62,31,109,109,31,62,32,62,94,16,188,359,218,47,16,16,16,16,46,63,2
359,94,15,47,16,47,0,15,31,47,62,94,62,63,94,94,15,62,94,16,15,47,47,2
78,16,203,16,31,109,0,31,125,78,62,31,16,188,359,218,47,16,16,47,94,46,63,2
437,94,94,78,31,140,140,31,93,16,94,94,125,63,109,62,94,62,78,125,94,78,62,2
15,94,16,78,62,78,0,16,31,109,94,32,78,78,63,94,109,62,109,16,46,63,78,2
110,16,31,63,31,140,109,16,109,16,62,31,125,63,109,62,94,62,78,78,78,78,62,2
4369,113,168,69,63,80,80,442,89,36,79,141,47,78,78,69,111,41,63,81,78,69,61,2
4,79,80,72,31,78,70,411,89,24,94,406,58,68,150,78,94,94,141,79,85,63,78,2
6,79,136,79,63,80,73,185,11,73,47,89,47,78,78,69,111,41,63,78,94,69,61,2
156,125,31,94,63,172,172,47,79,78,109,63,110,250,78,156,63,141,78,15,78,78,125,2
15,94,125,78,16,78,0,31,109,94,110,110,78,78,63,110,47,62,109,410,62,172,125,2
78,410,15,94,63,172,0,15,93,172,141,109,110,250,78,156,63,141,78,125,109,78,125,2
32,125,47,63,32,187,187,0,63,31,78,78,16,94,78,94,78,47,63,20,78,16,93,2
32,94,125,32,16,62,110,31,47,117,94,15,47,47,63,94,31,63,109,32,421,46,125,2
78,32,32,78,32,187,109,47,63,15,94,47,16,94,78,94,78,47,63,125,125,16,93,2
141,78,109,63,219,62,62,31,63,109,94,94,547,63,1015,79,125,62,63,62,46,47,78,2
78,63,125,47,63,78,63,94,79,125,63,78,31,828,62,93,110,93,188,47,63,62,63,2
109,47,125,78,219,62,47,78,94,219,63,79,547,63,1015,79,125,62,63,63,78,47,78,2
125,109,79,78,63,109,109,47,94,0,94,125,63,78,109,78,93,203,94,47,63,31,78,2
16,78,15,78,31,110,78,78,16,62,109,125,78,78,78,109,110,62,94,78,94,31,94,2
0,78,78,94,63,109,93,78,94,31,94,16,63,78,109,78,93,203,94,94,141,31,78,2
47,125,47,110,31,79,79,31,78,16,110,94,31,62,79,125,62,109,110,31,16,16,78,2
16,62,62,125,32,78,98,59,62,94,94,78,63,78,93,79,93,140,78,62,93,32,62,2
31,62,156,344,31,79,94,31,78,16,78,62,31,62,79,125,62,109,110,62,78,16,78,2
31,78,125,79,15,140,140,47,109,0,110,140,47,63,78,94,94,47,78,16,0,16,78,2
0,63,62,94,32,94,0,16,31,140,78,0,63,78,78,78,94,78,94,78,79,16,94,2
16,78,94,63,15,140,0,63,62,31,109,31,47,63,78,94,94,47,78,94,110,16,78,2
343,63,219,46,62,78,78,125,62,16,156,78,94,62,156,63,109,62,110,47,110,31,47,2
0,78,47,47,47,63,125,62,110,62,78,125,32,125,47,62,125,63,140,16,47,47,62,2
47,16,203,16,62,78,79,46,62,16,47,110,94,62,156,63,109,62,110,62,63,31,47,2
31,141,31,109,62,172,172,15,94,46,94,93,78,47,62,141,62,125,110,16,32,47,62,2
32,110,16,78,32,78,94,46,16,141,94,94,47,94,46,109,31,110,110,16,47,62,79,2
109,16,31,94,62,172,78,94,79,15,516,16,78,47,62,141,62,125,110,79,94,47,62,2
78,78,94,62,63,78,78,62,63,78,78,124,109,62,94,78,93,63,63,47,78,47,62,2
62,79,109,63,78,63,63,125,78,125,63,62,62,78,63,78,94,63,79,78,62,62,63,2
78,78,109,63,63,78,47,125,62,78,78,78,109,62,94,78,93,63,63,63,125,47,62,2
47,63,47,31,47,125,125,47,93,16,78,94,15,78,78,47,63,109,16,16,94,0,31,2
16,78,78,78,93,32,484,500,609,47,16,93,31,63,78,31,62,79,78,0,16,94,16,2
156,0,78,47,47,125,0,47,31,78,78,609,15,78,78,47,63,109,16,16,78,0,31,2
32,109,703,78,157,78,78,172,79,78,94,266,141,62,79,79,78,78,78,94,94,31,79,2
16,93,110,62,0,94,109,157,125,141,110,47,94,78,78,78,110,78,141,78,78,94,94,2
78,78,125,63,157,78,47,156,140,63,79,125,141,62,79,79,78,78,78,94,94,31,79,2
109,62,141,63,94,78,78,187,63,62,63,110,156,63,109,78,94,63,78,78,78,78,63,2
47,63,125,62,63,62,63,62,62,94,78,109,63,78,78,63,109,78,156,63,62,62,47,2
62,63,125,47,94,78,63,140,63,47,62,62,156,63,109,78,94,63,78,47,94,78,63,2
47,157,62,125,0,78,78,78,63,16,266,141,78,94,62,31,109,47,46,31,47,31,63,2
15,94,47,94,78,47,141,47,62,47,156,165,94,62,63,15,125,46,1390,16,94,0,63,2
47,16,94,0,0,78,0,15,125,94,31,62,78,94,62,31,109,47,46,63,156,31,63,2
79,109,78,94,62,109,109,31,94,141,110,94,63,78,94,141,0,62,15,31,63,32,93,2
125,93,109,16,78,31,110,31,78,78,156,62,94,94,46,63,172,16,0,78,94,93,78,2
31,78,46,94,62,109,0,0,78,47,63,78,63,78,94,141,0,62,15,78,78,32,93,2
