dtsk2,dtfk4,ft4,dtsk4,dtfk5,ft5,dtsk5,ft7,dtfk8,dtfk10,dtsk10,dtfk11,ft11,dtsk11,dtfk13,dtsk13,ft14,dtsk14,gender
78,94,78,125,125,94,78,109,94,94,78,94,94,203,94,109,78,78,1
110,93,16,78,0,62,93,93,47,172,79,265,78,110,94,62,813,125,1
93,94,78,125,891,93,172,78,156,94,78,94,94,203,125,110,78,78,1
78,94,0,94,94,109,94,15,94,109,94,94,125,78,78,78,47,78,1
78,110,78,78,94,78,94,31,62,63,109,94,78,78,78,78,47,94,1
94,94,0,94,94,78,94,31,78,109,94,94,125,78,94,94,47,78,1
93,141,265,390,390,63,110,93,109,46,985,203,62,141,125,141,110,109,1
109,172,250,31,0,15,187,125,94,94,109,16,110,78,344,16,313,391,1
78,141,265,390,0,46,140,187,94,46,985,203,62,141,391,109,110,109,1
141,94,78,156,156,63,93,31,94,78,234,234,63,157,62,94,203,140,1
156,94,16,62,0,78,125,94,641,78,78,156,47,109,32,47,63,109,1
94,94,78,156,125,62,94,62,94,78,234,234,63,157,109,63,203,140,1
94,62,391,110,110,15,110,109,125,297,235,297,31,141,344,360,32,109,1
125,94,47,94,125,15,141,125,125,78,94,172,31,140,62,344,62,94,1
94,62,391,110,0,15,109,188,94,297,235,297,31,141,94,266,32,109,1
78,63,15,109,109,16,62,47,63,94,94,109,16,31,15,47,32,78,1
78,78,63,31,0,15,62,63,93,78,62,94,47,94,62,63,47,94,1
16,63,15,109,125,16,63,16,78,94,94,109,16,31,94,47,32,78,1
102,118,53,91,91,259,144,78,125,156,78,110,94,187,110,125,15,125,1
94,110,15,63,78,172,94,16,16,79,93,94,125,78,110,109,15,109,1
109,118,53,91,94,223,125,16,171,156,78,110,94,187,109,125,15,125,1
78,94,15,63,63,62,63,32,31,78,79,63,109,140,79,47,47,16,1
125,78,79,62,515,63,78,31,15,63,125,78,79,78,63,78,16,79,1
78,94,15,63,94,62,79,172,110,78,79,63,109,140,79,62,47,16,1
63,109,63,78,78,125,47,16,125,265,78,141,46,32,41,78,15,63,1
63,94,31,94,78,125,203,116,63,31,79,156,47,94,47,62,47,46,1
78,109,63,78,62,125,110,31,94,265,78,141,46,32,46,94,15,63,1
78,78,156,141,141,16,125,16,109,47,94,94,125,78,109,109,78,62,1
94,78,16,62,172,15,94,63,78,63,79,78,110,78,78,93,31,63,1
110,78,156,141,125,109,125,15,63,47,94,94,125,78,63,47,78,62,1
47,63,47,62,62,141,62,110,78,78,79,79,140,47,47,63,16,62,1
94,62,32,93,78,157,62,203,78,47,47,109,94,62,47,62,47,78,1
62,63,47,62,63,140,78,31,63,78,79,79,140,47,78,63,16,62,1
47,78,250,328,328,62,172,78,422,62,344,140,234,63,62,125,31,94,1
110,46,79,31,0,62,172,235,359,62,78,16,93,63,156,78,281,79,1
78,78,250,328,0,63,172,141,94,62,344,140,234,63,79,109,31,94,1
78,78,234,94,94,47,94,218,79,78,78,63,140,94,78,78,219,78,1
62,62,188,62,93,63,109,250,93,62,62,78,140,78,94,79,204,62,1
62,78,234,94,141,203,109,375,62,78,78,63,140,94,62,63,219,78,1
94,62,110,250,250,63,63,46,187,78,63,125,47,63,47,78,78,63,1
109,78,31,78,125,16,63,16,62,63,63,125,15,78,0,31,16,78,1
78,62,110,250,844,938,31,32,94,78,63,125,47,63,78,187,78,63,1
93,109,32,171,171,16,109,62,156,31,375,156,47,78,47,16,31,125,1
16,94,93,47,110,31,109,109,93,63,78,78,47,125,62,62,15,94,1
93,109,32,171,94,31,125,125,125,31,375,156,47,78,94,78,31,125,1
78,93,94,78,78,203,63,0,78,141,63,94,78,94,78,78,32,62,1
63,78,31,63,0,0,94,63,93,234,110,110,93,78,78,62,31,78,1
62,93,94,78,94,171,63,16,79,141,63,94,78,94,78,78,32,62,1
109,109,250,78,78,110,78,140,62,94,110,47,156,79,63,78,94,78,1
78,78,219,93,94,78,78,328,109,93,63,78,109,79,93,94,125,93,1
78,109,250,78,93,250,94,187,109,94,110,47,156,79,93,63,94,78,1
47,63,93,156,156,31,63,125,141,78,73,78,31,125,78,47,31,63,1
47,47,16,47,0,594,656,125,78,62,63,140,0,63,31,63,31,78,1
63,63,93,156,0,16,94,31,78,78,73,78,31,125,78,78,31,63,1
109,47,391,438,438,31,46,31,110,94,78,109,125,109,15,31,0,94,1
110,78,141,78,0,32,46,78,63,63,78,125,31,62,32,31,31,94,1
93,47,391,438,0,31,94,31,0,94,78,109,125,109,94,63,0,94,1
125,93,485,594,594,47,140,141,125,47,78,47,62,109,0,62,32,93,1
125,109,47,78,125,31,141,110,78,62,62,125,62,125,94,63,47,93,1
63,93,485,594,234,16,109,78,109,47,78,47,62,109,93,94,32,93,1
47,31,125,63,63,171,79,32,78,63,93,78,78,47,63,63,79,78,1
47,79,46,47,47,31,94,15,78,62,63,78,94,63,63,31,63,78,1
63,31,125,63,46,47,94,16,62,63,93,78,78,47,78,32,79,78,1
172,79,128,225,225,40,110,47,15,47,109,78,63,93,32,16,47,94,1
109,78,47,62,609,734,0,93,109,78,78,79,78,172,78,63,62,47,1
47,79,128,225,0,47,141,31,47,47,109,78,63,93,47,47,47,94,1
63,93,63,140,140,188,109,578,78,47,141,78,94,188,47,47,63,62,1
63,79,62,78,125,207,109,78,94,47,63,78,125,62,47,62,31,94,1
63,93,63,140,47,687,94,453,63,47,141,78,94,188,94,62,63,62,1
78,40,271,380,380,47,125,16,94,47,63,125,32,0,32,31,16,78,1
0,78,32,78,0,47,125,31,78,63,63,312,63,94,62,62,31,79,1
78,40,271,380,125,140,94,0,76,47,63,125,32,0,79,156,16,78,1
78,78,140,79,79,250,93,141,62,125,63,63,93,63,63,62,110,78,1
63,63,94,62,94,125,125,78,78,62,63,78,110,62,78,46,47,78,1
47,78,140,79,78,172,125,125,47,125,63,63,93,63,78,47,110,78,1
78,109,31,172,172,31,156,16,109,0,453,140,47,63,31,78,32,78,1
16,125,15,78,110,125,156,63,94,93,78,829,31,93,62,94,31,109,1
110,109,31,172,172,93,157,78,94,0,453,140,47,63,109,110,32,78,1
78,63,78,62,62,94,94,31,93,32,110,78,94,63,31,46,62,63,1
16,78,61,52,78,94,188,62,47,78,63,62,110,62,31,94,47,78,1
94,63,78,62,79,78,78,47,109,32,110,78,94,63,78,78,62,63,1
78,93,188,78,78,31,94,31,109,78,62,78,110,78,125,125,32,125,1
78,78,0,78,0,31,109,31,78,78,63,62,94,62,125,94,235,125,1
78,93,188,78,0,0,94,16,78,78,62,78,110,78,125,109,32,125,1
125,47,109,203,203,47,62,63,47,16,94,157,31,62,156,62,16,62,1
63,344,94,0,1469,140,31,62,125,78,78,0,47,63,31,15,31,94,1
62,47,109,203,141,15,125,719,78,16,94,157,31,62,94,62,16,62,1
94,78,203,78,78,249,88,344,78,234,93,94,140,79,78,109,109,94,1
94,62,157,78,62,204,78,172,109,281,93,94,172,78,78,78,125,93,1
78,78,203,78,1109,63,250,203,78,234,93,94,140,79,93,78,109,94,1
140,78,79,110,110,15,110,16,94,63,79,63,47,15,48,84,109,78,1
46,15,94,31,141,0,94,78,46,31,63,16,78,62,16,0,109,16,1
32,78,79,110,438,125,31,32,93,63,79,63,47,15,16,15,109,78,1
109,187,109,157,157,156,94,94,218,94,63,94,203,63,110,161,15,94,1
94,78,141,47,172,0,172,125,297,93,62,16,141,62,531,516,63,93,1
125,187,109,157,94,156,110,140,110,94,63,94,203,63,93,109,15,94,1
94,94,125,125,125,78,125,63,78,94,94,125,94,78,94,109,62,79,1
94,94,47,109,109,32,171,140,109,47,78,156,47,110,94,125,94,94,1
78,94,125,125,125,47,141,110,110,94,94,125,94,78,94,141,62,79,1
63,78,125,94,94,219,98,109,94,93,78,78,110,46,63,78,62,94,1
47,94,31,78,94,187,78,15,94,78,47,94,93,78,63,93,109,63,1
62,78,125,94,110,234,78,0,94,93,78,78,110,46,63,94,62,94,1
171,94,47,156,156,32,140,31,141,15,94,250,31,125,78,16,0,109,1
63,125,0,63,110,78,187,109,94,62,93,125,93,94,62,16,0,125,1
125,94,47,156,125,79,140,15,94,15,94,250,31,125,125,109,0,109,1
78,78,16,141,141,62,125,63,140,47,63,62,140,63,0,15,62,156,1
16,78,78,63,0,15,125,78,172,78,63,78,93,32,94,94,31,78,1
110,78,16,141,187,0,94,63,78,47,63,62,140,63,78,78,62,156,1
109,297,16,203,203,15,137,16,78,157,125,94,78,109,94,125,31,110,1
125,93,32,78,156,16,137,0,94,110,79,109,63,141,15,0,15,78,1
62,297,16,203,0,47,140,16,78,157,125,94,78,109,78,141,31,110,1
109,110,109,203,203,78,109,47,110,156,125,109,63,78,78,78,47,78,1
93,125,47,62,0,15,109,109,110,79,94,78,110,109,79,78,31,94,1
63,110,109,203,0,47,125,31,78,156,125,109,63,78,94,203,47,78,1
141,109,31,78,78,32,31,47,78,94,62,47,125,47,31,0,78,16,1
47,31,156,16,531,625,31,79,31,31,62,94,0,62,32,31,62,0,1
62,109,31,78,671,193,31,32,16,94,62,47,125,47,0,78,78,16,1
141,110,31,125,125,31,125,125,203,125,93,47,141,31,46,16,93,47,1
125,16,110,94,0,0,125,16,16,47,79,0,93,47,0,15,63,93,1
47,110,31,125,657,720,15,78,94,125,93,47,141,31,93,219,93,47,1
63,63,172,78,78,31,78,79,63,40,106,47,125,63,63,62,79,62,1
46,79,62,63,78,250,47,93,78,47,31,78,109,63,63,62,141,62,1
46,63,172,78,62,188,78,140,74,40,106,47,125,63,62,235,79,62,1
109,109,79,109,109,31,78,234,110,141,109,140,16,62,32,109,16,62,2
94,125,63,62,0,31,141,109,78,78,63,109,16,78,78,110,16,78,2
125,109,79,109,0,16,94,109,63,141,109,140,16,62,78,78,16,62,2
62,94,156,250,250,31,141,62,109,156,62,94,62,94,156,109,47,110,2
110,47,47,62,0,32,141,125,78,63,63,79,78,62,16,31,31,78,2
31,94,156,250,62,94,94,15,109,156,62,94,62,94,78,172,47,110,2
78,94,141,250,250,47,47,47,47,63,78,32,141,31,16,47,31,78,2
109,78,172,16,0,47,47,125,94,15,78,31,94,31,16,16,31,110,2
62,94,141,250,906,1000,47,203,91,63,78,32,141,31,110,93,31,78,2
62,78,31,109,109,31,63,32,62,16,359,218,47,16,16,16,46,63,2
47,62,16,47,0,15,94,47,62,62,94,94,15,62,16,15,47,47,2
16,78,31,109,0,31,94,78,62,16,359,218,47,16,47,94,46,63,2
78,94,31,140,140,31,62,16,94,125,109,62,94,62,125,94,78,62,2
78,94,62,78,0,16,62,109,94,78,63,94,109,62,16,46,63,78,2
63,94,31,140,109,16,78,16,62,125,109,62,94,62,78,78,78,62,2
69,90,63,80,80,442,110,36,79,47,78,69,111,41,81,78,69,61,2
72,78,31,78,70,411,65,24,94,58,150,78,94,94,79,85,63,78,2
79,90,63,80,73,185,103,73,47,47,78,69,111,41,78,94,69,61,2
94,109,63,172,172,47,109,78,109,110,78,156,63,141,15,78,78,125,2
78,156,16,78,0,31,109,94,110,78,63,110,47,62,410,62,172,125,2
94,109,63,172,0,15,109,172,141,110,78,156,63,141,125,109,78,125,2
63,93,32,187,187,0,78,31,78,16,78,94,78,47,20,78,16,93,2
32,62,16,62,110,31,78,117,94,47,63,94,31,63,32,421,46,125,2
78,93,32,187,109,47,63,15,94,16,78,94,78,47,125,125,16,93,2
63,78,219,62,62,31,47,109,94,547,1015,79,125,62,62,46,47,78,2
47,62,63,78,63,94,78,125,63,31,62,93,110,93,47,63,62,63,2
78,78,219,62,47,78,109,219,63,547,1015,79,125,62,63,78,47,78,2
78,125,63,109,109,47,125,0,94,63,109,78,93,203,47,63,31,78,2
78,94,31,110,78,78,187,62,109,78,78,109,110,62,78,94,31,94,2
94,125,63,109,93,78,110,31,94,63,109,78,93,203,94,141,31,78,2
110,94,31,79,79,31,140,16,110,31,79,125,62,109,31,16,16,78,2
125,78,32,78,98,59,124,94,94,63,93,79,93,140,62,93,32,62,2
344,94,31,79,94,31,125,16,78,31,79,125,62,109,62,78,16,78,2
79,79,15,140,140,47,90,0,110,47,78,94,94,47,16,0,16,78,2
94,78,32,94,0,16,93,140,78,63,78,78,94,78,78,79,16,94,2
63,79,15,140,0,63,125,31,109,47,78,94,94,47,94,110,16,78,2
46,47,62,78,78,125,79,16,156,94,156,63,109,62,47,110,31,47,2
47,93,47,63,125,62,141,62,78,32,47,62,125,63,16,47,47,62,2
16,47,62,78,79,46,110,16,47,94,156,63,109,62,62,63,31,47,2
109,94,62,172,172,15,100,46,94,78,62,141,62,125,16,32,47,62,2
78,93,32,78,94,46,110,141,94,47,46,109,31,110,16,47,62,79,2
94,94,62,172,78,94,125,15,516,78,62,141,62,125,79,94,47,62,2
62,62,63,78,78,62,79,78,78,109,94,78,93,63,47,78,47,62,2
63,63,78,63,63,125,62,125,63,62,63,78,94,63,78,62,62,63,2
63,62,63,78,47,125,63,78,78,109,94,78,93,63,63,125,47,62,2
31,78,47,125,125,47,47,16,78,15,78,47,63,109,16,94,0,31,2
78,16,93,32,484,500,47,47,16,31,78,31,62,79,0,16,94,16,2
47,78,47,125,0,47,62,78,78,15,78,47,63,109,16,78,0,31,2
78,62,157,78,78,172,62,78,94,141,79,79,78,78,94,94,31,79,2
62,93,0,94,109,157,78,141,110,94,78,78,110,78,78,78,94,94,2
63,62,157,78,47,156,94,63,79,141,79,79,78,78,94,94,31,79,2
63,63,94,78,78,187,63,62,63,156,109,78,94,63,78,78,78,63,2
62,62,63,62,63,62,78,94,78,63,78,63,109,78,63,62,62,47,2
47,63,94,78,63,140,47,47,62,156,109,78,94,63,47,94,78,63,2
125,156,0,78,78,78,180,16,266,78,62,31,109,47,31,47,31,63,2
94,15,78,47,141,47,187,47,156,94,63,15,125,46,16,94,0,63,2
0,156,0,78,0,15,172,94,31,78,62,31,109,47,63,156,31,63,2
94,78,62,109,109,31,125,141,110,63,94,141,0,62,31,63,32,93,2
16,47,78,31,110,31,125,78,156,94,46,63,172,16,78,94,93,78,2
94,78,62,109,0,0,94,47,63,63,94,141,0,62,78,78,32,93,2
