ft1,dtsk2,dtfk4,ft4,dtsk4,ft5,dtsk5,dtfk6,ft7,dtfk10,ft10,dtsk10,dtfk11,ft11,dtsk12,dtfk13,dtfk14,dtsk14,gender
0,78,78,203,78,63,250,32,203,234,79,93,94,140,109,93,78,94,1
47,140,78,79,110,15,110,31,16,63,78,79,63,47,63,48,46,78,1
63,46,15,94,31,0,94,79,78,31,78,63,16,78,31,16,16,16,1
15,32,78,79,110,125,31,93,32,63,78,79,63,47,63,16,46,78,1
16,109,187,109,157,156,94,109,94,94,109,63,94,203,171,110,141,94,1
110,94,78,141,47,0,172,63,125,93,110,62,16,141,78,531,125,93,1
110,125,187,109,157,156,110,94,140,94,109,63,94,203,171,93,141,94,1
93,94,94,125,125,78,125,94,63,94,62,94,125,94,93,94,109,79,1
78,94,94,47,109,32,171,94,140,47,93,78,156,47,453,94,109,94,1
16,78,94,125,125,47,141,47,110,94,62,94,125,94,93,94,109,79,1
63,63,78,125,94,219,98,78,109,93,63,78,78,110,63,63,110,94,1
32,47,94,31,78,187,78,78,15,78,109,47,94,93,109,63,78,63,1
78,62,78,125,94,234,78,15,0,93,63,78,78,110,63,63,110,94,1
47,171,94,47,156,32,140,172,31,15,141,94,250,31,114,78,125,109,1
16,63,125,0,63,78,187,94,109,62,110,93,125,93,110,62,78,125,1
0,125,94,47,156,79,140,16,15,15,141,94,250,31,114,125,125,109,1
15,78,78,16,141,62,125,78,63,47,47,63,62,140,16,0,110,156,1
15,16,78,78,63,15,125,63,78,78,109,63,78,93,187,94,94,78,1
31,110,78,16,141,0,94,94,63,47,47,63,62,140,16,78,110,156,1
47,109,297,16,203,15,137,78,16,157,62,125,94,78,78,94,109,110,1
16,125,93,32,78,16,137,125,0,110,93,79,109,63,109,15,78,78,1
110,62,297,16,203,47,140,32,16,157,62,125,94,78,78,78,109,110,1
78,109,110,109,203,78,109,78,47,156,78,125,109,63,93,78,94,78,1
15,93,125,47,62,15,109,125,109,79,62,94,78,110,172,79,78,94,1
375,63,110,109,203,47,125,78,31,156,78,125,109,63,93,94,94,78,1
47,141,109,31,78,32,31,47,47,94,16,62,47,125,63,31,0,16,1
156,47,31,156,16,625,31,62,79,31,94,62,94,0,31,32,31,0,1
156,62,109,31,78,193,31,15,32,94,16,62,47,125,63,0,0,16,1
15,141,110,31,125,31,125,125,125,125,47,93,47,141,63,46,15,47,1
31,125,16,110,94,0,125,93,16,47,93,79,0,93,156,0,0,93,1
62,47,110,31,125,720,15,63,78,125,47,93,47,141,63,93,15,47,1
62,63,63,172,78,31,78,62,79,40,60,106,47,125,62,63,78,62,1
47,46,79,62,63,250,47,106,93,47,78,31,78,109,13,63,62,62,1
62,46,63,172,78,188,78,27,140,40,60,106,47,125,62,62,78,62,1
78,109,109,79,109,31,78,63,234,141,62,109,140,16,63,32,63,62,2
47,94,125,63,62,31,141,109,109,78,78,63,109,16,94,78,78,78,2
16,125,109,79,109,16,94,93,109,141,62,109,140,16,63,78,63,62,2
16,62,94,156,250,31,141,47,62,156,63,62,94,62,78,156,93,110,2
31,110,47,47,62,32,141,62,125,63,62,63,79,78,266,16,110,78,2
63,31,94,156,250,94,94,32,15,156,63,62,94,62,78,78,93,110,2
47,78,94,141,250,47,47,94,47,63,62,78,32,141,16,16,63,78,2
15,109,78,172,16,47,47,78,125,15,63,78,31,94,125,16,63,110,2
93,62,94,141,250,1000,47,78,203,63,62,78,32,141,16,110,63,78,2
16,62,78,31,109,31,63,32,32,16,188,359,218,47,62,16,47,63,2
359,47,62,16,47,15,94,359,47,62,63,94,94,15,16,16,63,47,2
78,16,78,31,109,31,94,59,78,16,188,359,218,47,62,47,47,63,2
437,78,94,31,140,31,62,94,16,125,63,109,62,94,109,125,78,62,2
15,78,94,62,78,16,62,109,109,78,78,63,94,109,78,16,78,78,2
110,63,94,31,140,16,78,63,16,125,63,109,62,94,109,78,78,62,2
4369,69,90,63,80,442,110,65,36,47,78,78,69,111,109,81,33,61,2
4,72,78,31,78,411,65,78,24,58,68,150,78,94,141,79,78,78,2
6,79,90,63,80,185,103,109,73,47,78,78,69,111,109,78,33,61,2
156,94,109,63,172,47,109,63,78,110,250,78,156,63,125,15,78,125,2
15,78,156,16,78,31,109,78,94,78,78,63,110,47,62,410,109,125,2
78,94,109,63,172,15,109,47,172,110,250,78,156,63,125,125,78,125,2
32,63,93,32,187,0,78,93,31,16,94,78,94,78,78,20,109,93,2
32,32,62,16,62,31,78,78,117,47,47,63,94,31,15,32,63,125,2
78,78,93,32,187,47,63,16,15,16,94,78,94,78,78,125,109,93,2
141,63,78,219,62,31,47,46,109,547,63,1015,79,125,62,62,47,78,2
78,47,62,63,78,94,78,1015,125,31,828,62,93,110,485,47,63,63,2
109,78,78,219,62,78,109,79,219,547,63,1015,79,125,62,63,47,78,2
125,78,125,63,109,47,125,78,0,63,78,109,78,93,78,47,79,78,2
16,78,94,31,110,78,187,109,62,78,78,78,109,110,62,78,78,94,2
0,94,125,63,109,78,110,78,31,63,78,109,78,93,78,94,79,78,2
47,110,94,31,79,31,140,47,16,31,62,79,125,62,94,31,94,78,2
16,125,78,32,78,59,124,79,94,63,78,93,79,93,0,62,93,62,2
31,344,94,31,79,31,125,62,16,31,62,79,125,62,94,62,94,78,2
31,79,79,15,140,47,90,78,0,47,63,78,94,94,78,16,94,78,2
0,94,78,32,94,16,93,78,140,63,78,78,78,94,31,78,62,94,2
16,63,79,15,140,63,125,0,31,47,63,78,94,94,78,94,94,78,2
343,46,47,62,78,125,79,47,16,94,62,156,63,109,31,47,62,47,2
0,47,93,47,63,62,141,156,62,32,125,47,62,125,94,16,47,62,2
47,16,47,62,78,46,110,78,16,94,62,156,63,109,31,62,62,47,2
31,109,94,62,172,15,100,78,46,78,47,62,141,62,94,16,94,62,2
32,78,93,32,78,46,110,62,141,47,94,46,109,31,47,16,78,79,2
109,94,94,62,172,94,125,141,15,78,47,62,141,62,94,79,94,62,2
78,62,62,63,78,62,79,62,78,109,62,94,78,93,62,47,63,62,2
62,63,63,78,63,125,62,94,125,62,78,63,78,94,78,78,78,63,2
78,63,62,63,78,125,63,0,78,109,62,94,78,93,62,63,63,62,2
47,31,78,47,125,47,47,110,16,15,78,78,47,63,62,16,78,31,2
16,78,16,93,32,500,47,78,47,31,63,78,31,62,62,0,16,16,2
156,47,78,47,125,47,62,78,78,15,78,78,47,63,62,16,78,31,2
32,78,62,157,78,172,62,63,78,141,62,79,79,78,93,94,62,79,2
16,62,93,0,94,157,78,79,141,94,78,78,78,110,94,78,78,94,2
78,63,62,157,78,156,94,62,63,141,62,79,79,78,93,94,62,79,2
109,63,63,94,78,187,63,63,62,156,63,109,78,94,78,78,47,63,2
47,62,62,63,62,62,78,109,94,63,78,78,63,109,125,63,63,47,2
62,47,63,94,78,140,47,63,47,156,63,109,78,94,78,47,47,63,2
47,125,156,0,78,78,180,78,16,78,94,62,31,109,0,31,78,63,2
15,94,15,78,47,47,187,62,47,94,62,63,15,125,141,16,93,63,2
47,0,156,0,78,15,172,94,94,78,94,62,31,109,0,63,78,63,2
79,94,78,62,109,31,125,63,141,63,78,94,141,0,32,31,78,93,2
125,16,47,78,31,31,125,94,78,94,94,46,63,172,500,78,63,78,2
31,94,78,62,109,0,94,0,47,63,78,94,141,0,32,78,78,93,2
