ft1,dtsk1,dtsk2,dtsk3,dtsk4,dtfk5,ft5,dtsk5,dtfk7,ft7,dtsk7,dtfk8,dtsk9,dtfk10,ft10,dtsk10,dtfk11,ft11,dtsk11,dtfk12,ft12,dtsk12,ft13,dtfk14,ft14,dtsk14,gender
32,110,94,47,79,0,16,78,110,15,110,62,109,78,79,78,78,15,78,93,94,16,63,47,31,94,1
62,32,78,63,78,125,16,125,78,16,78,78,110,47,47,93,172,15,63,78,16,125,63,63,15,79,1
281,125,94,78,235,235,31,94,78,47,63,78,94,156,94,110,156,47,125,109,125,62,47,62,16,94,1
16,125,94,62,78,94,125,109,16,109,63,62,267,79,78,62,203,31,109,31,141,343,32,62,32,93,1
47,156,46,94,235,0,46,109,78,110,93,78,16,156,94,110,156,47,125,109,125,62,32,62,16,94,1
187,94,78,63,94,94,141,78,62,16,94,78,156,31,94,62,78,47,78,109,156,110,79,94,31,78,1
15,78,78,78,62,94,109,79,203,265,32,62,94,47,110,62,156,63,125,78,94,156,78,125,16,94,1
16,62,93,63,94,78,94,63,32,15,93,110,203,31,94,62,78,47,78,109,156,110,31,94,31,78,1
31,109,94,93,110,110,62,62,78,16,63,79,16,656,47,63,32,78,79,766,782,15,125,15,62,47,1
15,78,32,32,62,640,703,63,47,94,47,16,62,78,63,141,110,15,93,832,62,32,78,15,62,31,1
157,15,94,78,110,0,15,125,703,16,47,62,47,656,47,63,32,78,79,766,782,15,109,15,62,47,1
16,93,78,63,78,78,94,78,63,94,78,94,78,31,79,62,63,93,63,78,0,94,94,110,15,78,1
15,94,62,78,93,47,125,219,79,78,15,15,46,63,78,62,63,94,62,78,93,32,156,94,31,78,1
47,78,47,78,78,94,125,234,141,15,62,78,79,31,79,62,63,93,63,78,0,94,32,110,15,78,1
16,94,78,94,125,125,94,78,125,109,172,94,891,94,156,78,94,94,203,94,78,78,63,78,78,78,1
16,125,110,78,78,0,62,93,141,93,94,47,63,172,62,79,265,78,110,156,109,16,703,109,813,125,1
16,94,93,78,125,891,93,172,94,78,78,156,141,94,156,78,94,94,203,94,78,78,31,78,78,78,1
16,78,78,94,94,94,109,94,78,15,79,94,234,109,62,94,94,125,78,78,594,125,47,93,47,78,1
16,78,78,62,78,94,78,94,78,31,78,62,32,63,78,109,94,78,78,109,78,63,31,78,47,94,1
47,78,94,93,94,94,78,94,47,31,78,78,78,109,62,94,94,125,78,78,594,125,172,93,47,78,1
157,109,93,141,390,390,63,110,15,93,219,109,141,46,125,985,203,62,141,47,172,359,94,78,110,109,1
129,297,109,15,31,0,15,187,94,125,125,94,235,94,172,109,16,110,78,157,282,15,406,156,313,391,1
125,344,78,15,390,0,46,140,141,187,94,94,94,46,125,985,203,62,141,47,172,359,31,78,110,109,1
296,110,141,94,156,156,63,93,109,31,110,94,78,78,63,234,234,63,157,109,94,63,125,94,203,140,1
94,94,156,93,62,0,78,125,94,94,62,641,94,78,94,78,156,47,109,141,78,140,93,78,63,109,1
93,32,94,94,156,125,62,94,125,62,109,94,94,78,63,234,234,63,157,109,94,63,156,94,203,140,1
16,93,94,62,110,110,15,110,78,109,79,125,172,297,78,235,297,31,141,93,282,109,62,93,32,109,1
32,93,125,78,94,125,15,141,16,125,344,125,15,78,94,94,172,31,140,78,141,15,94,94,62,94,1
141,62,94,94,110,0,15,109,125,188,109,94,16,297,78,235,297,31,141,93,282,109,141,93,32,109,1
32,109,78,63,109,109,16,62,46,47,63,63,188,94,47,94,109,16,31,94,47,125,78,62,32,78,1
15,94,78,31,31,0,15,62,78,63,15,93,94,78,63,62,94,47,94,109,78,110,31,63,47,94,1
63,62,16,47,109,125,16,63,62,16,79,78,78,94,47,94,109,16,31,94,47,125,46,62,32,78,1
15,82,102,118,91,91,259,144,31,78,16,125,125,156,47,78,110,94,187,110,343,125,31,94,15,125,1
188,62,94,63,63,78,172,94,219,16,110,16,109,79,78,93,94,125,78,125,125,250,15,156,15,109,1
15,110,109,532,91,94,223,125,156,16,78,171,219,156,47,78,110,94,187,110,343,125,16,94,15,125,1
31,78,78,94,63,63,62,63,62,32,46,31,109,78,15,79,63,109,140,78,16,62,15,15,47,16,1
16,62,125,78,62,515,63,78,78,31,79,15,94,63,62,125,78,79,78,109,172,15,47,109,16,79,1
31,63,78,78,63,94,62,79,110,172,16,110,78,78,15,79,63,109,140,78,16,62,78,15,47,16,1
62,94,63,109,78,78,125,47,46,16,63,125,78,265,79,78,141,46,32,62,32,109,65,78,15,63,1
16,78,63,78,94,78,125,203,172,116,41,63,62,31,62,79,156,47,94,126,46,219,63,78,47,46,1
31,47,78,94,78,62,125,110,32,31,62,94,172,265,79,78,141,46,32,62,32,109,47,78,15,63,1
62,110,78,78,141,141,16,125,78,16,94,109,140,47,63,94,94,125,78,187,16,94,32,79,78,62,1
31,125,94,110,62,172,15,94,109,63,109,78,15,63,93,79,78,110,78,110,93,32,16,94,31,63,1
47,78,110,78,141,125,109,125,94,15,63,63,109,47,63,94,94,125,78,187,16,94,62,79,78,62,1
32,78,47,63,62,62,141,62,62,110,78,78,79,78,62,79,79,140,47,63,15,78,94,78,16,62,1
47,62,94,63,93,78,157,62,94,203,47,78,125,47,109,47,109,94,62,125,47,78,47,63,47,78,1
125,47,62,62,62,63,140,78,78,31,63,63,94,78,62,79,79,140,47,63,15,78,62,78,16,62,1
141,93,47,78,328,328,62,172,47,78,125,422,172,62,78,344,140,234,63,47,125,78,125,78,31,94,1
109,32,110,157,31,0,62,172,140,235,62,359,282,62,78,78,16,93,63,94,78,62,16,62,281,79,1
78,156,78,15,328,0,63,172,109,141,62,94,140,62,78,344,140,234,63,47,125,78,31,78,31,94,1
282,93,78,78,94,94,47,94,63,218,47,79,78,78,78,78,63,140,94,78,828,78,297,63,219,78,1
297,62,62,63,62,93,63,109,78,250,78,93,125,62,94,62,78,140,78,94,62,344,484,78,204,62,1
797,94,62,62,94,141,203,109,78,375,47,62,78,78,78,78,63,140,94,78,828,78,375,63,219,78,1
32,93,94,62,250,250,63,63,125,46,0,187,344,78,78,63,125,47,63,109,32,93,78,93,78,63,1
16,94,109,78,78,125,16,63,78,16,47,62,16,63,93,63,125,15,78,94,93,547,78,62,16,78,1
172,0,78,78,250,844,938,31,109,32,78,94,78,78,78,63,125,47,63,109,32,93,63,93,78,63,1
0,94,93,109,171,171,16,109,63,62,63,156,78,31,47,375,156,47,78,63,16,78,78,78,31,125,1
16,94,16,47,47,110,31,109,94,109,47,93,78,63,78,78,78,47,125,16,109,0,16,94,15,94,1
31,62,93,78,171,94,31,125,62,125,109,125,94,31,47,375,156,47,78,63,16,78,62,78,31,125,1
15,110,78,93,78,78,203,63,141,0,78,78,203,141,109,63,94,78,94,93,16,78,78,93,32,62,1
16,78,63,63,63,0,0,94,94,63,78,93,31,234,328,110,110,93,78,94,93,32,32,94,31,78,1
31,78,62,78,78,94,171,63,109,16,62,79,94,141,109,63,94,78,94,93,16,78,16,93,32,62,1
172,94,109,109,78,78,110,78,125,140,63,62,78,94,78,110,47,156,79,94,265,94,422,93,94,78,1
359,94,78,78,93,94,78,78,62,328,63,109,141,93,94,63,78,109,79,156,94,140,547,110,125,93,1
313,93,78,94,78,93,250,94,94,187,78,109,62,94,78,110,47,156,79,94,265,94,203,93,94,78,1
94,93,47,63,156,156,31,63,78,125,78,141,141,78,56,73,78,31,125,79,15,110,78,62,31,63,1
16,47,47,63,47,0,594,656,62,125,78,78,16,62,78,63,140,0,63,47,110,62,47,63,31,78,1
31,31,63,62,156,0,16,94,94,31,63,78,62,78,56,73,78,31,125,79,15,110,172,62,31,63,1
16,110,109,47,438,438,31,46,78,31,94,110,109,94,31,78,109,125,109,109,16,78,78,78,0,94,1
0,109,110,94,78,0,32,46,31,78,15,63,110,63,62,78,125,31,62,687,94,78,110,78,31,94,1
109,32,93,78,438,0,31,94,110,31,94,0,31,94,31,78,109,125,109,109,16,78,62,78,0,94,1
31,110,125,93,594,594,47,140,78,141,62,125,125,47,78,78,47,62,109,125,16,93,125,78,32,93,1
16,94,125,94,78,125,31,141,32,110,0,78,109,62,94,62,125,62,125,172,78,94,15,94,47,93,1
16,94,63,94,594,234,16,109,125,78,94,109,32,47,78,78,47,62,109,125,16,93,125,78,32,93,1
63,93,47,31,63,63,171,79,62,32,78,78,78,63,47,93,78,78,47,78,172,78,78,46,79,78,1
15,93,47,63,47,47,31,94,78,15,63,78,125,62,78,63,78,94,63,125,62,47,125,62,63,78,1
0,63,63,62,63,46,47,94,62,16,62,62,78,63,47,93,78,78,47,78,172,78,62,46,79,78,1
547,156,172,79,225,225,40,110,63,47,78,15,203,47,62,109,78,63,93,47,15,62,93,94,47,94,1
16,109,109,63,62,609,734,0,79,93,32,109,78,78,78,78,79,78,172,110,94,78,0,15,62,47,1
78,78,47,78,225,0,47,141,94,31,172,47,79,47,62,109,78,63,93,47,15,62,78,94,47,94,1
15,63,63,93,140,140,188,109,63,578,94,78,78,47,94,141,78,94,188,47,78,62,109,93,63,62,1
78,125,63,31,78,125,207,109,94,78,47,94,93,47,78,63,78,125,62,93,110,78,438,94,31,94,1
31,47,63,78,140,47,687,94,125,453,78,63,94,47,94,141,78,94,188,47,78,62,47,93,63,62,1
47,94,78,40,380,380,47,125,47,16,62,94,172,47,62,63,125,32,0,47,15,78,94,62,16,78,1
31,78,0,79,78,0,47,125,62,31,32,78,125,63,62,63,312,63,94,62,94,141,32,78,31,79,1
0,62,78,94,380,125,140,94,62,0,32,76,62,47,62,63,125,32,0,47,15,78,31,62,16,78,1
94,94,78,78,79,79,250,93,47,141,62,62,47,125,47,63,63,93,63,63,125,62,125,62,110,78,1
47,78,63,62,62,94,125,125,78,78,63,78,156,62,78,63,78,110,62,110,62,78,63,63,47,78,1
78,78,47,47,79,78,172,125,63,125,83,47,78,125,47,63,63,93,63,63,125,62,78,62,110,78,1
31,125,78,109,172,172,31,156,94,16,93,109,187,0,93,453,140,47,63,32,46,79,94,78,32,78,1
46,125,16,110,78,110,125,156,31,63,31,94,0,93,110,78,829,31,93,109,78,110,47,157,31,109,1
0,62,110,78,172,172,93,157,94,78,94,94,31,0,93,453,140,47,63,32,46,79,0,78,32,78,1
78,110,78,63,62,62,94,94,78,31,94,93,93,32,62,110,78,94,63,141,0,78,79,78,62,63,1
0,78,16,62,52,78,94,188,63,62,31,47,0,78,78,63,62,110,62,141,94,15,31,78,47,78,1
47,31,94,47,62,79,78,78,94,47,78,109,63,32,62,110,78,94,63,141,0,78,47,78,62,63,1
16,94,78,93,78,78,31,94,110,31,78,109,250,78,63,62,78,110,78,93,125,110,125,78,32,125,1
16,62,78,94,78,0,31,109,156,31,125,78,16,78,47,63,62,94,62,125,94,235,0,62,235,125,1
31,125,78,109,78,0,0,94,156,16,94,78,156,78,63,62,78,110,78,93,125,110,31,78,32,125,1
16,109,125,47,203,203,47,62,31,63,31,47,125,16,62,94,157,31,62,31,31,47,110,78,16,62,1
78,16,63,31,0,1469,140,31,0,62,156,125,141,78,78,78,0,47,63,78,156,16,125,63,31,94,1
79,31,62,62,203,141,15,125,125,719,109,78,0,16,62,94,157,31,62,31,31,47,0,78,16,62,1
62,110,94,78,78,78,249,88,78,344,407,78,94,234,79,93,94,140,79,78,47,109,391,78,109,94,1
63,93,94,78,78,62,204,78,78,172,78,109,156,281,63,93,94,172,78,213,94,110,516,94,125,93,1
0,78,78,78,78,1109,63,250,94,203,78,78,78,234,79,93,94,140,79,78,47,109,235,78,109,94,1
47,47,140,78,110,110,15,110,78,16,110,94,16,63,78,79,63,47,15,63,31,63,5,46,109,78,1
63,31,46,31,31,141,0,94,16,78,48,46,16,31,78,63,16,78,62,31,109,31,94,16,109,16,1
15,16,32,16,110,438,125,31,625,32,79,93,16,63,78,79,63,47,15,63,31,63,110,46,109,78,1
16,125,109,187,157,157,156,94,110,94,93,218,203,94,109,63,94,203,63,47,157,171,93,141,15,94,1
110,109,94,109,47,172,0,172,125,125,110,297,157,93,110,62,16,141,62,47,172,78,140,125,63,93,1
110,531,125,125,157,94,156,110,141,140,78,110,125,94,109,63,94,203,63,47,157,171,110,141,15,94,1
93,125,94,94,125,125,78,125,109,63,93,78,125,94,62,94,125,94,78,109,110,93,47,109,62,79,1
78,125,94,94,109,109,32,171,110,140,94,109,16,47,93,78,156,47,110,187,94,453,31,109,94,94,1
16,94,78,109,125,125,47,141,125,110,78,110,110,94,62,94,125,94,78,109,110,93,78,109,62,79,1
63,109,63,78,94,94,219,98,78,109,63,94,110,93,63,78,78,110,46,94,46,63,94,110,62,94,1
32,62,47,78,78,94,187,78,110,15,63,94,109,78,109,47,94,93,78,125,63,109,16,78,109,63,1
78,63,62,94,94,110,234,78,93,0,63,94,110,93,63,78,78,110,46,94,46,63,31,110,62,94,1
47,110,171,94,156,156,32,140,94,31,109,141,203,15,141,94,250,31,125,125,16,114,109,125,0,109,1
16,109,63,172,63,110,78,187,62,109,78,94,16,62,110,93,125,93,94,110,93,110,140,78,0,125,1
0,62,125,78,156,125,79,140,141,15,94,94,62,15,141,94,250,31,125,125,16,114,0,125,0,109,1
15,78,78,78,141,141,62,125,78,63,78,140,157,47,47,63,62,140,63,109,78,16,110,110,62,156,1
15,94,16,78,63,0,15,125,78,78,0,172,79,78,109,63,78,93,32,31,109,187,15,94,31,78,1
31,94,110,94,141,187,0,94,140,63,62,78,78,47,47,63,62,140,63,109,78,16,141,110,62,156,1
47,94,109,297,203,203,15,137,125,16,94,78,125,157,62,125,94,78,109,141,94,78,109,109,31,110,1
16,78,125,78,78,156,16,137,109,0,94,94,46,110,93,79,109,63,141,375,78,109,78,78,15,78,1
110,15,62,125,203,0,47,140,47,16,172,78,109,157,62,125,94,78,109,141,94,78,15,109,31,110,1
78,125,109,110,203,203,78,109,125,47,110,110,468,156,78,125,109,63,78,109,110,93,94,94,47,78,1
15,156,93,78,62,0,15,109,46,109,78,110,15,79,62,94,78,110,109,94,94,172,78,78,31,94,1
375,79,63,93,203,0,47,125,141,31,110,78,46,156,78,125,109,63,78,109,110,93,484,94,47,78,1
47,78,141,109,78,78,32,31,15,47,31,78,16,94,16,62,47,125,47,62,47,63,78,0,78,16,1
156,32,47,47,16,531,625,31,47,79,31,31,32,31,94,62,94,0,62,47,109,31,78,31,62,0,1
156,32,62,47,78,671,193,31,78,32,93,16,47,94,16,62,47,125,47,62,47,63,79,0,78,16,1
15,109,141,110,125,125,31,125,63,125,203,203,125,125,47,93,47,141,31,31,16,63,109,15,93,47,1
31,109,125,125,94,0,0,125,0,16,46,16,47,47,93,79,0,93,47,1000,78,156,94,0,63,93,1
62,0,47,16,125,657,720,15,250,78,453,94,0,125,47,93,47,141,31,31,16,63,63,15,93,47,1
62,62,63,63,78,78,31,78,78,79,62,63,78,40,60,106,47,125,63,63,94,62,94,78,79,62,1
47,62,46,62,63,78,250,47,94,93,63,78,62,47,78,31,78,109,63,101,176,13,78,62,141,62,1
62,63,46,94,78,62,188,78,78,140,63,74,94,40,60,106,47,125,63,63,94,62,141,78,79,62,1
78,110,109,109,109,109,31,78,47,234,78,110,94,141,62,109,140,16,62,109,203,63,78,63,16,62,2
47,78,94,63,62,0,31,141,94,109,32,78,110,78,78,63,109,16,78,125,63,94,265,78,16,78,2
16,78,125,62,109,0,16,94,125,109,109,63,94,141,62,109,140,16,62,109,203,63,219,63,16,62,2
16,78,62,94,250,250,31,141,109,62,94,109,235,156,63,62,94,62,94,109,47,78,63,93,47,110,2
31,78,110,47,62,0,32,141,47,125,156,78,47,63,62,63,79,78,62,94,62,266,78,110,31,78,2
63,16,31,125,250,62,94,94,63,15,62,109,47,156,63,62,94,62,94,109,47,78,110,93,47,110,2
47,172,78,94,250,250,47,47,62,47,62,47,94,63,62,78,32,141,31,16,78,16,78,63,31,78,2
15,109,109,94,16,0,47,47,47,125,16,94,47,15,63,78,31,94,31,968,63,125,78,63,31,110,2
93,16,62,78,250,906,1000,47,94,203,78,91,47,63,62,78,32,141,31,16,78,16,15,63,31,78,2
16,109,62,78,109,109,31,63,62,32,78,62,94,16,188,359,218,47,16,16,47,62,78,47,46,63,2
359,94,47,32,47,0,15,94,31,47,16,62,94,62,63,94,94,15,62,94,156,16,78,63,47,47,2
78,16,16,79,109,0,31,94,125,78,78,62,31,16,188,359,218,47,16,16,47,62,15,47,46,63,2
437,94,78,94,140,140,31,62,93,16,94,94,94,125,63,109,62,94,62,78,94,109,78,78,78,62,2
15,94,78,94,78,0,16,62,31,109,125,94,32,78,78,63,94,109,62,109,78,78,78,78,63,78,2
110,16,63,78,140,109,16,78,109,16,78,62,31,125,63,109,62,94,62,78,94,109,94,78,78,62,2
4369,113,69,90,80,80,442,110,89,36,79,79,141,47,78,78,69,111,41,63,78,109,37,33,69,61,2
4,79,72,65,78,70,411,65,89,24,81,94,406,58,68,150,78,94,94,141,62,141,13,78,63,78,2
6,79,79,104,80,73,185,103,11,73,31,47,89,47,78,78,69,111,41,63,78,109,15,33,69,61,2
156,125,94,109,172,172,47,109,79,78,78,109,63,110,250,78,156,63,141,78,47,125,63,78,78,125,2
15,94,78,63,78,0,31,109,109,94,15,110,110,78,78,63,110,47,62,109,94,62,94,109,172,125,2
78,410,94,78,172,0,15,109,93,172,94,141,109,110,250,78,156,63,141,78,47,125,266,78,78,125,2
32,125,63,93,187,187,0,78,63,31,78,78,78,16,94,78,94,78,47,63,15,78,88,109,16,93,2
32,94,32,93,62,110,31,78,47,117,20,94,15,47,47,63,94,31,63,109,172,15,32,63,46,125,2
78,32,78,93,187,109,47,63,63,15,78,94,47,16,94,78,94,78,47,63,15,78,15,109,16,93,2
141,78,63,78,62,62,31,47,63,109,47,94,94,547,63,1015,79,125,62,63,203,62,188,47,47,78,2
78,63,47,46,78,63,94,78,79,125,62,63,78,31,828,62,93,110,93,188,62,485,172,63,62,63,2
109,47,78,62,62,47,78,109,94,219,47,63,79,547,63,1015,79,125,62,63,203,62,125,47,47,78,2
125,109,78,125,109,109,47,125,94,0,94,94,125,63,78,109,78,93,203,94,47,78,78,79,31,78,2
16,78,78,78,110,78,78,187,16,62,47,109,125,78,78,78,109,110,62,94,94,62,78,78,31,94,2
0,78,94,94,109,93,78,110,94,31,78,94,16,63,78,109,78,93,203,94,47,78,31,79,31,78,2
47,125,110,94,79,79,31,140,78,16,46,110,94,31,62,79,125,62,109,110,15,94,78,94,16,78,2
16,62,125,47,78,98,59,124,62,94,31,94,78,63,78,93,79,93,140,78,78,0,32,93,32,62,2
31,62,344,62,79,94,31,125,78,16,94,78,62,31,62,79,125,62,109,110,15,94,32,94,16,78,2
31,78,79,79,140,140,47,90,109,0,62,110,140,47,63,78,94,94,47,78,0,78,78,94,16,78,2
0,63,94,78,94,0,16,93,31,140,16,78,0,63,78,78,78,94,78,94,78,31,15,62,16,94,2
16,78,63,78,140,0,63,125,62,31,78,109,31,47,63,78,94,94,47,78,0,78,15,94,16,78,2
343,63,46,47,78,78,125,79,62,16,62,156,78,94,62,156,63,109,62,110,234,31,78,62,31,47,2
0,78,47,47,63,125,62,141,110,62,47,78,125,32,125,47,62,125,63,140,63,94,78,47,47,62,2
47,16,16,47,78,79,46,110,62,16,62,47,110,94,62,156,63,109,62,110,234,31,47,62,31,47,2
31,141,109,94,172,172,15,100,94,46,63,94,93,78,47,62,141,62,125,110,109,94,93,94,47,62,2
32,110,78,78,78,94,46,110,16,141,16,94,94,47,94,46,109,31,110,110,78,47,78,78,62,79,2
109,16,94,94,172,78,94,125,79,15,94,516,16,78,47,62,141,62,125,110,109,94,46,94,47,62,2
78,78,62,62,78,78,62,79,63,78,62,78,124,109,62,94,78,93,63,63,78,62,31,63,47,62,2
62,79,63,62,63,63,125,62,78,125,47,63,62,62,78,63,78,94,63,79,93,78,47,78,62,63,2
78,78,63,78,78,47,125,63,62,78,63,78,78,109,62,94,78,93,63,63,78,62,31,63,47,62,2
47,63,31,78,125,125,47,47,93,16,78,78,94,15,78,78,47,63,109,16,110,62,47,78,0,31,2
16,78,78,110,32,484,500,47,609,47,16,16,93,31,63,78,31,62,79,78,109,62,94,16,94,16,2
156,0,47,110,125,0,47,62,31,78,94,78,609,15,78,78,47,63,109,16,110,62,93,78,0,31,2
32,109,78,62,78,78,172,62,79,78,93,94,266,141,62,79,79,78,78,78,63,93,15,62,31,79,2
16,93,62,63,94,109,157,78,125,141,94,110,47,94,78,78,78,110,78,141,78,94,47,78,94,94,2
78,78,63,78,78,47,156,94,140,63,78,79,125,141,62,79,79,78,78,78,63,93,156,62,31,79,2
109,62,63,63,78,78,187,63,63,62,47,63,110,156,63,109,78,94,63,78,188,78,78,47,78,63,2
47,63,62,63,62,63,62,78,62,94,78,78,109,63,78,78,63,109,78,156,62,125,78,63,62,47,2
62,63,47,63,78,63,140,47,63,47,78,62,62,156,63,109,78,94,63,78,188,78,47,47,78,63,2
47,157,125,156,78,78,78,180,63,16,78,266,141,78,94,62,31,109,47,46,93,0,94,78,31,63,2
15,94,94,78,47,141,47,187,62,47,31,156,165,94,62,63,15,125,46,1390,63,141,94,93,0,63,2
47,16,0,94,78,0,15,172,125,94,94,31,62,78,94,62,31,109,47,46,93,0,31,78,31,63,2
79,109,94,78,109,109,31,125,94,141,31,110,94,63,78,94,141,0,62,15,93,32,78,78,32,93,2
125,93,16,63,31,110,31,125,78,78,31,156,62,94,94,46,63,172,16,0,125,500,78,63,93,78,2
31,78,94,156,109,0,0,94,78,47,109,63,78,63,78,94,141,0,62,15,93,32,94,78,32,93,2
