@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,3,5,6,8,9,10,12,14,15,16,20,21,22,23,24,26,27,30,32,33,34,36,42,43'

@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute dtfk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
47,16,16,563,31,47,31,703,15,47,16,31,78,31,109,16,110,1
125,94,16,125,31,62,78,0,15,47,94,16,16,63,31,94,15,1
78,62,32,0,140,32,31,62,46,63,94,109,391,78,15,62,32,1
109,62,16,93,16,62,94,1312,15,47,94,16,62,16,62,94,15,1
110,109,63,78,94,110,78,94,31,63,94,31,94,78,78,78,16,1
109,93,31,156,63,109,109,110,62,78,75,93,62,47,78,93,16,1
78,62,63,94,93,110,109,78,31,63,94,31,109,63,78,78,16,1
157,63,62,156,16,94,78,125,219,78,31,94,62,47,78,78,32,1
187,79,63,0,78,157,63,16,78,47,15,78,93,32,78,31,78,1
62,78,62,0,113,16,62,62,219,78,31,94,47,63,31,78,32,1
63,47,63,78,31,78,62,94,47,47,172,16,110,125,93,63,15,1
141,94,15,0,79,15,110,94,78,79,78,94,32,63,47,47,31,1
203,78,63,125,16,94,78,0,47,47,172,16,94,63,93,63,15,1
125,94,156,235,188,250,78,78,156,94,156,125,63,47,265,62,16,1
156,94,15,94,62,141,16,43,79,78,203,141,156,32,93,62,32,1
63,63,156,0,85,43,78,1063,156,94,156,125,93,32,78,62,16,1
94,78,62,94,32,110,62,78,31,94,78,156,32,79,78,94,31,1
93,78,47,94,63,62,203,16,47,110,156,94,62,78,78,125,16,1
78,94,62,78,109,16,32,812,31,94,78,156,94,31,63,94,31,1
109,94,32,110,62,63,78,562,656,47,32,782,47,125,16,15,62,1
16,93,15,640,62,141,47,16,78,63,110,62,15,78,15,15,62,1
46,63,32,0,31,16,703,719,656,47,32,782,31,109,16,15,62,1
93,78,15,78,109,94,63,703,31,79,63,0,15,94,469,110,15,1
93,204,15,47,47,94,79,94,63,78,63,93,78,156,78,94,31,1
78,78,15,94,62,94,141,859,31,79,63,0,78,32,109,110,15,1
94,78,78,125,141,250,125,906,94,156,94,78,94,63,109,78,78,1
172,110,16,0,78,94,141,93,172,62,265,109,94,703,62,109,813,1
93,172,78,891,141,93,94,1078,94,156,94,78,125,31,110,78,78,1
78,78,0,94,157,93,78,94,109,62,94,594,78,47,78,93,47,1
125,109,78,94,78,94,78,47,63,78,94,78,78,31,78,78,47,1
94,79,0,94,94,47,47,62,109,62,94,594,94,172,94,93,47,1
109,93,265,390,78,38,15,78,46,125,203,172,125,94,141,78,110,1
110,594,250,0,94,140,94,31,94,172,16,282,344,406,16,156,313,1
78,219,265,0,125,31,141,1312,46,125,203,172,391,31,109,78,110,1
110,141,78,156,63,78,109,78,78,63,234,94,62,125,94,94,203,1
172,128,16,0,78,94,94,94,78,94,156,78,32,93,47,78,63,1
344,110,78,125,94,94,125,797,78,63,234,94,109,156,63,94,203,1
93,94,391,110,235,93,78,109,297,78,297,282,344,62,360,93,32,1
172,93,47,125,78,250,16,218,78,94,172,141,62,94,344,94,62,1
394,79,391,0,63,218,125,1172,297,78,297,282,94,141,266,93,32,1
109,78,15,109,141,63,46,62,94,47,109,47,15,78,47,62,32,1
109,79,63,0,78,78,78,94,78,63,94,78,62,31,63,63,47,1
109,63,15,125,31,94,62,884,94,47,109,47,94,46,47,62,32,1
82,102,53,91,62,109,31,875,156,47,110,343,110,31,125,94,15,1
109,16,15,78,78,157,219,110,79,78,94,125,110,15,109,156,15,1
110,16,53,94,93,110,156,125,156,47,110,343,109,16,125,94,15,1
78,78,15,63,94,78,62,657,78,15,63,16,79,15,47,15,47,1
62,156,79,515,62,78,78,109,63,62,78,172,63,47,78,109,16,1
63,46,15,94,63,109,110,63,78,15,63,16,79,78,62,15,47,1
94,63,63,78,109,172,46,63,265,79,141,32,41,65,78,78,15,1
156,62,31,78,93,110,172,63,31,62,156,46,47,63,62,78,47,1
63,63,63,62,47,63,32,906,265,79,141,32,46,47,94,78,15,1
110,78,156,141,125,203,78,109,47,63,94,16,109,32,109,79,78,1
110,32,16,172,62,125,109,109,63,93,78,93,78,16,93,94,31,1
78,94,156,125,78,109,94,129,47,63,94,16,63,62,47,79,78,1
78,47,47,62,125,78,62,63,78,62,79,15,47,94,63,78,16,1
93,78,32,78,62,125,94,141,47,109,109,47,47,47,62,63,47,1
94,78,47,63,47,141,78,79,78,62,79,15,78,62,63,78,16,1
93,47,250,328,93,313,47,1078,62,78,140,125,62,125,125,78,31,1
31,141,79,0,94,140,140,62,62,78,16,78,156,16,78,62,281,1
297,125,250,0,63,62,109,0,62,78,140,125,79,31,109,78,31,1
93,78,234,94,984,63,63,78,78,78,63,828,78,297,78,63,219,1
47,78,188,93,63,203,78,125,62,94,78,62,94,484,79,78,204,1
78,47,234,141,78,125,78,110,78,78,63,828,62,375,63,63,219,1
93,94,110,250,94,78,125,62,78,78,125,32,47,78,78,93,78,1
94,62,31,125,62,141,78,94,63,93,125,93,0,78,31,62,16,1
172,0,110,844,46,94,109,1047,78,78,125,32,78,63,187,93,78,1
94,93,32,171,125,62,63,126,31,47,156,16,47,78,16,78,31,1
47,63,93,110,78,78,94,140,63,78,78,109,62,16,62,94,15,1
109,63,32,94,63,140,62,1176,31,47,156,16,94,62,78,78,31,1
110,78,94,78,94,187,141,141,141,109,94,16,78,78,78,93,32,1
93,94,31,0,62,125,94,94,234,328,110,93,78,32,62,94,31,1
63,78,94,94,78,94,109,78,141,109,94,16,78,16,78,93,32,1
94,109,250,78,156,110,125,94,94,78,47,265,63,422,78,93,94,1
79,78,219,94,93,610,62,156,93,94,78,94,93,547,94,110,125,1
94,63,250,93,63,156,94,78,94,78,47,265,93,203,63,93,94,1
93,47,93,156,469,62,78,78,78,56,78,15,78,78,47,62,31,1
63,63,16,0,166,16,62,15,62,78,140,110,31,47,63,63,31,1
47,78,93,0,141,15,94,844,78,56,78,15,78,172,78,62,31,1
110,109,391,438,62,94,78,78,94,31,109,16,15,78,31,78,0,1
93,78,141,0,94,78,31,46,63,62,125,94,32,110,31,78,31,1
203,94,391,0,47,46,110,765,94,31,109,16,94,62,63,78,0,1
110,125,485,594,47,93,78,140,47,78,47,16,0,125,62,78,32,1
125,78,47,125,79,109,32,109,62,94,125,78,94,15,63,94,47,1
188,62,485,234,94,109,125,985,47,78,47,16,93,125,94,78,32,1
93,47,125,63,109,172,62,63,63,47,78,172,63,78,63,46,79,1
94,78,46,47,63,125,78,109,62,78,78,62,63,125,31,62,63,1
78,78,125,46,47,109,62,62,63,47,78,172,78,62,32,46,79,1
156,172,128,225,78,78,63,94,47,62,78,15,32,93,16,94,47,1
109,109,47,609,63,172,79,62,78,78,79,94,78,0,63,15,62,1
15,78,128,0,32,62,94,812,47,62,78,15,47,78,47,94,47,1
63,63,63,140,141,62,63,63,47,94,78,78,47,109,47,93,63,1
79,94,62,125,62,156,94,94,47,78,78,110,47,438,62,94,31,1
63,94,63,47,62,94,125,63,47,94,78,78,94,47,62,93,63,1
94,78,271,380,15,62,47,62,47,62,125,15,32,94,31,62,16,1
31,78,32,0,157,15,62,94,63,62,312,94,62,32,62,78,31,1
141,62,271,125,0,94,62,813,47,62,125,15,79,31,156,62,16,1
94,78,140,79,125,63,47,63,125,47,63,125,63,125,62,62,110,1
94,63,94,94,62,172,78,125,62,78,78,62,78,63,46,63,47,1
94,62,140,78,63,125,63,63,125,47,63,125,78,78,47,62,110,1
125,78,31,172,46,125,94,172,0,93,140,46,31,94,78,78,32,1
47,109,15,110,94,47,31,15,93,110,829,78,62,47,94,157,31,1
78,93,31,172,78,15,94,719,0,93,140,46,109,0,110,78,32,1
110,78,78,62,47,94,78,47,32,62,78,0,31,79,46,78,62,1
0,47,61,78,62,141,63,31,78,78,62,94,31,31,94,78,47,1
93,94,78,79,94,31,94,895,32,62,78,0,78,47,78,78,62,1
94,78,188,78,62,156,110,78,78,63,78,125,125,125,125,78,32,1
140,109,0,0,94,313,156,78,78,47,62,94,125,0,94,62,235,1
78,78,188,0,62,78,156,203,78,63,78,125,125,31,109,78,32,1
109,125,109,203,78,47,31,93,16,62,157,31,156,110,62,78,16,1
32,31,94,1469,78,63,0,47,78,78,0,156,31,125,15,63,31,1
47,31,109,141,0,47,125,859,16,62,157,31,94,0,62,78,16,1
110,94,203,78,282,109,78,94,234,79,94,47,78,391,109,78,109,1
94,109,157,62,63,172,78,157,281,63,94,94,78,516,78,94,125,1
109,407,203,1109,93,157,94,63,234,79,94,47,93,235,78,78,109,1
47,140,79,110,47,15,78,469,63,78,63,31,48,5,84,46,109,1
31,93,94,141,188,31,16,47,31,78,16,109,16,94,0,16,109,1
235,110,79,438,32,47,625,0,63,78,63,31,16,110,15,46,109,1
125,109,109,157,203,125,110,125,94,109,94,157,110,93,161,141,15,1
156,94,141,172,93,500,125,125,93,110,16,172,531,140,516,125,63,1
312,93,109,94,78,125,141,750,94,109,94,157,93,110,109,141,15,1
125,94,125,125,109,141,109,94,94,62,125,110,94,47,109,109,62,1
125,94,47,109,94,140,110,94,47,93,156,94,94,31,125,109,94,1
156,93,125,125,140,94,125,125,94,62,125,110,94,78,141,109,62,1
109,63,125,94,94,109,78,78,93,63,78,46,63,94,78,110,62,1
78,62,31,94,62,125,110,63,78,109,94,63,63,16,93,78,109,1
109,63,125,110,109,63,93,93,93,63,78,46,63,31,94,110,62,1
110,171,47,156,15,94,94,110,15,141,250,16,78,109,16,125,0,1
0,110,0,110,109,47,62,0,62,110,125,93,62,140,16,78,0,1
312,109,47,125,125,0,141,860,15,141,250,16,125,0,109,125,0,1
78,78,16,141,79,78,78,109,47,47,62,78,0,110,15,110,62,1
32,125,78,0,62,110,78,47,78,109,78,109,94,15,94,94,31,1
79,78,16,187,0,47,140,937,47,47,62,78,78,141,78,110,62,1
94,109,16,203,63,172,125,94,157,62,94,94,94,109,125,109,31,1
219,94,32,156,78,94,109,16,110,93,109,78,15,78,0,78,15,1
63,94,16,0,125,16,47,110,157,62,94,94,78,15,141,109,31,1
125,109,109,203,390,500,125,94,156,78,109,110,78,94,78,94,47,1
141,109,47,0,63,609,46,141,79,62,78,94,79,78,78,78,31,1
94,110,109,0,78,141,141,1020,156,78,109,110,94,484,203,94,47,1
78,141,31,78,62,78,15,687,94,16,47,47,31,78,0,0,78,1
15,47,156,531,79,172,47,0,31,94,94,109,32,78,31,31,62,1
62,31,31,671,109,0,78,797,94,16,47,47,0,79,78,0,78,1
109,141,31,125,31,47,63,610,125,47,47,16,46,109,16,15,93,1
62,94,110,0,63,78,0,125,47,93,0,78,0,94,15,0,63,1
15,203,31,657,47,125,250,656,125,47,47,16,93,63,219,15,93,1
62,63,172,78,141,78,78,109,40,60,47,94,63,94,62,78,79,1
47,63,62,78,67,91,94,115,47,78,78,176,63,78,62,62,141,1
62,62,172,62,86,115,78,62,40,60,47,94,62,141,235,78,79,1
110,109,79,109,125,78,47,0,141,62,140,203,32,78,109,63,16,2
94,93,63,0,47,203,94,62,78,78,109,63,78,265,110,78,16,2
328,78,79,0,251,62,125,813,141,62,140,203,78,219,78,63,16,2
78,62,156,250,125,94,109,93,156,63,94,47,156,63,109,93,47,2
219,63,47,0,94,16,47,172,63,62,79,62,16,78,31,110,31,2
218,94,156,62,46,172,63,953,156,63,94,47,78,110,172,93,47,2
172,78,141,250,15,63,62,0,63,62,32,78,16,78,47,63,31,2
110,94,172,0,172,47,47,141,15,63,31,63,16,78,16,63,31,2
110,62,141,906,31,141,94,735,63,62,32,78,110,15,93,63,31,2
109,62,31,109,140,47,62,0,16,188,218,47,16,78,16,47,46,2
63,63,16,0,78,47,31,79,62,63,94,156,16,78,15,63,47,2
110,78,31,0,32,79,125,703,16,188,218,47,47,15,94,47,46,2
94,78,31,140,141,219,93,94,125,63,62,94,125,78,94,78,78,2
125,94,62,0,62,110,31,94,78,78,94,78,16,78,46,78,63,2
219,94,31,109,78,94,109,937,125,63,62,94,78,94,78,78,78,2
113,69,63,80,101,192,89,78,47,78,69,78,81,37,78,33,69,2
68,98,31,70,94,187,89,172,58,68,78,62,79,13,85,78,63,2
39,79,63,73,31,172,11,74,47,78,69,78,78,15,94,33,69,2
125,94,63,172,78,94,79,78,110,250,156,47,15,63,78,78,78,2
78,78,16,0,94,62,109,141,78,78,110,94,410,94,62,109,172,2
110,78,63,0,93,141,93,828,110,250,156,47,125,266,109,78,78,2
125,63,32,187,47,125,63,562,16,94,94,15,20,88,78,109,16,2
47,94,16,110,78,78,47,94,47,47,94,172,32,32,421,63,46,2
125,78,32,109,94,94,63,719,16,94,94,15,125,15,125,109,16,2
78,63,219,62,157,62,63,78,547,63,79,203,62,188,46,47,47,2
62,47,63,63,78,125,79,125,31,828,93,62,47,172,63,63,62,2
47,47,219,47,62,125,94,79,547,63,79,203,63,125,78,47,47,2
109,78,63,109,109,94,94,109,63,78,78,47,47,78,63,79,31,2
156,78,31,78,79,46,16,63,78,78,109,94,78,78,94,78,31,2
94,94,63,93,78,63,94,843,63,78,78,47,94,31,141,79,31,2
125,110,31,79,109,94,78,172,31,62,125,15,31,78,16,94,16,2
125,62,32,98,62,125,62,62,63,78,79,78,62,32,93,93,32,2
31,46,31,94,16,62,78,609,31,62,125,15,62,32,78,94,16,2
78,79,15,140,62,94,109,94,47,63,94,0,16,78,0,94,16,2
16,62,32,0,172,31,31,31,63,78,78,78,78,15,79,62,16,2
78,62,15,0,63,31,62,781,47,63,94,0,94,15,110,94,16,2
63,46,62,78,156,63,62,62,94,62,63,234,47,78,110,62,31,2
125,47,47,125,47,141,110,156,32,125,62,63,16,78,47,47,47,2
63,62,62,79,47,156,62,922,94,62,63,234,62,47,63,62,31,2
141,109,62,172,62,125,94,94,78,47,141,109,16,93,32,94,47,2
172,94,32,94,141,62,16,78,47,94,109,78,16,78,47,78,62,2
250,63,62,78,0,78,79,828,78,47,141,109,79,46,94,94,47,2
78,62,63,78,94,78,63,62,109,62,78,78,47,31,78,63,47,2
47,62,78,63,188,15,78,94,62,78,78,93,78,47,62,78,62,2
47,62,63,47,93,94,62,62,109,62,78,78,63,31,125,63,47,2
63,31,47,125,62,47,93,594,15,78,47,110,16,47,94,78,0,2
31,78,93,484,94,0,609,110,31,63,31,109,0,94,16,16,94,2
32,78,47,0,31,110,31,0,15,78,47,110,16,93,78,78,0,2
109,78,157,78,93,94,79,125,141,62,79,63,94,15,94,62,31,2
78,78,0,109,78,93,125,15,94,78,78,78,78,47,78,78,94,2
93,93,157,47,172,15,140,0,141,62,79,63,94,156,94,62,31,2
62,63,94,78,140,94,63,93,156,63,78,188,78,78,78,47,78,2
78,78,63,63,63,172,62,110,63,78,63,62,63,78,62,63,62,2
78,47,94,63,62,110,63,110,156,63,78,188,47,47,94,47,78,2
157,125,0,78,109,94,63,0,78,94,31,93,31,94,47,78,31,2
110,125,78,141,94,219,62,110,94,62,15,63,16,94,94,93,0,2
16,78,0,0,15,110,125,984,78,94,31,93,63,31,156,78,31,2
109,94,62,109,125,78,94,94,63,78,141,93,31,78,63,78,32,2
0,94,78,110,78,109,78,120,94,94,63,125,78,78,94,63,93,2
97,31,62,0,187,120,78,735,63,78,141,93,78,94,78,78,32,2
