@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,6,8,9,10,13,16,19,21,22,23,24,25,26,33,36,37,43'

@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute ft7 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
16,125,109,203,47,62,78,47,63,125,16,62,94,157,31,31,31,110,62,78,16,62,1
78,31,94,0,140,31,78,63,62,141,78,78,78,0,47,78,156,125,15,63,31,94,1
79,31,109,203,15,125,0,47,719,0,16,62,94,157,31,31,31,0,62,78,16,62,1
62,94,203,78,249,88,282,109,344,94,234,79,93,94,140,78,47,391,109,78,109,94,1
63,109,157,78,204,78,63,172,172,156,281,63,93,94,172,213,94,516,78,94,125,93,1
0,407,203,78,63,250,93,157,203,78,234,79,93,94,140,78,47,235,78,78,109,94,1
47,140,79,110,15,110,47,15,16,16,63,78,79,63,47,63,31,5,84,46,109,78,1
63,93,94,31,0,94,188,31,78,16,31,78,63,16,78,31,109,94,0,16,109,16,1
15,110,79,110,125,31,32,47,32,16,63,78,79,63,47,63,31,110,15,46,109,78,1
16,109,109,157,156,94,203,125,94,203,94,109,63,94,203,47,157,93,161,141,15,94,1
110,94,141,47,0,172,93,500,125,157,93,110,62,16,141,47,172,140,516,125,63,93,1
110,93,109,157,156,110,78,125,140,125,94,109,63,94,203,47,157,110,109,141,15,94,1
93,94,125,125,78,125,109,141,63,125,94,62,94,125,94,109,110,47,109,109,62,79,1
78,94,47,109,32,171,94,140,140,16,47,93,78,156,47,187,94,31,125,109,94,94,1
16,93,125,125,47,141,140,94,110,110,94,62,94,125,94,109,110,78,141,109,62,79,1
63,63,125,94,219,98,94,109,109,110,93,63,78,78,110,94,46,94,78,110,62,94,1
32,62,31,78,187,78,62,125,15,109,78,109,47,94,93,125,63,16,93,78,109,63,1
78,63,125,94,234,78,109,63,0,110,93,63,78,78,110,94,46,31,94,110,62,94,1
47,171,47,156,32,140,15,94,31,203,15,141,94,250,31,125,16,109,16,125,0,109,1
16,110,0,63,78,187,109,47,109,16,62,110,93,125,93,110,93,140,16,78,0,125,1
0,109,47,156,79,140,125,0,15,62,15,141,94,250,31,125,16,0,109,125,0,109,1
15,78,16,141,62,125,79,78,63,157,47,47,63,62,140,109,78,110,15,110,62,156,1
15,125,78,63,15,125,62,110,78,79,78,109,63,78,93,31,109,15,94,94,31,78,1
31,78,16,141,0,94,0,47,63,78,47,47,63,62,140,109,78,141,78,110,62,156,1
47,109,16,203,15,137,63,172,16,125,157,62,125,94,78,141,94,109,125,109,31,110,1
16,94,32,78,16,137,78,94,0,46,110,93,79,109,63,375,78,78,0,78,15,78,1
110,94,16,203,47,140,125,16,16,109,157,62,125,94,78,141,94,15,141,109,31,110,1
78,109,109,203,78,109,390,500,47,468,156,78,125,109,63,109,110,94,78,94,47,78,1
15,109,47,62,15,109,63,609,109,15,79,62,94,78,110,94,94,78,78,78,31,94,1
375,110,109,203,47,125,78,141,31,46,156,78,125,109,63,109,110,484,203,94,47,78,1
47,141,31,78,32,31,62,78,47,16,94,16,62,47,125,62,47,78,0,0,78,16,1
156,47,156,16,625,31,79,172,79,32,31,94,62,94,0,47,109,78,31,31,62,0,1
156,31,31,78,193,31,109,0,32,47,94,16,62,47,125,62,47,79,78,0,78,16,1
15,141,31,125,31,125,31,47,125,125,125,47,93,47,141,31,16,109,16,15,93,47,1
31,94,110,94,0,125,63,78,16,47,47,93,79,0,93,1000,78,94,15,0,63,93,1
62,203,31,125,720,15,47,125,78,0,125,47,93,47,141,31,16,63,219,15,93,47,1
62,63,172,78,31,78,141,78,79,78,40,60,106,47,125,63,94,94,62,78,79,62,1
47,63,62,63,250,47,67,91,93,62,47,78,31,78,109,101,176,78,62,62,141,62,1
62,62,172,78,188,78,86,115,140,94,40,60,106,47,125,63,94,141,235,78,79,62,1
78,109,79,109,31,78,125,78,234,94,141,62,109,140,16,109,203,78,109,63,16,62,2
47,93,63,62,31,141,47,203,109,110,78,78,63,109,16,125,63,265,110,78,16,78,2
16,78,79,109,16,94,251,62,109,94,141,62,109,140,16,109,203,219,78,63,16,62,2
16,62,156,250,31,141,125,94,62,235,156,63,62,94,62,109,47,63,109,93,47,110,2
31,63,47,62,32,141,94,16,125,47,63,62,63,79,78,94,62,78,31,110,31,78,2
63,94,156,250,94,94,46,172,15,47,156,63,62,94,62,109,47,110,172,93,47,110,2
47,78,141,250,47,47,15,63,47,94,63,62,78,32,141,16,78,78,47,63,31,78,2
15,94,172,16,47,47,172,47,125,47,15,63,78,31,94,968,63,78,16,63,31,110,2
93,62,141,250,1000,47,31,141,203,47,63,62,78,32,141,16,78,15,93,63,31,78,2
16,62,31,109,31,63,140,47,32,94,16,188,359,218,47,16,47,78,16,47,46,63,2
359,63,16,47,15,94,78,47,47,94,62,63,94,94,15,94,156,78,15,63,47,47,2
78,78,31,109,31,94,32,79,78,31,16,188,359,218,47,16,47,15,94,47,46,63,2
437,78,31,140,31,62,141,219,16,94,125,63,109,62,94,78,94,78,94,78,78,62,2
15,94,62,78,16,62,62,110,109,32,78,78,63,94,109,109,78,78,46,78,63,78,2
110,94,31,140,16,78,78,94,16,31,125,63,109,62,94,78,94,94,78,78,78,62,2
4369,69,63,80,442,110,101,192,36,141,47,78,78,69,111,63,78,37,78,33,69,61,2
4,98,31,78,411,65,94,187,24,406,58,68,150,78,94,141,62,13,85,78,63,78,2
6,79,63,80,185,103,31,172,73,89,47,78,78,69,111,63,78,15,94,33,69,61,2
156,94,63,172,47,109,78,94,78,63,110,250,78,156,63,78,47,63,78,78,78,125,2
15,78,16,78,31,109,94,62,94,110,78,78,63,110,47,109,94,94,62,109,172,125,2
78,78,63,172,15,109,93,141,172,109,110,250,78,156,63,78,47,266,109,78,78,125,2
32,63,32,187,0,78,47,125,31,78,16,94,78,94,78,63,15,88,78,109,16,93,2
32,94,16,62,31,78,78,78,117,15,47,47,63,94,31,109,172,32,421,63,46,125,2
78,78,32,187,47,63,94,94,15,47,16,94,78,94,78,63,15,15,125,109,16,93,2
141,63,219,62,31,47,157,62,109,94,547,63,1015,79,125,63,203,188,46,47,47,78,2
78,47,63,78,94,78,78,125,125,78,31,828,62,93,110,188,62,172,63,63,62,63,2
109,47,219,62,78,109,62,125,219,79,547,63,1015,79,125,63,203,125,78,47,47,78,2
125,78,63,109,47,125,109,94,0,125,63,78,109,78,93,94,47,78,63,79,31,78,2
16,78,31,110,78,187,79,46,62,125,78,78,78,109,110,94,94,78,94,78,31,94,2
0,94,63,109,78,110,78,63,31,16,63,78,109,78,93,94,47,31,141,79,31,78,2
47,110,31,79,31,140,109,94,16,94,31,62,79,125,62,110,15,78,16,94,16,78,2
16,62,32,78,59,124,62,125,94,78,63,78,93,79,93,78,78,32,93,93,32,62,2
31,46,31,79,31,125,16,62,16,62,31,62,79,125,62,110,15,32,78,94,16,78,2
31,79,15,140,47,90,62,94,0,140,47,63,78,94,94,78,0,78,0,94,16,78,2
0,62,32,94,16,93,172,31,140,0,63,78,78,78,94,94,78,15,79,62,16,94,2
16,62,15,140,63,125,63,31,31,31,47,63,78,94,94,78,0,15,110,94,16,78,2
343,46,62,78,125,79,156,63,16,78,94,62,156,63,109,110,234,78,110,62,31,47,2
0,47,47,63,62,141,47,141,62,125,32,125,47,62,125,140,63,78,47,47,47,62,2
47,62,62,78,46,110,47,156,16,110,94,62,156,63,109,110,234,47,63,62,31,47,2
31,109,62,172,15,100,62,125,46,93,78,47,62,141,62,110,109,93,32,94,47,62,2
32,94,32,78,46,110,141,62,141,94,47,94,46,109,31,110,78,78,47,78,62,79,2
109,63,62,172,94,125,0,78,15,16,78,47,62,141,62,110,109,46,94,94,47,62,2
78,62,63,78,62,79,94,78,78,124,109,62,94,78,93,63,78,31,78,63,47,62,2
62,62,78,63,125,62,188,15,125,62,62,78,63,78,94,79,93,47,62,78,62,63,2
78,62,63,78,125,63,93,94,78,78,109,62,94,78,93,63,78,31,125,63,47,62,2
47,31,47,125,47,47,62,47,16,94,15,78,78,47,63,16,110,47,94,78,0,31,2
16,78,93,32,500,47,94,0,47,93,31,63,78,31,62,78,109,94,16,16,94,16,2
156,78,47,125,47,62,31,110,78,609,15,78,78,47,63,16,110,93,78,78,0,31,2
32,78,157,78,172,62,93,94,78,266,141,62,79,79,78,78,63,15,94,62,31,79,2
16,78,0,94,157,78,78,93,141,47,94,78,78,78,110,141,78,47,78,78,94,94,2
78,93,157,78,156,94,172,15,63,125,141,62,79,79,78,78,63,156,94,62,31,79,2
109,63,94,78,187,63,140,94,62,110,156,63,109,78,94,78,188,78,78,47,78,63,2
47,78,63,62,62,78,63,172,94,109,63,78,78,63,109,156,62,78,62,63,62,47,2
62,47,94,78,140,47,62,110,47,62,156,63,109,78,94,78,188,47,94,47,78,63,2
47,125,0,78,78,180,109,94,16,141,78,94,62,31,109,46,93,94,47,78,31,63,2
15,125,78,47,47,187,94,219,47,165,94,62,63,15,125,1390,63,94,94,93,0,63,2
47,78,0,78,15,172,15,110,94,62,78,94,62,31,109,46,93,31,156,78,31,63,2
79,94,62,109,31,125,125,78,141,94,63,78,94,141,0,15,93,78,63,78,32,93,2
125,94,78,31,31,125,78,109,78,62,94,94,46,63,172,0,125,78,94,63,93,78,2
31,31,62,109,0,94,187,120,47,78,63,78,94,141,0,15,93,94,78,78,32,93,2
