dtfk1,dtfk3,dtsk3,ft4,dtsk4,dtfk5,ft5,dtsk5,dtsk7,dtfk10,dtsk10,dtfk11,ft11,dtfk12,ft12,dtsk12,dtfk13,dtfk14,dtsk14,gender
63,79,31,63,31,0,15,62,15,78,62,94,47,109,78,110,62,63,94,1
78,63,47,15,109,125,16,63,79,94,94,109,16,94,47,125,94,62,78,1
141,102,118,53,91,91,259,144,16,156,78,110,94,110,343,125,110,94,125,1
109,16,63,15,63,78,172,94,110,79,93,94,125,125,125,250,110,156,109,1
125,16,532,53,91,94,223,125,78,156,78,110,94,110,343,125,109,94,125,1
94,78,94,15,63,63,62,63,46,78,79,63,109,78,16,62,79,15,16,1
78,156,78,79,62,515,63,78,79,63,125,78,79,109,172,15,63,109,79,1
140,46,78,15,63,94,62,79,16,78,79,63,109,78,16,62,79,15,16,1
125,63,109,63,78,78,125,47,63,265,78,141,46,62,32,109,41,78,63,1
172,62,78,31,94,78,125,203,41,31,79,156,47,126,46,219,47,78,46,1
94,63,94,63,78,62,125,110,62,265,78,141,46,62,32,109,46,78,63,1
78,78,78,156,141,141,16,125,94,47,94,94,125,187,16,94,109,79,62,1
203,32,110,16,62,172,15,94,109,63,79,78,110,110,93,32,78,94,63,1
78,94,78,156,141,125,109,125,63,47,94,94,125,187,16,94,63,79,62,1
62,47,63,47,62,62,141,62,78,78,79,79,140,63,15,78,47,78,62,1
78,78,63,32,93,78,157,62,47,47,47,109,94,125,47,78,47,63,78,1
63,78,62,47,62,63,140,78,63,78,79,79,140,63,15,78,78,78,62,1
94,47,78,250,328,328,62,172,125,62,344,140,234,47,125,78,62,78,94,1
313,141,157,79,31,0,62,172,62,62,78,16,93,94,78,62,156,62,79,1
78,125,15,250,328,0,63,172,62,62,344,140,234,47,125,78,79,78,94,1
93,78,78,234,94,94,47,94,47,78,78,63,140,78,828,78,78,63,78,1
63,78,63,188,62,93,63,109,78,62,62,78,140,94,62,344,94,78,62,1
62,47,62,234,94,141,203,109,47,78,78,63,140,78,828,78,62,63,78,1
93,94,62,110,250,250,63,63,0,78,63,125,47,109,32,93,47,93,63,1
78,62,78,31,78,125,16,63,47,63,63,125,15,94,93,547,0,62,78,1
31,0,78,110,250,844,938,31,78,78,63,125,47,109,32,93,78,93,63,1
156,93,109,32,171,171,16,109,63,31,375,156,47,63,16,78,47,78,125,1
62,63,47,93,47,110,31,109,47,63,78,78,47,16,109,0,62,94,94,1
47,63,78,32,171,94,31,125,109,31,375,156,47,63,16,78,94,78,125,1
125,78,93,94,78,78,203,63,78,141,63,94,78,93,16,78,78,93,62,1
187,94,63,31,63,0,0,94,78,234,110,110,93,94,93,32,78,94,78,1
78,78,78,94,78,94,171,63,62,141,63,94,78,93,16,78,78,93,62,1
125,109,109,250,78,78,110,78,63,94,110,47,156,94,265,94,63,93,78,1
110,78,78,219,93,94,78,78,63,93,63,78,109,156,94,140,93,110,93,1
94,63,94,250,78,93,250,94,78,94,110,47,156,94,265,94,93,93,78,1
63,47,63,93,156,156,31,63,78,78,73,78,31,79,15,110,78,62,63,1
62,63,63,16,47,0,594,656,78,62,63,140,0,47,110,62,31,63,78,1
78,78,62,93,156,0,16,94,63,78,73,78,31,79,15,110,78,62,63,1
109,109,47,391,438,438,31,46,94,94,78,109,125,109,16,78,15,78,94,1
94,78,94,141,78,0,32,46,15,63,78,125,31,687,94,78,32,78,94,1
78,94,78,391,438,0,31,94,94,94,78,109,125,109,16,78,94,78,94,1
125,125,93,485,594,594,47,140,62,47,78,47,62,125,16,93,0,78,93,1
93,78,94,47,78,125,31,141,0,62,62,125,62,172,78,94,94,94,93,1
156,62,94,485,594,234,16,109,94,47,78,47,62,125,16,93,93,78,93,1
62,47,31,125,63,63,171,79,78,63,93,78,78,78,172,78,63,46,78,1
172,78,63,46,47,47,31,94,63,62,63,78,94,125,62,47,63,62,78,1
62,78,62,125,63,46,47,94,62,63,93,78,78,78,172,78,78,46,78,1
93,172,79,128,225,225,40,110,78,47,109,78,63,47,15,62,32,94,94,1
78,109,63,47,62,609,734,0,32,78,78,79,78,110,94,78,78,15,47,1
78,78,78,128,225,0,47,141,172,47,109,78,63,47,15,62,47,94,94,1
63,63,93,63,140,140,188,109,94,47,141,78,94,47,78,62,47,93,62,1
62,94,31,62,78,125,207,109,47,47,63,78,125,93,110,78,47,94,94,1
62,94,78,63,140,47,687,94,78,47,141,78,94,47,78,62,94,93,62,1
78,78,40,271,380,380,47,125,62,47,63,125,32,47,15,78,32,62,78,1
62,78,79,32,78,0,47,125,32,63,63,312,63,62,94,141,62,78,79,1
63,62,94,271,380,125,140,94,32,47,63,125,32,47,15,78,79,62,78,1
78,78,78,140,79,79,250,93,62,125,63,63,93,63,125,62,63,62,78,1
63,63,62,94,62,94,125,125,63,62,63,78,110,110,62,78,78,63,78,1
63,62,47,140,79,78,172,125,83,125,63,63,93,63,125,62,78,62,78,1
126,78,109,31,172,172,31,156,93,0,453,140,47,32,46,79,31,78,78,1
125,109,110,15,78,110,125,156,31,93,78,829,31,109,78,110,62,157,109,1
141,93,78,31,172,172,93,157,94,0,453,140,47,32,46,79,109,78,78,1
62,78,63,78,62,62,94,94,94,32,110,78,94,141,0,78,31,78,63,1
94,47,62,61,52,78,94,188,31,78,63,62,110,141,94,15,31,78,78,1
94,94,47,78,62,79,78,78,78,32,110,78,94,141,0,78,78,78,63,1
125,78,93,188,78,78,31,94,78,78,62,78,110,93,125,110,125,78,125,1
156,109,94,0,78,0,31,109,125,78,63,62,94,125,94,235,125,62,125,1
109,78,109,188,78,0,0,94,94,78,62,78,110,93,125,110,125,78,125,1
125,125,47,109,203,203,47,62,31,16,94,157,31,31,31,47,156,78,62,1
47,31,31,94,0,1469,140,31,156,78,78,0,47,78,156,16,31,63,94,1
16,31,62,109,203,141,15,125,109,16,94,157,31,31,31,47,94,78,62,1
141,94,78,203,78,78,249,88,407,234,93,94,140,78,47,109,78,78,94,1
109,109,78,157,78,62,204,78,78,281,93,94,172,213,94,110,78,94,93,1
110,407,78,203,78,1109,63,250,78,234,93,94,140,78,47,109,93,78,94,1
156,140,78,79,110,110,15,110,110,63,79,63,47,63,31,63,48,46,78,1
15,93,31,94,31,141,0,94,48,31,63,16,78,31,109,31,16,16,16,1
63,110,16,79,110,438,125,31,79,63,79,63,47,63,31,63,16,46,78,1
156,109,187,109,157,157,156,94,93,94,63,94,203,47,157,171,110,141,94,1
125,94,109,141,47,172,0,172,110,93,62,16,141,47,172,78,531,125,93,1
250,93,125,109,157,94,156,110,78,94,63,94,203,47,157,171,93,141,94,1
125,94,94,125,125,125,78,125,93,94,94,125,94,109,110,93,94,109,79,1
141,94,94,47,109,109,32,171,94,47,78,156,47,187,94,453,94,109,94,1
109,93,109,125,125,125,47,141,78,94,94,125,94,109,110,93,94,109,79,1
78,63,78,125,94,94,219,98,63,93,78,78,110,94,46,63,63,110,94,1
109,62,78,31,78,94,187,78,63,78,47,94,93,125,63,109,63,78,63,1
78,63,94,125,94,110,234,78,63,93,78,78,110,94,46,63,63,110,94,1
93,171,94,47,156,156,32,140,109,15,94,250,31,125,16,114,78,125,109,1
94,110,172,0,63,110,78,187,78,62,93,125,93,110,93,110,62,78,125,1
250,109,78,47,156,125,79,140,94,15,94,250,31,125,16,114,125,125,109,1
125,78,78,16,141,141,62,125,78,47,63,62,140,109,78,16,0,110,156,1
78,125,78,78,63,0,15,125,0,78,63,78,93,31,109,187,94,94,78,1
78,78,94,16,141,187,0,94,62,47,63,62,140,109,78,16,78,110,156,1
93,109,297,16,203,203,15,137,94,157,125,94,78,141,94,78,94,109,110,1
172,94,78,32,78,156,16,137,94,110,79,109,63,375,78,109,15,78,78,1
62,94,125,16,203,0,47,140,172,157,125,94,78,141,94,78,78,109,110,1
94,109,110,109,203,203,78,109,110,156,125,109,63,109,110,93,78,94,78,1
500,109,78,47,62,0,15,109,78,79,94,78,110,94,94,172,79,78,94,1
93,110,93,109,203,0,47,125,110,156,125,109,63,109,110,93,94,94,78,1
156,141,109,31,78,78,32,31,31,94,62,47,125,62,47,63,31,0,16,1
78,47,47,156,16,531,625,31,31,31,62,94,0,47,109,31,32,31,0,1
78,31,47,31,78,671,193,31,93,94,62,47,125,62,47,63,0,0,16,1
110,141,110,31,125,125,31,125,203,125,93,47,141,31,16,63,46,15,47,1
47,94,125,110,94,0,0,125,46,47,79,0,93,1000,78,156,0,0,93,1
32,203,16,31,125,657,720,15,453,125,93,47,141,31,16,63,93,15,47,1
94,63,63,172,78,78,31,78,62,40,106,47,125,63,94,62,63,78,62,1
78,63,62,62,63,78,250,47,63,47,31,78,109,101,176,13,63,62,62,1
63,62,94,172,78,62,188,78,63,40,106,47,125,63,94,62,62,78,62,1
78,109,109,79,109,109,31,78,78,141,109,140,16,109,203,63,32,63,62,2
78,93,63,63,62,0,31,141,32,78,63,109,16,125,63,94,78,78,78,2
78,78,62,79,109,0,16,94,109,141,109,140,16,109,203,63,78,63,62,2
375,62,94,156,250,250,31,141,94,156,62,94,62,109,47,78,156,93,110,2
94,63,47,47,62,0,32,141,156,63,63,79,78,94,62,266,16,110,78,2
171,94,125,156,250,62,94,94,62,156,62,94,62,109,47,78,78,93,110,2
109,78,94,141,250,250,47,47,62,63,78,32,141,16,78,16,16,63,78,2
63,94,94,172,16,0,47,47,16,15,78,31,94,968,63,125,16,63,110,2
32,62,78,141,250,906,1000,47,78,63,78,32,141,16,78,16,110,63,78,2
62,62,78,31,109,109,31,63,78,16,359,218,47,16,47,62,16,47,63,2
47,63,32,16,47,0,15,94,16,62,94,94,15,94,156,16,16,63,47,2
63,78,79,31,109,0,31,94,78,16,359,218,47,16,47,62,47,47,63,2
172,78,94,31,140,140,31,62,94,125,109,62,94,78,94,109,125,78,62,2
219,94,94,62,78,0,16,62,125,78,63,94,109,109,78,78,16,78,78,2
140,94,78,31,140,109,16,78,78,125,109,62,94,78,94,109,78,78,62,2
57,69,90,63,80,80,442,110,79,47,78,69,111,63,78,109,81,33,61,2
192,98,65,31,78,70,411,65,81,58,150,78,94,141,62,141,79,78,78,2
74,79,104,63,80,73,185,103,31,47,78,69,111,63,78,109,78,33,61,2
110,94,109,63,172,172,47,109,78,110,78,156,63,78,47,125,15,78,125,2
94,78,63,16,78,0,31,109,15,78,63,110,47,109,94,62,410,109,125,2
187,78,78,63,172,0,15,109,94,110,78,156,63,78,47,125,125,78,125,2
93,63,93,32,187,187,0,78,78,16,78,94,78,63,15,78,20,109,93,2
125,94,93,16,62,110,31,78,20,47,63,94,31,109,172,15,32,63,125,2
78,78,93,32,187,109,47,63,78,16,78,94,78,63,15,78,125,109,93,2
62,63,78,219,62,62,31,47,47,547,1015,79,125,63,203,62,62,47,78,2
62,47,46,63,78,63,94,78,62,31,62,93,110,188,62,485,47,63,63,2
31,47,62,219,62,47,78,109,47,547,1015,79,125,63,203,62,63,47,78,2
109,78,125,63,109,109,47,125,94,63,109,78,93,94,47,78,47,79,78,2
94,78,78,31,110,78,78,187,47,78,78,109,110,94,94,62,78,78,94,2
125,94,94,63,109,93,78,110,78,63,109,78,93,94,47,78,94,79,78,2
93,110,94,31,79,79,31,140,46,31,79,125,62,110,15,94,31,94,78,2
94,62,47,32,78,98,59,124,31,63,93,79,93,78,78,0,62,93,62,2
79,46,62,31,79,94,31,125,94,31,79,125,62,110,15,94,62,94,78,2
94,79,79,15,140,140,47,90,62,47,78,94,94,78,0,78,16,94,78,2
94,62,78,32,94,0,16,93,16,63,78,78,94,94,78,31,78,62,94,2
62,62,78,15,140,0,63,125,78,47,78,94,94,78,0,78,94,94,78,2
63,46,47,62,78,78,125,79,62,94,156,63,109,110,234,31,47,62,47,2
63,47,47,47,63,125,62,141,47,32,47,62,125,140,63,94,16,47,62,2
203,62,47,62,78,79,46,110,62,94,156,63,109,110,234,31,62,62,47,2
140,109,94,62,172,172,15,100,63,78,62,141,62,110,109,94,16,94,62,2
125,94,78,32,78,94,46,110,16,47,46,109,31,110,78,47,16,78,79,2
31,63,94,62,172,78,94,125,94,78,62,141,62,110,109,94,79,94,62,2
63,62,62,63,78,78,62,79,62,109,94,78,93,63,78,62,47,63,62,2
78,62,62,78,63,63,125,62,47,62,63,78,94,79,93,78,78,78,63,2
94,62,78,63,78,47,125,63,63,109,94,78,93,63,78,62,63,63,62,2
109,31,78,47,125,125,47,47,78,15,78,47,63,16,110,62,16,78,31,2
47,78,110,93,32,484,500,47,16,31,78,31,62,78,109,62,0,16,16,2
94,78,110,47,125,0,47,62,94,15,78,47,63,16,110,62,16,78,31,2
94,78,62,157,78,78,172,62,93,141,79,79,78,78,63,93,94,62,79,2
94,78,63,0,94,109,157,78,94,94,78,78,110,141,78,94,78,78,94,2
110,93,78,157,78,47,156,94,78,141,79,79,78,78,63,93,94,62,79,2
94,63,63,94,78,78,187,63,47,156,109,78,94,78,188,78,78,47,63,2
94,78,63,63,62,63,62,78,78,63,78,63,109,156,62,125,63,63,47,2
63,47,63,94,78,63,140,47,78,156,109,78,94,78,188,78,47,47,63,2
78,125,156,0,78,78,78,180,78,78,62,31,109,46,93,0,31,78,63,2
94,125,78,78,47,141,47,187,31,94,63,15,125,1390,63,141,16,93,63,2
47,78,94,0,78,0,15,172,94,78,62,31,109,46,93,0,63,78,63,2
62,94,78,62,109,109,31,125,31,63,94,141,0,15,93,32,31,78,93,2
78,94,63,78,31,110,31,125,31,94,46,63,172,0,125,500,78,63,78,2
78,31,156,62,109,0,0,94,109,63,94,141,0,15,93,32,78,78,93,2
