dtfk1,ft1,ft2,dtfk3,dtfk4,dtsk4,dtfk5,ft5,dtsk5,dtfk6,dtfk7,dtsk7,dtfk8,ft8,ft9,dtfk10,dtsk10,dtfk11,dtfk12,ft12,dtsk12,dtfk14,ft14,dtsk14,gender
156,47,94,79,94,94,94,78,94,31,47,78,78,110,94,109,94,94,78,594,125,93,47,78,1
125,157,141,93,141,390,390,63,110,15,15,219,109,109,94,46,985,203,47,172,359,78,110,109,1
38,129,47,594,172,31,0,15,187,985,94,125,94,94,78,94,109,16,157,282,15,156,313,391,1
16,125,141,219,141,390,0,46,140,31,141,94,94,125,109,46,985,203,47,172,359,78,110,109,1
94,296,31,141,94,156,156,63,93,93,109,110,94,141,78,78,234,234,109,94,63,94,203,140,1
78,94,63,128,94,62,0,78,125,234,94,62,641,78,62,78,78,156,141,78,140,78,63,109,1
125,93,62,110,94,156,125,62,94,93,125,109,94,110,94,78,234,234,109,94,63,94,203,140,1
141,16,172,94,62,110,110,15,110,78,78,79,125,204,47,297,235,297,93,282,109,93,32,109,1
93,32,31,93,94,94,125,15,141,235,16,344,125,125,157,78,94,172,78,141,15,94,62,94,1
234,141,16,79,62,110,0,15,109,16,125,109,94,156,1313,297,235,297,93,282,109,93,32,109,1
62,32,234,78,63,109,109,16,62,31,46,63,63,93,78,94,94,109,94,47,125,62,32,78,1
63,15,16,79,78,31,0,15,62,94,78,15,93,110,62,78,62,94,109,78,110,63,47,94,1
78,63,203,63,63,109,125,16,63,16,62,79,78,125,62,94,94,109,94,47,125,62,32,78,1
141,15,121,102,118,91,91,259,144,63,31,16,125,125,125,156,78,110,110,343,125,94,15,125,1
109,188,78,16,110,63,78,172,94,78,219,110,16,94,125,79,93,94,125,125,250,156,15,109,1
125,15,78,16,118,91,94,223,125,16,156,78,171,125,110,156,78,110,110,343,125,94,15,125,1
94,31,94,78,94,63,63,62,63,78,62,46,31,93,78,78,79,63,78,16,62,15,47,16,1
78,16,94,156,78,62,515,63,78,79,78,79,15,47,63,63,125,78,109,172,15,109,16,79,1
140,31,78,46,94,63,94,62,79,31,110,16,110,78,109,78,79,63,78,16,62,15,47,16,1
125,62,125,63,109,78,78,125,47,78,46,63,125,78,172,265,78,141,62,32,109,78,15,63,1
172,16,31,62,94,94,78,125,203,78,172,41,63,141,109,31,79,156,126,46,219,78,47,46,1
94,31,62,63,109,78,62,125,110,78,32,62,94,62,94,265,78,141,62,32,109,78,15,63,1
78,62,125,78,78,141,141,16,125,110,78,94,109,110,16,47,94,94,187,16,94,79,78,62,1
203,31,125,32,78,62,172,15,94,94,109,109,78,94,79,63,79,78,110,93,32,94,31,63,1
78,47,125,94,78,141,125,109,125,47,94,63,63,93,62,47,94,94,187,16,94,79,78,62,1
62,32,125,47,63,62,62,141,62,63,62,78,78,110,140,78,79,79,63,15,78,78,16,62,1
78,47,110,78,62,93,78,157,62,79,94,47,78,156,62,47,47,109,125,47,78,63,47,78,1
63,125,94,78,63,62,63,140,78,46,78,63,63,78,171,78,79,79,63,15,78,78,16,62,1
94,141,157,47,78,328,328,62,172,157,47,125,422,47,94,62,344,140,47,125,78,78,31,94,1
313,109,47,141,46,31,0,62,172,344,140,62,359,515,188,62,78,16,94,78,62,62,281,79,1
78,78,47,125,78,328,0,63,172,47,109,62,94,125,47,62,344,140,47,125,78,78,31,94,1
93,282,94,78,78,94,94,47,94,63,63,47,79,109,156,78,78,63,78,828,78,63,219,78,1
63,297,141,78,62,62,93,63,109,78,78,78,93,47,62,62,62,78,94,62,344,78,204,62,1
62,797,94,47,78,94,141,203,109,219,78,47,62,78,141,78,78,63,78,828,78,63,219,78,1
93,32,63,94,62,250,250,63,63,78,125,0,187,266,204,78,63,125,109,32,93,93,78,63,1
78,16,47,62,78,78,125,16,63,63,78,47,62,516,266,63,63,125,94,93,547,62,16,78,1
31,172,93,0,62,250,844,938,31,16,109,78,94,78,1203,78,63,125,109,32,93,93,78,63,1
156,0,16,93,109,171,171,16,109,47,63,63,156,78,109,31,375,156,63,16,78,78,31,125,1
62,16,141,63,94,47,110,31,109,375,94,47,93,16,94,63,78,78,16,109,0,94,15,94,1
47,31,16,63,109,171,94,31,125,15,62,109,125,0,94,31,375,156,63,16,78,78,31,125,1
125,15,78,78,93,78,78,203,63,63,141,78,78,94,0,141,63,94,93,16,78,93,32,62,1
187,16,125,94,78,63,0,0,94,63,94,78,93,94,125,234,110,110,94,93,32,94,31,78,1
78,31,109,78,93,78,94,171,63,15,109,62,79,110,93,141,63,94,93,16,78,93,32,62,1
125,172,203,109,109,78,78,110,78,78,125,63,62,125,172,94,110,47,94,265,94,93,94,78,1
110,359,62,78,78,93,94,78,78,110,62,63,109,141,94,93,63,78,156,94,140,110,125,93,1
94,313,109,63,109,78,93,250,94,78,94,78,109,94,188,94,110,47,94,265,94,93,94,78,1
63,94,125,47,63,156,156,31,63,63,78,78,141,47,63,78,73,78,79,15,110,62,31,63,1
62,16,140,63,47,47,0,594,656,73,62,78,78,78,109,62,63,140,47,110,62,63,31,78,1
78,31,94,78,63,156,0,16,94,62,94,63,78,703,891,78,73,78,79,15,110,62,31,63,1
109,16,47,109,47,438,438,31,46,94,78,94,110,140,32,94,78,109,109,16,78,78,0,94,1
94,0,63,78,78,78,0,32,46,78,31,15,63,109,125,63,78,125,687,94,78,78,31,94,1
78,109,31,94,47,438,0,31,94,78,110,94,0,94,844,94,78,109,109,16,78,78,0,94,1
125,31,46,125,93,594,594,47,140,94,78,62,125,109,16,47,78,47,125,16,93,78,32,93,1
93,16,31,78,109,78,125,31,141,78,32,0,78,110,0,62,62,125,172,78,94,94,47,93,1
156,16,47,62,93,594,234,16,109,94,125,94,109,94,1078,47,78,47,125,16,93,78,32,93,1
62,63,110,47,31,63,63,171,79,63,62,78,78,78,156,63,93,78,78,172,78,46,79,78,1
172,15,94,78,79,47,47,31,94,93,78,63,78,63,63,62,63,78,125,62,47,62,63,78,1
62,0,78,78,31,63,46,47,94,94,62,62,62,79,141,63,93,78,78,172,78,46,79,78,1
93,547,16,172,79,225,225,40,110,63,63,78,15,140,93,47,109,78,47,15,62,94,47,94,1
78,16,47,109,78,62,609,734,0,109,79,32,109,47,94,78,78,79,110,94,78,15,62,47,1
78,78,63,78,79,225,0,47,141,93,94,172,47,109,78,47,109,78,47,15,62,94,47,94,1
63,15,93,63,93,140,140,188,109,31,63,94,78,125,109,47,141,78,47,78,62,93,63,62,1
62,78,93,94,79,78,125,207,109,141,94,47,94,94,63,47,63,78,93,110,78,94,31,94,1
62,31,109,94,93,140,47,687,94,78,125,78,63,766,125,47,141,78,47,78,62,93,63,62,1
78,47,78,78,40,380,380,47,125,79,47,62,94,94,78,47,63,125,47,15,78,62,16,78,1
62,31,110,78,78,78,0,47,125,63,62,32,78,94,31,63,63,312,62,94,141,78,31,79,1
63,0,125,62,40,380,125,140,94,63,62,32,76,922,891,47,63,125,47,15,78,62,16,78,1
78,94,109,78,78,79,79,250,93,62,47,62,62,125,156,125,63,63,63,125,62,62,110,78,1
63,47,109,63,63,62,94,125,125,63,78,63,78,125,47,62,63,78,110,62,78,63,47,78,1
63,78,125,62,78,79,78,172,125,62,63,83,47,78,187,125,63,63,63,125,62,62,110,78,1
126,31,94,78,109,172,172,31,156,110,94,93,109,109,47,0,453,140,32,46,79,78,32,78,1
125,46,172,109,125,78,110,125,156,453,31,31,94,125,141,93,78,829,109,78,110,157,31,109,1
141,0,109,93,109,172,172,93,157,31,94,94,94,141,875,0,453,140,32,46,79,78,32,78,1
62,78,62,78,63,62,62,94,94,62,78,94,93,94,547,32,110,78,141,0,78,78,62,63,1
94,0,156,47,78,52,78,94,188,110,63,31,47,297,110,78,63,62,141,94,15,78,47,78,1
94,47,110,94,63,62,79,78,78,16,94,78,109,62,62,32,110,78,141,0,78,78,62,63,1
125,16,109,78,93,78,78,31,94,94,110,78,109,31,110,78,62,78,93,125,110,78,32,125,1
156,16,63,109,78,78,0,31,109,62,156,125,78,141,156,78,63,62,125,94,235,62,235,125,1
109,31,110,78,93,78,0,0,94,0,156,94,78,78,62,78,62,78,93,125,110,78,32,125,1
125,16,15,125,47,203,203,47,62,31,31,31,47,297,0,16,94,157,31,31,47,78,16,62,1
47,78,62,31,344,0,1469,140,31,94,0,156,125,32,32,78,78,0,78,156,16,63,31,94,1
16,79,47,31,47,203,141,15,125,125,125,109,78,0,110,16,94,157,31,31,47,78,16,62,1
141,62,250,94,78,78,78,249,88,78,78,407,78,94,531,234,93,94,78,47,109,78,109,94,1
109,63,93,109,62,78,62,204,78,93,78,78,109,125,78,281,93,94,213,94,110,94,125,93,1
110,0,110,407,78,78,1109,63,250,32,94,78,78,88,250,234,93,94,78,47,109,78,109,94,1
156,47,62,140,78,110,110,15,110,31,78,110,94,62,578,63,79,63,63,31,63,46,109,78,1
15,63,79,93,15,31,141,0,94,79,16,48,46,32,140,31,63,16,31,109,31,16,109,16,1
63,15,328,110,78,110,438,125,31,93,625,79,93,0,62,63,79,63,63,31,63,46,109,78,1
156,16,109,109,187,157,157,156,94,109,110,93,218,16,110,94,63,94,47,157,171,141,15,94,1
125,110,16,94,78,47,172,0,172,63,125,110,297,47,156,93,62,16,47,172,78,125,63,93,1
250,110,16,93,187,157,94,156,110,94,141,78,110,0,125,94,63,94,47,157,171,141,15,94,1
125,93,94,94,94,125,125,78,125,94,109,93,78,157,109,94,94,125,109,110,93,109,62,79,1
141,78,125,94,94,109,109,32,171,94,110,94,109,125,125,47,78,156,187,94,453,109,94,94,1
109,16,31,93,94,125,125,47,141,47,125,78,110,94,94,94,94,125,109,110,93,109,62,79,1
78,63,78,63,78,94,94,219,98,78,78,63,94,109,94,93,78,78,94,46,63,110,62,94,1
109,32,109,62,94,78,94,187,78,78,110,63,94,125,78,78,47,94,125,63,109,78,109,63,1
78,78,110,63,78,94,110,234,78,15,93,63,94,78,125,93,78,78,94,46,63,110,62,94,1
93,47,93,171,94,156,156,32,140,172,94,109,141,93,47,15,94,250,125,16,114,125,0,109,1
94,16,140,110,125,63,110,78,187,94,62,78,94,94,140,62,93,125,110,93,110,78,0,125,1
250,0,63,109,94,156,125,79,140,16,141,94,94,109,125,15,94,250,125,16,114,125,0,109,1
125,15,94,78,78,141,141,62,125,78,78,78,140,47,32,47,63,62,109,78,16,110,62,156,1
78,15,109,125,78,63,0,15,125,63,78,0,172,47,93,78,63,78,31,109,187,94,31,78,1
78,31,93,78,78,141,187,0,94,94,140,62,78,0,94,47,63,62,109,78,16,110,62,156,1
93,47,141,109,297,203,203,15,137,78,125,94,78,109,188,157,125,94,141,94,78,109,31,110,1
172,16,0,94,93,78,156,16,137,125,109,94,94,94,141,110,79,109,375,78,109,78,15,78,1
62,110,219,94,297,203,0,47,140,32,47,172,78,94,78,157,125,94,141,94,78,109,31,110,1
94,78,94,109,110,203,203,78,109,78,125,110,110,93,343,156,125,109,109,110,93,94,47,78,1
500,15,16,109,125,62,0,15,109,125,46,78,110,94,266,79,94,78,94,94,172,78,31,94,1
93,375,109,110,110,203,0,47,125,78,141,110,78,109,1114,156,125,109,109,110,93,94,47,78,1
156,47,63,141,109,78,78,32,31,47,15,31,78,78,125,94,62,47,62,47,63,0,78,16,1
78,156,125,47,31,16,531,625,31,62,47,31,31,47,78,31,62,94,47,109,31,31,62,0,1
78,156,47,31,109,78,671,193,31,15,78,93,16,0,937,94,62,47,62,47,63,0,78,16,1
110,15,63,141,110,125,125,31,125,125,63,203,203,32,109,125,93,47,31,16,63,15,93,47,1
47,31,547,94,16,94,0,0,125,93,0,46,16,47,203,47,79,0,1000,78,156,0,63,93,1
32,62,63,203,110,125,657,720,15,63,250,453,94,78,781,125,93,47,31,16,63,15,93,47,1
94,62,125,63,63,78,78,31,78,62,78,62,63,203,125,40,106,47,63,94,62,78,79,62,1
78,47,125,63,79,63,78,250,47,106,94,63,78,125,76,47,31,78,101,176,13,62,141,62,1
63,62,126,62,63,78,62,188,78,27,78,63,74,67,63,40,106,47,63,94,62,78,79,62,1
78,78,78,109,109,109,109,31,78,63,47,78,110,156,16,141,109,140,109,203,63,63,16,62,2
78,47,47,93,125,62,0,31,141,109,94,32,78,187,203,78,63,109,125,63,94,78,16,78,2
78,16,31,78,109,109,0,16,94,93,125,109,63,78,156,141,109,140,109,203,63,63,16,62,2
375,16,94,62,94,250,250,31,141,47,109,94,109,78,157,156,62,94,109,47,78,93,47,110,2
94,31,31,63,47,62,0,32,141,62,47,156,78,125,219,63,63,79,94,62,266,110,31,78,2
171,63,63,94,94,250,62,94,94,32,63,62,109,78,1047,156,62,94,109,47,78,93,47,110,2
109,47,31,78,94,250,250,47,47,94,62,62,47,31,31,63,78,32,16,78,16,63,31,78,2
63,15,62,94,78,16,0,47,47,78,47,16,94,31,31,15,78,31,968,63,125,63,31,110,2
32,93,188,62,94,250,906,1000,47,78,94,78,91,875,797,63,78,32,16,78,16,63,31,78,2
62,16,16,62,78,109,109,31,63,32,62,78,62,110,47,16,359,218,16,47,62,47,46,63,2
47,359,15,63,62,47,0,15,94,359,31,16,62,94,93,62,94,94,94,156,16,63,47,47,2
63,78,203,78,78,109,0,31,94,59,125,78,62,78,766,16,359,218,16,47,62,47,46,63,2
172,437,94,78,94,140,140,31,62,94,93,94,94,110,125,125,109,62,78,94,109,78,78,62,2
219,15,16,94,94,78,0,16,62,109,31,125,94,203,46,78,63,94,109,78,78,78,63,78,2
140,110,31,94,94,140,109,16,78,63,109,78,62,79,63,125,109,62,78,94,109,78,78,62,2
57,4369,168,69,90,80,80,442,110,65,89,79,79,96,297,47,78,69,63,78,109,33,69,61,2
192,4,80,98,78,78,70,411,65,78,89,81,94,94,94,58,150,78,141,62,141,78,63,78,2
74,6,136,79,90,80,73,185,103,109,11,31,47,94,258,47,78,69,63,78,109,33,69,61,2
110,156,31,94,109,172,172,47,109,63,79,78,109,156,109,110,78,156,78,47,125,78,78,125,2
94,15,125,78,156,78,0,31,109,78,109,15,110,109,78,78,63,110,109,94,62,109,172,125,2
187,78,15,78,109,172,0,15,109,47,93,94,141,125,94,110,78,156,78,47,125,78,78,125,2
93,32,47,63,93,187,187,0,78,93,63,78,78,94,110,16,78,94,63,15,78,109,16,93,2
125,32,125,94,62,62,110,31,78,78,47,20,94,47,78,47,63,94,109,172,15,63,46,125,2
78,78,32,78,93,187,109,47,63,16,63,78,94,47,94,16,78,94,63,15,78,109,16,93,2
62,141,109,63,78,62,62,31,47,46,63,47,94,109,109,547,1015,79,63,203,62,47,47,78,2
62,78,125,47,62,78,63,94,78,1015,79,62,63,109,94,31,62,93,188,62,485,63,62,63,2
31,109,125,47,78,62,47,78,109,79,94,47,63,94,171,547,1015,79,63,203,62,47,47,78,2
109,125,79,78,125,109,109,47,125,78,94,94,94,78,47,63,109,78,94,47,78,79,31,78,2
94,16,15,78,94,110,78,78,187,109,16,47,109,78,93,78,78,109,94,94,62,78,31,94,2
125,0,78,94,125,109,93,78,110,78,94,78,94,93,984,63,109,78,94,47,78,79,31,78,2
93,47,47,110,94,79,79,31,140,47,78,46,110,78,78,31,79,125,110,15,94,94,16,78,2
94,16,62,62,78,78,98,59,124,79,62,31,94,62,94,63,93,79,78,78,0,93,32,62,2
79,31,156,46,94,79,94,31,125,62,78,94,78,78,94,31,79,125,110,15,94,94,16,78,2
94,31,125,79,79,140,140,47,90,78,109,62,110,93,46,47,78,94,78,0,78,94,16,78,2
94,0,62,62,78,94,0,16,93,78,31,16,78,63,125,63,78,78,94,78,31,62,16,94,2
62,16,94,62,79,140,0,63,125,0,62,78,109,78,94,47,78,94,78,0,78,94,16,78,2
63,343,219,46,47,78,78,125,79,47,62,62,156,156,157,94,156,63,110,234,31,62,31,47,2
63,0,47,47,93,63,125,62,141,156,110,47,78,125,63,32,47,62,140,63,94,47,47,62,2
203,47,203,62,47,78,79,46,110,78,62,62,47,63,62,94,156,63,110,234,31,62,31,47,2
140,31,31,109,94,172,172,15,100,78,94,63,94,109,16,78,62,141,110,109,94,94,47,62,2
125,32,16,94,93,78,94,46,110,62,16,16,94,109,62,47,46,109,110,78,47,78,62,79,2
31,109,31,63,94,172,78,94,125,141,79,94,516,94,968,78,62,141,110,109,94,94,47,62,2
63,78,94,62,62,78,78,62,79,62,63,62,78,94,63,109,94,78,63,78,62,63,47,62,2
78,62,109,62,63,63,63,125,62,94,78,47,63,125,157,62,63,78,79,93,78,78,62,63,2
94,78,109,62,62,78,47,125,63,0,62,63,78,843,63,109,94,78,63,78,62,63,47,62,2
109,47,47,31,78,125,125,47,47,110,93,78,78,16,78,15,78,47,16,110,62,78,0,31,2
47,16,78,78,16,32,484,500,47,78,609,16,16,63,31,31,78,31,78,109,62,16,94,16,2
94,156,78,78,78,125,0,47,62,78,31,94,78,0,547,15,78,47,16,110,62,78,0,31,2
94,32,703,78,62,78,78,172,62,63,79,93,94,109,141,141,79,79,78,63,93,62,31,79,2
94,16,110,78,93,94,109,157,78,79,125,94,110,93,125,94,78,78,141,78,94,78,94,94,2
110,78,125,93,62,78,47,156,94,62,140,78,79,78,32,141,79,79,78,63,93,62,31,79,2
94,109,141,63,63,78,78,187,63,63,63,47,63,109,47,156,109,78,78,188,78,47,78,63,2
94,47,125,78,62,62,63,62,78,109,62,78,78,125,78,63,78,63,156,62,125,63,62,47,2
63,62,125,47,63,78,63,140,47,63,63,78,62,78,94,156,109,78,78,188,78,47,78,63,2
78,47,62,125,156,78,78,78,180,78,63,78,266,47,16,78,62,31,46,93,0,78,31,63,2
94,15,47,125,15,47,141,47,187,62,62,31,156,63,20,94,63,15,1390,63,141,93,0,63,2
47,47,94,78,156,78,0,15,172,94,125,94,31,1312,1094,78,62,31,46,93,0,78,31,63,2
62,79,78,94,78,109,109,31,125,63,94,31,110,125,93,63,94,141,15,93,32,78,32,93,2
78,125,109,94,47,31,110,31,125,94,78,31,156,15,94,94,46,63,0,125,500,63,93,78,2
78,31,46,31,78,109,0,0,94,0,78,109,63,109,78,63,94,141,15,93,32,78,32,93,2
