dtfk1,dtsk1,ft2,dtsk2,dtfk3,dtsk3,ft4,dtsk4,ft5,ft6,dtsk6,dtfk7,dtsk7,dtsk8,dtfk10,dtsk10,dtfk11,ft12,dtsk12,dtfk13,dtsk13,dtfk14,ft14,gender
110,15,125,94,63,16,78,94,625,141,47,62,15,31,62,62,78,47,125,15,15,78,16,1
31,15,141,15,16,31,16,94,656,31,47,31,16,671,15,78,16,31,78,78,109,16,110,1
62,125,31,94,94,62,16,125,32,31,62,78,62,78,15,78,94,16,94,16,31,94,15,1
62,78,16,78,62,110,32,62,16,140,32,31,16,78,46,47,94,109,94,391,15,62,32,1
16,391,172,31,62,62,16,125,16,16,62,94,93,78,15,78,94,16,94,62,62,94,15,1
94,110,109,109,109,78,63,78,94,94,110,78,62,93,31,93,94,31,109,94,78,78,16,1
110,78,78,47,93,78,31,78,141,63,109,109,94,110,62,79,75,93,47,62,78,93,16,1
109,62,94,78,62,94,63,78,78,93,110,109,62,78,31,93,94,31,109,109,78,78,16,1
78,157,171,63,63,62,62,156,32,16,94,78,78,78,219,78,31,94,484,62,78,78,32,1
94,94,31,78,79,109,63,31,15,78,157,63,62,31,78,78,15,78,62,93,78,31,78,1
94,93,94,94,78,79,62,156,47,113,16,62,78,125,219,78,31,94,484,47,31,78,32,1
47,63,125,47,47,16,63,78,156,31,78,62,78,62,47,93,172,16,125,110,93,63,15,1
78,110,15,94,94,47,15,79,16,79,15,110,110,47,78,78,78,94,16,32,47,47,31,1
16,32,31,78,78,63,63,78,16,16,94,78,78,93,47,93,172,16,125,94,93,63,15,1
47,125,500,94,94,78,156,235,31,188,250,78,63,125,156,110,156,125,62,63,265,62,16,1
250,125,15,94,94,62,15,78,125,62,141,16,63,125,79,62,203,141,343,156,93,62,32,1
78,156,141,46,63,94,156,235,46,85,43,78,93,31,156,110,156,125,62,93,78,62,16,1
78,94,110,78,78,63,62,94,141,32,110,62,94,78,31,62,78,156,110,32,78,94,31,1
110,78,79,78,78,78,47,62,109,63,62,203,32,78,47,62,156,94,156,62,78,125,16,1
94,62,63,93,94,63,62,94,94,109,16,32,93,78,31,62,78,156,110,94,63,94,31,1
109,109,79,94,94,93,32,110,62,62,63,78,63,62,656,63,32,782,15,47,16,15,62,1
63,78,93,32,93,32,15,62,703,62,141,47,47,62,78,141,110,62,32,15,15,15,62,1
94,15,63,94,63,78,32,110,15,31,16,703,47,832,656,63,32,782,15,31,16,15,62,1
78,93,79,78,78,63,15,78,94,109,94,63,78,47,31,62,63,0,94,15,469,110,15,1
94,94,156,62,204,78,15,93,125,47,94,79,15,78,63,62,63,93,32,78,78,94,31,1
94,78,125,47,78,78,15,78,125,62,94,141,62,78,31,62,63,0,94,78,109,110,15,1
93,94,94,78,78,94,78,125,94,141,250,125,172,110,94,78,94,78,78,94,109,78,78,1
250,125,15,110,110,78,16,78,62,78,94,141,94,110,172,79,265,109,16,94,62,109,813,1
140,94,110,93,172,78,78,125,93,141,93,94,78,156,94,78,94,78,78,125,110,78,78,1
562,78,110,78,78,94,0,94,109,157,93,78,79,93,109,94,94,594,125,78,78,93,47,1
93,78,16,78,109,62,78,78,78,78,94,78,78,94,63,109,94,78,63,78,78,78,47,1
156,78,94,94,79,93,0,94,78,94,47,47,78,109,109,94,94,594,125,94,94,93,47,1
125,109,141,93,93,141,265,390,63,78,38,15,219,94,46,985,203,172,359,125,141,78,110,1
38,297,47,109,594,15,250,31,15,94,140,94,125,62,94,109,16,282,15,344,16,156,313,1
16,344,141,78,219,15,265,390,46,125,31,141,94,157,46,985,203,172,359,391,109,78,110,1
94,110,31,141,141,94,78,156,63,63,78,109,110,109,78,234,234,94,63,62,94,94,203,1
78,94,63,156,128,93,16,62,78,78,94,94,62,108,78,78,156,78,140,32,47,78,63,1
125,32,62,94,110,94,78,156,62,94,94,125,109,141,78,234,234,94,63,109,63,94,203,1
141,93,172,94,94,62,391,110,15,235,93,78,79,109,297,235,297,282,109,344,360,93,32,1
93,93,31,125,93,78,47,94,15,78,250,16,344,125,78,94,172,141,15,62,344,94,62,1
234,62,16,94,79,94,391,110,15,63,218,125,109,78,297,235,297,282,109,94,266,93,32,1
62,109,234,78,78,63,15,109,16,141,63,46,63,78,94,94,109,47,125,15,47,62,32,1
63,94,16,78,79,31,63,31,15,78,78,78,15,62,78,62,94,78,110,62,63,63,47,1
78,62,203,16,63,47,15,109,16,31,94,62,79,109,94,94,109,47,125,94,47,62,32,1
141,82,121,102,102,118,53,91,259,62,109,31,16,93,156,78,110,343,125,110,125,94,15,1
109,62,78,94,16,63,15,63,172,78,157,219,110,109,79,93,94,125,250,110,109,156,15,1
125,110,78,109,16,532,53,91,223,93,110,156,78,125,156,78,110,343,125,109,125,94,15,1
94,78,94,78,78,94,15,63,62,94,78,62,46,94,78,79,63,16,62,79,47,15,47,1
78,62,94,125,156,78,79,62,63,62,78,78,79,172,63,125,78,172,15,63,78,109,16,1
140,63,78,78,46,78,15,63,62,63,109,110,16,109,78,79,63,16,62,79,62,15,47,1
125,94,125,63,63,109,63,78,125,109,172,46,63,63,265,78,141,32,109,41,78,78,15,1
172,78,31,63,62,78,31,94,125,93,110,172,41,46,31,79,156,46,219,47,62,78,47,1
94,47,62,78,63,94,63,78,125,47,63,32,62,126,265,78,141,32,109,46,94,78,15,1
78,110,125,78,78,78,156,141,16,125,203,78,94,78,47,94,94,16,94,109,109,79,78,1
203,125,125,94,32,110,16,62,15,62,125,109,109,78,63,79,78,93,32,78,93,94,31,1
78,78,125,110,94,78,156,141,109,78,109,94,63,110,47,94,94,16,94,63,47,79,78,1
62,78,125,47,47,63,47,62,141,125,78,62,78,78,78,79,79,15,78,47,63,78,16,1
78,62,110,94,78,63,32,93,157,62,125,94,47,94,47,47,109,47,78,47,62,63,47,1
63,47,94,62,78,62,47,62,140,47,141,78,63,125,78,79,79,15,78,78,63,78,16,1
94,93,157,47,47,78,250,328,62,93,313,47,125,250,62,344,140,125,78,62,125,78,31,1
313,32,47,110,141,157,79,31,62,94,140,140,62,63,62,78,16,78,62,156,78,62,281,1
78,156,47,78,125,15,250,328,63,63,62,109,62,94,62,344,140,125,78,79,109,78,31,1
93,93,94,78,78,78,234,94,47,984,63,63,47,62,78,78,63,828,78,78,78,63,219,1
63,62,141,62,78,63,188,62,63,63,203,78,78,78,62,62,78,62,344,94,79,78,204,1
62,94,94,62,47,62,234,94,203,78,125,78,47,94,78,78,63,828,78,62,63,63,219,1
93,93,63,94,94,62,110,250,63,94,78,125,0,93,78,63,125,32,93,47,78,93,78,1
78,94,47,109,62,78,31,78,16,62,141,78,47,78,63,63,125,93,547,0,31,62,16,1
31,0,93,78,0,78,110,250,938,46,94,109,78,94,78,63,125,32,93,78,187,93,78,1
156,94,16,93,93,109,32,171,16,125,62,63,63,110,31,375,156,16,78,47,16,78,31,1
62,94,141,16,63,47,93,47,31,78,78,94,47,125,63,78,78,109,0,62,62,94,15,1
47,62,16,93,63,78,32,171,31,63,140,62,109,16,31,375,156,16,78,94,78,78,31,1
125,110,78,78,78,93,94,78,203,94,187,141,78,78,141,63,94,16,78,78,78,93,32,1
187,78,125,63,94,63,31,63,0,62,125,94,78,94,234,110,110,93,32,78,62,94,31,1
78,78,109,62,78,78,94,78,171,78,94,109,62,94,141,63,94,16,78,78,78,93,32,1
125,94,203,109,109,109,250,78,110,156,110,125,63,47,94,110,47,265,94,63,78,93,94,1
110,94,62,78,78,78,219,93,78,93,610,62,63,109,93,63,78,94,140,93,94,110,125,1
94,93,109,78,63,94,250,78,250,63,156,94,78,156,94,110,47,265,94,93,63,93,94,1
63,93,125,47,47,63,93,156,31,469,62,78,78,172,78,73,78,15,110,78,47,62,31,1
62,47,140,47,63,63,16,47,594,166,16,62,78,62,62,63,140,110,62,31,63,63,31,1
78,31,94,63,78,62,93,156,16,141,15,94,63,47,78,73,78,15,110,78,78,62,31,1
109,110,47,109,109,47,391,438,31,62,94,78,94,79,94,78,109,16,78,15,31,78,0,1
94,109,63,110,78,94,141,78,32,94,78,31,15,47,63,78,125,94,78,32,31,78,31,1
78,32,31,93,94,78,391,438,31,47,46,110,94,687,94,78,109,16,78,94,63,78,0,1
125,110,46,125,125,93,485,594,47,47,93,78,62,63,47,78,47,16,93,0,62,78,32,1
93,94,31,125,78,94,47,78,31,79,109,32,0,109,62,62,125,78,94,94,63,94,47,1
156,94,47,63,62,94,485,594,16,94,109,125,94,172,47,78,47,16,93,93,94,78,32,1
62,93,110,47,47,31,125,63,171,109,172,62,78,78,63,93,78,172,78,63,63,46,79,1
172,93,94,47,78,63,46,47,31,63,125,78,63,109,62,63,78,62,47,63,31,62,63,1
62,63,78,63,78,62,125,63,47,47,109,62,62,125,63,93,78,172,78,78,32,46,79,1
93,156,16,172,172,79,128,225,40,78,78,63,78,94,47,109,78,15,62,32,16,94,47,1
78,109,47,109,109,63,47,62,734,63,172,79,32,125,78,78,79,94,78,78,63,15,62,1
78,78,63,47,78,78,128,225,47,32,62,94,172,110,47,109,78,15,62,47,47,94,47,1
63,63,93,63,63,93,63,140,188,141,62,63,94,62,47,141,78,78,62,47,47,93,63,1
62,125,93,63,94,31,62,78,207,62,156,94,47,62,47,63,78,110,78,47,62,94,31,1
62,47,109,63,94,78,63,140,687,62,94,125,78,93,47,141,78,78,62,94,62,93,63,1
78,94,78,78,78,40,271,380,47,15,62,47,62,62,47,63,125,15,78,32,31,62,16,1
62,78,110,0,78,79,32,78,47,157,15,62,32,78,63,63,312,94,141,62,62,78,31,1
63,62,125,78,62,94,271,380,140,0,94,62,32,62,47,63,125,15,78,79,156,62,16,1
78,94,109,78,78,78,140,79,250,125,63,47,62,63,125,63,63,125,62,63,62,62,110,1
63,78,109,63,63,62,94,62,125,62,172,78,63,62,62,63,78,62,78,78,46,63,47,1
63,78,125,47,62,47,140,79,172,63,125,63,83,110,125,63,63,125,62,78,47,62,110,1
126,125,94,78,78,109,31,172,31,46,125,94,93,63,0,453,140,46,79,31,78,78,32,1
125,125,172,16,109,110,15,78,125,94,47,31,31,62,93,78,829,78,110,62,94,157,31,1
141,62,109,110,93,78,31,172,93,78,15,94,94,109,0,453,140,46,79,109,110,78,32,1
62,110,62,78,78,63,78,62,94,47,94,78,94,31,32,110,78,0,78,31,46,78,62,1
94,78,156,16,47,62,61,52,94,62,141,63,31,78,78,63,62,94,15,31,94,78,47,1
94,31,110,94,94,47,78,62,78,94,31,94,78,141,32,110,78,0,78,78,78,78,62,1
125,94,109,78,78,93,188,78,31,62,156,110,78,125,78,62,78,125,110,125,125,78,32,1
156,62,63,78,109,94,0,78,31,94,313,156,125,125,78,63,62,94,235,125,94,62,235,1
109,125,110,78,78,109,188,78,0,62,78,156,94,125,78,62,78,125,110,125,109,78,32,1
125,109,15,125,125,47,109,203,47,78,47,31,31,31,16,94,157,31,47,156,62,78,16,1
47,16,62,63,31,31,94,0,140,78,63,0,156,31,78,78,0,156,16,31,15,63,31,1
16,31,47,62,31,62,109,203,15,0,47,125,109,78,16,94,157,31,47,94,62,78,16,1
141,110,250,94,94,78,203,78,249,282,109,78,407,78,234,93,94,47,109,78,109,78,109,1
109,93,93,94,109,78,157,78,204,63,172,78,78,78,281,93,94,94,110,78,78,94,125,1
110,78,110,78,407,78,203,78,63,93,157,94,78,213,234,93,94,47,109,93,78,78,109,1
156,47,62,140,140,78,79,110,15,47,15,78,110,78,63,79,63,31,63,48,84,46,109,1
15,31,79,46,93,31,94,31,0,188,31,16,48,93,31,63,16,109,31,16,0,16,109,1
63,16,328,32,110,16,79,110,125,32,47,625,79,31,63,79,63,31,63,16,15,46,109,1
156,125,109,109,109,187,109,157,156,203,125,110,93,111,94,63,94,157,171,110,161,141,15,1
125,109,16,94,94,109,141,47,0,93,500,125,110,109,93,62,16,172,78,531,516,125,63,1
250,531,16,125,93,125,109,157,156,78,125,141,78,47,94,63,94,157,171,93,109,141,15,1
125,125,94,94,94,94,125,125,78,109,141,109,93,93,94,94,125,110,93,94,109,109,62,1
141,125,125,94,94,94,47,109,32,94,140,110,94,94,47,78,156,94,453,94,125,109,94,1
109,94,31,78,93,109,125,125,47,140,94,125,78,187,94,94,125,110,93,94,141,109,62,1
78,109,78,63,63,78,125,94,219,94,109,78,63,78,93,78,78,46,63,63,78,110,62,1
109,62,109,47,62,78,31,78,187,62,125,110,63,78,78,47,94,63,109,63,93,78,109,1
78,63,110,62,63,94,125,94,234,109,63,93,63,125,93,78,78,46,63,63,94,110,62,1
93,110,93,171,171,94,47,156,32,15,94,94,109,125,15,94,250,16,114,78,16,125,0,1
94,109,140,63,110,172,0,63,78,109,47,62,78,78,62,93,125,93,110,62,16,78,0,1
250,62,63,125,109,78,47,156,79,125,0,141,94,110,15,94,250,16,114,125,109,125,0,1
125,78,94,78,78,78,16,141,62,79,78,78,78,63,47,63,62,78,16,0,15,110,62,1
78,94,109,16,125,78,78,63,15,62,110,78,0,63,78,63,78,109,187,94,94,94,31,1
78,94,93,110,78,94,16,141,0,0,47,140,62,31,47,63,62,78,16,78,78,110,62,1
93,94,141,109,109,297,16,203,15,63,172,125,94,94,157,125,94,94,78,94,125,109,31,1
172,78,0,125,94,78,32,78,16,78,94,109,94,125,110,79,109,78,109,15,0,78,15,1
62,15,219,62,94,125,16,203,47,125,16,47,172,375,157,125,94,94,78,78,141,109,31,1
94,125,94,109,109,110,109,203,78,390,500,125,110,78,156,125,109,110,93,78,78,94,47,1
500,156,16,93,109,78,47,62,15,63,609,46,78,78,79,94,78,94,172,79,78,78,31,1
93,79,109,63,110,93,109,203,47,78,141,141,110,94,156,125,109,110,93,94,203,94,47,1
156,78,63,141,141,109,31,78,32,62,78,15,31,32,94,62,47,47,63,31,0,0,78,1
78,32,125,47,47,47,156,16,625,79,172,47,31,63,31,62,94,109,31,32,31,31,62,1
78,32,47,62,31,47,31,78,193,109,0,78,93,47,94,62,47,47,63,0,78,0,78,1
110,109,63,141,141,110,31,125,31,31,47,63,203,93,125,93,47,16,63,46,16,15,93,1
47,109,547,125,94,125,110,94,0,63,78,0,46,62,47,79,0,78,156,0,15,0,63,1
32,0,63,47,203,16,31,125,720,47,125,250,453,1000,125,93,47,16,63,93,219,15,93,1
94,62,125,63,63,63,172,78,31,141,78,78,62,47,40,106,47,94,62,63,62,78,79,1
78,62,125,46,63,62,62,63,250,67,91,94,63,47,47,31,78,176,13,63,62,62,141,1
63,63,126,46,62,94,172,78,188,86,115,78,63,101,40,106,47,94,62,62,235,78,79,1
78,110,78,109,109,109,79,109,31,125,78,47,78,62,141,109,140,203,63,32,109,63,16,2
78,78,47,94,93,63,63,62,31,47,203,94,32,63,78,63,109,63,94,78,110,78,16,2
78,78,31,125,78,62,79,109,16,251,62,125,109,125,141,109,140,203,63,78,78,63,16,2
375,78,94,62,62,94,156,250,31,125,94,109,94,141,156,62,94,47,78,156,109,93,47,2
94,78,31,110,63,47,47,62,32,94,16,47,156,110,63,63,79,62,266,16,31,110,31,2
171,16,63,31,94,125,156,250,94,46,172,63,62,94,156,62,94,47,78,78,172,93,47,2
109,172,31,78,78,94,141,250,47,15,63,62,62,47,63,78,32,78,16,16,47,63,31,2
63,109,62,109,94,94,172,16,47,172,47,47,16,49,15,78,31,63,125,16,16,63,31,2
32,16,188,62,62,78,141,250,1000,31,141,94,78,968,63,78,32,78,16,110,93,63,31,2
62,109,16,62,62,78,31,109,31,140,47,62,78,94,16,359,218,47,62,16,16,47,46,2
47,94,15,47,63,32,16,47,15,78,47,31,16,78,62,94,94,156,16,16,15,63,47,2
63,16,203,16,78,79,31,109,31,32,79,125,78,94,16,359,218,47,62,47,94,47,46,2
172,94,94,78,78,94,31,140,31,141,219,93,94,78,125,109,62,94,109,125,94,78,78,2
219,94,16,78,94,94,62,78,16,62,110,31,125,78,78,63,94,78,78,16,46,78,63,2
140,16,31,63,94,78,31,140,16,78,94,109,78,109,125,109,62,94,109,78,78,78,78,2
57,113,168,69,69,90,63,80,442,101,192,89,79,80,47,78,69,78,109,81,78,33,69,2
192,79,80,72,98,65,31,78,411,94,187,89,81,78,58,150,78,62,141,79,85,78,63,2
74,79,136,79,79,104,63,80,185,31,172,11,31,141,47,78,69,78,109,78,94,33,69,2
110,125,31,94,94,109,63,172,47,78,94,79,78,94,110,78,156,47,125,15,78,78,78,2
94,94,125,78,78,63,16,78,31,94,62,109,15,94,78,63,110,94,62,410,62,109,172,2
187,410,15,94,78,78,63,172,15,93,141,93,94,109,110,78,156,47,125,125,109,78,78,2
93,125,47,63,63,93,32,187,0,47,125,63,78,94,16,78,94,15,78,20,78,109,16,2
125,94,125,32,94,93,16,62,31,78,78,47,20,156,47,63,94,172,15,32,421,63,46,2
78,32,32,78,78,93,32,187,47,94,94,63,78,109,16,78,94,15,78,125,125,109,16,2
62,78,109,63,63,78,219,62,31,157,62,63,47,63,547,1015,79,203,62,62,46,47,47,2
62,63,125,47,47,46,63,78,94,78,125,79,62,63,31,62,93,62,485,47,63,63,62,2
31,47,125,78,47,62,219,62,78,62,125,94,47,188,547,1015,79,203,62,63,78,47,47,2
109,109,79,78,78,125,63,109,47,109,94,94,94,110,63,109,78,47,78,47,63,79,31,2
94,78,15,78,78,78,31,110,78,79,46,16,47,94,78,78,109,94,62,78,94,78,31,2
125,78,78,94,94,94,63,109,78,78,63,94,78,94,63,109,78,47,78,94,141,79,31,2
93,125,47,110,110,94,31,79,31,109,94,78,46,78,31,79,125,15,94,31,16,94,16,2
94,62,62,125,62,47,32,78,59,62,125,62,31,94,63,93,79,78,0,62,93,93,32,2
79,62,156,344,46,62,31,79,31,16,62,78,94,78,31,79,125,15,94,62,78,94,16,2
94,78,125,79,79,79,15,140,47,62,94,109,62,47,47,78,94,0,78,16,0,94,16,2
94,63,62,94,62,78,32,94,16,172,31,31,16,78,63,78,78,78,31,78,79,62,16,2
62,78,94,63,62,78,15,140,63,63,31,62,78,94,47,78,94,0,78,94,110,94,16,2
63,63,219,46,46,47,62,78,125,156,63,62,62,94,94,156,63,234,31,47,110,62,31,2
63,78,47,47,47,47,47,63,62,47,141,110,47,63,32,47,62,63,94,16,47,47,47,2
203,16,203,16,62,47,62,78,46,47,156,62,62,140,94,156,63,234,31,62,63,62,31,2
140,141,31,109,109,94,62,172,15,62,125,94,63,78,78,62,141,109,94,16,32,94,47,2
125,110,16,78,94,78,32,78,46,141,62,16,16,63,47,46,109,78,47,16,47,78,62,2
31,16,31,94,63,94,62,172,94,0,78,79,94,110,78,62,141,109,94,79,94,94,47,2
63,78,94,62,62,62,63,78,62,94,78,63,62,62,109,94,78,78,62,47,78,63,47,2
78,79,109,63,62,62,78,63,125,188,15,78,47,62,62,63,78,93,78,78,62,78,62,2
94,78,109,63,62,78,63,78,125,93,94,62,63,79,109,94,78,78,62,63,125,63,47,2
109,63,47,31,31,78,47,125,47,62,47,93,78,78,15,78,47,110,62,16,94,78,0,2
47,78,78,78,78,110,93,32,500,94,0,609,16,31,31,78,31,109,62,0,16,16,94,2
94,0,78,47,78,110,47,125,47,31,110,31,94,78,15,78,47,110,62,16,78,78,0,2
94,109,703,78,78,62,157,78,172,93,94,79,93,63,141,79,79,63,93,94,94,62,31,2
94,93,110,62,78,63,0,94,157,78,93,125,94,94,94,78,78,78,94,78,78,78,94,2
110,78,125,63,93,78,157,78,156,172,15,140,78,141,141,79,79,63,93,94,94,62,31,2
94,62,141,63,63,63,94,78,187,140,94,63,47,63,156,109,78,188,78,78,78,47,78,2
94,63,125,62,78,63,63,62,62,63,172,62,78,63,63,78,63,62,125,63,62,63,62,2
63,63,125,47,47,63,94,78,140,62,110,63,78,156,156,109,78,188,78,47,94,47,78,2
78,157,62,125,125,156,0,78,78,109,94,63,78,62,78,62,31,93,0,31,47,78,31,2
94,94,47,94,125,78,78,47,47,94,219,62,31,70,94,63,15,63,141,16,94,93,0,2
47,16,94,0,78,94,0,78,15,15,110,125,94,1390,78,62,31,93,0,63,156,78,31,2
62,109,78,94,94,78,62,109,31,125,78,94,31,109,63,94,141,93,32,31,63,78,32,2
78,93,109,16,94,63,78,31,31,78,109,78,31,111,94,46,63,125,500,78,94,63,93,2
78,78,46,94,31,156,62,109,0,187,120,78,109,0,63,94,141,93,32,78,78,78,32,2
