ft1,dtsk2,dtfk3,ft3,dtfk4,ft4,dtsk4,dtfk5,dtsk5,dtfk6,ft7,dtsk7,ft8,dtfk10,ft10,dtsk10,dtfk11,ft11,ft12,dtfk14,dtsk14,gender
31,78,79,15,250,63,31,0,79,78,31,62,141,78,47,78,15,94,78,31,47,1
16,94,78,93,62,62,156,0,141,19,32,78,63,219,78,78,31,141,94,78,93,1
93,47,47,31,16,63,78,78,31,47,63,78,94,47,47,93,172,15,16,63,79,1
32,94,94,31,110,15,79,0,78,93,15,110,110,78,79,78,78,15,94,47,94,1
62,78,78,15,16,63,78,125,125,94,16,78,94,47,47,93,172,15,16,63,79,1
281,94,94,78,78,156,235,235,94,62,47,63,157,156,94,110,156,47,125,62,94,1
16,94,94,63,78,15,78,94,109,110,109,63,47,79,78,62,203,31,141,62,93,1
47,46,63,15,78,156,235,0,109,62,110,93,0,156,94,110,156,47,125,62,94,1
187,78,78,15,63,62,94,94,78,78,16,94,157,31,94,62,78,47,156,94,78,1
15,78,78,31,47,47,62,94,79,62,265,32,78,47,110,62,156,63,94,125,94,1
16,93,94,15,63,62,94,78,63,16,15,93,719,31,94,62,78,47,156,94,78,1
31,94,94,32,93,32,110,110,62,32,16,63,157,656,47,63,32,78,782,15,47,1
15,32,93,16,78,15,62,640,63,63,94,47,15,78,63,141,110,15,62,15,31,1
157,94,63,31,93,32,110,0,125,110,16,47,738,656,47,63,32,78,782,15,47,1
16,78,78,62,63,15,78,78,78,78,94,78,78,31,79,62,63,93,0,110,78,1
15,62,204,15,110,15,93,47,219,62,78,15,63,63,78,62,63,94,93,94,78,1
47,47,78,594,63,15,78,94,234,15,15,62,78,31,79,62,63,93,0,110,78,1
16,78,78,140,94,78,125,125,78,78,109,172,140,94,156,78,94,94,78,78,78,1
16,110,110,109,93,16,78,0,93,78,93,94,93,172,62,79,265,78,109,109,125,1
16,93,172,15,94,78,125,891,172,94,78,78,78,94,156,78,94,94,78,78,78,1
16,78,78,109,94,0,94,94,94,62,15,79,94,109,62,94,94,125,594,93,78,1
16,78,109,16,110,78,78,94,94,94,31,78,94,63,78,109,94,78,78,78,94,1
47,94,79,31,94,0,94,94,94,31,31,78,110,109,62,94,94,125,594,93,78,1
157,93,93,16,141,265,390,390,110,15,93,219,109,46,125,985,203,62,172,78,109,1
129,109,594,94,172,250,31,0,187,985,125,125,94,94,172,109,16,110,282,156,391,1
125,78,219,110,141,265,390,0,140,31,187,94,125,46,125,985,203,62,172,78,109,1
296,141,141,109,94,78,156,156,93,93,31,110,141,78,63,234,234,63,94,94,140,1
94,156,128,63,94,16,62,0,125,234,94,62,78,78,94,78,156,47,78,78,109,1
93,94,110,62,94,78,156,125,94,93,62,109,110,78,63,234,234,63,94,94,140,1
16,94,94,125,62,391,110,110,110,78,109,79,204,297,78,235,297,31,282,93,109,1
32,125,93,16,94,47,94,125,141,235,125,344,125,78,94,94,172,31,141,94,94,1
141,94,79,31,62,391,110,0,109,16,188,109,156,297,78,235,297,31,282,93,109,1
32,78,78,94,63,15,109,109,62,31,47,63,93,94,47,94,109,16,47,62,78,1
15,78,79,15,78,63,31,0,62,94,63,15,110,78,63,62,94,47,78,63,94,1
63,16,63,47,63,15,109,125,63,16,16,79,125,94,47,94,109,16,47,62,78,1
15,102,102,31,118,53,91,91,144,63,78,16,125,156,47,78,110,94,343,94,125,1
188,94,16,141,110,15,63,78,94,78,16,110,94,79,78,93,94,125,125,156,109,1
15,109,16,93,118,53,91,94,125,16,16,78,125,156,47,78,110,94,343,94,125,1
31,78,78,16,94,15,63,63,63,78,32,46,93,78,15,79,63,109,16,15,16,1
16,125,156,32,78,79,62,515,78,79,31,79,47,63,62,125,78,79,172,109,79,1
31,78,46,16,94,15,63,94,79,31,172,16,78,78,15,79,63,109,16,15,16,1
62,63,63,78,109,63,78,78,47,78,16,63,78,265,79,78,141,46,32,78,63,1
16,63,62,63,94,31,94,78,203,78,116,41,141,31,62,79,156,47,46,78,46,1
31,78,63,15,109,63,78,62,110,78,31,62,62,265,79,78,141,46,32,78,63,1
62,78,78,31,78,156,141,141,125,110,16,94,110,47,63,94,94,125,16,79,62,1
31,94,32,218,78,16,62,172,94,94,63,109,94,63,93,79,78,110,93,94,63,1
47,110,94,31,78,156,141,125,125,47,15,63,93,47,63,94,94,125,16,79,62,1
32,47,47,46,63,47,62,62,62,63,110,78,110,78,62,79,79,140,15,78,62,1
47,94,78,78,62,32,93,78,62,79,203,47,156,47,109,47,109,94,47,63,78,1
125,62,78,47,63,47,62,63,78,46,31,63,78,78,62,79,79,140,15,78,62,1
141,47,47,47,78,250,328,328,172,157,78,125,47,62,78,344,140,234,125,78,94,1
109,110,141,62,46,79,31,0,172,344,235,62,515,62,78,78,16,93,78,62,79,1
78,78,125,78,78,250,328,0,172,47,141,62,125,62,78,344,140,234,125,78,94,1
282,78,78,891,78,234,94,94,94,63,218,47,109,78,78,78,63,140,828,63,78,1
297,62,78,250,62,188,62,93,109,78,250,78,47,62,94,62,78,140,62,78,62,1
797,62,47,235,78,234,94,141,109,219,375,47,78,78,78,78,63,140,828,63,78,1
32,94,94,78,62,110,250,250,63,78,46,0,266,78,78,63,125,47,32,93,63,1
16,109,62,47,78,31,78,125,63,63,16,47,516,63,93,63,125,15,93,62,78,1
172,78,0,16,62,110,250,844,31,16,32,78,78,78,78,63,125,47,32,93,63,1
0,93,93,16,109,32,171,171,109,47,62,63,78,31,47,375,156,47,16,78,125,1
16,16,63,47,94,93,47,110,109,375,109,47,16,63,78,78,78,47,109,94,94,1
31,93,63,62,109,32,171,94,125,15,125,109,0,31,47,375,156,47,16,78,125,1
15,78,78,63,93,94,78,78,63,63,0,78,94,141,109,63,94,78,16,93,62,1
16,63,94,62,78,31,63,0,94,63,63,78,94,234,328,110,110,93,93,94,78,1
31,62,78,63,93,94,78,94,63,15,16,62,110,141,109,63,94,78,16,93,62,1
172,109,109,110,109,250,78,78,78,78,140,63,125,94,78,110,47,156,265,93,78,1
359,78,78,110,78,219,93,94,78,110,328,63,141,93,94,63,78,109,94,110,93,1
313,78,63,15,109,250,78,93,94,78,187,78,94,94,78,110,47,156,265,93,78,1
94,47,47,47,63,93,156,156,63,63,125,78,47,78,56,73,78,31,15,62,63,1
16,47,63,62,47,16,47,0,656,73,125,78,78,62,78,63,140,0,110,63,78,1
31,63,78,32,63,93,156,0,94,62,31,63,703,78,56,73,78,31,15,62,63,1
16,109,109,78,47,391,438,438,46,94,31,94,140,94,31,78,109,125,16,78,94,1
0,110,78,47,78,141,78,0,46,78,78,15,109,63,62,78,125,31,94,78,94,1
109,93,94,31,47,391,438,0,94,78,31,94,94,94,31,78,109,125,16,78,94,1
31,125,125,79,93,485,594,594,140,94,141,62,109,47,78,78,47,62,16,78,93,1
16,125,78,125,109,47,78,125,141,78,110,0,110,62,94,62,125,62,78,94,93,1
16,63,62,31,93,485,594,234,109,94,78,94,94,47,78,78,47,62,16,78,93,1
63,47,47,78,31,125,63,63,79,63,32,78,78,63,47,93,78,78,172,46,78,1
15,47,78,47,79,46,47,47,94,93,15,63,63,62,78,63,78,94,62,62,78,1
0,63,78,47,31,125,63,46,94,94,16,62,79,63,47,93,78,78,172,46,78,1
547,172,172,292,79,128,225,225,110,63,47,78,140,47,62,109,78,63,15,94,94,1
16,109,109,0,78,47,62,609,0,109,93,32,47,78,78,78,79,78,94,15,47,1
78,47,78,297,79,128,225,0,141,93,31,172,109,47,62,109,78,63,15,94,94,1
15,63,63,16,93,63,140,140,109,31,578,94,125,47,94,141,78,94,78,93,62,1
78,63,94,78,79,62,78,125,109,141,78,47,94,47,78,63,78,125,110,94,94,1
31,63,94,62,93,63,140,47,94,78,453,78,766,47,94,141,78,94,78,93,62,1
47,78,78,52,40,271,380,380,125,79,16,62,94,47,62,63,125,32,15,62,78,1
31,0,78,31,78,32,78,0,125,63,31,32,94,63,62,63,312,63,94,78,79,1
0,78,62,16,40,271,380,125,94,63,0,32,922,47,62,63,125,32,15,62,78,1
94,78,78,563,78,140,79,79,93,62,141,62,125,125,47,63,63,93,125,62,78,1
47,63,63,109,63,94,62,94,125,63,78,63,125,62,78,63,78,110,62,63,78,1
78,47,62,78,78,140,79,78,125,62,125,83,78,125,47,63,63,93,125,62,78,1
31,78,78,31,109,31,172,172,156,110,16,93,109,0,93,453,140,47,46,78,78,1
46,16,109,0,125,15,78,110,156,453,63,31,125,93,110,78,829,31,78,157,109,1
0,110,93,32,109,31,172,172,157,31,78,94,141,0,93,453,140,47,46,78,78,1
78,78,78,16,63,78,62,62,94,62,31,94,94,32,62,110,78,94,0,78,63,1
0,16,47,31,78,61,52,78,188,110,62,31,297,78,78,63,62,110,94,78,78,1
47,94,94,62,63,78,62,79,78,16,47,78,62,32,62,110,78,94,0,78,63,1
16,78,78,63,93,188,78,78,94,94,31,78,31,78,63,62,78,110,125,78,125,1
16,78,109,31,78,0,78,0,109,62,31,125,141,78,47,63,62,94,94,62,125,1
31,78,78,47,93,188,78,0,94,0,16,94,78,78,63,62,78,110,125,78,125,1
16,125,125,0,47,109,203,203,62,31,63,31,297,16,62,94,157,31,31,78,62,1
78,63,31,109,344,94,0,1469,31,94,62,156,32,78,78,78,0,47,156,63,94,1
79,62,31,78,47,109,203,141,125,125,719,109,0,16,62,94,157,31,31,78,62,1
62,94,94,62,78,203,78,78,88,78,344,407,94,234,79,93,94,140,47,78,94,1
63,94,109,94,62,157,78,62,78,93,172,78,125,281,63,93,94,172,94,94,93,1
0,78,407,15,78,203,78,1109,250,32,203,78,88,234,79,93,94,140,47,78,94,1
47,140,140,32,78,79,110,110,110,31,16,110,62,63,78,79,63,47,31,46,78,1
63,46,93,32,15,94,31,141,94,79,78,48,32,31,78,63,16,78,109,16,16,1
15,32,110,15,78,79,110,438,31,93,32,79,0,63,78,79,63,47,31,46,78,1
16,109,109,32,187,109,157,157,94,109,94,93,16,94,109,63,94,203,157,141,94,1
110,94,94,125,78,141,47,172,172,63,125,110,47,93,110,62,16,141,172,125,93,1
110,125,93,63,187,109,157,94,110,94,140,78,0,94,109,63,94,203,157,141,94,1
93,94,94,93,94,125,125,125,125,94,63,93,157,94,62,94,125,94,110,109,79,1
78,94,94,78,94,47,109,109,171,94,140,94,125,47,93,78,156,47,94,109,94,1
16,78,93,63,94,125,125,125,141,47,110,78,94,94,62,94,125,94,110,109,79,1
63,63,63,62,78,125,94,94,98,78,109,63,109,93,63,78,78,110,46,110,94,1
32,47,62,47,94,31,78,94,78,78,15,63,125,78,109,47,94,93,63,78,63,1
78,62,63,15,78,125,94,110,78,15,0,63,78,93,63,78,78,110,46,110,94,1
47,171,171,16,94,47,156,156,140,172,31,109,93,15,141,94,250,31,16,125,109,1
16,63,110,47,125,0,63,110,187,94,109,78,94,62,110,93,125,93,93,78,125,1
0,125,109,32,94,47,156,125,140,16,15,94,109,15,141,94,250,31,16,125,109,1
15,78,78,31,78,16,141,141,125,78,63,78,47,47,47,63,62,140,78,110,156,1
15,16,125,16,78,78,63,0,125,63,78,0,47,78,109,63,78,93,109,94,78,1
31,110,78,31,78,16,141,187,94,94,63,62,0,47,47,63,62,140,78,110,156,1
47,109,109,203,297,16,203,203,137,78,16,94,109,157,62,125,94,78,94,109,110,1
16,125,94,31,93,32,78,156,137,125,0,94,94,110,93,79,109,63,78,78,78,1
110,62,94,16,297,16,203,0,140,32,16,172,94,157,62,125,94,78,94,109,110,1
78,109,109,141,110,109,203,203,109,78,47,110,93,156,78,125,109,63,110,94,78,1
15,93,109,485,125,47,62,0,109,125,109,78,94,79,62,94,78,110,94,78,94,1
375,63,110,78,110,109,203,0,125,78,31,110,109,156,78,125,109,63,110,94,78,1
47,141,141,47,109,31,78,78,31,47,47,31,78,94,16,62,47,125,47,0,16,1
156,47,47,63,31,156,16,531,31,62,79,31,47,31,94,62,94,0,109,31,0,1
156,62,31,63,109,31,78,671,31,15,32,93,0,94,16,62,47,125,47,0,16,1
15,141,141,15,110,31,125,125,125,125,125,203,32,125,47,93,47,141,16,15,47,1
31,125,94,15,16,110,94,0,125,93,16,46,47,47,93,79,0,93,78,0,93,1
62,47,203,16,110,31,125,657,15,63,78,453,78,125,47,93,47,141,16,15,47,1
62,63,63,31,63,172,78,78,78,62,79,62,203,40,60,106,47,125,94,78,62,1
47,46,63,297,79,62,63,78,47,106,93,63,125,47,78,31,78,109,176,62,62,1
62,46,62,47,63,172,78,62,78,27,140,63,67,40,60,106,47,125,94,78,62,1
78,109,109,297,109,79,109,109,78,63,234,78,156,141,62,109,140,16,203,63,62,2
47,94,93,203,125,63,62,0,141,109,109,32,187,78,78,63,109,16,63,78,78,2
16,125,78,172,109,79,109,0,94,93,109,109,78,141,62,109,140,16,203,63,62,2
16,62,62,94,94,156,250,250,141,47,62,94,78,156,63,62,94,62,47,93,110,2
31,110,63,62,47,47,62,0,141,62,125,156,125,63,62,63,79,78,62,110,78,2
63,31,94,47,94,156,250,62,94,32,15,62,78,156,63,62,94,62,47,93,110,2
47,78,78,16,94,141,250,250,47,94,47,62,31,63,62,78,32,141,78,63,78,2
15,109,94,31,78,172,16,0,47,78,125,16,31,15,63,78,31,94,63,63,110,2
93,62,62,16,94,141,250,906,47,78,203,78,875,63,62,78,32,141,78,63,78,2
16,62,62,32,78,31,109,109,63,32,32,78,110,16,188,359,218,47,47,47,63,2
359,47,63,15,62,16,47,0,94,359,47,16,94,62,63,94,94,15,156,63,47,2
78,16,78,15,78,31,109,0,94,59,78,78,78,16,188,359,218,47,47,47,63,2
437,78,78,94,94,31,140,140,62,94,16,94,110,125,63,109,62,94,94,78,62,2
15,78,94,62,94,62,78,0,62,109,109,125,203,78,78,63,94,109,78,78,78,2
110,63,94,47,94,31,140,109,78,63,16,78,79,125,63,109,62,94,94,78,62,2
4369,69,69,166,90,63,80,80,110,65,36,79,96,47,78,78,69,111,78,33,61,2
4,72,98,49,78,31,78,70,65,78,24,81,94,58,68,150,78,94,62,78,78,2
6,79,79,21,90,63,80,73,103,109,73,31,94,47,78,78,69,111,78,33,61,2
156,94,94,172,109,63,172,172,109,63,78,78,156,110,250,78,156,63,47,78,125,2
15,78,78,62,156,16,78,0,109,78,94,15,109,78,78,63,110,47,94,109,125,2
78,94,78,109,109,63,172,0,109,47,172,94,125,110,250,78,156,63,47,78,125,2
32,63,63,0,93,32,187,187,78,93,31,78,94,16,94,78,94,78,15,109,93,2
32,32,94,16,62,16,62,110,78,78,117,20,47,47,47,63,94,31,172,63,125,2
78,78,78,16,93,32,187,109,63,16,15,78,47,16,94,78,94,78,15,109,93,2
141,63,63,94,78,219,62,62,47,46,109,47,109,547,63,1015,79,125,203,47,78,2
78,47,47,125,62,63,78,63,78,1015,125,62,109,31,828,62,93,110,62,63,63,2
109,78,47,125,78,219,62,47,109,79,219,47,94,547,63,1015,79,125,203,47,78,2
125,78,78,109,125,63,109,109,125,78,0,94,78,63,78,109,78,93,47,79,78,2
16,78,78,63,94,31,110,78,187,109,62,47,78,78,78,78,109,110,94,78,94,2
0,94,94,15,125,63,109,93,110,78,31,78,93,63,78,109,78,93,47,79,78,2
47,110,110,93,94,31,79,79,140,47,16,46,78,31,62,79,125,62,15,94,78,2
16,125,62,47,78,32,78,98,124,79,94,31,62,63,78,93,79,93,78,93,62,2
31,344,46,110,94,31,79,94,125,62,16,94,78,31,62,79,125,62,15,94,78,2
31,79,79,46,79,15,140,140,90,78,0,62,93,47,63,78,94,94,0,94,78,2
0,94,62,579,78,32,94,0,93,78,140,16,63,63,78,78,78,94,78,62,94,2
16,63,62,32,79,15,140,0,125,0,31,78,78,47,63,78,94,94,0,94,78,2
343,46,46,188,47,62,78,78,79,47,16,62,156,94,62,156,63,109,234,62,47,2
0,47,47,94,93,47,63,125,141,156,62,47,125,32,125,47,62,125,63,47,62,2
47,16,62,94,47,62,78,79,110,78,16,62,63,94,62,156,63,109,234,62,47,2
31,109,109,47,94,62,172,172,100,78,46,63,109,78,47,62,141,62,109,94,62,2
32,78,94,31,93,32,78,94,110,62,141,16,109,47,94,46,109,31,78,78,79,2
109,94,63,78,94,62,172,78,125,141,15,94,94,78,47,62,141,62,109,94,62,2
78,62,62,63,62,63,78,78,79,62,78,62,94,109,62,94,78,93,78,63,62,2
62,63,62,63,63,78,63,63,62,94,125,47,125,62,78,63,78,94,93,78,63,2
78,63,62,47,62,63,78,47,63,0,78,63,843,109,62,94,78,93,78,63,62,2
47,31,31,16,78,47,125,125,47,110,16,78,16,15,78,78,47,63,110,78,31,2
16,78,78,16,16,93,32,484,47,78,47,16,63,31,63,78,31,62,109,16,16,2
156,47,78,0,78,47,125,0,62,78,78,94,0,15,78,78,47,63,110,78,31,2
32,78,78,94,62,157,78,78,62,63,78,93,109,141,62,79,79,78,63,62,79,2
16,62,78,141,93,0,94,109,78,79,141,94,93,94,78,78,78,110,78,78,94,2
78,63,93,79,62,157,78,47,94,62,63,78,78,141,62,79,79,78,63,62,79,2
109,63,63,93,63,94,78,78,63,63,62,47,109,156,63,109,78,94,188,47,63,2
47,62,78,78,62,63,62,63,78,109,94,78,125,63,78,78,63,109,62,63,47,2
62,47,47,109,63,94,78,63,47,63,47,78,78,156,63,109,78,94,188,47,63,2
47,125,125,46,156,0,78,78,180,78,16,78,47,78,94,62,31,109,93,78,63,2
15,94,125,110,15,78,47,141,187,62,47,31,63,94,62,63,15,125,63,93,63,2
47,0,78,15,156,0,78,0,172,94,94,94,1312,78,94,62,31,109,93,78,63,2
79,94,94,94,78,62,109,109,125,63,141,31,125,63,78,94,141,0,93,78,93,2
125,16,94,109,47,78,31,110,125,94,78,31,15,94,94,46,63,172,125,63,78,2
31,94,31,78,78,62,109,0,94,0,47,109,109,63,78,94,141,0,93,78,93,2
