dtfk1,ft1,dtfk3,dtsk3,dtfk4,ft4,dtsk4,dtsk5,dtsk6,dtsk7,dtfk10,dtsk10,dtfk11,ft11,dtfk12,dtsk12,dtfk13,ft14,gender
62,797,47,62,78,234,94,109,125,47,78,78,63,140,78,78,62,219,1
93,32,94,62,62,110,250,63,78,0,78,63,125,47,109,93,47,78,1
78,16,62,78,78,31,78,63,141,47,63,63,125,15,94,547,0,16,1
31,172,0,78,62,110,250,31,94,78,78,63,125,47,109,93,78,78,1
156,0,93,109,109,32,171,109,62,63,31,375,156,47,63,78,47,31,1
62,16,63,47,94,93,47,109,78,47,63,78,78,47,16,0,62,15,1
47,31,63,78,109,32,171,125,140,109,31,375,156,47,63,78,94,31,1
125,15,78,93,93,94,78,63,187,78,141,63,94,78,93,78,78,32,1
187,16,94,63,78,31,63,94,125,78,234,110,110,93,94,32,78,31,1
78,31,78,78,93,94,78,63,94,62,141,63,94,78,93,78,78,32,1
125,172,109,109,109,250,78,78,110,63,94,110,47,156,94,94,63,94,1
110,359,78,78,78,219,93,78,610,63,93,63,78,109,156,140,93,125,1
94,313,63,94,109,250,78,94,156,78,94,110,47,156,94,94,93,94,1
63,94,47,63,63,93,156,63,62,78,78,73,78,31,79,110,78,31,1
62,16,63,63,47,16,47,656,16,78,62,63,140,0,47,62,31,31,1
78,31,78,62,63,93,156,94,15,63,78,73,78,31,79,110,78,31,1
109,16,109,47,47,391,438,46,94,94,94,78,109,125,109,78,15,0,1
94,0,78,94,78,141,78,46,78,15,63,78,125,31,687,78,32,31,1
78,109,94,78,47,391,438,94,46,94,94,78,109,125,109,78,94,0,1
125,31,125,93,93,485,594,140,93,62,47,78,47,62,125,93,0,32,1
93,16,78,94,109,47,78,141,109,0,62,62,125,62,172,94,94,47,1
156,16,62,94,93,485,594,109,109,94,47,78,47,62,125,93,93,32,1
62,63,47,31,31,125,63,79,172,78,63,93,78,78,78,78,63,79,1
172,15,78,63,79,46,47,94,125,63,62,63,78,94,125,47,63,63,1
62,0,78,62,31,125,63,94,109,62,63,93,78,78,78,78,78,79,1
93,547,172,79,79,128,225,110,78,78,47,109,78,63,47,62,32,47,1
78,16,109,63,78,47,62,0,172,32,78,78,79,78,110,78,78,62,1
78,78,78,78,79,128,225,141,62,172,47,109,78,63,47,62,47,47,1
63,15,63,93,93,63,140,109,62,94,47,141,78,94,47,62,47,63,1
62,78,94,31,79,62,78,109,156,47,47,63,78,125,93,78,47,31,1
62,31,94,78,93,63,140,94,94,78,47,141,78,94,47,62,94,63,1
78,47,78,40,40,271,380,125,62,62,47,63,125,32,47,78,32,16,1
62,31,78,79,78,32,78,125,15,32,63,63,312,63,62,141,62,31,1
63,0,62,94,40,271,380,94,94,32,47,63,125,32,47,78,79,16,1
78,94,78,78,78,140,79,93,63,62,125,63,63,93,63,62,63,110,1
63,47,63,62,63,94,62,125,172,63,62,63,78,110,110,78,78,47,1
63,78,62,47,78,140,79,125,125,83,125,63,63,93,63,62,78,110,1
126,31,78,109,109,31,172,156,125,93,0,453,140,47,32,79,31,32,1
125,46,109,110,125,15,78,156,47,31,93,78,829,31,109,110,62,31,1
141,0,93,78,109,31,172,157,15,94,0,453,140,47,32,79,109,32,1
62,78,78,63,63,78,62,94,94,94,32,110,78,94,141,78,31,62,1
94,0,47,62,78,61,52,188,141,31,78,63,62,110,141,15,31,47,1
94,47,94,47,63,78,62,78,31,78,32,110,78,94,141,78,78,62,1
125,16,78,93,93,188,78,94,156,78,78,62,78,110,93,110,125,32,1
156,16,109,94,78,0,78,109,313,125,78,63,62,94,125,235,125,235,1
109,31,78,109,93,188,78,94,78,94,78,62,78,110,93,110,125,32,1
125,16,125,47,47,109,203,62,47,31,16,94,157,31,31,47,156,16,1
47,78,31,31,344,94,0,31,63,156,78,78,0,47,78,16,31,31,1
16,79,31,62,47,109,203,125,47,109,16,94,157,31,31,47,94,16,1
141,62,94,78,78,203,78,88,109,407,234,93,94,140,78,109,78,109,1
109,63,109,78,62,157,78,78,172,78,281,93,94,172,213,110,78,125,1
110,0,407,78,78,203,78,250,157,78,234,93,94,140,78,109,93,109,1
156,47,140,78,78,79,110,110,15,110,63,79,63,47,63,63,48,109,1
15,63,93,31,15,94,31,94,31,48,31,63,16,78,31,31,16,109,1
63,15,110,16,78,79,110,31,47,79,63,79,63,47,63,63,16,109,1
156,16,109,187,187,109,157,94,125,93,94,63,94,203,47,171,110,15,1
125,110,94,109,78,141,47,172,500,110,93,62,16,141,47,78,531,63,1
250,110,93,125,187,109,157,110,125,78,94,63,94,203,47,171,93,15,1
125,93,94,94,94,125,125,125,141,93,94,94,125,94,109,93,94,62,1
141,78,94,94,94,47,109,171,140,94,47,78,156,47,187,453,94,94,1
109,16,93,109,94,125,125,141,94,78,94,94,125,94,109,93,94,62,1
78,63,63,78,78,125,94,98,109,63,93,78,78,110,94,63,63,62,1
109,32,62,78,94,31,78,78,125,63,78,47,94,93,125,109,63,109,1
78,78,63,94,78,125,94,78,63,63,93,78,78,110,94,63,63,62,1
93,47,171,94,94,47,156,140,94,109,15,94,250,31,125,114,78,0,1
94,16,110,172,125,0,63,187,47,78,62,93,125,93,110,110,62,0,1
250,0,109,78,94,47,156,140,0,94,15,94,250,31,125,114,125,0,1
125,15,78,78,78,16,141,125,78,78,47,63,62,140,109,16,0,62,1
78,15,125,78,78,78,63,125,110,0,78,63,78,93,31,187,94,31,1
78,31,78,94,78,16,141,94,47,62,47,63,62,140,109,16,78,62,1
93,47,109,297,297,16,203,137,172,94,157,125,94,78,141,78,94,31,1
172,16,94,78,93,32,78,137,94,94,110,79,109,63,375,109,15,15,1
62,110,94,125,297,16,203,140,16,172,157,125,94,78,141,78,78,31,1
94,78,109,110,110,109,203,109,500,110,156,125,109,63,109,93,78,47,1
500,15,109,78,125,47,62,109,609,78,79,94,78,110,94,172,79,31,1
93,375,110,93,110,109,203,125,141,110,156,125,109,63,109,93,94,47,1
156,47,141,109,109,31,78,31,78,31,94,62,47,125,62,63,31,78,1
78,156,47,47,31,156,16,31,172,31,31,62,94,0,47,31,32,62,1
78,156,31,47,109,31,78,31,0,93,94,62,47,125,62,63,0,78,1
110,15,141,110,110,31,125,125,47,203,125,93,47,141,31,63,46,93,1
47,31,94,125,16,110,94,125,78,46,47,79,0,93,1000,156,0,63,1
32,62,203,16,110,31,125,15,125,453,125,93,47,141,31,63,93,93,1
94,62,63,63,63,172,78,78,78,62,40,106,47,125,63,62,63,79,1
78,47,63,62,79,62,63,47,91,63,47,31,78,109,101,13,63,141,1
63,62,62,94,63,172,78,78,115,63,40,106,47,125,63,62,62,79,1
78,78,109,109,109,79,109,78,78,78,141,109,140,16,109,63,32,16,2
78,47,93,63,125,63,62,141,203,32,78,63,109,16,125,94,78,16,2
78,16,78,62,109,79,109,94,62,109,141,109,140,16,109,63,78,16,2
375,16,62,94,94,156,250,141,94,94,156,62,94,62,109,78,156,47,2
94,31,63,47,47,47,62,141,16,156,63,63,79,78,94,266,16,31,2
171,63,94,125,94,156,250,94,172,62,156,62,94,62,109,78,78,47,2
109,47,78,94,94,141,250,47,63,62,63,78,32,141,16,16,16,31,2
63,15,94,94,78,172,16,47,47,16,15,78,31,94,968,125,16,31,2
32,93,62,78,94,141,250,47,141,78,63,78,32,141,16,16,110,31,2
62,16,62,78,78,31,109,63,47,78,16,359,218,47,16,62,16,46,2
47,359,63,32,62,16,47,94,47,16,62,94,94,15,94,16,16,47,2
63,78,78,79,78,31,109,94,79,78,16,359,218,47,16,62,47,46,2
172,437,78,94,94,31,140,62,219,94,125,109,62,94,78,109,125,78,2
219,15,94,94,94,62,78,62,110,125,78,63,94,109,109,78,16,63,2
140,110,94,78,94,31,140,78,94,78,125,109,62,94,78,109,78,78,2
57,4369,69,90,90,63,80,110,192,79,47,78,69,111,63,109,81,69,2
192,4,98,65,78,31,78,65,187,81,58,150,78,94,141,141,79,63,2
74,6,79,104,90,63,80,103,172,31,47,78,69,111,63,109,78,69,2
110,156,94,109,109,63,172,109,94,78,110,78,156,63,78,125,15,78,2
94,15,78,63,156,16,78,109,62,15,78,63,110,47,109,62,410,172,2
187,78,78,78,109,63,172,109,141,94,110,78,156,63,78,125,125,78,2
93,32,63,93,93,32,187,78,125,78,16,78,94,78,63,78,20,16,2
125,32,94,93,62,16,62,78,78,20,47,63,94,31,109,15,32,46,2
78,78,78,93,93,32,187,63,94,78,16,78,94,78,63,78,125,16,2
62,141,63,78,78,219,62,47,62,47,547,1015,79,125,63,62,62,47,2
62,78,47,46,62,63,78,78,125,62,31,62,93,110,188,485,47,62,2
31,109,47,62,78,219,62,109,125,47,547,1015,79,125,63,62,63,47,2
109,125,78,125,125,63,109,125,94,94,63,109,78,93,94,78,47,31,2
94,16,78,78,94,31,110,187,46,47,78,78,109,110,94,62,78,31,2
125,0,94,94,125,63,109,110,63,78,63,109,78,93,94,78,94,31,2
93,47,110,94,94,31,79,140,94,46,31,79,125,62,110,94,31,16,2
94,16,62,47,78,32,78,124,125,31,63,93,79,93,78,0,62,32,2
79,31,46,62,94,31,79,125,62,94,31,79,125,62,110,94,62,16,2
94,31,79,79,79,15,140,90,94,62,47,78,94,94,78,78,16,16,2
94,0,62,78,78,32,94,93,31,16,63,78,78,94,94,31,78,16,2
62,16,62,78,79,15,140,125,31,78,47,78,94,94,78,78,94,16,2
63,343,46,47,47,62,78,79,63,62,94,156,63,109,110,31,47,31,2
63,0,47,47,93,47,63,141,141,47,32,47,62,125,140,94,16,47,2
203,47,62,47,47,62,78,110,156,62,94,156,63,109,110,31,62,31,2
140,31,109,94,94,62,172,100,125,63,78,62,141,62,110,94,16,47,2
125,32,94,78,93,32,78,110,62,16,47,46,109,31,110,47,16,62,2
31,109,63,94,94,62,172,125,78,94,78,62,141,62,110,94,79,47,2
63,78,62,62,62,63,78,79,78,62,109,94,78,93,63,62,47,47,2
78,62,62,62,63,78,63,62,15,47,62,63,78,94,79,78,78,62,2
94,78,62,78,62,63,78,63,94,63,109,94,78,93,63,62,63,47,2
109,47,31,78,78,47,125,47,47,78,15,78,47,63,16,62,16,0,2
47,16,78,110,16,93,32,47,0,16,31,78,31,62,78,62,0,94,2
94,156,78,110,78,47,125,62,110,94,15,78,47,63,16,62,16,0,2
94,32,78,62,62,157,78,62,94,93,141,79,79,78,78,93,94,31,2
94,16,78,63,93,0,94,78,93,94,94,78,78,110,141,94,78,94,2
110,78,93,78,62,157,78,94,15,78,141,79,79,78,78,93,94,31,2
94,109,63,63,63,94,78,63,94,47,156,109,78,94,78,78,78,78,2
94,47,78,63,62,63,62,78,172,78,63,78,63,109,156,125,63,62,2
63,62,47,63,63,94,78,47,110,78,156,109,78,94,78,78,47,78,2
78,47,125,156,156,0,78,180,94,78,78,62,31,109,46,0,31,31,2
94,15,125,78,15,78,47,187,219,31,94,63,15,125,1390,141,16,0,2
47,47,78,94,156,0,78,172,110,94,78,62,31,109,46,0,63,31,2
62,79,94,78,78,62,109,125,78,31,63,94,141,0,15,32,31,32,2
78,125,94,63,47,78,31,125,109,31,94,46,63,172,0,500,78,93,2
78,31,31,156,78,62,109,94,120,109,63,94,141,0,15,32,78,32,2
