dtfk1,ft1,dtsk2,dtfk3,dtfk4,ft4,dtsk4,dtfk5,ft5,ft6,dtsk6,dtfk7,dtfk8,ft8,dtsk10,dtfk11,ft11,dtsk11,dtfk12,dtsk12,dtfk13,ft13,dtsk13,gender
125,31,125,125,93,485,594,594,47,47,93,78,125,109,78,47,62,109,125,93,0,125,62,1
93,16,125,78,109,47,78,125,31,79,109,32,78,110,62,125,62,125,172,94,94,15,63,1
156,16,63,62,93,485,594,234,16,94,109,125,109,94,78,47,62,109,125,93,93,125,94,1
62,63,47,47,31,125,63,63,171,109,172,62,78,78,93,78,78,47,78,78,63,78,63,1
172,15,47,78,79,46,47,47,31,63,125,78,78,63,63,78,94,63,125,47,63,125,31,1
62,0,63,78,31,125,63,46,47,47,109,62,62,79,93,78,78,47,78,78,78,62,32,1
93,547,172,172,79,128,225,225,40,78,78,63,15,140,109,78,63,93,47,62,32,93,16,1
78,16,109,109,78,47,62,609,734,63,172,79,109,47,78,79,78,172,110,78,78,0,63,1
78,78,47,78,79,128,225,0,47,32,62,94,47,109,109,78,63,93,47,62,47,78,47,1
63,15,63,63,93,63,140,140,188,141,62,63,78,125,141,78,94,188,47,62,47,109,47,1
62,78,63,94,79,62,78,125,207,62,156,94,94,94,63,78,125,62,93,78,47,438,62,1
62,31,63,94,93,63,140,47,687,62,94,125,63,766,141,78,94,188,47,62,94,47,62,1
78,47,78,78,40,271,380,380,47,15,62,47,94,94,63,125,32,0,47,78,32,94,31,1
62,31,0,78,78,32,78,0,47,157,15,62,78,94,63,312,63,94,62,141,62,32,62,1
63,0,78,62,40,271,380,125,140,0,94,62,76,922,63,125,32,0,47,78,79,31,156,1
78,94,78,78,78,140,79,79,250,125,63,47,62,125,63,63,93,63,63,62,63,125,62,1
63,47,63,63,63,94,62,94,125,62,172,78,78,125,63,78,110,62,110,78,78,63,46,1
63,78,47,62,78,140,79,78,172,63,125,63,47,78,63,63,93,63,63,62,78,78,47,1
126,31,78,78,109,31,172,172,31,46,125,94,109,109,453,140,47,63,32,79,31,94,78,1
125,46,16,109,125,15,78,110,125,94,47,31,94,125,78,829,31,93,109,110,62,47,94,1
141,0,110,93,109,31,172,172,93,78,15,94,94,141,453,140,47,63,32,79,109,0,110,1
62,78,78,78,63,78,62,62,94,47,94,78,93,94,110,78,94,63,141,78,31,79,46,1
94,0,16,47,78,61,52,78,94,62,141,63,47,297,63,62,110,62,141,15,31,31,94,1
94,47,94,94,63,78,62,79,78,94,31,94,109,62,110,78,94,63,141,78,78,47,78,1
125,16,78,78,93,188,78,78,31,62,156,110,109,31,62,78,110,78,93,110,125,125,125,1
156,16,78,109,78,0,78,0,31,94,313,156,78,141,63,62,94,62,125,235,125,0,94,1
109,31,78,78,93,188,78,0,0,62,78,156,78,78,62,78,110,78,93,110,125,31,109,1
125,16,125,125,47,109,203,203,47,78,47,31,47,297,94,157,31,62,31,47,156,110,62,1
47,78,63,31,344,94,0,1469,140,78,63,0,125,32,78,0,47,63,78,16,31,125,15,1
16,79,62,31,47,109,203,141,15,0,47,125,78,0,94,157,31,62,31,47,94,0,62,1
141,62,94,94,78,203,78,78,249,282,109,78,78,94,93,94,140,79,78,109,78,391,109,1
109,63,94,109,62,157,78,62,204,63,172,78,109,125,93,94,172,78,213,110,78,516,78,1
110,0,78,407,78,203,78,1109,63,93,157,94,78,88,93,94,140,79,78,109,93,235,78,1
156,47,140,140,78,79,110,110,15,47,15,78,94,62,79,63,47,15,63,63,48,5,84,1
15,63,46,93,15,94,31,141,0,188,31,16,46,32,63,16,78,62,31,31,16,94,0,1
63,15,32,110,78,79,110,438,125,32,47,625,93,0,79,63,47,15,63,63,16,110,15,1
156,16,109,109,187,109,157,157,156,203,125,110,218,16,63,94,203,63,47,171,110,93,161,1
125,110,94,94,78,141,47,172,0,93,500,125,297,47,62,16,141,62,47,78,531,140,516,1
250,110,125,93,187,109,157,94,156,78,125,141,110,0,63,94,203,63,47,171,93,110,109,1
125,93,94,94,94,125,125,125,78,109,141,109,78,157,94,125,94,78,109,93,94,47,109,1
141,78,94,94,94,47,109,109,32,94,140,110,109,125,78,156,47,110,187,453,94,31,125,1
109,16,78,93,94,125,125,125,47,140,94,125,110,94,94,125,94,78,109,93,94,78,141,1
78,63,63,63,78,125,94,94,219,94,109,78,94,109,78,78,110,46,94,63,63,94,78,1
109,32,47,62,94,31,78,94,187,62,125,110,94,125,47,94,93,78,125,109,63,16,93,1
78,78,62,63,78,125,94,110,234,109,63,93,94,78,78,78,110,46,94,63,63,31,94,1
93,47,171,171,94,47,156,156,32,15,94,94,141,93,94,250,31,125,125,114,78,109,16,1
94,16,63,110,125,0,63,110,78,109,47,62,94,94,93,125,93,94,110,110,62,140,16,1
250,0,125,109,94,47,156,125,79,125,0,141,94,109,94,250,31,125,125,114,125,0,109,1
125,15,78,78,78,16,141,141,62,79,78,78,140,47,63,62,140,63,109,16,0,110,15,1
78,15,16,125,78,78,63,0,15,62,110,78,172,47,63,78,93,32,31,187,94,15,94,1
78,31,110,78,78,16,141,187,0,0,47,140,78,0,63,62,140,63,109,16,78,141,78,1
93,47,109,109,297,16,203,203,15,63,172,125,78,109,125,94,78,109,141,78,94,109,125,1
172,16,125,94,93,32,78,156,16,78,94,109,94,94,79,109,63,141,375,109,15,78,0,1
62,110,62,94,297,16,203,0,47,125,16,47,78,94,125,94,78,109,141,78,78,15,141,1
94,78,109,109,110,109,203,203,78,390,500,125,110,93,125,109,63,78,109,93,78,94,78,1
500,15,93,109,125,47,62,0,15,63,609,46,110,94,94,78,110,109,94,172,79,78,78,1
93,375,63,110,110,109,203,0,47,78,141,141,78,109,125,109,63,78,109,93,94,484,203,1
156,47,141,141,109,31,78,78,32,62,78,15,78,78,62,47,125,47,62,63,31,78,0,1
78,156,47,47,31,156,16,531,625,79,172,47,31,47,62,94,0,62,47,31,32,78,31,1
78,156,62,31,109,31,78,671,193,109,0,78,16,0,62,47,125,47,62,63,0,79,78,1
110,15,141,141,110,31,125,125,31,31,47,63,203,32,93,47,141,31,31,63,46,109,16,1
47,31,125,94,16,110,94,0,0,63,78,0,16,47,79,0,93,47,1000,156,0,94,15,1
32,62,47,203,110,31,125,657,720,47,125,250,94,78,93,47,141,31,31,63,93,63,219,1
94,62,63,63,63,172,78,78,31,141,78,78,63,203,106,47,125,63,63,62,63,94,62,1
78,47,46,63,79,62,63,78,250,67,91,94,78,125,31,78,109,63,101,13,63,78,62,1
63,62,46,62,63,172,78,62,188,86,115,78,74,67,106,47,125,63,63,62,62,141,235,1
78,78,109,109,109,79,109,109,31,125,78,47,110,156,109,140,16,62,109,63,32,78,109,2
78,47,94,93,125,63,62,0,31,47,203,94,78,187,63,109,16,78,125,94,78,265,110,2
78,16,125,78,109,79,109,0,16,251,62,125,63,78,109,140,16,62,109,63,78,219,78,2
375,16,62,62,94,156,250,250,31,125,94,109,109,78,62,94,62,94,109,78,156,63,109,2
94,31,110,63,47,47,62,0,32,94,16,47,78,125,63,79,78,62,94,266,16,78,31,2
171,63,31,94,94,156,250,62,94,46,172,63,109,78,62,94,62,94,109,78,78,110,172,2
109,47,78,78,94,141,250,250,47,15,63,62,47,31,78,32,141,31,16,16,16,78,47,2
63,15,109,94,78,172,16,0,47,172,47,47,94,31,78,31,94,31,968,125,16,78,16,2
32,93,62,62,94,141,250,906,1000,31,141,94,91,875,78,32,141,31,16,16,110,15,93,2
62,16,62,62,78,31,109,109,31,140,47,62,62,110,359,218,47,16,16,62,16,78,16,2
47,359,47,63,62,16,47,0,15,78,47,31,62,94,94,94,15,62,94,16,16,78,15,2
63,78,16,78,78,31,109,0,31,32,79,125,62,78,359,218,47,16,16,62,47,15,94,2
172,437,78,78,94,31,140,140,31,141,219,93,94,110,109,62,94,62,78,109,125,78,94,2
219,15,78,94,94,62,78,0,16,62,110,31,94,203,63,94,109,62,109,78,16,78,46,2
140,110,63,94,94,31,140,109,16,78,94,109,62,79,109,62,94,62,78,109,78,94,78,2
57,4369,69,69,90,63,80,80,442,101,192,89,79,96,78,69,111,41,63,109,81,37,78,2
192,4,72,98,78,31,78,70,411,94,187,89,94,94,150,78,94,94,141,141,79,13,85,2
74,6,79,79,90,63,80,73,185,31,172,11,47,94,78,69,111,41,63,109,78,15,94,2
110,156,94,94,109,63,172,172,47,78,94,79,109,156,78,156,63,141,78,125,15,63,78,2
94,15,78,78,156,16,78,0,31,94,62,109,110,109,63,110,47,62,109,62,410,94,62,2
187,78,94,78,109,63,172,0,15,93,141,93,141,125,78,156,63,141,78,125,125,266,109,2
93,32,63,63,93,32,187,187,0,47,125,63,78,94,78,94,78,47,63,78,20,88,78,2
125,32,32,94,62,16,62,110,31,78,78,47,94,47,63,94,31,63,109,15,32,32,421,2
78,78,78,78,93,32,187,109,47,94,94,63,94,47,78,94,78,47,63,78,125,15,125,2
62,141,63,63,78,219,62,62,31,157,62,63,94,109,1015,79,125,62,63,62,62,188,46,2
62,78,47,47,62,63,78,63,94,78,125,79,63,109,62,93,110,93,188,485,47,172,63,2
31,109,78,47,78,219,62,47,78,62,125,94,63,94,1015,79,125,62,63,62,63,125,78,2
109,125,78,78,125,63,109,109,47,109,94,94,94,78,109,78,93,203,94,78,47,78,63,2
94,16,78,78,94,31,110,78,78,79,46,16,109,78,78,109,110,62,94,62,78,78,94,2
125,0,94,94,125,63,109,93,78,78,63,94,94,93,109,78,93,203,94,78,94,31,141,2
93,47,110,110,94,31,79,79,31,109,94,78,110,78,79,125,62,109,110,94,31,78,16,2
94,16,125,62,78,32,78,98,59,62,125,62,94,62,93,79,93,140,78,0,62,32,93,2
79,31,344,46,94,31,79,94,31,16,62,78,78,78,79,125,62,109,110,94,62,32,78,2
94,31,79,79,79,15,140,140,47,62,94,109,110,93,78,94,94,47,78,78,16,78,0,2
94,0,94,62,78,32,94,0,16,172,31,31,78,63,78,78,94,78,94,31,78,15,79,2
62,16,63,62,79,15,140,0,63,63,31,62,109,78,78,94,94,47,78,78,94,15,110,2
63,343,46,46,47,62,78,78,125,156,63,62,156,156,156,63,109,62,110,31,47,78,110,2
63,0,47,47,93,47,63,125,62,47,141,110,78,125,47,62,125,63,140,94,16,78,47,2
203,47,16,62,47,62,78,79,46,47,156,62,47,63,156,63,109,62,110,31,62,47,63,2
140,31,109,109,94,62,172,172,15,62,125,94,94,109,62,141,62,125,110,94,16,93,32,2
125,32,78,94,93,32,78,94,46,141,62,16,94,109,46,109,31,110,110,47,16,78,47,2
31,109,94,63,94,62,172,78,94,0,78,79,516,94,62,141,62,125,110,94,79,46,94,2
63,78,62,62,62,63,78,78,62,94,78,63,78,94,94,78,93,63,63,62,47,31,78,2
78,62,63,62,63,78,63,63,125,188,15,78,63,125,63,78,94,63,79,78,78,47,62,2
94,78,63,62,62,63,78,47,125,93,94,62,78,843,94,78,93,63,63,62,63,31,125,2
109,47,31,31,78,47,125,125,47,62,47,93,78,16,78,47,63,109,16,62,16,47,94,2
47,16,78,78,16,93,32,484,500,94,0,609,16,63,78,31,62,79,78,62,0,94,16,2
94,156,47,78,78,47,125,0,47,31,110,31,78,0,78,47,63,109,16,62,16,93,78,2
94,32,78,78,62,157,78,78,172,93,94,79,94,109,79,79,78,78,78,93,94,15,94,2
94,16,62,78,93,0,94,109,157,78,93,125,110,93,78,78,110,78,141,94,78,47,78,2
110,78,63,93,62,157,78,47,156,172,15,140,79,78,79,79,78,78,78,93,94,156,94,2
94,109,63,63,63,94,78,78,187,140,94,63,63,109,109,78,94,63,78,78,78,78,78,2
94,47,62,78,62,63,62,63,62,63,172,62,78,125,78,63,109,78,156,125,63,78,62,2
63,62,47,47,63,94,78,63,140,62,110,63,62,78,109,78,94,63,78,78,47,47,94,2
78,47,125,125,156,0,78,78,78,109,94,63,266,47,62,31,109,47,46,0,31,94,47,2
94,15,94,125,15,78,47,141,47,94,219,62,156,63,63,15,125,46,1390,141,16,94,94,2
47,47,0,78,156,0,78,0,15,15,110,125,31,1312,62,31,109,47,46,0,63,31,156,2
62,79,94,94,78,62,109,109,31,125,78,94,110,125,94,141,0,62,15,32,31,78,63,2
78,125,16,94,47,78,31,110,31,78,109,78,156,15,46,63,172,16,0,500,78,78,94,2
78,31,94,31,78,62,109,0,0,187,120,78,63,109,94,141,0,62,15,32,78,94,78,2
