ft1,dtsk2,dtfk3,dtsk3,ft4,dtsk4,ft5,dtsk5,ft7,dtsk7,dtfk8,dtsk8,dtfk10,dtsk10,dtfk12,ft12,dtsk12,ft13,dtfk14,ft14,gender
31,62,78,78,94,78,171,63,16,62,79,94,141,63,93,16,78,16,93,32,1
172,109,109,109,250,78,110,78,140,63,62,47,94,110,94,265,94,422,93,94,1
359,78,78,78,219,93,78,78,328,63,109,109,93,63,156,94,140,547,110,125,1
313,78,63,94,250,78,250,94,187,78,109,156,94,110,94,265,94,203,93,94,1
94,47,47,63,93,156,31,63,125,78,141,172,78,73,79,15,110,78,62,31,1
16,47,63,63,16,47,594,656,125,78,78,62,62,63,47,110,62,47,63,31,1
31,63,78,62,93,156,16,94,31,63,78,47,78,73,79,15,110,172,62,31,1
16,109,109,47,391,438,31,46,31,94,110,79,94,78,109,16,78,78,78,0,1
0,110,78,94,141,78,32,46,78,15,63,47,63,78,687,94,78,110,78,31,1
109,93,94,78,391,438,31,94,31,94,0,687,94,78,109,16,78,62,78,0,1
31,125,125,93,485,594,47,140,141,62,125,63,47,78,125,16,93,125,78,32,1
16,125,78,94,47,78,31,141,110,0,78,109,62,62,172,78,94,15,94,47,1
16,63,62,94,485,594,16,109,78,94,109,172,47,78,125,16,93,125,78,32,1
63,47,47,31,125,63,171,79,32,78,78,78,63,93,78,172,78,78,46,79,1
15,47,78,63,46,47,31,94,15,63,78,109,62,63,125,62,47,125,62,63,1
0,63,78,62,125,63,47,94,16,62,62,125,63,93,78,172,78,62,46,79,1
547,172,172,79,128,225,40,110,47,78,15,94,47,109,47,15,62,93,94,47,1
16,109,109,63,47,62,734,0,93,32,109,125,78,78,110,94,78,0,15,62,1
78,47,78,78,128,225,47,141,31,172,47,110,47,109,47,15,62,78,94,47,1
15,63,63,93,63,140,188,109,578,94,78,62,47,141,47,78,62,109,93,63,1
78,63,94,31,62,78,207,109,78,47,94,62,47,63,93,110,78,438,94,31,1
31,63,94,78,63,140,687,94,453,78,63,93,47,141,47,78,62,47,93,63,1
47,78,78,40,271,380,47,125,16,62,94,62,47,63,47,15,78,94,62,16,1
31,0,78,79,32,78,47,125,31,32,78,78,63,63,62,94,141,32,78,31,1
0,78,62,94,271,380,140,94,0,32,76,62,47,63,47,15,78,31,62,16,1
94,78,78,78,140,79,250,93,141,62,62,63,125,63,63,125,62,125,62,110,1
47,63,63,62,94,62,125,125,78,63,78,62,62,63,110,62,78,63,63,47,1
78,47,62,47,140,79,172,125,125,83,47,110,125,63,63,125,62,78,62,110,1
31,78,78,109,31,172,31,156,16,93,109,63,0,453,32,46,79,94,78,32,1
46,16,109,110,15,78,125,156,63,31,94,62,93,78,109,78,110,47,157,31,1
0,110,93,78,31,172,93,157,78,94,94,109,0,453,32,46,79,0,78,32,1
78,78,78,63,78,62,94,94,31,94,93,31,32,110,141,0,78,79,78,62,1
0,16,47,62,61,52,94,188,62,31,47,78,78,63,141,94,15,31,78,47,1
47,94,94,47,78,62,78,78,47,78,109,141,32,110,141,0,78,47,78,62,1
16,78,78,93,188,78,31,94,31,78,109,125,78,62,93,125,110,125,78,32,1
16,78,109,94,0,78,31,109,31,125,78,125,78,63,125,94,235,0,62,235,1
31,78,78,109,188,78,0,94,16,94,78,125,78,62,93,125,110,31,78,32,1
16,125,125,47,109,203,47,62,63,31,47,31,16,94,31,31,47,110,78,16,1
78,63,31,31,94,0,140,31,62,156,125,31,78,78,78,156,16,125,63,31,1
79,62,31,62,109,203,15,125,719,109,78,78,16,94,31,31,47,0,78,16,1
62,94,94,78,203,78,249,88,344,407,78,78,234,93,78,47,109,391,78,109,1
63,94,109,78,157,78,204,78,172,78,109,78,281,93,213,94,110,516,94,125,1
0,78,407,78,203,78,63,250,203,78,78,213,234,93,78,47,109,235,78,109,1
47,140,140,78,79,110,15,110,16,110,94,78,63,79,63,31,63,5,46,109,1
63,46,93,31,94,31,0,94,78,48,46,93,31,63,31,109,31,94,16,109,1
15,32,110,16,79,110,125,31,32,79,93,31,63,79,63,31,63,110,46,109,1
16,109,109,187,109,157,156,94,94,93,218,111,94,63,47,157,171,93,141,15,1
110,94,94,109,141,47,0,172,125,110,297,109,93,62,47,172,78,140,125,63,1
110,125,93,125,109,157,156,110,140,78,110,47,94,63,47,157,171,110,141,15,1
93,94,94,94,125,125,78,125,63,93,78,93,94,94,109,110,93,47,109,62,1
78,94,94,94,47,109,32,171,140,94,109,94,47,78,187,94,453,31,109,94,1
16,78,93,109,125,125,47,141,110,78,110,187,94,94,109,110,93,78,109,62,1
63,63,63,78,125,94,219,98,109,63,94,78,93,78,94,46,63,94,110,62,1
32,47,62,78,31,78,187,78,15,63,94,78,78,47,125,63,109,16,78,109,1
78,62,63,94,125,94,234,78,0,63,94,125,93,78,94,46,63,31,110,62,1
47,171,171,94,47,156,32,140,31,109,141,125,15,94,125,16,114,109,125,0,1
16,63,110,172,0,63,78,187,109,78,94,78,62,93,110,93,110,140,78,0,1
0,125,109,78,47,156,79,140,15,94,94,110,15,94,125,16,114,0,125,0,1
15,78,78,78,16,141,62,125,63,78,140,63,47,63,109,78,16,110,110,62,1
15,16,125,78,78,63,15,125,78,0,172,63,78,63,31,109,187,15,94,31,1
31,110,78,94,16,141,0,94,63,62,78,31,47,63,109,78,16,141,110,62,1
47,109,109,297,16,203,15,137,16,94,78,94,157,125,141,94,78,109,109,31,1
16,125,94,78,32,78,16,137,0,94,94,125,110,79,375,78,109,78,78,15,1
110,62,94,125,16,203,47,140,16,172,78,375,157,125,141,94,78,15,109,31,1
78,109,109,110,109,203,78,109,47,110,110,78,156,125,109,110,93,94,94,47,1
15,93,109,78,47,62,15,109,109,78,110,78,79,94,94,94,172,78,78,31,1
375,63,110,93,109,203,47,125,31,110,78,94,156,125,109,110,93,484,94,47,1
47,141,141,109,31,78,32,31,47,31,78,32,94,62,62,47,63,78,0,78,1
156,47,47,47,156,16,625,31,79,31,31,63,31,62,47,109,31,78,31,62,1
156,62,31,47,31,78,193,31,32,93,16,47,94,62,62,47,63,79,0,78,1
15,141,141,110,31,125,31,125,125,203,203,93,125,93,31,16,63,109,15,93,1
31,125,94,125,110,94,0,125,16,46,16,62,47,79,1000,78,156,94,0,63,1
62,47,203,16,31,125,720,15,78,453,94,1000,125,93,31,16,63,63,15,93,1
62,63,63,63,172,78,31,78,79,62,63,47,40,106,63,94,62,94,78,79,1
47,46,63,62,62,63,250,47,93,63,78,47,47,31,101,176,13,78,62,141,1
62,46,62,94,172,78,188,78,140,63,74,101,40,106,63,94,62,141,78,79,1
78,109,109,109,79,109,31,78,234,78,110,62,141,109,109,203,63,78,63,16,2
47,94,93,63,63,62,31,141,109,32,78,63,78,63,125,63,94,265,78,16,2
16,125,78,62,79,109,16,94,109,109,63,125,141,109,109,203,63,219,63,16,2
16,62,62,94,156,250,31,141,62,94,109,141,156,62,109,47,78,63,93,47,2
31,110,63,47,47,62,32,141,125,156,78,110,63,63,94,62,266,78,110,31,2
63,31,94,125,156,250,94,94,15,62,109,94,156,62,109,47,78,110,93,47,2
47,78,78,94,141,250,47,47,47,62,47,47,63,78,16,78,16,78,63,31,2
15,109,94,94,172,16,47,47,125,16,94,49,15,78,968,63,125,78,63,31,2
93,62,62,78,141,250,1000,47,203,78,91,968,63,78,16,78,16,15,63,31,2
16,62,62,78,31,109,31,63,32,78,62,94,16,359,16,47,62,78,47,46,2
359,47,63,32,16,47,15,94,47,16,62,78,62,94,94,156,16,78,63,47,2
78,16,78,79,31,109,31,94,78,78,62,94,16,359,16,47,62,15,47,46,2
437,78,78,94,31,140,31,62,16,94,94,78,125,109,78,94,109,78,78,78,2
15,78,94,94,62,78,16,62,109,125,94,78,78,63,109,78,78,78,78,63,2
110,63,94,78,31,140,16,78,16,78,62,109,125,109,78,94,109,94,78,78,2
4369,69,69,90,63,80,442,110,36,79,79,80,47,78,63,78,109,37,33,69,2
4,72,98,65,31,78,411,65,24,81,94,78,58,150,141,62,141,13,78,63,2
6,79,79,104,63,80,185,103,73,31,47,141,47,78,63,78,109,15,33,69,2
156,94,94,109,63,172,47,109,78,78,109,94,110,78,78,47,125,63,78,78,2
15,78,78,63,16,78,31,109,94,15,110,94,78,63,109,94,62,94,109,172,2
78,94,78,78,63,172,15,109,172,94,141,109,110,78,78,47,125,266,78,78,2
32,63,63,93,32,187,0,78,31,78,78,94,16,78,63,15,78,88,109,16,2
32,32,94,93,16,62,31,78,117,20,94,156,47,63,109,172,15,32,63,46,2
78,78,78,93,32,187,47,63,15,78,94,109,16,78,63,15,78,15,109,16,2
141,63,63,78,219,62,31,47,109,47,94,63,547,1015,63,203,62,188,47,47,2
78,47,47,46,63,78,94,78,125,62,63,63,31,62,188,62,485,172,63,62,2
109,78,47,62,219,62,78,109,219,47,63,188,547,1015,63,203,62,125,47,47,2
125,78,78,125,63,109,47,125,0,94,94,110,63,109,94,47,78,78,79,31,2
16,78,78,78,31,110,78,187,62,47,109,94,78,78,94,94,62,78,78,31,2
0,94,94,94,63,109,78,110,31,78,94,94,63,109,94,47,78,31,79,31,2
47,110,110,94,31,79,31,140,16,46,110,78,31,79,110,15,94,78,94,16,2
16,125,62,47,32,78,59,124,94,31,94,94,63,93,78,78,0,32,93,32,2
31,344,46,62,31,79,31,125,16,94,78,78,31,79,110,15,94,32,94,16,2
31,79,79,79,15,140,47,90,0,62,110,47,47,78,78,0,78,78,94,16,2
0,94,62,78,32,94,16,93,140,16,78,78,63,78,94,78,31,15,62,16,2
16,63,62,78,15,140,63,125,31,78,109,94,47,78,78,0,78,15,94,16,2
343,46,46,47,62,78,125,79,16,62,156,94,94,156,110,234,31,78,62,31,2
0,47,47,47,47,63,62,141,62,47,78,63,32,47,140,63,94,78,47,47,2
47,16,62,47,62,78,46,110,16,62,47,140,94,156,110,234,31,47,62,31,2
31,109,109,94,62,172,15,100,46,63,94,78,78,62,110,109,94,93,94,47,2
32,78,94,78,32,78,46,110,141,16,94,63,47,46,110,78,47,78,78,62,2
109,94,63,94,62,172,94,125,15,94,516,110,78,62,110,109,94,46,94,47,2
78,62,62,62,63,78,62,79,78,62,78,62,109,94,63,78,62,31,63,47,2
62,63,62,62,78,63,125,62,125,47,63,62,62,63,79,93,78,47,78,62,2
78,63,62,78,63,78,125,63,78,63,78,79,109,94,63,78,62,31,63,47,2
47,31,31,78,47,125,47,47,16,78,78,78,15,78,16,110,62,47,78,0,2
16,78,78,110,93,32,500,47,47,16,16,31,31,78,78,109,62,94,16,94,2
156,47,78,110,47,125,47,62,78,94,78,78,15,78,16,110,62,93,78,0,2
32,78,78,62,157,78,172,62,78,93,94,63,141,79,78,63,93,15,62,31,2
16,62,78,63,0,94,157,78,141,94,110,94,94,78,141,78,94,47,78,94,2
78,63,93,78,157,78,156,94,63,78,79,141,141,79,78,63,93,156,62,31,2
109,63,63,63,94,78,187,63,62,47,63,63,156,109,78,188,78,78,47,78,2
47,62,78,63,63,62,62,78,94,78,78,63,63,78,156,62,125,78,63,62,2
62,47,47,63,94,78,140,47,47,78,62,156,156,109,78,188,78,47,47,78,2
47,125,125,156,0,78,78,180,16,78,266,62,78,62,46,93,0,94,78,31,2
15,94,125,78,78,47,47,187,47,31,156,70,94,63,1390,63,141,94,93,0,2
47,0,78,94,0,78,15,172,94,94,31,1390,78,62,46,93,0,31,78,31,2
79,94,94,78,62,109,31,125,141,31,110,109,63,94,15,93,32,78,78,32,2
125,16,94,63,78,31,31,125,78,31,156,111,94,46,0,125,500,78,63,93,2
31,94,31,156,62,109,0,94,47,109,63,0,63,94,15,93,32,94,78,32,2
