dtsk1,dtfk3,dtsk3,dtfk4,dtsk4,ft5,dtsk5,dtsk6,dtfk7,ft7,dtsk7,dtfk8,dtsk8,dtfk10,dtsk10,dtfk11,ft12,dtfk13,ft13,dtfk14,ft14,dtsk14,gender
94,78,78,78,93,78,78,610,62,328,63,109,109,93,63,78,94,93,547,110,125,93,1
93,63,94,109,78,250,94,156,94,187,78,109,156,94,110,47,265,93,203,93,94,78,1
93,47,63,63,156,31,63,62,78,125,78,141,172,78,73,78,15,78,78,62,31,63,1
47,63,63,47,47,594,656,16,62,125,78,78,62,62,63,140,110,31,47,63,31,78,1
31,78,62,63,156,16,94,15,94,31,63,78,47,78,73,78,15,78,172,62,31,63,1
110,109,47,47,438,31,46,94,78,31,94,110,79,94,78,109,16,15,78,78,0,94,1
109,78,94,78,78,32,46,78,31,78,15,63,47,63,78,125,94,32,110,78,31,94,1
32,94,78,47,438,31,94,46,110,31,94,0,687,94,78,109,16,94,62,78,0,94,1
110,125,93,93,594,47,140,93,78,141,62,125,63,47,78,47,16,0,125,78,32,93,1
94,78,94,109,78,31,141,109,32,110,0,78,109,62,62,125,78,94,15,94,47,93,1
94,62,94,93,594,16,109,109,125,78,94,109,172,47,78,47,16,93,125,78,32,93,1
93,47,31,31,63,171,79,172,62,32,78,78,78,63,93,78,172,63,78,46,79,78,1
93,78,63,79,47,31,94,125,78,15,63,78,109,62,63,78,62,63,125,62,63,78,1
63,78,62,31,63,47,94,109,62,16,62,62,125,63,93,78,172,78,62,46,79,78,1
156,172,79,79,225,40,110,78,63,47,78,15,94,47,109,78,15,32,93,94,47,94,1
109,109,63,78,62,734,0,172,79,93,32,109,125,78,78,79,94,78,0,15,62,47,1
78,78,78,79,225,47,141,62,94,31,172,47,110,47,109,78,15,47,78,94,47,94,1
63,63,93,93,140,188,109,62,63,578,94,78,62,47,141,78,78,47,109,93,63,62,1
125,94,31,79,78,207,109,156,94,78,47,94,62,47,63,78,110,47,438,94,31,94,1
47,94,78,93,140,687,94,94,125,453,78,63,93,47,141,78,78,94,47,93,63,62,1
94,78,40,40,380,47,125,62,47,16,62,94,62,47,63,125,15,32,94,62,16,78,1
78,78,79,78,78,47,125,15,62,31,32,78,78,63,63,312,94,62,32,78,31,79,1
62,62,94,40,380,140,94,94,62,0,32,76,62,47,63,125,15,79,31,62,16,78,1
94,78,78,78,79,250,93,63,47,141,62,62,63,125,63,63,125,63,125,62,110,78,1
78,63,62,63,62,125,125,172,78,78,63,78,62,62,63,78,62,78,63,63,47,78,1
78,62,47,78,79,172,125,125,63,125,83,47,110,125,63,63,125,78,78,62,110,78,1
125,78,109,109,172,31,156,125,94,16,93,109,63,0,453,140,46,31,94,78,32,78,1
125,109,110,125,78,125,156,47,31,63,31,94,62,93,78,829,78,62,47,157,31,109,1
62,93,78,109,172,93,157,15,94,78,94,94,109,0,453,140,46,109,0,78,32,78,1
110,78,63,63,62,94,94,94,78,31,94,93,31,32,110,78,0,31,79,78,62,63,1
78,47,62,78,52,94,188,141,63,62,31,47,78,78,63,62,94,31,31,78,47,78,1
31,94,47,63,62,78,78,31,94,47,78,109,141,32,110,78,0,78,47,78,62,63,1
94,78,93,93,78,31,94,156,110,31,78,109,125,78,62,78,125,125,125,78,32,125,1
62,109,94,78,78,31,109,313,156,31,125,78,125,78,63,62,94,125,0,62,235,125,1
125,78,109,93,78,0,94,78,156,16,94,78,125,78,62,78,125,125,31,78,32,125,1
109,125,47,47,203,47,62,47,31,63,31,47,31,16,94,157,31,156,110,78,16,62,1
16,31,31,344,0,140,31,63,0,62,156,125,31,78,78,0,156,31,125,63,31,94,1
31,31,62,47,203,15,125,47,125,719,109,78,78,16,94,157,31,94,0,78,16,62,1
110,94,78,78,78,249,88,109,78,344,407,78,78,234,93,94,47,78,391,78,109,94,1
93,109,78,62,78,204,78,172,78,172,78,109,78,281,93,94,94,78,516,94,125,93,1
78,407,78,78,78,63,250,157,94,203,78,78,213,234,93,94,47,93,235,78,109,94,1
47,140,78,78,110,15,110,15,78,16,110,94,78,63,79,63,31,48,5,46,109,78,1
31,93,31,15,31,0,94,31,16,78,48,46,93,31,63,16,109,16,94,16,109,16,1
16,110,16,78,110,125,31,47,625,32,79,93,31,63,79,63,31,16,110,46,109,78,1
125,109,187,187,157,156,94,125,110,94,93,218,111,94,63,94,157,110,93,141,15,94,1
109,94,109,78,47,0,172,500,125,125,110,297,109,93,62,16,172,531,140,125,63,93,1
531,93,125,187,157,156,110,125,141,140,78,110,47,94,63,94,157,93,110,141,15,94,1
125,94,94,94,125,78,125,141,109,63,93,78,93,94,94,125,110,94,47,109,62,79,1
125,94,94,94,109,32,171,140,110,140,94,109,94,47,78,156,94,94,31,109,94,94,1
94,93,109,94,125,47,141,94,125,110,78,110,187,94,94,125,110,94,78,109,62,79,1
109,63,78,78,94,219,98,109,78,109,63,94,78,93,78,78,46,63,94,110,62,94,1
62,62,78,94,78,187,78,125,110,15,63,94,78,78,47,94,63,63,16,78,109,63,1
63,63,94,78,94,234,78,63,93,0,63,94,125,93,78,78,46,63,31,110,62,94,1
110,171,94,94,156,32,140,94,94,31,109,141,125,15,94,250,16,78,109,125,0,109,1
109,110,172,125,63,78,187,47,62,109,78,94,78,62,93,125,93,62,140,78,0,125,1
62,109,78,94,156,79,140,0,141,15,94,94,110,15,94,250,16,125,0,125,0,109,1
78,78,78,78,141,62,125,78,78,63,78,140,63,47,63,62,78,0,110,110,62,156,1
94,125,78,78,63,15,125,110,78,78,0,172,63,78,63,78,109,94,15,94,31,78,1
94,78,94,78,141,0,94,47,140,63,62,78,31,47,63,62,78,78,141,110,62,156,1
94,109,297,297,203,15,137,172,125,16,94,78,94,157,125,94,94,94,109,109,31,110,1
78,94,78,93,78,16,137,94,109,0,94,94,125,110,79,109,78,15,78,78,15,78,1
15,94,125,297,203,47,140,16,47,16,172,78,375,157,125,94,94,78,15,109,31,110,1
125,109,110,110,203,78,109,500,125,47,110,110,78,156,125,109,110,78,94,94,47,78,1
156,109,78,125,62,15,109,609,46,109,78,110,78,79,94,78,94,79,78,78,31,94,1
79,110,93,110,203,47,125,141,141,31,110,78,94,156,125,109,110,94,484,94,47,78,1
78,141,109,109,78,32,31,78,15,47,31,78,32,94,62,47,47,31,78,0,78,16,1
32,47,47,31,16,625,31,172,47,79,31,31,63,31,62,94,109,32,78,31,62,0,1
32,31,47,109,78,193,31,0,78,32,93,16,47,94,62,47,47,0,79,0,78,16,1
109,141,110,110,125,31,125,47,63,125,203,203,93,125,93,47,16,46,109,15,93,47,1
109,94,125,16,94,0,125,78,0,16,46,16,62,47,79,0,78,0,94,0,63,93,1
0,203,16,110,125,720,15,125,250,78,453,94,1000,125,93,47,16,93,63,15,93,47,1
62,63,63,63,78,31,78,78,78,79,62,63,47,40,106,47,94,63,94,78,79,62,1
62,63,62,79,63,250,47,91,94,93,63,78,47,47,31,78,176,63,78,62,141,62,1
63,62,94,63,78,188,78,115,78,140,63,74,101,40,106,47,94,62,141,78,79,62,1
110,109,109,109,109,31,78,78,47,234,78,110,62,141,109,140,203,32,78,63,16,62,2
78,93,63,125,62,31,141,203,94,109,32,78,63,78,63,109,63,78,265,78,16,78,2
78,78,62,109,109,16,94,62,125,109,109,63,125,141,109,140,203,78,219,63,16,62,2
78,62,94,94,250,31,141,94,109,62,94,109,141,156,62,94,47,156,63,93,47,110,2
78,63,47,47,62,32,141,16,47,125,156,78,110,63,63,79,62,16,78,110,31,78,2
16,94,125,94,250,94,94,172,63,15,62,109,94,156,62,94,47,78,110,93,47,110,2
172,78,94,94,250,47,47,63,62,47,62,47,47,63,78,32,78,16,78,63,31,78,2
109,94,94,78,16,47,47,47,47,125,16,94,49,15,78,31,63,16,78,63,31,110,2
16,62,78,94,250,1000,47,141,94,203,78,91,968,63,78,32,78,110,15,63,31,78,2
109,62,78,78,109,31,63,47,62,32,78,62,94,16,359,218,47,16,78,47,46,63,2
94,63,32,62,47,15,94,47,31,47,16,62,78,62,94,94,156,16,78,63,47,47,2
16,78,79,78,109,31,94,79,125,78,78,62,94,16,359,218,47,47,15,47,46,63,2
94,78,94,94,140,31,62,219,93,16,94,94,78,125,109,62,94,125,78,78,78,62,2
94,94,94,94,78,16,62,110,31,109,125,94,78,78,63,94,78,16,78,78,63,78,2
16,94,78,94,140,16,78,94,109,16,78,62,109,125,109,62,94,78,94,78,78,62,2
113,69,90,90,80,442,110,192,89,36,79,79,80,47,78,69,78,81,37,33,69,61,2
79,98,65,78,78,411,65,187,89,24,81,94,78,58,150,78,62,79,13,78,63,78,2
79,79,104,90,80,185,103,172,11,73,31,47,141,47,78,69,78,78,15,33,69,61,2
125,94,109,109,172,47,109,94,79,78,78,109,94,110,78,156,47,15,63,78,78,125,2
94,78,63,156,78,31,109,62,109,94,15,110,94,78,63,110,94,410,94,109,172,125,2
410,78,78,109,172,15,109,141,93,172,94,141,109,110,78,156,47,125,266,78,78,125,2
125,63,93,93,187,0,78,125,63,31,78,78,94,16,78,94,15,20,88,109,16,93,2
94,94,93,62,62,31,78,78,47,117,20,94,156,47,63,94,172,32,32,63,46,125,2
32,78,93,93,187,47,63,94,63,15,78,94,109,16,78,94,15,125,15,109,16,93,2
78,63,78,78,62,31,47,62,63,109,47,94,63,547,1015,79,203,62,188,47,47,78,2
63,47,46,62,78,94,78,125,79,125,62,63,63,31,62,93,62,47,172,63,62,63,2
47,47,62,78,62,78,109,125,94,219,47,63,188,547,1015,79,203,63,125,47,47,78,2
109,78,125,125,109,47,125,94,94,0,94,94,110,63,109,78,47,47,78,79,31,78,2
78,78,78,94,110,78,187,46,16,62,47,109,94,78,78,109,94,78,78,78,31,94,2
78,94,94,125,109,78,110,63,94,31,78,94,94,63,109,78,47,94,31,79,31,78,2
125,110,94,94,79,31,140,94,78,16,46,110,78,31,79,125,15,31,78,94,16,78,2
62,62,47,78,78,59,124,125,62,94,31,94,94,63,93,79,78,62,32,93,32,62,2
62,46,62,94,79,31,125,62,78,16,94,78,78,31,79,125,15,62,32,94,16,78,2
78,79,79,79,140,47,90,94,109,0,62,110,47,47,78,94,0,16,78,94,16,78,2
63,62,78,78,94,16,93,31,31,140,16,78,78,63,78,78,78,78,15,62,16,94,2
78,62,78,79,140,63,125,31,62,31,78,109,94,47,78,94,0,94,15,94,16,78,2
63,46,47,47,78,125,79,63,62,16,62,156,94,94,156,63,234,47,78,62,31,47,2
78,47,47,93,63,62,141,141,110,62,47,78,63,32,47,62,63,16,78,47,47,62,2
16,62,47,47,78,46,110,156,62,16,62,47,140,94,156,63,234,62,47,62,31,47,2
141,109,94,94,172,15,100,125,94,46,63,94,78,78,62,141,109,16,93,94,47,62,2
110,94,78,93,78,46,110,62,16,141,16,94,63,47,46,109,78,16,78,78,62,79,2
16,63,94,94,172,94,125,78,79,15,94,516,110,78,62,141,109,79,46,94,47,62,2
78,62,62,62,78,62,79,78,63,78,62,78,62,109,94,78,78,47,31,63,47,62,2
79,62,62,63,63,125,62,15,78,125,47,63,62,62,63,78,93,78,47,78,62,63,2
78,62,78,62,78,125,63,94,62,78,63,78,79,109,94,78,78,63,31,63,47,62,2
63,31,78,78,125,47,47,47,93,16,78,78,78,15,78,47,110,16,47,78,0,31,2
78,78,110,16,32,500,47,0,609,47,16,16,31,31,78,31,109,0,94,16,94,16,2
0,78,110,78,125,47,62,110,31,78,94,78,78,15,78,47,110,16,93,78,0,31,2
109,78,62,62,78,172,62,94,79,78,93,94,63,141,79,79,63,94,15,62,31,79,2
93,78,63,93,94,157,78,93,125,141,94,110,94,94,78,78,78,78,47,78,94,94,2
78,93,78,62,78,156,94,15,140,63,78,79,141,141,79,79,63,94,156,62,31,79,2
62,63,63,63,78,187,63,94,63,62,47,63,63,156,109,78,188,78,78,47,78,63,2
63,78,63,62,62,62,78,172,62,94,78,78,63,63,78,63,62,63,78,63,62,47,2
63,47,63,63,78,140,47,110,63,47,78,62,156,156,109,78,188,47,47,47,78,63,2
157,125,156,156,78,78,180,94,63,16,78,266,62,78,62,31,93,31,94,78,31,63,2
94,125,78,15,47,47,187,219,62,47,31,156,70,94,63,15,63,16,94,93,0,63,2
16,78,94,156,78,15,172,110,125,94,94,31,1390,78,62,31,93,63,31,78,31,63,2
109,94,78,78,109,31,125,78,94,141,31,110,109,63,94,141,93,31,78,78,32,93,2
93,94,63,47,31,31,125,109,78,78,31,156,111,94,46,63,125,78,78,63,93,78,2
78,31,156,78,109,0,94,120,78,47,109,63,0,63,94,141,93,78,94,78,32,93,2
