dtfk1,ft1,dtsk1,ft2,dtsk2,dtsk3,ft4,dtsk4,dtfk5,ft5,dtsk6,dtfk7,dtsk7,ft8,dtsk8,dtfk10,dtsk10,dtfk11,dtfk12,dtsk12,dtfk13,ft13,dtfk14,ft14,gender
94,62,110,109,109,78,63,78,78,94,110,78,62,79,93,31,93,94,94,109,94,78,78,16,1
110,15,78,78,47,78,31,78,156,141,109,109,94,78,110,62,79,75,78,47,62,47,93,16,1
109,16,62,94,78,94,63,78,94,78,110,109,62,110,78,31,93,94,94,109,109,63,78,16,1
78,31,157,171,63,62,62,156,156,32,94,78,78,16,78,219,78,31,15,484,62,47,78,32,1
94,31,94,31,78,109,63,31,0,15,157,63,62,141,31,78,78,15,125,62,93,32,31,78,1
94,16,93,94,94,79,62,156,0,47,16,62,78,63,125,219,78,31,15,484,47,63,78,32,1
47,93,63,125,47,16,63,78,78,156,78,62,78,94,62,47,93,172,78,125,110,125,63,15,1
78,32,110,15,94,47,15,79,0,16,15,110,110,110,47,78,78,78,93,16,32,63,47,31,1
16,62,32,31,78,63,63,78,125,16,94,78,78,94,93,47,93,172,78,125,94,63,63,15,1
47,281,125,500,94,78,156,235,235,31,250,78,63,157,125,156,110,156,109,62,63,47,62,16,1
250,16,125,15,94,62,15,78,94,125,141,16,63,47,125,79,62,203,31,343,156,32,62,32,1
78,47,156,141,46,94,156,235,0,46,43,78,93,0,31,156,110,156,109,62,93,32,62,16,1
78,187,94,110,78,63,62,94,94,141,110,62,94,157,78,31,62,78,109,110,32,79,94,31,1
110,15,78,79,78,78,47,62,94,109,62,203,32,78,78,47,62,156,78,156,62,78,125,16,1
94,16,62,63,93,63,62,94,78,94,16,32,93,719,78,31,62,78,109,110,94,31,94,31,1
109,31,109,79,94,93,32,110,110,62,63,78,63,157,62,656,63,32,766,15,47,125,15,62,1
63,15,78,93,32,32,15,62,640,703,141,47,47,15,62,78,141,110,832,32,15,78,15,62,1
94,157,15,63,94,78,32,110,0,15,16,703,47,738,832,656,63,32,766,15,31,109,15,62,1
78,16,93,79,78,63,15,78,78,94,94,63,78,78,47,31,62,63,78,94,15,94,110,15,1
94,15,94,156,62,78,15,93,47,125,94,79,15,63,78,63,62,63,78,32,78,156,94,31,1
94,47,78,125,47,78,15,78,94,125,94,141,62,78,78,31,62,63,78,94,78,32,110,15,1
93,16,94,94,78,94,78,125,125,94,250,125,172,140,110,94,78,94,94,78,94,63,78,78,1
250,16,125,15,110,78,16,78,0,62,94,141,94,93,110,172,79,265,156,16,94,703,109,813,1
140,16,94,110,93,78,78,125,891,93,93,94,78,78,156,94,78,94,94,78,125,31,78,78,1
562,16,78,110,78,94,0,94,94,109,93,78,79,94,93,109,94,94,78,125,78,47,93,47,1
93,16,78,16,78,62,78,78,94,78,94,78,78,94,94,63,109,94,109,63,78,31,78,47,1
156,47,78,94,94,93,0,94,94,78,47,47,78,110,109,109,94,94,78,125,94,172,93,47,1
125,157,109,141,93,141,265,390,390,63,38,15,219,109,94,46,985,203,47,359,125,94,78,110,1
38,129,297,47,109,15,250,31,0,15,140,94,125,94,62,94,109,16,157,15,344,406,156,313,1
16,125,344,141,78,15,265,390,0,46,31,141,94,125,157,46,985,203,47,359,391,31,78,110,1
94,296,110,31,141,94,78,156,156,63,78,109,110,141,109,78,234,234,109,63,62,125,94,203,1
78,94,94,63,156,93,16,62,0,78,94,94,62,78,108,78,78,156,141,140,32,93,78,63,1
125,93,32,62,94,94,78,156,125,62,94,125,109,110,141,78,234,234,109,63,109,156,94,203,1
141,16,93,172,94,62,391,110,110,15,93,78,79,204,109,297,235,297,93,109,344,62,93,32,1
93,32,93,31,125,78,47,94,125,15,250,16,344,125,125,78,94,172,78,15,62,94,94,62,1
234,141,62,16,94,94,391,110,0,15,218,125,109,156,78,297,235,297,93,109,94,141,93,32,1
62,32,109,234,78,63,15,109,109,16,63,46,63,93,78,94,94,109,94,125,15,78,62,32,1
63,15,94,16,78,31,63,31,0,15,78,78,15,110,62,78,62,94,109,110,62,31,63,47,1
78,63,62,203,16,47,15,109,125,16,94,62,79,125,109,94,94,109,94,125,94,46,62,32,1
141,15,82,121,102,118,53,91,91,259,109,31,16,125,93,156,78,110,110,125,110,31,94,15,1
109,188,62,78,94,63,15,63,78,172,157,219,110,94,109,79,93,94,125,250,110,15,156,15,1
125,15,110,78,109,532,53,91,94,223,110,156,78,125,125,156,78,110,110,125,109,16,94,15,1
94,31,78,94,78,94,15,63,63,62,78,62,46,93,94,78,79,63,78,62,79,15,15,47,1
78,16,62,94,125,78,79,62,515,63,78,78,79,47,172,63,125,78,109,15,63,47,109,16,1
140,31,63,78,78,78,15,63,94,62,109,110,16,78,109,78,79,63,78,62,79,78,15,47,1
125,62,94,125,63,109,63,78,78,125,172,46,63,78,63,265,78,141,62,109,41,65,78,15,1
172,16,78,31,63,78,31,94,78,125,110,172,41,141,46,31,79,156,126,219,47,63,78,47,1
94,31,47,62,78,94,63,78,62,125,63,32,62,62,126,265,78,141,62,109,46,47,78,15,1
78,62,110,125,78,78,156,141,141,16,203,78,94,110,78,47,94,94,187,94,109,32,79,78,1
203,31,125,125,94,110,16,62,172,15,125,109,109,94,78,63,79,78,110,32,78,16,94,31,1
78,47,78,125,110,78,156,141,125,109,109,94,63,93,110,47,94,94,187,94,63,62,79,78,1
62,32,78,125,47,63,47,62,62,141,78,62,78,110,78,78,79,79,63,78,47,94,78,16,1
78,47,62,110,94,63,32,93,78,157,125,94,47,156,94,47,47,109,125,78,47,47,63,47,1
63,125,47,94,62,62,47,62,63,140,141,78,63,78,125,78,79,79,63,78,78,62,78,16,1
94,141,93,157,47,78,250,328,328,62,313,47,125,47,250,62,344,140,47,78,62,125,78,31,1
313,109,32,47,110,157,79,31,0,62,140,140,62,515,63,62,78,16,94,62,156,16,62,281,1
78,78,156,47,78,15,250,328,0,63,62,109,62,125,94,62,344,140,47,78,79,31,78,31,1
93,282,93,94,78,78,234,94,94,47,63,63,47,109,62,78,78,63,78,78,78,297,63,219,1
63,297,62,141,62,63,188,62,93,63,203,78,78,47,78,62,62,78,94,344,94,484,78,204,1
62,797,94,94,62,62,234,94,141,203,125,78,47,78,94,78,78,63,78,78,62,375,63,219,1
93,32,93,63,94,62,110,250,250,63,78,125,0,266,93,78,63,125,109,93,47,78,93,78,1
78,16,94,47,109,78,31,78,125,16,141,78,47,516,78,63,63,125,94,547,0,78,62,16,1
31,172,0,93,78,78,110,250,844,938,94,109,78,78,94,78,63,125,109,93,78,63,93,78,1
156,0,94,16,93,109,32,171,171,16,62,63,63,78,110,31,375,156,63,78,47,78,78,31,1
62,16,94,141,16,47,93,47,110,31,78,94,47,16,125,63,78,78,16,0,62,16,94,15,1
47,31,62,16,93,78,32,171,94,31,140,62,109,0,16,31,375,156,63,78,94,62,78,31,1
125,15,110,78,78,93,94,78,78,203,187,141,78,94,78,141,63,94,93,78,78,78,93,32,1
187,16,78,125,63,63,31,63,0,0,125,94,78,94,94,234,110,110,94,32,78,32,94,31,1
78,31,78,109,62,78,94,78,94,171,94,109,62,110,94,141,63,94,93,78,78,16,93,32,1
125,172,94,203,109,109,250,78,78,110,110,125,63,125,47,94,110,47,94,94,63,422,93,94,1
110,359,94,62,78,78,219,93,94,78,610,62,63,141,109,93,63,78,156,140,93,547,110,125,1
94,313,93,109,78,94,250,78,93,250,156,94,78,94,156,94,110,47,94,94,93,203,93,94,1
63,94,93,125,47,63,93,156,156,31,62,78,78,47,172,78,73,78,79,110,78,78,62,31,1
62,16,47,140,47,63,16,47,0,594,16,62,78,78,62,62,63,140,47,62,31,47,63,31,1
78,31,31,94,63,62,93,156,0,16,15,94,63,703,47,78,73,78,79,110,78,172,62,31,1
109,16,110,47,109,47,391,438,438,31,94,78,94,140,79,94,78,109,109,78,15,78,78,0,1
94,0,109,63,110,94,141,78,0,32,78,31,15,109,47,63,78,125,687,78,32,110,78,31,1
78,109,32,31,93,78,391,438,0,31,46,110,94,94,687,94,78,109,109,78,94,62,78,0,1
125,31,110,46,125,93,485,594,594,47,93,78,62,109,63,47,78,47,125,93,0,125,78,32,1
93,16,94,31,125,94,47,78,125,31,109,32,0,110,109,62,62,125,172,94,94,15,94,47,1
156,16,94,47,63,94,485,594,234,16,109,125,94,94,172,47,78,47,125,93,93,125,78,32,1
62,63,93,110,47,31,125,63,63,171,172,62,78,78,78,63,93,78,78,78,63,78,46,79,1
172,15,93,94,47,63,46,47,47,31,125,78,63,63,109,62,63,78,125,47,63,125,62,63,1
62,0,63,78,63,62,125,63,46,47,109,62,62,79,125,63,93,78,78,78,78,62,46,79,1
93,547,156,16,172,79,128,225,225,40,78,63,78,140,94,47,109,78,47,62,32,93,94,47,1
78,16,109,47,109,63,47,62,609,734,172,79,32,47,125,78,78,79,110,78,78,0,15,62,1
78,78,78,63,47,78,128,225,0,47,62,94,172,109,110,47,109,78,47,62,47,78,94,47,1
63,15,63,93,63,93,63,140,140,188,62,63,94,125,62,47,141,78,47,62,47,109,93,63,1
62,78,125,93,63,31,62,78,125,207,156,94,47,94,62,47,63,78,93,78,47,438,94,31,1
62,31,47,109,63,78,63,140,47,687,94,125,78,766,93,47,141,78,47,62,94,47,93,63,1
78,47,94,78,78,40,271,380,380,47,62,47,62,94,62,47,63,125,47,78,32,94,62,16,1
62,31,78,110,0,79,32,78,0,47,15,62,32,94,78,63,63,312,62,141,62,32,78,31,1
63,0,62,125,78,94,271,380,125,140,94,62,32,922,62,47,63,125,47,78,79,31,62,16,1
78,94,94,109,78,78,140,79,79,250,63,47,62,125,63,125,63,63,63,62,63,125,62,110,1
63,47,78,109,63,62,94,62,94,125,172,78,63,125,62,62,63,78,110,78,78,63,63,47,1
63,78,78,125,47,47,140,79,78,172,125,63,83,78,110,125,63,63,63,62,78,78,62,110,1
126,31,125,94,78,109,31,172,172,31,125,94,93,109,63,0,453,140,32,79,31,94,78,32,1
125,46,125,172,16,110,15,78,110,125,47,31,31,125,62,93,78,829,109,110,62,47,157,31,1
141,0,62,109,110,78,31,172,172,93,15,94,94,141,109,0,453,140,32,79,109,0,78,32,1
62,78,110,62,78,63,78,62,62,94,94,78,94,94,31,32,110,78,141,78,31,79,78,62,1
94,0,78,156,16,62,61,52,78,94,141,63,31,297,78,78,63,62,141,15,31,31,78,47,1
94,47,31,110,94,47,78,62,79,78,31,94,78,62,141,32,110,78,141,78,78,47,78,62,1
125,16,94,109,78,93,188,78,78,31,156,110,78,31,125,78,62,78,93,110,125,125,78,32,1
156,16,62,63,78,94,0,78,0,31,313,156,125,141,125,78,63,62,125,235,125,0,62,235,1
109,31,125,110,78,109,188,78,0,0,78,156,94,78,125,78,62,78,93,110,125,31,78,32,1
125,16,109,15,125,47,109,203,203,47,47,31,31,297,31,16,94,157,31,47,156,110,78,16,1
47,78,16,62,63,31,94,0,1469,140,63,0,156,32,31,78,78,0,78,16,31,125,63,31,1
16,79,31,47,62,62,109,203,141,15,47,125,109,0,78,16,94,157,31,47,94,0,78,16,1
141,62,110,250,94,78,203,78,78,249,109,78,407,94,78,234,93,94,78,109,78,391,78,109,1
109,63,93,93,94,78,157,78,62,204,172,78,78,125,78,281,93,94,213,110,78,516,94,125,1
110,0,78,110,78,78,203,78,1109,63,157,94,78,88,213,234,93,94,78,109,93,235,78,109,1
156,47,47,62,140,78,79,110,110,15,15,78,110,62,78,63,79,63,63,63,48,5,46,109,1
15,63,31,79,46,31,94,31,141,0,31,16,48,32,93,31,63,16,31,31,16,94,16,109,1
63,15,16,328,32,16,79,110,438,125,47,625,79,0,31,63,79,63,63,63,16,110,46,109,1
156,16,125,109,109,187,109,157,157,156,125,110,93,16,111,94,63,94,47,171,110,93,141,15,1
125,110,109,16,94,109,141,47,172,0,500,125,110,47,109,93,62,16,47,78,531,140,125,63,1
250,110,531,16,125,125,109,157,94,156,125,141,78,0,47,94,63,94,47,171,93,110,141,15,1
125,93,125,94,94,94,125,125,125,78,141,109,93,157,93,94,94,125,109,93,94,47,109,62,1
141,78,125,125,94,94,47,109,109,32,140,110,94,125,94,47,78,156,187,453,94,31,109,94,1
109,16,94,31,78,109,125,125,125,47,94,125,78,94,187,94,94,125,109,93,94,78,109,62,1
78,63,109,78,63,78,125,94,94,219,109,78,63,109,78,93,78,78,94,63,63,94,110,62,1
109,32,62,109,47,78,31,78,94,187,125,110,63,125,78,78,47,94,125,109,63,16,78,109,1
78,78,63,110,62,94,125,94,110,234,63,93,63,78,125,93,78,78,94,63,63,31,110,62,1
93,47,110,93,171,94,47,156,156,32,94,94,109,93,125,15,94,250,125,114,78,109,125,0,1
94,16,109,140,63,172,0,63,110,78,47,62,78,94,78,62,93,125,110,110,62,140,78,0,1
250,0,62,63,125,78,47,156,125,79,0,141,94,109,110,15,94,250,125,114,125,0,125,0,1
125,15,78,94,78,78,16,141,141,62,78,78,78,47,63,47,63,62,109,16,0,110,110,62,1
78,15,94,109,16,78,78,63,0,15,110,78,0,47,63,78,63,78,31,187,94,15,94,31,1
78,31,94,93,110,94,16,141,187,0,47,140,62,0,31,47,63,62,109,16,78,141,110,62,1
93,47,94,141,109,297,16,203,203,15,172,125,94,109,94,157,125,94,141,78,94,109,109,31,1
172,16,78,0,125,78,32,78,156,16,94,109,94,94,125,110,79,109,375,109,15,78,78,15,1
62,110,15,219,62,125,16,203,0,47,16,47,172,94,375,157,125,94,141,78,78,15,109,31,1
94,78,125,94,109,110,109,203,203,78,500,125,110,93,78,156,125,109,109,93,78,94,94,47,1
500,15,156,16,93,78,47,62,0,15,609,46,78,94,78,79,94,78,94,172,79,78,78,31,1
93,375,79,109,63,93,109,203,0,47,141,141,110,109,94,156,125,109,109,93,94,484,94,47,1
156,47,78,63,141,109,31,78,78,32,78,15,31,78,32,94,62,47,62,63,31,78,0,78,1
78,156,32,125,47,47,156,16,531,625,172,47,31,47,63,31,62,94,47,31,32,78,31,62,1
78,156,32,47,62,47,31,78,671,193,0,78,93,0,47,94,62,47,62,63,0,79,0,78,1
110,15,109,63,141,110,31,125,125,31,47,63,203,32,93,125,93,47,31,63,46,109,15,93,1
47,31,109,547,125,125,110,94,0,0,78,0,46,47,62,47,79,0,1000,156,0,94,0,63,1
32,62,0,63,47,16,31,125,657,720,125,250,453,78,1000,125,93,47,31,63,93,63,15,93,1
94,62,62,125,63,63,172,78,78,31,78,78,62,203,47,40,106,47,63,62,63,94,78,79,1
78,47,62,125,46,62,62,63,78,250,91,94,63,125,47,47,31,78,101,13,63,78,62,141,1
63,62,63,126,46,94,172,78,62,188,115,78,63,67,101,40,106,47,63,62,62,141,78,79,1
78,78,110,78,109,109,79,109,109,31,78,47,78,156,62,141,109,140,109,63,32,78,63,16,2
78,47,78,47,94,63,63,62,0,31,203,94,32,187,63,78,63,109,125,94,78,265,78,16,2
78,16,78,31,125,62,79,109,0,16,62,125,109,78,125,141,109,140,109,63,78,219,63,16,2
375,16,78,94,62,94,156,250,250,31,94,109,94,78,141,156,62,94,109,78,156,63,93,47,2
94,31,78,31,110,47,47,62,0,32,16,47,156,125,110,63,63,79,94,266,16,78,110,31,2
171,63,16,63,31,125,156,250,62,94,172,63,62,78,94,156,62,94,109,78,78,110,93,47,2
109,47,172,31,78,94,141,250,250,47,63,62,62,31,47,63,78,32,16,16,16,78,63,31,2
63,15,109,62,109,94,172,16,0,47,47,47,16,31,49,15,78,31,968,125,16,78,63,31,2
32,93,16,188,62,78,141,250,906,1000,141,94,78,875,968,63,78,32,16,16,110,15,63,31,2
62,16,109,16,62,78,31,109,109,31,47,62,78,110,94,16,359,218,16,62,16,78,47,46,2
47,359,94,15,47,32,16,47,0,15,47,31,16,94,78,62,94,94,94,16,16,78,63,47,2
63,78,16,203,16,79,31,109,0,31,79,125,78,78,94,16,359,218,16,62,47,15,47,46,2
172,437,94,94,78,94,31,140,140,31,219,93,94,110,78,125,109,62,78,109,125,78,78,78,2
219,15,94,16,78,94,62,78,0,16,110,31,125,203,78,78,63,94,109,78,16,78,78,63,2
140,110,16,31,63,78,31,140,109,16,94,109,78,79,109,125,109,62,78,109,78,94,78,78,2
57,4369,113,168,69,90,63,80,80,442,192,89,79,96,80,47,78,69,63,109,81,37,33,69,2
192,4,79,80,72,65,31,78,70,411,187,89,81,94,78,58,150,78,141,141,79,13,78,63,2
74,6,79,136,79,104,63,80,73,185,172,11,31,94,141,47,78,69,63,109,78,15,33,69,2
110,156,125,31,94,109,63,172,172,47,94,79,78,156,94,110,78,156,78,125,15,63,78,78,2
94,15,94,125,78,63,16,78,0,31,62,109,15,109,94,78,63,110,109,62,410,94,109,172,2
187,78,410,15,94,78,63,172,0,15,141,93,94,125,109,110,78,156,78,125,125,266,78,78,2
93,32,125,47,63,93,32,187,187,0,125,63,78,94,94,16,78,94,63,78,20,88,109,16,2
125,32,94,125,32,93,16,62,110,31,78,47,20,47,156,47,63,94,109,15,32,32,63,46,2
78,78,32,32,78,93,32,187,109,47,94,63,78,47,109,16,78,94,63,78,125,15,109,16,2
62,141,78,109,63,78,219,62,62,31,62,63,47,109,63,547,1015,79,63,62,62,188,47,47,2
62,78,63,125,47,46,63,78,63,94,125,79,62,109,63,31,62,93,188,485,47,172,63,62,2
31,109,47,125,78,62,219,62,47,78,125,94,47,94,188,547,1015,79,63,62,63,125,47,47,2
109,125,109,79,78,125,63,109,109,47,94,94,94,78,110,63,109,78,94,78,47,78,79,31,2
94,16,78,15,78,78,31,110,78,78,46,16,47,78,94,78,78,109,94,62,78,78,78,31,2
125,0,78,78,94,94,63,109,93,78,63,94,78,93,94,63,109,78,94,78,94,31,79,31,2
93,47,125,47,110,94,31,79,79,31,94,78,46,78,78,31,79,125,110,94,31,78,94,16,2
94,16,62,62,125,47,32,78,98,59,125,62,31,62,94,63,93,79,78,0,62,32,93,32,2
79,31,62,156,344,62,31,79,94,31,62,78,94,78,78,31,79,125,110,94,62,32,94,16,2
94,31,78,125,79,79,15,140,140,47,94,109,62,93,47,47,78,94,78,78,16,78,94,16,2
94,0,63,62,94,78,32,94,0,16,31,31,16,63,78,63,78,78,94,31,78,15,62,16,2
62,16,78,94,63,78,15,140,0,63,31,62,78,78,94,47,78,94,78,78,94,15,94,16,2
63,343,63,219,46,47,62,78,78,125,63,62,62,156,94,94,156,63,110,31,47,78,62,31,2
63,0,78,47,47,47,47,63,125,62,141,110,47,125,63,32,47,62,140,94,16,78,47,47,2
203,47,16,203,16,47,62,78,79,46,156,62,62,63,140,94,156,63,110,31,62,47,62,31,2
140,31,141,31,109,94,62,172,172,15,125,94,63,109,78,78,62,141,110,94,16,93,94,47,2
125,32,110,16,78,78,32,78,94,46,62,16,16,109,63,47,46,109,110,47,16,78,78,62,2
31,109,16,31,94,94,62,172,78,94,78,79,94,94,110,78,62,141,110,94,79,46,94,47,2
63,78,78,94,62,62,63,78,78,62,78,63,62,94,62,109,94,78,63,62,47,31,63,47,2
78,62,79,109,63,62,78,63,63,125,15,78,47,125,62,62,63,78,79,78,78,47,78,62,2
94,78,78,109,63,78,63,78,47,125,94,62,63,843,79,109,94,78,63,62,63,31,63,47,2
109,47,63,47,31,78,47,125,125,47,47,93,78,16,78,15,78,47,16,62,16,47,78,0,2
47,16,78,78,78,110,93,32,484,500,0,609,16,63,31,31,78,31,78,62,0,94,16,94,2
94,156,0,78,47,110,47,125,0,47,110,31,94,0,78,15,78,47,16,62,16,93,78,0,2
94,32,109,703,78,62,157,78,78,172,94,79,93,109,63,141,79,79,78,93,94,15,62,31,2
94,16,93,110,62,63,0,94,109,157,93,125,94,93,94,94,78,78,141,94,78,47,78,94,2
110,78,78,125,63,78,157,78,47,156,15,140,78,78,141,141,79,79,78,93,94,156,62,31,2
94,109,62,141,63,63,94,78,78,187,94,63,47,109,63,156,109,78,78,78,78,78,47,78,2
94,47,63,125,62,63,63,62,63,62,172,62,78,125,63,63,78,63,156,125,63,78,63,62,2
63,62,63,125,47,63,94,78,63,140,110,63,78,78,156,156,109,78,78,78,47,47,47,78,2
78,47,157,62,125,156,0,78,78,78,94,63,78,47,62,78,62,31,46,0,31,94,78,31,2
94,15,94,47,94,78,78,47,141,47,219,62,31,63,70,94,63,15,1390,141,16,94,93,0,2
47,47,16,94,0,94,0,78,0,15,110,125,94,1312,1390,78,62,31,46,0,63,31,78,31,2
62,79,109,78,94,78,62,109,109,31,78,94,31,125,109,63,94,141,15,32,31,78,78,32,2
78,125,93,109,16,63,78,31,110,31,109,78,31,15,111,94,46,63,0,500,78,78,63,93,2
78,31,78,46,94,156,62,109,0,0,120,78,109,109,0,63,94,141,15,32,78,94,78,32,2
