@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,30,31,32,33,34,35,36,37,39,40,43'

@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute dtfk7 numeric
@attribute ft10 numeric
@attribute ft13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
78,125,109,78,31,31,94,1
282,78,63,78,297,219,78,1
297,78,78,94,484,204,62,1
797,47,78,78,375,219,78,1
32,94,125,78,78,78,63,1
16,62,78,93,78,16,78,1
172,0,109,78,63,78,63,1
0,93,63,47,78,31,125,1
16,63,94,78,16,15,94,1
31,63,62,47,62,31,125,1
15,78,141,109,78,32,62,1
16,94,94,328,32,31,78,1
31,78,109,109,16,32,62,1
172,109,125,78,422,94,78,1
359,78,62,94,547,125,93,1
313,63,94,78,203,94,78,1
94,47,78,56,78,31,63,1
16,63,62,78,47,31,78,1
31,78,94,56,172,31,63,1
16,109,78,31,78,0,94,1
0,78,31,62,110,31,94,1
109,94,110,31,62,0,94,1
31,125,78,78,125,32,93,1
16,78,32,94,15,47,93,1
16,62,125,78,125,32,93,1
63,47,62,47,78,79,78,1
15,78,78,78,125,63,78,1
0,78,62,47,62,79,78,1
547,172,63,62,93,47,94,1
16,109,79,78,0,62,47,1
78,78,94,62,78,47,94,1
15,63,63,94,109,63,62,1
78,94,94,78,438,31,94,1
31,94,125,94,47,63,62,1
47,78,47,62,94,16,78,1
31,78,62,62,32,31,79,1
0,62,62,62,31,16,78,1
94,78,47,47,125,110,78,1
47,63,78,78,63,47,78,1
78,62,63,47,78,110,78,1
31,78,94,93,94,32,78,1
46,109,31,110,47,31,109,1
0,93,94,93,0,32,78,1
78,78,78,62,79,62,63,1
0,47,63,78,31,47,78,1
47,94,94,62,47,62,63,1
16,78,110,63,125,32,125,1
16,109,156,47,0,235,125,1
31,78,156,63,31,32,125,1
16,125,31,62,110,16,62,1
78,31,0,78,125,31,94,1
79,31,125,62,0,16,62,1
62,94,78,79,391,109,94,1
63,109,78,63,516,125,93,1
0,407,94,79,235,109,94,1
47,140,78,78,5,109,78,1
63,93,16,78,94,109,16,1
15,110,625,78,110,109,78,1
16,109,110,109,93,15,94,1
110,94,125,110,140,63,93,1
110,93,141,109,110,15,94,1
93,94,109,62,47,62,79,1
78,94,110,93,31,94,94,1
16,93,125,62,78,62,79,1
63,63,78,63,94,62,94,1
32,62,110,109,16,109,63,1
78,63,93,63,31,62,94,1
47,171,94,141,109,0,109,1
16,110,62,110,140,0,125,1
0,109,141,141,0,0,109,1
15,78,78,47,110,62,156,1
15,125,78,109,15,31,78,1
31,78,140,47,141,62,156,1
47,109,125,62,109,31,110,1
16,94,109,93,78,15,78,1
110,94,47,62,15,31,110,1
78,109,125,78,94,47,78,1
15,109,46,62,78,31,94,1
375,110,141,78,484,47,78,1
47,141,15,16,78,78,16,1
156,47,47,94,78,62,0,1
156,31,78,16,79,78,16,1
15,141,63,47,109,93,47,1
31,94,0,93,94,63,93,1
62,203,250,47,63,93,47,1
62,63,78,60,94,79,62,1
47,63,94,78,78,141,62,1
62,62,78,60,141,79,62,1
78,109,47,62,78,16,62,2
47,93,94,78,265,16,78,2
16,78,125,62,219,16,62,2
16,62,109,63,63,47,110,2
31,63,47,62,78,31,78,2
63,94,63,63,110,47,110,2
47,78,62,62,78,31,78,2
15,94,47,63,78,31,110,2
93,62,94,62,15,31,78,2
16,62,62,188,78,46,63,2
359,63,31,63,78,47,47,2
78,78,125,188,15,46,63,2
437,78,93,63,78,78,62,2
15,94,31,78,78,63,78,2
110,94,109,63,94,78,62,2
4369,69,89,78,37,69,61,2
4,98,89,68,13,63,78,2
6,79,11,78,15,69,61,2
156,94,79,250,63,78,125,2
15,78,109,78,94,172,125,2
78,78,93,250,266,78,125,2
32,63,63,94,88,16,93,2
32,94,47,47,32,46,125,2
78,78,63,94,15,16,93,2
141,63,63,63,188,47,78,2
78,47,79,828,172,62,63,2
109,47,94,63,125,47,78,2
125,78,94,78,78,31,78,2
16,78,16,78,78,31,94,2
0,94,94,78,31,31,78,2
47,110,78,62,78,16,78,2
16,62,62,78,32,32,62,2
31,46,78,62,32,16,78,2
31,79,109,63,78,16,78,2
0,62,31,78,15,16,94,2
16,62,62,63,15,16,78,2
343,46,62,62,78,31,47,2
0,47,110,125,78,47,62,2
47,62,62,62,47,31,47,2
31,109,94,47,93,47,62,2
32,94,16,94,78,62,79,2
109,63,79,47,46,47,62,2
78,62,63,62,31,47,62,2
62,62,78,78,47,62,63,2
78,62,62,62,31,47,62,2
47,31,93,78,47,0,31,2
16,78,609,63,94,94,16,2
156,78,31,78,93,0,31,2
32,78,79,62,15,31,79,2
16,78,125,78,47,94,94,2
78,93,140,62,156,31,79,2
109,63,63,63,78,78,63,2
47,78,62,78,78,62,47,2
62,47,63,63,47,78,63,2
47,125,63,94,94,31,63,2
15,125,62,62,94,0,63,2
47,78,125,94,31,31,63,2
79,94,94,78,78,32,93,2
125,94,78,94,78,93,78,2
31,31,78,78,94,32,93,2
