dtsk2,dtsk3,dtfk4,dtsk4,dtfk5,dtsk5,dtfk6,dtsk6,ft8,ft9,dtfk10,ft10,ft12,dtsk12,dtfk13,ft13,dtfk14,ft14,gender
94,78,78,235,235,94,62,250,157,94,156,94,125,62,63,47,62,16,1
94,62,78,78,94,109,110,141,47,173,79,78,141,343,156,32,62,32,1
46,94,78,235,0,109,62,43,0,1172,156,94,125,62,93,32,62,16,1
78,63,63,94,94,78,78,110,157,109,31,94,156,110,32,79,94,31,1
78,78,47,62,94,79,62,62,78,94,47,110,94,156,62,78,125,16,1
93,63,63,94,78,63,16,16,719,63,31,94,156,110,94,31,94,31,1
94,93,93,110,110,62,32,63,157,94,656,47,782,15,47,125,15,62,1
32,32,78,62,640,63,63,141,15,31,78,63,62,32,15,78,15,62,1
94,78,93,110,0,125,110,16,738,812,656,47,782,15,31,109,15,62,1
78,63,63,78,78,78,78,94,78,109,31,79,0,94,15,94,110,15,1
62,78,110,93,47,219,62,94,63,63,63,78,93,32,78,156,94,31,1
47,78,63,78,94,234,15,94,78,78,31,79,0,94,78,32,110,15,1
78,94,94,125,125,78,78,250,140,94,94,156,78,78,94,63,78,78,1
110,78,93,78,0,93,78,94,93,266,172,62,109,16,94,703,109,813,1
93,78,94,125,891,172,94,93,78,78,94,156,78,78,125,31,78,78,1
78,94,94,94,94,94,62,93,94,109,109,62,594,125,78,47,93,47,1
78,62,110,78,94,94,94,94,94,109,63,78,78,63,78,31,78,47,1
94,93,94,94,94,94,31,47,110,94,109,62,594,125,94,172,93,47,1
93,141,141,390,390,110,15,38,109,94,46,125,172,359,125,94,78,110,1
109,15,172,31,0,187,985,140,94,78,94,172,282,15,344,406,156,313,1
78,15,141,390,0,140,31,31,125,109,46,125,172,359,391,31,78,110,1
141,94,94,156,156,93,93,78,141,78,78,63,94,63,62,125,94,203,1
156,93,94,62,0,125,234,94,78,62,78,94,78,140,32,93,78,63,1
94,94,94,156,125,94,93,94,110,94,78,63,94,63,109,156,94,203,1
94,62,62,110,110,110,78,93,204,47,297,78,282,109,344,62,93,32,1
125,78,94,94,125,141,235,250,125,157,78,94,141,15,62,94,94,62,1
94,94,62,110,0,109,16,218,156,1313,297,78,282,109,94,141,93,32,1
78,63,63,109,109,62,31,63,93,78,94,47,47,125,15,78,62,32,1
78,31,78,31,0,62,94,78,110,62,78,63,78,110,62,31,63,47,1
16,47,63,109,125,63,16,94,125,62,94,47,47,125,94,46,62,32,1
102,118,118,91,91,144,63,109,125,125,156,47,343,125,110,31,94,15,1
94,63,110,63,78,94,78,157,94,125,79,78,125,250,110,15,156,15,1
109,532,118,91,94,125,16,110,125,110,156,47,343,125,109,16,94,15,1
78,94,94,63,63,63,78,78,93,78,78,15,16,62,79,15,15,47,1
125,78,78,62,515,78,79,78,47,63,63,62,172,15,63,47,109,16,1
78,78,94,63,94,79,31,109,78,109,78,15,16,62,79,78,15,47,1
63,109,109,78,78,47,78,172,78,172,265,79,32,109,41,65,78,15,1
63,78,94,94,78,203,78,110,141,109,31,62,46,219,47,63,78,47,1
78,94,109,78,62,110,78,63,62,94,265,79,32,109,46,47,78,15,1
78,78,78,141,141,125,110,203,110,16,47,63,16,94,109,32,79,78,1
94,110,78,62,172,94,94,125,94,79,63,93,93,32,78,16,94,31,1
110,78,78,141,125,125,47,109,93,62,47,63,16,94,63,62,79,78,1
47,63,63,62,62,62,63,78,110,140,78,62,15,78,47,94,78,16,1
94,63,62,93,78,62,79,125,156,62,47,109,47,78,47,47,63,47,1
62,62,63,62,63,78,46,141,78,171,78,62,15,78,78,62,78,16,1
47,78,78,328,328,172,157,313,47,94,62,78,125,78,62,125,78,31,1
110,157,46,31,0,172,344,140,515,188,62,78,78,62,156,16,62,281,1
78,15,78,328,0,172,47,62,125,47,62,78,125,78,79,31,78,31,1
78,78,78,94,94,94,63,63,109,156,78,78,828,78,78,297,63,219,1
62,63,62,62,93,109,78,203,47,62,62,94,62,344,94,484,78,204,1
62,62,78,94,141,109,219,125,78,141,78,78,828,78,62,375,63,219,1
94,62,62,250,250,63,78,78,266,204,78,78,32,93,47,78,93,78,1
109,78,78,78,125,63,63,141,516,266,63,93,93,547,0,78,62,16,1
78,78,62,250,844,31,16,94,78,1203,78,78,32,93,78,63,93,78,1
93,109,109,171,171,109,47,62,78,109,31,47,16,78,47,78,78,31,1
16,47,94,47,110,109,375,78,16,94,63,78,109,0,62,16,94,15,1
93,78,109,171,94,125,15,140,0,94,31,47,16,78,94,62,78,31,1
78,93,93,78,78,63,63,187,94,0,141,109,16,78,78,78,93,32,1
63,63,78,63,0,94,63,125,94,125,234,328,93,32,78,32,94,31,1
62,78,93,78,94,63,15,94,110,93,141,109,16,78,78,16,93,32,1
109,109,109,78,78,78,78,110,125,172,94,78,265,94,63,422,93,94,1
78,78,78,93,94,78,110,610,141,94,93,94,94,140,93,547,110,125,1
78,94,109,78,93,94,78,156,94,188,94,78,265,94,93,203,93,94,1
47,63,63,156,156,63,63,62,47,63,78,56,15,110,78,78,62,31,1
47,63,47,47,0,656,73,16,78,109,62,78,110,62,31,47,63,31,1
63,62,63,156,0,94,62,15,703,891,78,56,15,110,78,172,62,31,1
109,47,47,438,438,46,94,94,140,32,94,31,16,78,15,78,78,0,1
110,94,78,78,0,46,78,78,109,125,63,62,94,78,32,110,78,31,1
93,78,47,438,0,94,78,46,94,844,94,31,16,78,94,62,78,0,1
125,93,93,594,594,140,94,93,109,16,47,78,16,93,0,125,78,32,1
125,94,109,78,125,141,78,109,110,0,62,94,78,94,94,15,94,47,1
63,94,93,594,234,109,94,109,94,1078,47,78,16,93,93,125,78,32,1
47,31,31,63,63,79,63,172,78,156,63,47,172,78,63,78,46,79,1
47,63,79,47,47,94,93,125,63,63,62,78,62,47,63,125,62,63,1
63,62,31,63,46,94,94,109,79,141,63,47,172,78,78,62,46,79,1
172,79,79,225,225,110,63,78,140,93,47,62,15,62,32,93,94,47,1
109,63,78,62,609,0,109,172,47,94,78,78,94,78,78,0,15,62,1
47,78,79,225,0,141,93,62,109,78,47,62,15,62,47,78,94,47,1
63,93,93,140,140,109,31,62,125,109,47,94,78,62,47,109,93,63,1
63,31,79,78,125,109,141,156,94,63,47,78,110,78,47,438,94,31,1
63,78,93,140,47,94,78,94,766,125,47,94,78,62,94,47,93,63,1
78,40,40,380,380,125,79,62,94,78,47,62,15,78,32,94,62,16,1
0,79,78,78,0,125,63,15,94,31,63,62,94,141,62,32,78,31,1
78,94,40,380,125,94,63,94,922,891,47,62,15,78,79,31,62,16,1
78,78,78,79,79,93,62,63,125,156,125,47,125,62,63,125,62,110,1
63,62,63,62,94,125,63,172,125,47,62,78,62,78,78,63,63,47,1
47,47,78,79,78,125,62,125,78,187,125,47,125,62,78,78,62,110,1
78,109,109,172,172,156,110,125,109,47,0,93,46,79,31,94,78,32,1
16,110,125,78,110,156,453,47,125,141,93,110,78,110,62,47,157,31,1
110,78,109,172,172,157,31,15,141,875,0,93,46,79,109,0,78,32,1
78,63,63,62,62,94,62,94,94,547,32,62,0,78,31,79,78,62,1
16,62,78,52,78,188,110,141,297,110,78,78,94,15,31,31,78,47,1
94,47,63,62,79,78,16,31,62,62,32,62,0,78,78,47,78,62,1
78,93,93,78,78,94,94,156,31,110,78,63,125,110,125,125,78,32,1
78,94,78,78,0,109,62,313,141,156,78,47,94,235,125,0,62,235,1
78,109,93,78,0,94,0,78,78,62,78,63,125,110,125,31,78,32,1
125,47,47,203,203,62,31,47,297,0,16,62,31,47,156,110,78,16,1
63,31,344,0,1469,31,94,63,32,32,78,78,156,16,31,125,63,31,1
62,62,47,203,141,125,125,47,0,110,16,62,31,47,94,0,78,16,1
94,78,78,78,78,88,78,109,94,531,234,79,47,109,78,391,78,109,1
94,78,62,78,62,78,93,172,125,78,281,63,94,110,78,516,94,125,1
78,78,78,78,1109,250,32,157,88,250,234,79,47,109,93,235,78,109,1
140,78,78,110,110,110,31,15,62,578,63,78,31,63,48,5,46,109,1
46,31,15,31,141,94,79,31,32,140,31,78,109,31,16,94,16,109,1
32,16,78,110,438,31,93,47,0,62,63,78,31,63,16,110,46,109,1
109,187,187,157,157,94,109,125,16,110,94,109,157,171,110,93,141,15,1
94,109,78,47,172,172,63,500,47,156,93,110,172,78,531,140,125,63,1
125,125,187,157,94,110,94,125,0,125,94,109,157,171,93,110,141,15,1
94,94,94,125,125,125,94,141,157,109,94,62,110,93,94,47,109,62,1
94,94,94,109,109,171,94,140,125,125,47,93,94,453,94,31,109,94,1
78,109,94,125,125,141,47,94,94,94,94,62,110,93,94,78,109,62,1
63,78,78,94,94,98,78,109,109,94,93,63,46,63,63,94,110,62,1
47,78,94,78,94,78,78,125,125,78,78,109,63,109,63,16,78,109,1
62,94,78,94,110,78,15,63,78,125,93,63,46,63,63,31,110,62,1
171,94,94,156,156,140,172,94,93,47,15,141,16,114,78,109,125,0,1
63,172,125,63,110,187,94,47,94,140,62,110,93,110,62,140,78,0,1
125,78,94,156,125,140,16,0,109,125,15,141,16,114,125,0,125,0,1
78,78,78,141,141,125,78,78,47,32,47,47,78,16,0,110,110,62,1
16,78,78,63,0,125,63,110,47,93,78,109,109,187,94,15,94,31,1
110,94,78,141,187,94,94,47,0,94,47,47,78,16,78,141,110,62,1
109,297,297,203,203,137,78,172,109,188,157,62,94,78,94,109,109,31,1
125,78,93,78,156,137,125,94,94,141,110,93,78,109,15,78,78,15,1
62,125,297,203,0,140,32,16,94,78,157,62,94,78,78,15,109,31,1
109,110,110,203,203,109,78,500,93,343,156,78,110,93,78,94,94,47,1
93,78,125,62,0,109,125,609,94,266,79,62,94,172,79,78,78,31,1
63,93,110,203,0,125,78,141,109,1114,156,78,110,93,94,484,94,47,1
141,109,109,78,78,31,47,78,78,125,94,16,47,63,31,78,0,78,1
47,47,31,16,531,31,62,172,47,78,31,94,109,31,32,78,31,62,1
62,47,109,78,671,31,15,0,0,937,94,16,47,63,0,79,0,78,1
141,110,110,125,125,125,125,47,32,109,125,47,16,63,46,109,15,93,1
125,125,16,94,0,125,93,78,47,203,47,93,78,156,0,94,0,63,1
47,16,110,125,657,15,63,125,78,781,125,47,16,63,93,63,15,93,1
63,63,63,78,78,78,62,78,203,125,40,60,94,62,63,94,78,79,1
46,62,79,63,78,47,106,91,125,76,47,78,176,13,63,78,62,141,1
46,94,63,78,62,78,27,115,67,63,40,60,94,62,62,141,78,79,1
109,109,109,109,109,78,63,78,156,16,141,62,203,63,32,78,63,16,2
94,63,125,62,0,141,109,203,187,203,78,78,63,94,78,265,78,16,2
125,62,109,109,0,94,93,62,78,156,141,62,203,63,78,219,63,16,2
62,94,94,250,250,141,47,94,78,157,156,63,47,78,156,63,93,47,2
110,47,47,62,0,141,62,16,125,219,63,62,62,266,16,78,110,31,2
31,125,94,250,62,94,32,172,78,1047,156,63,47,78,78,110,93,47,2
78,94,94,250,250,47,94,63,31,31,63,62,78,16,16,78,63,31,2
109,94,78,16,0,47,78,47,31,31,15,63,63,125,16,78,63,31,2
62,78,94,250,906,47,78,141,875,797,63,62,78,16,110,15,63,31,2
62,78,78,109,109,63,32,47,110,47,16,188,47,62,16,78,47,46,2
47,32,62,47,0,94,359,47,94,93,62,63,156,16,16,78,63,47,2
16,79,78,109,0,94,59,79,78,766,16,188,47,62,47,15,47,46,2
78,94,94,140,140,62,94,219,110,125,125,63,94,109,125,78,78,78,2
78,94,94,78,0,62,109,110,203,46,78,78,78,78,16,78,78,63,2
63,78,94,140,109,78,63,94,79,63,125,63,94,109,78,94,78,78,2
69,90,90,80,80,110,65,192,96,297,47,78,78,109,81,37,33,69,2
72,65,78,78,70,65,78,187,94,94,58,68,62,141,79,13,78,63,2
79,104,90,80,73,103,109,172,94,258,47,78,78,109,78,15,33,69,2
94,109,109,172,172,109,63,94,156,109,110,250,47,125,15,63,78,78,2
78,63,156,78,0,109,78,62,109,78,78,78,94,62,410,94,109,172,2
94,78,109,172,0,109,47,141,125,94,110,250,47,125,125,266,78,78,2
63,93,93,187,187,78,93,125,94,110,16,94,15,78,20,88,109,16,2
32,93,62,62,110,78,78,78,47,78,47,47,172,15,32,32,63,46,2
78,93,93,187,109,63,16,94,47,94,16,94,15,78,125,15,109,16,2
63,78,78,62,62,47,46,62,109,109,547,63,203,62,62,188,47,47,2
47,46,62,78,63,78,1015,125,109,94,31,828,62,485,47,172,63,62,2
78,62,78,62,47,109,79,125,94,171,547,63,203,62,63,125,47,47,2
78,125,125,109,109,125,78,94,78,47,63,78,47,78,47,78,79,31,2
78,78,94,110,78,187,109,46,78,93,78,78,94,62,78,78,78,31,2
94,94,125,109,93,110,78,63,93,984,63,78,47,78,94,31,79,31,2
110,94,94,79,79,140,47,94,78,78,31,62,15,94,31,78,94,16,2
125,47,78,78,98,124,79,125,62,94,63,78,78,0,62,32,93,32,2
344,62,94,79,94,125,62,62,78,94,31,62,15,94,62,32,94,16,2
79,79,79,140,140,90,78,94,93,46,47,63,0,78,16,78,94,16,2
94,78,78,94,0,93,78,31,63,125,63,78,78,31,78,15,62,16,2
63,78,79,140,0,125,0,31,78,94,47,63,0,78,94,15,94,16,2
46,47,47,78,78,79,47,63,156,157,94,62,234,31,47,78,62,31,2
47,47,93,63,125,141,156,141,125,63,32,125,63,94,16,78,47,47,2
16,47,47,78,79,110,78,156,63,62,94,62,234,31,62,47,62,31,2
109,94,94,172,172,100,78,125,109,16,78,47,109,94,16,93,94,47,2
78,78,93,78,94,110,62,62,109,62,47,94,78,47,16,78,78,62,2
94,94,94,172,78,125,141,78,94,968,78,47,109,94,79,46,94,47,2
62,62,62,78,78,79,62,78,94,63,109,62,78,62,47,31,63,47,2
63,62,63,63,63,62,94,15,125,157,62,78,93,78,78,47,78,62,2
63,78,62,78,47,63,0,94,843,63,109,62,78,62,63,31,63,47,2
31,78,78,125,125,47,110,47,16,78,15,78,110,62,16,47,78,0,2
78,110,16,32,484,47,78,0,63,31,31,63,109,62,0,94,16,94,2
47,110,78,125,0,62,78,110,0,547,15,78,110,62,16,93,78,0,2
78,62,62,78,78,62,63,94,109,141,141,62,63,93,94,15,62,31,2
62,63,93,94,109,78,79,93,93,125,94,78,78,94,78,47,78,94,2
63,78,62,78,47,94,62,15,78,32,141,62,63,93,94,156,62,31,2
63,63,63,78,78,63,63,94,109,47,156,63,188,78,78,78,47,78,2
62,63,62,62,63,78,109,172,125,78,63,78,62,125,63,78,63,62,2
47,63,63,78,63,47,63,110,78,94,156,63,188,78,47,47,47,78,2
125,156,156,78,78,180,78,94,47,16,78,94,93,0,31,94,78,31,2
94,78,15,47,141,187,62,219,63,20,94,62,63,141,16,94,93,0,2
0,94,156,78,0,172,94,110,1312,1094,78,94,93,0,63,31,78,31,2
94,78,78,109,109,125,63,78,125,93,63,78,93,32,31,78,78,32,2
16,63,47,31,110,125,94,109,15,94,94,94,125,500,78,78,63,93,2
94,156,78,109,0,94,0,120,109,78,63,78,93,32,78,94,78,32,2
