ft1,dtsk1,dtsk2,dtsk4,ft5,dtsk5,dtfk6,ft7,dtsk7,ft8,ft9,ft10,ft11,dtsk11,dtfk12,ft13,dtfk14,ft14,dtsk14,sum,gender
31,94,78,31,15,79,78,31,62,141,78,47,94,109,125,32,31,78,47,3061,1
16,93,94,156,47,141,19,32,78,63,78,78,141,62,15,63,78,32,93,3506,1
93,63,47,78,156,31,47,63,78,94,63,47,15,63,78,125,63,15,79,2970,1
32,110,94,79,16,78,93,15,110,110,31,79,15,78,93,63,47,31,94,2738,1
62,32,78,78,16,125,94,16,78,94,31,47,15,63,78,63,63,15,79,2846,1
281,125,94,235,31,94,62,47,63,157,94,94,47,125,109,47,62,16,94,5096,1
16,125,94,78,125,109,110,109,63,47,173,78,31,109,31,32,62,32,93,4137,1
47,156,46,235,46,109,62,110,93,0,1172,94,47,125,109,32,62,16,94,5517,1
187,94,78,94,141,78,78,16,94,157,109,94,47,78,109,79,94,31,78,3534,1
15,78,78,62,109,79,62,265,32,78,94,110,63,125,78,78,125,16,94,3531,1
16,62,93,94,94,63,16,15,93,719,63,94,47,78,109,31,94,31,78,4454,1
31,109,94,110,62,62,32,16,63,157,94,47,78,79,766,125,15,62,47,5333,1
15,78,32,62,703,63,63,94,47,15,31,63,15,93,832,78,15,62,31,4297,1
157,15,94,110,15,125,110,16,47,738,812,47,78,79,766,109,15,62,47,7947,1
16,93,78,78,94,78,78,94,78,78,109,79,93,63,78,94,110,15,78,4015,1
15,94,62,93,125,219,62,78,15,63,63,78,94,62,78,156,94,31,78,3294,1
47,78,47,78,125,234,15,15,62,78,78,79,93,63,78,32,110,15,78,4452,1
16,94,78,125,94,78,78,109,172,140,94,156,94,203,94,63,78,78,78,5954,1
16,125,110,78,62,93,78,93,94,93,266,62,78,110,156,703,109,813,125,5530,1
16,94,93,125,93,172,94,78,78,78,78,156,94,203,94,31,78,78,78,5998,1
16,78,78,94,109,94,62,15,79,94,109,62,125,78,78,47,93,47,78,4670,1
16,78,78,78,78,94,94,31,78,94,109,78,78,78,109,31,78,47,94,3172,1
47,78,94,94,78,94,31,31,78,110,94,62,125,78,78,172,93,47,78,4016,1
157,109,93,390,63,110,15,93,219,109,94,125,62,141,47,94,78,110,109,6223,1
129,297,109,31,15,187,985,125,125,94,78,172,110,78,157,406,156,313,391,6904,1
125,344,78,390,46,140,31,187,94,125,109,125,62,141,47,31,78,110,109,7576,1
296,110,141,156,63,93,93,31,110,141,78,63,63,157,109,125,94,203,140,4641,1
94,94,156,62,78,125,234,94,62,78,62,94,47,109,141,93,78,63,109,4392,1
93,32,94,156,62,94,93,62,109,110,94,63,63,157,109,156,94,203,140,5392,1
16,93,94,110,15,110,78,109,79,204,47,78,31,141,93,62,93,32,109,5689,1
32,93,125,94,15,141,235,125,344,125,157,94,31,140,78,94,94,62,94,4655,1
141,62,94,110,15,109,16,188,109,156,1313,78,31,141,93,141,93,32,109,7678,1
32,109,78,109,16,62,31,47,63,93,78,47,16,31,94,78,62,32,78,3155,1
15,94,78,31,15,62,94,63,15,110,62,63,47,94,109,31,63,47,94,2765,1
63,62,16,109,16,63,16,16,79,125,62,47,16,31,94,46,62,32,78,3729,1
15,82,102,91,259,144,63,78,16,125,125,47,94,187,110,31,94,15,125,5127,1
188,62,94,63,172,94,78,16,110,94,125,78,125,78,125,15,156,15,109,4174,1
15,110,109,91,223,125,16,16,78,125,110,47,94,187,110,16,94,15,125,4970,1
31,78,78,63,62,63,78,32,46,93,78,15,109,140,78,15,15,47,16,3312,1
16,62,125,62,63,78,79,31,79,47,63,62,79,78,109,47,109,16,79,3658,1
31,63,78,63,62,79,31,172,16,78,109,15,109,140,78,78,15,47,16,2985,1
62,94,63,78,125,47,78,16,63,78,172,79,46,32,62,65,78,15,63,3560,1
16,78,63,94,125,203,78,116,41,141,109,62,47,94,126,63,78,47,46,3641,1
31,47,78,78,125,110,78,31,62,62,94,79,46,32,62,47,78,15,63,4048,1
62,110,78,141,16,125,110,16,94,110,16,63,125,78,187,32,79,78,62,3862,1
31,125,94,62,15,94,94,63,109,94,79,93,110,78,110,16,94,31,63,3611,1
47,78,110,141,109,125,47,15,63,93,62,63,125,78,187,62,79,78,62,3614,1
32,78,47,62,141,62,63,110,78,110,140,62,140,47,63,94,78,16,62,3080,1
47,62,94,93,157,62,79,203,47,156,62,109,94,62,125,47,63,47,78,3515,1
125,47,62,62,140,78,46,31,63,78,171,62,140,47,63,62,78,16,62,3141,1
141,93,47,328,62,172,157,78,125,47,94,78,234,63,47,125,78,31,94,6577,1
109,32,110,31,62,172,344,235,62,515,188,78,93,63,94,16,62,281,79,5172,1
78,156,78,328,63,172,47,141,62,125,47,78,234,63,47,31,78,31,94,4420,1
282,93,78,94,47,94,63,218,47,109,156,78,140,94,78,297,63,219,78,6749,1
297,62,62,62,63,109,78,250,78,47,62,94,140,78,94,484,78,204,62,4935,1
797,94,62,94,203,109,219,375,47,78,141,78,140,94,78,375,63,219,78,6250,1
32,93,94,250,63,63,78,46,0,266,204,78,47,63,109,78,93,78,63,4202,1
16,94,109,78,16,63,63,16,47,516,266,93,15,78,94,78,62,16,78,3891,1
172,0,78,250,938,31,16,32,78,78,1203,78,47,63,109,63,93,78,63,7094,1
0,94,93,171,16,109,47,62,63,78,109,47,47,78,63,78,78,31,125,3624,1
16,94,16,47,31,109,375,109,47,16,94,78,47,125,16,16,94,15,94,3281,1
31,62,93,171,31,125,15,125,109,0,94,47,47,78,63,62,78,31,125,4501,1
15,110,78,78,203,63,63,0,78,94,0,109,78,94,93,78,93,32,62,3703,1
16,78,63,63,0,94,63,63,78,94,125,328,93,78,94,32,94,31,78,3610,1
31,78,62,78,171,63,15,16,62,110,93,109,78,94,93,16,93,32,62,3280,1
172,94,109,78,110,78,78,140,63,125,172,78,156,79,94,422,93,94,78,4923,1
359,94,78,93,78,78,110,328,63,141,94,94,109,79,156,547,110,125,93,5672,1
313,93,78,78,250,94,78,187,78,94,188,78,156,79,94,203,93,94,78,4811,1
94,93,47,156,31,63,63,125,78,47,63,56,31,125,79,78,62,31,63,3755,1
16,47,47,47,594,656,73,125,78,78,109,78,0,63,47,47,63,31,78,3739,1
31,31,63,156,16,94,62,31,63,703,891,56,31,125,79,172,62,31,63,5098,1
16,110,109,438,31,46,94,31,94,140,32,31,125,109,109,78,78,0,94,4172,1
0,109,110,78,32,46,78,78,15,109,125,62,31,62,687,110,78,31,94,3593,1
109,32,93,438,31,94,78,31,94,94,844,31,125,109,109,62,78,0,94,5717,1
31,110,125,594,47,140,94,141,62,109,16,78,62,109,125,125,78,32,93,4935,1
16,94,125,78,31,141,78,110,0,110,0,94,62,125,172,15,94,47,93,3515,1
16,94,63,594,16,109,94,78,94,94,1078,78,62,109,125,125,78,32,93,6516,1
63,93,47,63,171,79,63,32,78,78,156,47,78,47,78,78,46,79,78,3344,1
15,93,47,47,31,94,93,15,63,63,63,78,94,63,125,125,62,63,78,3125,1
0,63,63,63,47,94,94,16,62,79,141,47,78,47,78,62,46,79,78,2983,1
547,156,172,225,40,110,63,47,78,140,93,62,63,93,47,93,94,47,94,4488,1
16,109,109,62,734,0,109,93,32,47,94,78,78,172,110,0,15,62,47,4343,1
78,78,47,225,47,141,93,31,172,109,78,62,63,93,47,78,94,47,94,4134,1
15,63,63,140,188,109,31,578,94,125,109,94,94,188,47,109,93,63,62,3999,1
78,125,63,78,207,109,141,78,47,94,63,78,125,62,93,438,94,31,94,3941,1
31,47,63,140,687,94,78,453,78,766,125,94,94,188,47,47,93,63,62,5077,1
47,94,78,380,47,125,79,16,62,94,78,62,32,0,47,94,62,16,78,3507,1
31,78,0,78,47,125,63,31,32,94,31,62,63,94,62,32,78,31,79,3018,1
0,62,78,380,140,94,63,0,32,922,891,62,32,0,47,31,62,16,78,5659,1
94,94,78,79,250,93,62,141,62,125,156,47,93,63,63,125,62,110,78,4205,1
47,78,63,62,125,125,63,78,63,125,47,78,110,62,110,63,63,47,78,3438,1
78,78,47,79,172,125,62,125,83,78,187,47,93,63,63,78,62,110,78,3585,1
31,125,78,172,31,156,110,16,93,109,47,93,47,63,32,94,78,32,78,3983,1
46,125,16,78,125,156,453,63,31,125,141,110,31,93,109,47,157,31,109,4546,1
0,62,110,172,93,157,31,78,94,141,875,93,47,63,32,0,78,32,78,5156,1
78,110,78,62,94,94,62,31,94,94,547,62,94,63,141,79,78,62,63,3438,1
0,78,16,52,94,188,110,62,31,297,110,78,110,62,141,31,78,47,78,3129,1
47,31,94,62,78,78,16,47,78,62,62,62,94,63,141,47,78,62,63,3866,1
16,94,78,78,31,94,94,31,78,31,110,63,110,78,93,125,78,32,125,3953,1
16,62,78,78,31,109,62,31,125,141,156,47,94,62,125,0,62,235,125,3921,1
31,125,78,78,0,94,0,16,94,78,62,63,110,78,93,31,78,32,125,3623,1
16,109,125,203,47,62,31,63,31,297,0,62,31,62,31,110,78,16,62,3231,1
78,16,63,0,140,31,94,62,156,32,32,78,47,63,78,125,63,31,94,4361,1
79,31,62,203,15,125,125,719,109,0,110,62,31,62,31,0,78,16,62,4186,1
62,110,94,78,249,88,78,344,407,94,531,79,140,79,78,391,78,109,94,5854,1
63,93,94,78,204,78,93,172,78,125,78,63,172,78,213,516,94,125,93,5009,1
0,78,78,78,63,250,32,203,78,88,250,79,140,79,78,235,78,109,94,5833,1
47,47,140,110,15,110,31,16,110,62,578,78,47,15,63,5,46,109,78,3717,1
63,31,46,31,0,94,79,78,48,32,140,78,78,62,31,94,16,109,16,2360,1
15,16,32,110,125,31,93,32,79,0,62,78,47,15,63,110,46,109,78,3677,1
16,125,109,157,156,94,109,94,93,16,110,109,203,63,47,93,141,15,94,4960,1
110,109,94,47,0,172,63,125,110,47,156,110,141,62,47,140,125,63,93,5704,1
110,531,125,157,156,110,94,140,78,0,125,109,203,63,47,110,141,15,94,5814,1
93,125,94,125,78,125,94,63,93,157,109,62,94,78,109,47,109,62,79,4233,1
78,125,94,109,32,171,94,140,94,125,125,93,47,110,187,31,109,94,94,4563,1
16,94,78,125,47,141,47,110,78,94,94,62,94,78,109,78,109,62,79,4142,1
63,109,63,94,219,98,78,109,63,109,94,63,110,46,94,94,110,62,94,3677,1
32,62,47,78,187,78,78,15,63,125,78,109,93,78,125,16,78,109,63,3404,1
78,63,62,94,234,78,15,0,63,78,125,63,110,46,94,31,110,62,94,3484,1
47,110,171,156,32,140,172,31,109,93,47,141,31,125,125,109,125,0,109,4112,1
16,109,63,63,78,187,94,109,78,94,140,110,93,94,110,140,78,0,125,3546,1
0,62,125,156,79,140,16,15,94,109,125,141,31,125,125,0,125,0,109,4802,1
15,78,78,141,62,125,78,63,78,47,32,47,140,63,109,110,110,62,156,3298,1
15,94,16,63,15,125,63,78,0,47,93,109,93,32,31,15,94,31,78,3000,1
31,94,110,141,0,94,94,63,62,0,94,47,140,63,109,141,110,62,156,4078,1
47,94,109,203,15,137,78,16,94,109,188,62,78,109,141,109,109,31,110,4810,1
16,78,125,78,16,137,125,0,94,94,141,93,63,141,375,78,78,15,78,3762,1
110,15,62,203,47,140,32,16,172,94,78,62,78,109,141,15,109,31,110,4143,1
78,125,109,203,78,109,78,47,110,93,343,78,63,78,109,94,94,47,78,5623,1
15,156,93,62,15,109,125,109,78,94,266,62,110,109,94,78,78,31,94,5015,1
375,79,63,203,47,125,78,31,110,109,1114,78,63,78,109,484,94,47,78,6649,1
47,78,141,78,32,31,47,47,31,78,125,16,125,47,62,78,0,78,16,3281,1
156,32,47,16,625,31,62,79,31,47,78,94,0,62,47,78,31,62,0,3485,1
156,32,62,78,193,31,15,32,93,0,937,16,125,47,62,79,0,78,16,4676,1
15,109,141,125,31,125,125,125,203,32,109,47,141,31,31,109,15,93,47,4046,1
31,109,125,94,0,125,93,16,46,47,203,93,93,47,1000,94,0,63,93,4154,1
62,0,47,125,720,15,63,78,453,78,781,47,141,31,31,63,15,93,47,6861,1
62,62,63,78,31,78,62,79,62,203,125,60,125,63,63,94,78,79,62,3348,1
47,62,46,63,250,47,106,93,63,125,76,78,109,63,101,78,62,141,62,3587,1
62,63,46,78,188,78,27,140,63,67,63,60,125,63,63,141,78,79,62,3553,1
78,110,109,109,31,78,63,234,78,156,16,62,16,62,109,78,63,16,62,3921,2
47,78,94,62,31,141,109,109,32,187,203,78,16,78,125,265,78,16,78,3845,2
16,78,125,109,16,94,93,109,109,78,156,62,16,62,109,219,63,16,62,4874,2
16,78,62,250,31,141,47,62,94,78,157,63,62,94,109,63,93,47,110,4562,2
31,78,110,62,32,141,62,125,156,125,219,62,78,62,94,78,110,31,78,3488,2
63,16,31,250,94,94,32,15,62,78,1047,63,62,94,109,110,93,47,110,5671,2
47,172,78,250,47,47,94,47,62,31,31,62,141,31,16,78,63,31,78,3049,2
15,109,109,16,47,47,78,125,16,31,31,63,94,31,968,78,63,31,110,3707,2
93,16,62,250,1000,47,78,203,78,875,797,62,141,31,16,15,63,31,78,8140,2
16,109,62,109,31,63,32,32,78,110,47,188,47,16,16,78,47,46,63,3000,2
359,94,47,47,15,94,359,47,16,94,93,63,15,62,94,78,63,47,47,2969,2
78,16,16,109,31,94,59,78,78,78,766,188,47,16,16,15,47,46,63,4467,2
437,94,78,140,31,62,94,16,94,110,125,63,94,62,78,78,78,78,62,4296,2
15,94,78,78,16,62,109,109,125,203,46,78,109,62,109,78,78,63,78,3310,2
110,16,63,140,16,78,63,16,78,79,63,63,94,62,78,94,78,78,62,4249,2
4369,113,69,80,442,110,65,36,79,96,297,78,111,41,63,37,33,69,61,8445,2
4,79,72,78,411,65,78,24,81,94,94,68,94,94,141,13,78,63,78,4213,2
6,79,79,80,185,103,109,73,31,94,258,78,111,41,63,15,33,69,61,3365,2
156,125,94,172,47,109,63,78,78,156,109,250,63,141,78,63,78,78,125,4252,2
15,94,78,78,31,109,78,94,15,109,78,78,47,62,109,94,109,172,125,3846,2
78,410,94,172,15,109,47,172,94,125,94,250,63,141,78,266,78,78,125,5502,2
32,125,63,187,0,78,93,31,78,94,110,94,78,47,63,88,109,16,93,3638,2
32,94,32,62,31,78,78,117,20,47,78,47,31,63,109,32,63,46,125,3279,2
78,32,78,187,47,63,16,15,78,47,94,94,78,47,63,15,109,16,93,3657,2
141,78,63,62,31,47,46,109,47,109,109,63,125,62,63,188,47,47,78,4983,2
78,63,47,78,94,78,1015,125,62,109,94,828,110,93,188,172,63,62,63,5531,2
109,47,78,62,78,109,79,219,47,94,171,63,125,62,63,125,47,47,78,5221,2
125,109,78,109,47,125,78,0,94,78,47,78,93,203,94,78,79,31,78,3750,2
16,78,78,110,78,187,109,62,47,78,93,78,110,62,94,78,78,31,94,3373,2
0,78,94,109,78,110,78,31,78,93,984,78,93,203,94,31,79,31,78,5093,2
47,125,110,79,31,140,47,16,46,78,78,62,62,109,110,78,94,16,78,3298,2
16,62,125,78,59,124,79,94,31,62,94,78,93,140,78,32,93,32,62,3122,2
31,62,344,79,31,125,62,16,94,78,94,62,62,109,110,32,94,16,78,3749,2
31,78,79,140,47,90,78,0,62,93,46,63,94,47,78,78,94,16,78,2996,2
0,63,94,94,16,93,78,140,16,63,125,78,94,78,94,15,62,16,94,3220,2
16,78,63,140,63,125,0,31,78,78,94,63,94,47,78,15,94,16,78,3423,2
343,63,46,78,125,79,47,16,62,156,157,62,109,62,110,78,62,31,47,3952,2
0,78,47,63,62,141,156,62,47,125,63,125,125,63,140,78,47,47,62,3300,2
47,16,16,78,46,110,78,16,62,63,62,62,109,62,110,47,62,31,47,4171,2
31,141,109,172,15,100,78,46,63,109,16,47,62,125,110,93,94,47,62,3582,2
32,110,78,78,46,110,62,141,16,109,62,94,31,110,110,78,78,62,79,3159,2
109,16,94,172,94,125,141,15,94,94,968,47,62,125,110,46,94,47,62,5580,2
78,78,62,78,62,79,62,78,62,94,63,62,93,63,63,31,63,47,62,3012,2
62,79,63,63,125,62,94,125,47,125,157,78,94,63,79,47,78,62,63,3267,2
78,78,63,78,125,63,0,78,63,843,63,62,93,63,63,31,63,47,62,3780,2
47,63,31,125,47,47,110,16,78,16,78,78,63,109,16,47,78,0,31,3142,2
16,78,78,32,500,47,78,47,16,63,31,63,62,79,78,94,16,94,16,3721,2
156,0,47,125,47,62,78,78,94,0,547,78,63,109,16,93,78,0,31,3562,2
32,109,78,78,172,62,63,78,93,109,141,62,78,78,78,15,62,31,79,4392,2
16,93,62,94,157,78,79,141,94,93,125,78,110,78,141,47,78,94,94,3658,2
78,78,63,78,156,94,62,63,78,78,32,62,78,78,78,156,62,31,79,3643,2
109,62,63,78,187,63,63,62,47,109,47,63,94,63,78,78,47,78,63,3596,2
47,63,62,62,62,78,109,94,78,125,78,78,109,78,156,78,63,62,47,3406,2
62,63,47,78,140,47,63,47,78,78,94,63,94,63,78,47,47,78,63,3410,2
47,157,125,78,78,180,78,16,78,47,16,94,109,47,46,94,78,31,63,3397,2
15,94,94,47,47,187,62,47,31,63,20,62,125,46,1390,94,93,0,63,4740,2
47,16,0,78,15,172,94,94,94,1312,1094,94,109,47,46,31,78,31,63,7215,2
79,109,94,109,31,125,63,141,31,125,93,78,0,62,15,78,78,32,93,3421,2
125,93,16,31,31,125,94,78,31,15,94,94,172,16,0,78,63,93,78,3729,2
31,78,94,109,0,94,0,47,109,109,78,78,0,62,15,94,78,32,93,3667,2
