dtsk2,ft4,dtfk5,ft5,dtsk5,ft7,dtsk7,dtfk8,ft8,dtsk8,dtsk9,dtfk10,ft10,dtsk10,dtfk11,dtfk12,dtfk13,ft13,dtsk13,ft14,dtsk14,gender
110,141,0,32,46,78,15,63,109,47,110,63,62,78,125,687,32,110,31,31,94,1
93,391,0,31,94,31,94,0,94,687,31,94,31,78,109,109,94,62,63,0,94,1
125,485,594,47,140,141,62,125,109,63,125,47,78,78,47,125,0,125,62,32,93,1
125,47,125,31,141,110,0,78,110,109,109,62,94,62,125,172,94,15,63,47,93,1
63,485,234,16,109,78,94,109,94,172,32,47,78,78,47,125,93,125,94,32,93,1
47,125,63,171,79,32,78,78,78,78,78,63,47,93,78,78,63,78,63,79,78,1
47,46,47,31,94,15,63,78,63,109,125,62,78,63,78,125,63,125,31,63,78,1
63,125,46,47,94,16,62,62,79,125,78,63,47,93,78,78,78,62,32,79,78,1
172,128,225,40,110,47,78,15,140,94,203,47,62,109,78,47,32,93,16,47,94,1
109,47,609,734,0,93,32,109,47,125,78,78,78,78,79,110,78,0,63,62,47,1
47,128,0,47,141,31,172,47,109,110,79,47,62,109,78,47,47,78,47,47,94,1
63,63,140,188,109,578,94,78,125,62,78,47,94,141,78,47,47,109,47,63,62,1
63,62,125,207,109,78,47,94,94,62,93,47,78,63,78,93,47,438,62,31,94,1
63,63,47,687,94,453,78,63,766,93,94,47,94,141,78,47,94,47,62,63,62,1
78,271,380,47,125,16,62,94,94,62,172,47,62,63,125,47,32,94,31,16,78,1
0,32,0,47,125,31,32,78,94,78,125,63,62,63,312,62,62,32,62,31,79,1
78,271,125,140,94,0,32,76,922,62,62,47,62,63,125,47,79,31,156,16,78,1
78,140,79,250,93,141,62,62,125,63,47,125,47,63,63,63,63,125,62,110,78,1
63,94,94,125,125,78,63,78,125,62,156,62,78,63,78,110,78,63,46,47,78,1
47,140,78,172,125,125,83,47,78,110,78,125,47,63,63,63,78,78,47,110,78,1
78,31,172,31,156,16,93,109,109,63,187,0,93,453,140,32,31,94,78,32,78,1
16,15,110,125,156,63,31,94,125,62,0,93,110,78,829,109,62,47,94,31,109,1
110,31,172,93,157,78,94,94,141,109,31,0,93,453,140,32,109,0,110,32,78,1
78,78,62,94,94,31,94,93,94,31,93,32,62,110,78,141,31,79,46,62,63,1
16,61,78,94,188,62,31,47,297,78,0,78,78,63,62,141,31,31,94,47,78,1
94,78,79,78,78,47,78,109,62,141,63,32,62,110,78,141,78,47,78,62,63,1
78,188,78,31,94,31,78,109,31,125,250,78,63,62,78,93,125,125,125,32,125,1
78,0,0,31,109,31,125,78,141,125,16,78,47,63,62,125,125,0,94,235,125,1
78,188,0,0,94,16,94,78,78,125,156,78,63,62,78,93,125,31,109,32,125,1
125,109,203,47,62,63,31,47,297,31,125,16,62,94,157,31,156,110,62,16,62,1
63,94,1469,140,31,62,156,125,32,31,141,78,78,78,0,78,31,125,15,31,94,1
62,109,141,15,125,719,109,78,0,78,0,16,62,94,157,31,94,0,62,16,62,1
94,203,78,249,88,344,407,78,94,78,94,234,79,93,94,78,78,391,109,109,94,1
94,157,62,204,78,172,78,109,125,78,156,281,63,93,94,213,78,516,78,125,93,1
78,203,1109,63,250,203,78,78,88,213,78,234,79,93,94,78,93,235,78,109,94,1
140,79,110,15,110,16,110,94,62,78,16,63,78,79,63,63,48,5,84,109,78,1
46,94,141,0,94,78,48,46,32,93,16,31,78,63,16,31,16,94,0,109,16,1
32,79,438,125,31,32,79,93,0,31,16,63,78,79,63,63,16,110,15,109,78,1
109,109,157,156,94,94,93,218,16,111,203,94,109,63,94,47,110,93,161,15,94,1
94,141,172,0,172,125,110,297,47,109,157,93,110,62,16,47,531,140,516,63,93,1
125,109,94,156,110,140,78,110,0,47,125,94,109,63,94,47,93,110,109,15,94,1
94,125,125,78,125,63,93,78,157,93,125,94,62,94,125,109,94,47,109,62,79,1
94,47,109,32,171,140,94,109,125,94,16,47,93,78,156,187,94,31,125,94,94,1
78,125,125,47,141,110,78,110,94,187,110,94,62,94,125,109,94,78,141,62,79,1
63,125,94,219,98,109,63,94,109,78,110,93,63,78,78,94,63,94,78,62,94,1
47,31,94,187,78,15,63,94,125,78,109,78,109,47,94,125,63,16,93,109,63,1
62,125,110,234,78,0,63,94,78,125,110,93,63,78,78,94,63,31,94,62,94,1
171,47,156,32,140,31,109,141,93,125,203,15,141,94,250,125,78,109,16,0,109,1
63,0,110,78,187,109,78,94,94,78,16,62,110,93,125,110,62,140,16,0,125,1
125,47,125,79,140,15,94,94,109,110,62,15,141,94,250,125,125,0,109,0,109,1
78,16,141,62,125,63,78,140,47,63,157,47,47,63,62,109,0,110,15,62,156,1
16,78,0,15,125,78,0,172,47,63,79,78,109,63,78,31,94,15,94,31,78,1
110,16,187,0,94,63,62,78,0,31,78,47,47,63,62,109,78,141,78,62,156,1
109,16,203,15,137,16,94,78,109,94,125,157,62,125,94,141,94,109,125,31,110,1
125,32,156,16,137,0,94,94,94,125,46,110,93,79,109,375,15,78,0,15,78,1
62,16,0,47,140,16,172,78,94,375,109,157,62,125,94,141,78,15,141,31,110,1
109,109,203,78,109,47,110,110,93,78,468,156,78,125,109,109,78,94,78,47,78,1
93,47,0,15,109,109,78,110,94,78,15,79,62,94,78,94,79,78,78,31,94,1
63,109,0,47,125,31,110,78,109,94,46,156,78,125,109,109,94,484,203,47,78,1
141,31,78,32,31,47,31,78,78,32,16,94,16,62,47,62,31,78,0,78,16,1
47,156,531,625,31,79,31,31,47,63,32,31,94,62,94,47,32,78,31,62,0,1
62,31,671,193,31,32,93,16,0,47,47,94,16,62,47,62,0,79,78,78,16,1
141,31,125,31,125,125,203,203,32,93,125,125,47,93,47,31,46,109,16,93,47,1
125,110,0,0,125,16,46,16,47,62,47,47,93,79,0,1000,0,94,15,63,93,1
47,31,657,720,15,78,453,94,78,1000,0,125,47,93,47,31,93,63,219,93,47,1
63,172,78,31,78,79,62,63,203,47,78,40,60,106,47,63,63,94,62,79,62,1
46,62,78,250,47,93,63,78,125,47,62,47,78,31,78,101,63,78,62,141,62,1
46,172,62,188,78,140,63,74,67,101,94,40,60,106,47,63,62,141,235,79,62,1
109,79,109,31,78,234,78,110,156,62,94,141,62,109,140,109,32,78,109,16,62,2
94,63,0,31,141,109,32,78,187,63,110,78,78,63,109,125,78,265,110,16,78,2
125,79,0,16,94,109,109,63,78,125,94,141,62,109,140,109,78,219,78,16,62,2
62,156,250,31,141,62,94,109,78,141,235,156,63,62,94,109,156,63,109,47,110,2
110,47,0,32,141,125,156,78,125,110,47,63,62,63,79,94,16,78,31,31,78,2
31,156,62,94,94,15,62,109,78,94,47,156,63,62,94,109,78,110,172,47,110,2
78,141,250,47,47,47,62,47,31,47,94,63,62,78,32,16,16,78,47,31,78,2
109,172,0,47,47,125,16,94,31,49,47,15,63,78,31,968,16,78,16,31,110,2
62,141,906,1000,47,203,78,91,875,968,47,63,62,78,32,16,110,15,93,31,78,2
62,31,109,31,63,32,78,62,110,94,94,16,188,359,218,16,16,78,16,46,63,2
47,16,0,15,94,47,16,62,94,78,94,62,63,94,94,94,16,78,15,47,47,2
16,31,0,31,94,78,78,62,78,94,31,16,188,359,218,16,47,15,94,46,63,2
78,31,140,31,62,16,94,94,110,78,94,125,63,109,62,78,125,78,94,78,62,2
78,62,0,16,62,109,125,94,203,78,32,78,78,63,94,109,16,78,46,63,78,2
63,31,109,16,78,16,78,62,79,109,31,125,63,109,62,78,78,94,78,78,62,2
69,63,80,442,110,36,79,79,96,80,141,47,78,78,69,63,81,37,78,69,61,2
72,31,70,411,65,24,81,94,94,78,406,58,68,150,78,141,79,13,85,63,78,2
79,63,73,185,103,73,31,47,94,141,89,47,78,78,69,63,78,15,94,69,61,2
94,63,172,47,109,78,78,109,156,94,63,110,250,78,156,78,15,63,78,78,125,2
78,16,0,31,109,94,15,110,109,94,110,78,78,63,110,109,410,94,62,172,125,2
94,63,0,15,109,172,94,141,125,109,109,110,250,78,156,78,125,266,109,78,125,2
63,32,187,0,78,31,78,78,94,94,78,16,94,78,94,63,20,88,78,16,93,2
32,16,110,31,78,117,20,94,47,156,15,47,47,63,94,109,32,32,421,46,125,2
78,32,109,47,63,15,78,94,47,109,47,16,94,78,94,63,125,15,125,16,93,2
63,219,62,31,47,109,47,94,109,63,94,547,63,1015,79,63,62,188,46,47,78,2
47,63,63,94,78,125,62,63,109,63,78,31,828,62,93,188,47,172,63,62,63,2
78,219,47,78,109,219,47,63,94,188,79,547,63,1015,79,63,63,125,78,47,78,2
78,63,109,47,125,0,94,94,78,110,125,63,78,109,78,94,47,78,63,31,78,2
78,31,78,78,187,62,47,109,78,94,125,78,78,78,109,94,78,78,94,31,94,2
94,63,93,78,110,31,78,94,93,94,16,63,78,109,78,94,94,31,141,31,78,2
110,31,79,31,140,16,46,110,78,78,94,31,62,79,125,110,31,78,16,16,78,2
125,32,98,59,124,94,31,94,62,94,78,63,78,93,79,78,62,32,93,32,62,2
344,31,94,31,125,16,94,78,78,78,62,31,62,79,125,110,62,32,78,16,78,2
79,15,140,47,90,0,62,110,93,47,140,47,63,78,94,78,16,78,0,16,78,2
94,32,0,16,93,140,16,78,63,78,0,63,78,78,78,94,78,15,79,16,94,2
63,15,0,63,125,31,78,109,78,94,31,47,63,78,94,78,94,15,110,16,78,2
46,62,78,125,79,16,62,156,156,94,78,94,62,156,63,110,47,78,110,31,47,2
47,47,125,62,141,62,47,78,125,63,125,32,125,47,62,140,16,78,47,47,62,2
16,62,79,46,110,16,62,47,63,140,110,94,62,156,63,110,62,47,63,31,47,2
109,62,172,15,100,46,63,94,109,78,93,78,47,62,141,110,16,93,32,47,62,2
78,32,94,46,110,141,16,94,109,63,94,47,94,46,109,110,16,78,47,62,79,2
94,62,78,94,125,15,94,516,94,110,16,78,47,62,141,110,79,46,94,47,62,2
62,63,78,62,79,78,62,78,94,62,124,109,62,94,78,63,47,31,78,47,62,2
63,78,63,125,62,125,47,63,125,62,62,62,78,63,78,79,78,47,62,62,63,2
63,63,47,125,63,78,63,78,843,79,78,109,62,94,78,63,63,31,125,47,62,2
31,47,125,47,47,16,78,78,16,78,94,15,78,78,47,16,16,47,94,0,31,2
78,93,484,500,47,47,16,16,63,31,93,31,63,78,31,78,0,94,16,94,16,2
47,47,0,47,62,78,94,78,0,78,609,15,78,78,47,16,16,93,78,0,31,2
78,157,78,172,62,78,93,94,109,63,266,141,62,79,79,78,94,15,94,31,79,2
62,0,109,157,78,141,94,110,93,94,47,94,78,78,78,141,78,47,78,94,94,2
63,157,47,156,94,63,78,79,78,141,125,141,62,79,79,78,94,156,94,31,79,2
63,94,78,187,63,62,47,63,109,63,110,156,63,109,78,78,78,78,78,78,63,2
62,63,63,62,78,94,78,78,125,63,109,63,78,78,63,156,63,78,62,62,47,2
47,94,63,140,47,47,78,62,78,156,62,156,63,109,78,78,47,47,94,78,63,2
125,0,78,78,180,16,78,266,47,62,141,78,94,62,31,46,31,94,47,31,63,2
94,78,141,47,187,47,31,156,63,70,165,94,62,63,15,1390,16,94,94,0,63,2
0,0,0,15,172,94,94,31,1312,1390,62,78,94,62,31,46,63,31,156,31,63,2
94,62,109,31,125,141,31,110,125,109,94,63,78,94,141,15,31,78,63,32,93,2
16,78,110,31,125,78,31,156,15,111,62,94,94,46,63,0,78,78,94,93,78,2
94,62,0,0,94,47,109,63,109,0,78,63,78,94,141,15,78,94,78,32,93,2
