dtfk1,dtfk3,dtsk3,dtfk4,dtsk4,dtfk5,dtfk8,ft8,dtfk10,ft10,dtfk11,ft11,dtsk11,ft14,dtsk14,sum,gender
140,172,78,94,125,891,156,78,94,156,94,94,203,78,78,5998,1
562,78,94,94,94,94,94,94,109,62,94,125,78,47,78,4670,1
93,109,62,110,78,94,62,94,63,78,94,78,78,47,94,3172,1
156,79,93,94,94,94,78,110,109,62,94,125,78,47,78,4016,1
125,93,141,141,390,390,109,109,46,125,203,62,141,110,109,6223,1
38,594,15,172,31,0,94,94,94,172,16,110,78,313,391,6904,1
16,219,15,141,390,0,94,125,46,125,203,62,141,110,109,7576,1
94,141,94,94,156,156,94,141,78,63,234,63,157,203,140,4641,1
78,128,93,94,62,0,641,78,78,94,156,47,109,63,109,4392,1
125,110,94,94,156,125,94,110,78,63,234,63,157,203,140,5392,1
141,94,62,62,110,110,125,204,297,78,297,31,141,32,109,5689,1
93,93,78,94,94,125,125,125,78,94,172,31,140,62,94,4655,1
234,79,94,62,110,0,94,156,297,78,297,31,141,32,109,7678,1
62,78,63,63,109,109,63,93,94,47,109,16,31,32,78,3155,1
63,79,31,78,31,0,93,110,78,63,94,47,94,47,94,2765,1
78,63,47,63,109,125,78,125,94,47,109,16,31,32,78,3729,1
141,102,118,118,91,91,125,125,156,47,110,94,187,15,125,5127,1
109,16,63,110,63,78,16,94,79,78,94,125,78,15,109,4174,1
125,16,532,118,91,94,171,125,156,47,110,94,187,15,125,4970,1
94,78,94,94,63,63,31,93,78,15,63,109,140,47,16,3312,1
78,156,78,78,62,515,15,47,63,62,78,79,78,16,79,3658,1
140,46,78,94,63,94,110,78,78,15,63,109,140,47,16,2985,1
125,63,109,109,78,78,125,78,265,79,141,46,32,15,63,3560,1
172,62,78,94,94,78,63,141,31,62,156,47,94,47,46,3641,1
94,63,94,109,78,62,94,62,265,79,141,46,32,15,63,4048,1
78,78,78,78,141,141,109,110,47,63,94,125,78,78,62,3862,1
203,32,110,78,62,172,78,94,63,93,78,110,78,31,63,3611,1
78,94,78,78,141,125,63,93,47,63,94,125,78,78,62,3614,1
62,47,63,63,62,62,78,110,78,62,79,140,47,16,62,3080,1
78,78,63,62,93,78,78,156,47,109,109,94,62,47,78,3515,1
63,78,62,63,62,63,63,78,78,62,79,140,47,16,62,3141,1
94,47,78,78,328,328,422,47,62,78,140,234,63,31,94,6577,1
313,141,157,46,31,0,359,515,62,78,16,93,63,281,79,5172,1
78,125,15,78,328,0,94,125,62,78,140,234,63,31,94,4420,1
93,78,78,78,94,94,79,109,78,78,63,140,94,219,78,6749,1
63,78,63,62,62,93,93,47,62,94,78,140,78,204,62,4935,1
62,47,62,78,94,141,62,78,78,78,63,140,94,219,78,6250,1
93,94,62,62,250,250,187,266,78,78,125,47,63,78,63,4202,1
78,62,78,78,78,125,62,516,63,93,125,15,78,16,78,3891,1
31,0,78,62,250,844,94,78,78,78,125,47,63,78,63,7094,1
156,93,109,109,171,171,156,78,31,47,156,47,78,31,125,3624,1
62,63,47,94,47,110,93,16,63,78,78,47,125,15,94,3281,1
47,63,78,109,171,94,125,0,31,47,156,47,78,31,125,4501,1
125,78,93,93,78,78,78,94,141,109,94,78,94,32,62,3703,1
187,94,63,78,63,0,93,94,234,328,110,93,78,31,78,3610,1
78,78,78,93,78,94,79,110,141,109,94,78,94,32,62,3280,1
125,109,109,109,78,78,62,125,94,78,47,156,79,94,78,4923,1
110,78,78,78,93,94,109,141,93,94,78,109,79,125,93,5672,1
94,63,94,109,78,93,109,94,94,78,47,156,79,94,78,4811,1
63,47,63,63,156,156,141,47,78,56,78,31,125,31,63,3755,1
62,63,63,47,47,0,78,78,62,78,140,0,63,31,78,3739,1
78,78,62,63,156,0,78,703,78,56,78,31,125,31,63,5098,1
109,109,47,47,438,438,110,140,94,31,109,125,109,0,94,4172,1
94,78,94,78,78,0,63,109,63,62,125,31,62,31,94,3593,1
78,94,78,47,438,0,0,94,94,31,109,125,109,0,94,5717,1
125,125,93,93,594,594,125,109,47,78,47,62,109,32,93,4935,1
93,78,94,109,78,125,78,110,62,94,125,62,125,47,93,3515,1
156,62,94,93,594,234,109,94,47,78,47,62,109,32,93,6516,1
62,47,31,31,63,63,78,78,63,47,78,78,47,79,78,3344,1
172,78,63,79,47,47,78,63,62,78,78,94,63,63,78,3125,1
62,78,62,31,63,46,62,79,63,47,78,78,47,79,78,2983,1
93,172,79,79,225,225,15,140,47,62,78,63,93,47,94,4488,1
78,109,63,78,62,609,109,47,78,78,79,78,172,62,47,4343,1
78,78,78,79,225,0,47,109,47,62,78,63,93,47,94,4134,1
63,63,93,93,140,140,78,125,47,94,78,94,188,63,62,3999,1
62,94,31,79,78,125,94,94,47,78,78,125,62,31,94,3941,1
62,94,78,93,140,47,63,766,47,94,78,94,188,63,62,5077,1
78,78,40,40,380,380,94,94,47,62,125,32,0,16,78,3507,1
62,78,79,78,78,0,78,94,63,62,312,63,94,31,79,3018,1
63,62,94,40,380,125,76,922,47,62,125,32,0,16,78,5659,1
78,78,78,78,79,79,62,125,125,47,63,93,63,110,78,4205,1
63,63,62,63,62,94,78,125,62,78,78,110,62,47,78,3438,1
63,62,47,78,79,78,47,78,125,47,63,93,63,110,78,3585,1
126,78,109,109,172,172,109,109,0,93,140,47,63,32,78,3983,1
125,109,110,125,78,110,94,125,93,110,829,31,93,31,109,4546,1
141,93,78,109,172,172,94,141,0,93,140,47,63,32,78,5156,1
62,78,63,63,62,62,93,94,32,62,78,94,63,62,63,3438,1
94,47,62,78,52,78,47,297,78,78,62,110,62,47,78,3129,1
94,94,47,63,62,79,109,62,32,62,78,94,63,62,63,3866,1
125,78,93,93,78,78,109,31,78,63,78,110,78,32,125,3953,1
156,109,94,78,78,0,78,141,78,47,62,94,62,235,125,3921,1
109,78,109,93,78,0,78,78,78,63,78,110,78,32,125,3623,1
125,125,47,47,203,203,47,297,16,62,157,31,62,16,62,3231,1
47,31,31,344,0,1469,125,32,78,78,0,47,63,31,94,4361,1
16,31,62,47,203,141,78,0,16,62,157,31,62,16,62,4186,1
141,94,78,78,78,78,78,94,234,79,94,140,79,109,94,5854,1
109,109,78,62,78,62,109,125,281,63,94,172,78,125,93,5009,1
110,407,78,78,78,1109,78,88,234,79,94,140,79,109,94,5833,1
156,140,78,78,110,110,94,62,63,78,63,47,15,109,78,3717,1
15,93,31,15,31,141,46,32,31,78,16,78,62,109,16,2360,1
63,110,16,78,110,438,93,0,63,78,63,47,15,109,78,3677,1
156,109,187,187,157,157,218,16,94,109,94,203,63,15,94,4960,1
125,94,109,78,47,172,297,47,93,110,16,141,62,63,93,5704,1
250,93,125,187,157,94,110,0,94,109,94,203,63,15,94,5814,1
125,94,94,94,125,125,78,157,94,62,125,94,78,62,79,4233,1
141,94,94,94,109,109,109,125,47,93,156,47,110,94,94,4563,1
109,93,109,94,125,125,110,94,94,62,125,94,78,62,79,4142,1
78,63,78,78,94,94,94,109,93,63,78,110,46,62,94,3677,1
109,62,78,94,78,94,94,125,78,109,94,93,78,109,63,3404,1
78,63,94,78,94,110,94,78,93,63,78,110,46,62,94,3484,1
93,171,94,94,156,156,141,93,15,141,250,31,125,0,109,4112,1
94,110,172,125,63,110,94,94,62,110,125,93,94,0,125,3546,1
250,109,78,94,156,125,94,109,15,141,250,31,125,0,109,4802,1
125,78,78,78,141,141,140,47,47,47,62,140,63,62,156,3298,1
78,125,78,78,63,0,172,47,78,109,78,93,32,31,78,3000,1
78,78,94,78,141,187,78,0,47,47,62,140,63,62,156,4078,1
93,109,297,297,203,203,78,109,157,62,94,78,109,31,110,4810,1
172,94,78,93,78,156,94,94,110,93,109,63,141,15,78,3762,1
62,94,125,297,203,0,78,94,157,62,94,78,109,31,110,4143,1
94,109,110,110,203,203,110,93,156,78,109,63,78,47,78,5623,1
500,109,78,125,62,0,110,94,79,62,78,110,109,31,94,5015,1
93,110,93,110,203,0,78,109,156,78,109,63,78,47,78,6649,1
156,141,109,109,78,78,78,78,94,16,47,125,47,78,16,3281,1
78,47,47,31,16,531,31,47,31,94,94,0,62,62,0,3485,1
78,31,47,109,78,671,16,0,94,16,47,125,47,78,16,4676,1
110,141,110,110,125,125,203,32,125,47,47,141,31,93,47,4046,1
47,94,125,16,94,0,16,47,47,93,0,93,47,63,93,4154,1
32,203,16,110,125,657,94,78,125,47,47,141,31,93,47,6861,1
94,63,63,63,78,78,63,203,40,60,47,125,63,79,62,3348,1
78,63,62,79,63,78,78,125,47,78,78,109,63,141,62,3587,1
63,62,94,63,78,62,74,67,40,60,47,125,63,79,62,3553,1
78,109,109,109,109,109,110,156,141,62,140,16,62,16,62,3921,2
78,93,63,125,62,0,78,187,78,78,109,16,78,16,78,3845,2
78,78,62,109,109,0,63,78,141,62,140,16,62,16,62,4874,2
375,62,94,94,250,250,109,78,156,63,94,62,94,47,110,4562,2
94,63,47,47,62,0,78,125,63,62,79,78,62,31,78,3488,2
171,94,125,94,250,62,109,78,156,63,94,62,94,47,110,5671,2
109,78,94,94,250,250,47,31,63,62,32,141,31,31,78,3049,2
63,94,94,78,16,0,94,31,15,63,31,94,31,31,110,3707,2
32,62,78,94,250,906,91,875,63,62,32,141,31,31,78,8140,2
62,62,78,78,109,109,62,110,16,188,218,47,16,46,63,3000,2
47,63,32,62,47,0,62,94,62,63,94,15,62,47,47,2969,2
63,78,79,78,109,0,62,78,16,188,218,47,16,46,63,4467,2
172,78,94,94,140,140,94,110,125,63,62,94,62,78,62,4296,2
219,94,94,94,78,0,94,203,78,78,94,109,62,63,78,3310,2
140,94,78,94,140,109,62,79,125,63,62,94,62,78,62,4249,2
57,69,90,90,80,80,79,96,47,78,69,111,41,69,61,8445,2
192,98,65,78,78,70,94,94,58,68,78,94,94,63,78,4213,2
74,79,104,90,80,73,47,94,47,78,69,111,41,69,61,3365,2
110,94,109,109,172,172,109,156,110,250,156,63,141,78,125,4252,2
94,78,63,156,78,0,110,109,78,78,110,47,62,172,125,3846,2
187,78,78,109,172,0,141,125,110,250,156,63,141,78,125,5502,2
93,63,93,93,187,187,78,94,16,94,94,78,47,16,93,3638,2
125,94,93,62,62,110,94,47,47,47,94,31,63,46,125,3279,2
78,78,93,93,187,109,94,47,16,94,94,78,47,16,93,3657,2
62,63,78,78,62,62,94,109,547,63,79,125,62,47,78,4983,2
62,47,46,62,78,63,63,109,31,828,93,110,93,62,63,5531,2
31,47,62,78,62,47,63,94,547,63,79,125,62,47,78,5221,2
109,78,125,125,109,109,94,78,63,78,78,93,203,31,78,3750,2
94,78,78,94,110,78,109,78,78,78,109,110,62,31,94,3373,2
125,94,94,125,109,93,94,93,63,78,78,93,203,31,78,5093,2
93,110,94,94,79,79,110,78,31,62,125,62,109,16,78,3298,2
94,62,47,78,78,98,94,62,63,78,79,93,140,32,62,3122,2
79,46,62,94,79,94,78,78,31,62,125,62,109,16,78,3749,2
94,79,79,79,140,140,110,93,47,63,94,94,47,16,78,2996,2
94,62,78,78,94,0,78,63,63,78,78,94,78,16,94,3220,2
62,62,78,79,140,0,109,78,47,63,94,94,47,16,78,3423,2
63,46,47,47,78,78,156,156,94,62,63,109,62,31,47,3952,2
63,47,47,93,63,125,78,125,32,125,62,125,63,47,62,3300,2
203,62,47,47,78,79,47,63,94,62,63,109,62,31,47,4171,2
140,109,94,94,172,172,94,109,78,47,141,62,125,47,62,3582,2
125,94,78,93,78,94,94,109,47,94,109,31,110,62,79,3159,2
31,63,94,94,172,78,516,94,78,47,141,62,125,47,62,5580,2
63,62,62,62,78,78,78,94,109,62,78,93,63,47,62,3012,2
78,62,62,63,63,63,63,125,62,78,78,94,63,62,63,3267,2
94,62,78,62,78,47,78,843,109,62,78,93,63,47,62,3780,2
109,31,78,78,125,125,78,16,15,78,47,63,109,0,31,3142,2
47,78,110,16,32,484,16,63,31,63,31,62,79,94,16,3721,2
94,78,110,78,125,0,78,0,15,78,47,63,109,0,31,3562,2
94,78,62,62,78,78,94,109,141,62,79,78,78,31,79,4392,2
94,78,63,93,94,109,110,93,94,78,78,110,78,94,94,3658,2
110,93,78,62,78,47,79,78,141,62,79,78,78,31,79,3643,2
94,63,63,63,78,78,63,109,156,63,78,94,63,78,63,3596,2
94,78,63,62,62,63,78,125,63,78,63,109,78,62,47,3406,2
63,47,63,63,78,63,62,78,156,63,78,94,63,78,63,3410,2
78,125,156,156,78,78,266,47,78,94,31,109,47,31,63,3397,2
94,125,78,15,47,141,156,63,94,62,15,125,46,0,63,4740,2
47,78,94,156,78,0,31,1312,78,94,31,109,47,31,63,7215,2
62,94,78,78,109,109,110,125,63,78,141,0,62,32,93,3421,2
78,94,63,47,31,110,156,15,94,94,63,172,16,93,78,3729,2
78,31,156,78,109,0,63,109,63,78,141,0,62,32,93,3667,2
