dtfk1,ft1,dtsk1,ft2,dtsk2,dtfk3,ft3,dtsk3,ft4,dtsk5,dtfk6,dtfk7,dtfk9,ft9,dtsk9,dtfk10,dtsk11,dtfk12,ft12,dtsk12,dtsk13,dtfk14,gender
94,31,47,62,78,63,15,94,63,110,78,32,906,94,172,265,32,62,32,109,94,78,1
78,62,110,125,78,78,31,78,156,125,110,78,109,16,140,47,78,187,16,94,109,79,1
203,31,125,125,94,32,218,110,16,94,94,109,109,79,15,63,78,110,93,32,93,94,1
78,47,78,125,110,94,31,78,156,125,47,94,129,62,109,47,78,187,16,94,47,79,1
62,32,78,125,47,47,46,63,47,62,63,62,63,140,79,78,47,63,15,78,63,78,1
78,47,62,110,94,78,78,63,32,62,79,94,141,62,125,47,62,125,47,78,62,63,1
63,125,47,94,62,78,47,62,47,78,46,78,79,171,94,78,47,63,15,78,63,78,1
94,141,93,157,47,47,47,78,250,172,157,47,1078,94,172,62,63,47,125,78,125,78,1
313,109,32,47,110,141,62,157,79,172,344,140,62,188,282,62,63,94,78,62,78,62,1
78,78,156,47,78,125,78,15,250,172,47,109,0,47,140,62,63,47,125,78,109,78,1
93,282,93,94,78,78,891,78,234,94,63,63,78,156,78,78,94,78,828,78,78,63,1
63,297,62,141,62,78,250,63,188,109,78,78,125,62,125,62,78,94,62,344,79,78,1
62,797,94,94,62,47,235,62,234,109,219,78,110,141,78,78,94,78,828,78,63,63,1
93,32,93,63,94,94,78,62,110,63,78,125,62,204,344,78,63,109,32,93,78,93,1
78,16,94,47,109,62,47,78,31,63,63,78,94,266,16,63,78,94,93,547,31,62,1
31,172,0,93,78,0,16,78,110,31,16,109,1047,1203,78,78,63,109,32,93,187,93,1
156,0,94,16,93,93,16,109,32,109,47,63,126,109,78,31,78,63,16,78,16,78,1
62,16,94,141,16,63,47,47,93,109,375,94,140,94,78,63,125,16,109,0,62,94,1
47,31,62,16,93,63,62,78,32,125,15,62,1176,94,94,31,78,63,16,78,78,78,1
125,15,110,78,78,78,63,93,94,63,63,141,141,0,203,141,94,93,16,78,78,93,1
187,16,78,125,63,94,62,63,31,94,63,94,94,125,31,234,78,94,93,32,62,94,1
78,31,78,109,62,78,63,78,94,63,15,109,78,93,94,141,94,93,16,78,78,93,1
125,172,94,203,109,109,110,109,250,78,78,125,94,172,78,94,79,94,265,94,78,93,1
110,359,94,62,78,78,110,78,219,78,110,62,156,94,141,93,79,156,94,140,94,110,1
94,313,93,109,78,63,15,94,250,94,78,94,78,188,62,94,79,94,265,94,63,93,1
63,94,93,125,47,47,47,63,93,63,63,78,78,63,141,78,125,79,15,110,47,62,1
62,16,47,140,47,63,62,63,16,656,73,62,15,109,16,62,63,47,110,62,63,63,1
78,31,31,94,63,78,32,62,93,94,62,94,844,891,62,78,125,79,15,110,78,62,1
109,16,110,47,109,109,78,47,391,46,94,78,78,32,109,94,109,109,16,78,31,78,1
94,0,109,63,110,78,47,94,141,46,78,31,46,125,110,63,62,687,94,78,31,78,1
78,109,32,31,93,94,31,78,391,94,78,110,765,844,31,94,109,109,16,78,63,78,1
125,31,110,46,125,125,79,93,485,140,94,78,140,16,125,47,109,125,16,93,62,78,1
93,16,94,31,125,78,125,94,47,141,78,32,109,0,109,62,125,172,78,94,63,94,1
156,16,94,47,63,62,31,94,485,109,94,125,985,1078,32,47,109,125,16,93,94,78,1
62,63,93,110,47,47,78,31,125,79,63,62,63,156,78,63,47,78,172,78,63,46,1
172,15,93,94,47,78,47,63,46,94,93,78,109,63,125,62,63,125,62,47,31,62,1
62,0,63,78,63,78,47,62,125,94,94,62,62,141,78,63,47,78,172,78,32,46,1
93,547,156,16,172,172,292,79,128,110,63,63,94,93,203,47,93,47,15,62,16,94,1
78,16,109,47,109,109,0,63,47,0,109,79,62,94,78,78,172,110,94,78,63,15,1
78,78,78,63,47,78,297,78,128,141,93,94,812,78,79,47,93,47,15,62,47,94,1
63,15,63,93,63,63,16,93,63,109,31,63,63,109,78,47,188,47,78,62,47,93,1
62,78,125,93,63,94,78,31,62,109,141,94,94,63,93,47,62,93,110,78,62,94,1
62,31,47,109,63,94,62,78,63,94,78,125,63,125,94,47,188,47,78,62,62,93,1
78,47,94,78,78,78,52,40,271,125,79,47,62,78,172,47,0,47,15,78,31,62,1
62,31,78,110,0,78,31,79,32,125,63,62,94,31,125,63,94,62,94,141,62,78,1
63,0,62,125,78,62,16,94,271,94,63,62,813,891,62,47,0,47,15,78,156,62,1
78,94,94,109,78,78,563,78,140,93,62,47,63,156,47,125,63,63,125,62,62,62,1
63,47,78,109,63,63,109,62,94,125,63,78,125,47,156,62,62,110,62,78,46,63,1
63,78,78,125,47,62,78,47,140,125,62,63,63,187,78,125,63,63,125,62,47,62,1
126,31,125,94,78,78,31,109,31,156,110,94,172,47,187,0,63,32,46,79,78,78,1
125,46,125,172,16,109,0,110,15,156,453,31,15,141,0,93,93,109,78,110,94,157,1
141,0,62,109,110,93,32,78,31,157,31,94,719,875,31,0,63,32,46,79,110,78,1
62,78,110,62,78,78,16,63,78,94,62,78,47,547,93,32,63,141,0,78,46,78,1
94,0,78,156,16,47,31,62,61,188,110,63,31,110,0,78,62,141,94,15,94,78,1
94,47,31,110,94,94,62,47,78,78,16,94,895,62,63,32,63,141,0,78,78,78,1
125,16,94,109,78,78,63,93,188,94,94,110,78,110,250,78,78,93,125,110,125,78,1
156,16,62,63,78,109,31,94,0,109,62,156,78,156,16,78,62,125,94,235,94,62,1
109,31,125,110,78,78,47,109,188,94,0,156,203,62,156,78,78,93,125,110,109,78,1
125,16,109,15,125,125,0,47,109,62,31,31,93,0,125,16,62,31,31,47,62,78,1
47,78,16,62,63,31,109,31,94,31,94,0,47,32,141,78,63,78,156,16,15,63,1
16,79,31,47,62,31,78,62,109,125,125,125,859,110,0,16,62,31,31,47,62,78,1
141,62,110,250,94,94,62,78,203,88,78,78,94,531,94,234,79,78,47,109,109,78,1
109,63,93,93,94,109,94,78,157,78,93,78,157,78,156,281,78,213,94,110,78,94,1
110,0,78,110,78,407,15,78,203,250,32,94,63,250,78,234,79,78,47,109,78,78,1
156,47,47,62,140,140,32,78,79,110,31,78,469,578,16,63,15,63,31,63,84,46,1
15,63,31,79,46,93,32,31,94,94,79,16,47,140,16,31,62,31,109,31,0,16,1
63,15,16,328,32,110,15,16,79,31,93,625,0,62,16,63,15,63,31,63,15,46,1
156,16,125,109,109,109,32,187,109,94,109,110,125,110,203,94,63,47,157,171,161,141,1
125,110,109,16,94,94,125,109,141,172,63,125,125,156,157,93,62,47,172,78,516,125,1
250,110,531,16,125,93,63,125,109,110,94,141,750,125,125,94,63,47,157,171,109,141,1
125,93,125,94,94,94,93,94,125,125,94,109,94,109,125,94,78,109,110,93,109,109,1
141,78,125,125,94,94,78,94,47,171,94,110,94,125,16,47,110,187,94,453,125,109,1
109,16,94,31,78,93,63,109,125,141,47,125,125,94,110,94,78,109,110,93,141,109,1
78,63,109,78,63,63,62,78,125,98,78,78,78,94,110,93,46,94,46,63,78,110,1
109,32,62,109,47,62,47,78,31,78,78,110,63,78,109,78,78,125,63,109,93,78,1
78,78,63,110,62,63,15,94,125,78,15,93,93,125,110,93,46,94,46,63,94,110,1
93,47,110,93,171,171,16,94,47,140,172,94,110,47,203,15,125,125,16,114,16,125,1
94,16,109,140,63,110,47,172,0,187,94,62,0,140,16,62,94,110,93,110,16,78,1
250,0,62,63,125,109,32,78,47,140,16,141,860,125,62,15,125,125,16,114,109,125,1
125,15,78,94,78,78,31,78,16,125,78,78,109,32,157,47,63,109,78,16,15,110,1
78,15,94,109,16,125,16,78,78,125,63,78,47,93,79,78,32,31,109,187,94,94,1
78,31,94,93,110,78,31,94,16,94,94,140,937,94,78,47,63,109,78,16,78,110,1
93,47,94,141,109,109,203,297,16,137,78,125,94,188,125,157,109,141,94,78,125,109,1
172,16,78,0,125,94,31,78,32,137,125,109,16,141,46,110,141,375,78,109,0,78,1
62,110,15,219,62,94,16,125,16,140,32,47,110,78,109,157,109,141,94,78,141,109,1
94,78,125,94,109,109,141,110,109,109,78,125,94,343,468,156,78,109,110,93,78,94,1
500,15,156,16,93,109,485,78,47,109,125,46,141,266,15,79,109,94,94,172,78,78,1
93,375,79,109,63,110,78,93,109,125,78,141,1020,1114,46,156,78,109,110,93,203,94,1
156,47,78,63,141,141,47,109,31,31,47,15,687,125,16,94,47,62,47,63,0,0,1
78,156,32,125,47,47,63,47,156,31,62,47,0,78,32,31,62,47,109,31,31,31,1
78,156,32,47,62,31,63,47,31,31,15,78,797,937,47,94,47,62,47,63,78,0,1
110,15,109,63,141,141,15,110,31,125,125,63,610,109,125,125,31,31,16,63,16,15,1
47,31,109,547,125,94,15,125,110,125,93,0,125,203,47,47,47,1000,78,156,15,0,1
32,62,0,63,47,203,16,16,31,15,63,250,656,781,0,125,31,31,16,63,219,15,1
94,62,62,125,63,63,31,63,172,78,62,78,109,125,78,40,63,63,94,62,62,78,1
78,47,62,125,46,63,297,62,62,47,106,94,115,76,62,47,63,101,176,13,62,62,1
63,62,63,126,46,62,47,94,172,78,27,78,62,63,94,40,63,63,94,62,235,78,1
78,78,110,78,109,109,297,109,79,78,63,47,0,16,94,141,62,109,203,63,109,63,2
78,47,78,47,94,93,203,63,63,141,109,94,62,203,110,78,78,125,63,94,110,78,2
78,16,78,31,125,78,172,62,79,94,93,125,813,156,94,141,62,109,203,63,78,63,2
375,16,78,94,62,62,94,94,156,141,47,109,93,157,235,156,94,109,47,78,109,93,2
94,31,78,31,110,63,62,47,47,141,62,47,172,219,47,63,62,94,62,266,31,110,2
171,63,16,63,31,94,47,125,156,94,32,63,953,1047,47,156,94,109,47,78,172,93,2
109,47,172,31,78,78,16,94,141,47,94,62,0,31,94,63,31,16,78,16,47,63,2
63,15,109,62,109,94,31,94,172,47,78,47,141,31,47,15,31,968,63,125,16,63,2
32,93,16,188,62,62,16,78,141,47,78,94,735,797,47,63,31,16,78,16,93,63,2
62,16,109,16,62,62,32,78,31,63,32,62,0,47,94,16,16,16,47,62,16,47,2
47,359,94,15,47,63,15,32,16,94,359,31,79,93,94,62,62,94,156,16,15,63,2
63,78,16,203,16,78,15,79,31,94,59,125,703,766,31,16,16,16,47,62,94,47,2
172,437,94,94,78,78,94,94,31,62,94,93,94,125,94,125,62,78,94,109,94,78,2
219,15,94,16,78,94,62,94,62,62,109,31,94,46,32,78,62,109,78,78,46,78,2
140,110,16,31,63,94,47,78,31,78,63,109,937,63,31,125,62,78,94,109,78,78,2
57,4369,113,168,69,69,166,90,63,110,65,89,78,297,141,47,41,63,78,109,78,33,2
192,4,79,80,72,98,49,65,31,65,78,89,172,94,406,58,94,141,62,141,85,78,2
74,6,79,136,79,79,21,104,63,103,109,11,74,258,89,47,41,63,78,109,94,33,2
110,156,125,31,94,94,172,109,63,109,63,79,78,109,63,110,141,78,47,125,78,78,2
94,15,94,125,78,78,62,63,16,109,78,109,141,78,110,78,62,109,94,62,62,109,2
187,78,410,15,94,78,109,78,63,109,47,93,828,94,109,110,141,78,47,125,109,78,2
93,32,125,47,63,63,0,93,32,78,93,63,562,110,78,16,47,63,15,78,78,109,2
125,32,94,125,32,94,16,93,16,78,78,47,94,78,15,47,63,109,172,15,421,63,2
78,78,32,32,78,78,16,93,32,63,16,63,719,94,47,16,47,63,15,78,125,109,2
62,141,78,109,63,63,94,78,219,47,46,63,78,109,94,547,62,63,203,62,46,47,2
62,78,63,125,47,47,125,46,63,78,1015,79,125,94,78,31,93,188,62,485,63,63,2
31,109,47,125,78,47,125,62,219,109,79,94,79,171,79,547,62,63,203,62,78,47,2
109,125,109,79,78,78,109,125,63,125,78,94,109,47,125,63,203,94,47,78,63,79,2
94,16,78,15,78,78,63,78,31,187,109,16,63,93,125,78,62,94,94,62,94,78,2
125,0,78,78,94,94,15,94,63,110,78,94,843,984,16,63,203,94,47,78,141,79,2
93,47,125,47,110,110,93,94,31,140,47,78,172,78,94,31,109,110,15,94,16,94,2
94,16,62,62,125,62,47,47,32,124,79,62,62,94,78,63,140,78,78,0,93,93,2
79,31,62,156,344,46,110,62,31,125,62,78,609,94,62,31,109,110,15,94,78,94,2
94,31,78,125,79,79,46,79,15,90,78,109,94,46,140,47,47,78,0,78,0,94,2
94,0,63,62,94,62,579,78,32,93,78,31,31,125,0,63,78,94,78,31,79,62,2
62,16,78,94,63,62,32,78,15,125,0,62,781,94,31,47,47,78,0,78,110,94,2
63,343,63,219,46,46,188,47,62,79,47,62,62,157,78,94,62,110,234,31,110,62,2
63,0,78,47,47,47,94,47,47,141,156,110,156,63,125,32,63,140,63,94,47,47,2
203,47,16,203,16,62,94,47,62,110,78,62,922,62,110,94,62,110,234,31,63,62,2
140,31,141,31,109,109,47,94,62,100,78,94,94,16,93,78,125,110,109,94,32,94,2
125,32,110,16,78,94,31,78,32,110,62,16,78,62,94,47,110,110,78,47,47,78,2
31,109,16,31,94,63,78,94,62,125,141,79,828,968,16,78,125,110,109,94,94,94,2
63,78,78,94,62,62,63,62,63,79,62,63,62,63,124,109,63,63,78,62,78,63,2
78,62,79,109,63,62,63,62,78,62,94,78,94,157,62,62,63,79,93,78,62,78,2
94,78,78,109,63,62,47,78,63,63,0,62,62,63,78,109,63,63,78,62,125,63,2
109,47,63,47,31,31,16,78,47,47,110,93,594,78,94,15,109,16,110,62,94,78,2
47,16,78,78,78,78,16,110,93,47,78,609,110,31,93,31,79,78,109,62,16,16,2
94,156,0,78,47,78,0,110,47,62,78,31,0,547,609,15,109,16,110,62,78,78,2
94,32,109,703,78,78,94,62,157,62,63,79,125,141,266,141,78,78,63,93,94,62,2
94,16,93,110,62,78,141,63,0,78,79,125,15,125,47,94,78,141,78,94,78,78,2
110,78,78,125,63,93,79,78,157,94,62,140,0,32,125,141,78,78,63,93,94,62,2
94,109,62,141,63,63,93,63,94,63,63,63,93,47,110,156,63,78,188,78,78,47,2
94,47,63,125,62,78,78,63,63,78,109,62,110,78,109,63,78,156,62,125,62,63,2
63,62,63,125,47,47,109,63,94,47,63,63,110,94,62,156,63,78,188,78,94,47,2
78,47,157,62,125,125,46,156,0,180,78,63,0,16,141,78,47,46,93,0,47,78,2
94,15,94,47,94,125,110,78,78,187,62,62,110,20,165,94,46,1390,63,141,94,93,2
47,47,16,94,0,78,15,94,0,172,94,125,984,1094,62,78,47,46,93,0,156,78,2
62,79,109,78,94,94,94,78,62,125,63,94,94,93,94,63,62,15,93,32,63,78,2
78,125,93,109,16,94,109,63,78,125,94,78,120,94,62,94,16,0,125,500,94,63,2
78,31,78,46,94,31,78,156,62,94,0,78,735,78,78,63,62,15,93,32,78,78,2
