dtfk1,ft1,dtsk1,ft2,ft4,ft5,dtsk7,dtfk8,dtsk8,dtfk10,ft10,dtfk12,ft12,ft13,dtsk13,dtfk14,gender
32,62,0,63,31,720,453,94,1000,125,47,31,16,63,219,15,1
94,62,62,125,172,31,62,63,47,40,60,63,94,94,62,78,1
78,47,62,125,62,250,63,78,47,47,78,101,176,78,62,62,1
63,62,63,126,172,188,63,74,101,40,60,63,94,141,235,78,1
78,78,110,78,79,31,78,110,62,141,62,109,203,78,109,63,2
78,47,78,47,63,31,32,78,63,78,78,125,63,265,110,78,2
78,16,78,31,79,16,109,63,125,141,62,109,203,219,78,63,2
375,16,78,94,156,31,94,109,141,156,63,109,47,63,109,93,2
94,31,78,31,47,32,156,78,110,63,62,94,62,78,31,110,2
171,63,16,63,156,94,62,109,94,156,63,109,47,110,172,93,2
109,47,172,31,141,47,62,47,47,63,62,16,78,78,47,63,2
63,15,109,62,172,47,16,94,49,15,63,968,63,78,16,63,2
32,93,16,188,141,1000,78,91,968,63,62,16,78,15,93,63,2
62,16,109,16,31,31,78,62,94,16,188,16,47,78,16,47,2
47,359,94,15,16,15,16,62,78,62,63,94,156,78,15,63,2
63,78,16,203,31,31,78,62,94,16,188,16,47,15,94,47,2
172,437,94,94,31,31,94,94,78,125,63,78,94,78,94,78,2
219,15,94,16,62,16,125,94,78,78,78,109,78,78,46,78,2
140,110,16,31,31,16,78,62,109,125,63,78,94,94,78,78,2
57,4369,113,168,63,442,79,79,80,47,78,63,78,37,78,33,2
192,4,79,80,31,411,81,94,78,58,68,141,62,13,85,78,2
74,6,79,136,63,185,31,47,141,47,78,63,78,15,94,33,2
110,156,125,31,63,47,78,109,94,110,250,78,47,63,78,78,2
94,15,94,125,16,31,15,110,94,78,78,109,94,94,62,109,2
187,78,410,15,63,15,94,141,109,110,250,78,47,266,109,78,2
93,32,125,47,32,0,78,78,94,16,94,63,15,88,78,109,2
125,32,94,125,16,31,20,94,156,47,47,109,172,32,421,63,2
78,78,32,32,32,47,78,94,109,16,94,63,15,15,125,109,2
62,141,78,109,219,31,47,94,63,547,63,63,203,188,46,47,2
62,78,63,125,63,94,62,63,63,31,828,188,62,172,63,63,2
31,109,47,125,219,78,47,63,188,547,63,63,203,125,78,47,2
109,125,109,79,63,47,94,94,110,63,78,94,47,78,63,79,2
94,16,78,15,31,78,47,109,94,78,78,94,94,78,94,78,2
125,0,78,78,63,78,78,94,94,63,78,94,47,31,141,79,2
93,47,125,47,31,31,46,110,78,31,62,110,15,78,16,94,2
94,16,62,62,32,59,31,94,94,63,78,78,78,32,93,93,2
79,31,62,156,31,31,94,78,78,31,62,110,15,32,78,94,2
94,31,78,125,15,47,62,110,47,47,63,78,0,78,0,94,2
94,0,63,62,32,16,16,78,78,63,78,94,78,15,79,62,2
62,16,78,94,15,63,78,109,94,47,63,78,0,15,110,94,2
63,343,63,219,62,125,62,156,94,94,62,110,234,78,110,62,2
63,0,78,47,47,62,47,78,63,32,125,140,63,78,47,47,2
203,47,16,203,62,46,62,47,140,94,62,110,234,47,63,62,2
140,31,141,31,62,15,63,94,78,78,47,110,109,93,32,94,2
125,32,110,16,32,46,16,94,63,47,94,110,78,78,47,78,2
31,109,16,31,62,94,94,516,110,78,47,110,109,46,94,94,2
63,78,78,94,63,62,62,78,62,109,62,63,78,31,78,63,2
78,62,79,109,78,125,47,63,62,62,78,79,93,47,62,78,2
94,78,78,109,63,125,63,78,79,109,62,63,78,31,125,63,2
109,47,63,47,47,47,78,78,78,15,78,16,110,47,94,78,2
47,16,78,78,93,500,16,16,31,31,63,78,109,94,16,16,2
94,156,0,78,47,47,94,78,78,15,78,16,110,93,78,78,2
94,32,109,703,157,172,93,94,63,141,62,78,63,15,94,62,2
94,16,93,110,0,157,94,110,94,94,78,141,78,47,78,78,2
110,78,78,125,157,156,78,79,141,141,62,78,63,156,94,62,2
94,109,62,141,94,187,47,63,63,156,63,78,188,78,78,47,2
94,47,63,125,63,62,78,78,63,63,78,156,62,78,62,63,2
63,62,63,125,94,140,78,62,156,156,63,78,188,47,94,47,2
78,47,157,62,0,78,78,266,62,78,94,46,93,94,47,78,2
94,15,94,47,78,47,31,156,70,94,62,1390,63,94,94,93,2
47,47,16,94,0,15,94,31,1390,78,94,46,93,31,156,78,2
62,79,109,78,62,31,31,110,109,63,78,15,93,78,63,78,2
78,125,93,109,78,31,31,156,111,94,94,0,125,78,94,63,2
78,31,78,46,62,0,109,63,0,63,78,15,93,94,78,78,2
