ft2,dtfk3,ft3,dtfk4,ft4,ft5,dtfk6,ft6,ft7,dtsk7,ft8,ft9,dtsk9,dtfk10,dtsk10,dtfk11,dtfk12,dtfk13,dtfk14,dtsk14,gender
93,171,16,94,47,32,172,15,31,109,93,47,203,15,94,250,125,78,125,109,1
140,110,47,125,0,78,94,109,109,78,94,140,16,62,93,125,110,62,78,125,1
63,109,32,94,47,79,16,125,15,94,109,125,62,15,94,250,125,125,125,109,1
94,78,31,78,16,62,78,79,63,78,47,32,157,47,63,62,109,0,110,156,1
109,125,16,78,78,15,63,62,78,0,47,93,79,78,63,78,31,94,94,78,1
93,78,31,78,16,0,94,0,63,62,0,94,78,47,63,62,109,78,110,156,1
141,109,203,297,16,15,78,63,16,94,109,188,125,157,125,94,141,94,109,110,1
0,94,31,93,32,16,125,78,0,94,94,141,46,110,79,109,375,15,78,78,1
219,94,16,297,16,47,32,125,16,172,94,78,109,157,125,94,141,78,109,110,1
94,109,141,110,109,78,78,390,47,110,93,343,468,156,125,109,109,78,94,78,1
16,109,485,125,47,15,125,63,109,78,94,266,15,79,94,78,94,79,78,94,1
109,110,78,110,109,47,78,78,31,110,109,1114,46,156,125,109,109,94,94,78,1
63,141,47,109,31,32,47,62,47,31,78,125,16,94,62,47,62,31,0,16,1
125,47,63,31,156,625,62,79,79,31,47,78,32,31,62,94,47,32,31,0,1
47,31,63,109,31,193,15,109,32,93,0,937,47,94,62,47,62,0,0,16,1
63,141,15,110,31,31,125,31,125,203,32,109,125,125,93,47,31,46,15,47,1
547,94,15,16,110,0,93,63,16,46,47,203,47,47,79,0,1000,0,0,93,1
63,203,16,110,31,720,63,47,78,453,78,781,0,125,93,47,31,93,15,47,1
125,63,31,63,172,31,62,141,79,62,203,125,78,40,106,47,63,63,78,62,1
125,63,297,79,62,250,106,67,93,63,125,76,62,47,31,78,101,63,62,62,1
126,62,47,63,172,188,27,86,140,63,67,63,94,40,106,47,63,62,78,62,1
78,109,297,109,79,31,63,125,234,78,156,16,94,141,109,140,109,32,63,62,2
47,93,203,125,63,31,109,47,109,32,187,203,110,78,63,109,125,78,78,78,2
31,78,172,109,79,16,93,251,109,109,78,156,94,141,109,140,109,78,63,62,2
94,62,94,94,156,31,47,125,62,94,78,157,235,156,62,94,109,156,93,110,2
31,63,62,47,47,32,62,94,125,156,125,219,47,63,63,79,94,16,110,78,2
63,94,47,94,156,94,32,46,15,62,78,1047,47,156,62,94,109,78,93,110,2
31,78,16,94,141,47,94,15,47,62,31,31,94,63,78,32,16,16,63,78,2
62,94,31,78,172,47,78,172,125,16,31,31,47,15,78,31,968,16,63,110,2
188,62,16,94,141,1000,78,31,203,78,875,797,47,63,78,32,16,110,63,78,2
16,62,32,78,31,31,32,140,32,78,110,47,94,16,359,218,16,16,47,63,2
15,63,15,62,16,15,359,78,47,16,94,93,94,62,94,94,94,16,63,47,2
203,78,15,78,31,31,59,32,78,78,78,766,31,16,359,218,16,47,47,63,2
94,78,94,94,31,31,94,141,16,94,110,125,94,125,109,62,78,125,78,62,2
16,94,62,94,62,16,109,62,109,125,203,46,32,78,63,94,109,16,78,78,2
31,94,47,94,31,16,63,78,16,78,79,63,31,125,109,62,78,78,78,62,2
168,69,166,90,63,442,65,101,36,79,96,297,141,47,78,69,63,81,33,61,2
80,98,49,78,31,411,78,94,24,81,94,94,406,58,150,78,141,79,78,78,2
136,79,21,90,63,185,109,31,73,31,94,258,89,47,78,69,63,78,33,61,2
31,94,172,109,63,47,63,78,78,78,156,109,63,110,78,156,78,15,78,125,2
125,78,62,156,16,31,78,94,94,15,109,78,110,78,63,110,109,410,109,125,2
15,78,109,109,63,15,47,93,172,94,125,94,109,110,78,156,78,125,78,125,2
47,63,0,93,32,0,93,47,31,78,94,110,78,16,78,94,63,20,109,93,2
125,94,16,62,16,31,78,78,117,20,47,78,15,47,63,94,109,32,63,125,2
32,78,16,93,32,47,16,94,15,78,47,94,47,16,78,94,63,125,109,93,2
109,63,94,78,219,31,46,157,109,47,109,109,94,547,1015,79,63,62,47,78,2
125,47,125,62,63,94,1015,78,125,62,109,94,78,31,62,93,188,47,63,63,2
125,47,125,78,219,78,79,62,219,47,94,171,79,547,1015,79,63,63,47,78,2
79,78,109,125,63,47,78,109,0,94,78,47,125,63,109,78,94,47,79,78,2
15,78,63,94,31,78,109,79,62,47,78,93,125,78,78,109,94,78,78,94,2
78,94,15,125,63,78,78,78,31,78,93,984,16,63,109,78,94,94,79,78,2
47,110,93,94,31,31,47,109,16,46,78,78,94,31,79,125,110,31,94,78,2
62,62,47,78,32,59,79,62,94,31,62,94,78,63,93,79,78,62,93,62,2
156,46,110,94,31,31,62,16,16,94,78,94,62,31,79,125,110,62,94,78,2
125,79,46,79,15,47,78,62,0,62,93,46,140,47,78,94,78,16,94,78,2
62,62,579,78,32,16,78,172,140,16,63,125,0,63,78,78,94,78,62,94,2
94,62,32,79,15,63,0,63,31,78,78,94,31,47,78,94,78,94,94,78,2
219,46,188,47,62,125,47,156,16,62,156,157,78,94,156,63,110,47,62,47,2
47,47,94,93,47,62,156,47,62,47,125,63,125,32,47,62,140,16,47,62,2
203,62,94,47,62,46,78,47,16,62,63,62,110,94,156,63,110,62,62,47,2
31,109,47,94,62,15,78,62,46,63,109,16,93,78,62,141,110,16,94,62,2
16,94,31,93,32,46,62,141,141,16,109,62,94,47,46,109,110,16,78,79,2
31,63,78,94,62,94,141,0,15,94,94,968,16,78,62,141,110,79,94,62,2
94,62,63,62,63,62,62,94,78,62,94,63,124,109,94,78,63,47,63,62,2
109,62,63,63,78,125,94,188,125,47,125,157,62,62,63,78,79,78,78,63,2
109,62,47,62,63,125,0,93,78,63,843,63,78,109,94,78,63,63,63,62,2
47,31,16,78,47,47,110,62,16,78,16,78,94,15,78,47,16,16,78,31,2
78,78,16,16,93,500,78,94,47,16,63,31,93,31,78,31,78,0,16,16,2
78,78,0,78,47,47,78,31,78,94,0,547,609,15,78,47,16,16,78,31,2
703,78,94,62,157,172,63,93,78,93,109,141,266,141,79,79,78,94,62,79,2
110,78,141,93,0,157,79,78,141,94,93,125,47,94,78,78,141,78,78,94,2
125,93,79,62,157,156,62,172,63,78,78,32,125,141,79,79,78,94,62,79,2
141,63,93,63,94,187,63,140,62,47,109,47,110,156,109,78,78,78,47,63,2
125,78,78,62,63,62,109,63,94,78,125,78,109,63,78,63,156,63,63,47,2
125,47,109,63,94,140,63,62,47,78,78,94,62,156,109,78,78,47,47,63,2
62,125,46,156,0,78,78,109,16,78,47,16,141,78,62,31,46,31,78,63,2
47,125,110,15,78,47,62,94,47,31,63,20,165,94,63,15,1390,16,93,63,2
94,78,15,156,0,15,94,15,94,94,1312,1094,62,78,62,31,46,63,78,63,2
78,94,94,78,62,31,63,125,141,31,125,93,94,63,94,141,15,31,78,93,2
109,94,109,47,78,31,94,78,78,31,15,94,62,94,46,63,0,78,63,78,2
46,31,78,78,62,0,0,187,47,109,109,78,78,63,94,141,15,78,78,93,2
