dtfk1,ft1,dtsk1,ft2,dtfk3,ft3,dtfk4,ft4,dtsk4,dtfk5,dtsk5,dtsk6,ft7,dtsk7,ft8,dtsk8,dtfk9,ft10,dtsk10,dtfk11,dtsk11,ft12,dtfk13,dtsk13,dtfk14,ft14,sum,gender
110,15,78,78,93,47,109,31,78,156,266,109,16,94,78,110,110,78,79,75,93,93,62,78,93,16,3563,1
109,16,62,94,62,31,78,63,78,94,109,110,16,62,110,78,78,63,93,94,109,31,109,78,78,16,3358,1
78,31,157,171,63,16,62,62,156,156,78,94,204,78,16,78,125,78,78,31,62,94,62,78,78,32,4014,1
94,31,94,31,79,15,250,63,31,0,79,157,31,62,141,31,16,47,78,15,109,78,93,78,31,78,3061,1
94,16,93,94,78,93,62,62,156,0,141,16,32,78,63,125,62,78,78,31,62,94,47,31,78,32,3506,1
47,93,63,125,47,31,16,63,78,78,31,78,63,78,94,62,94,47,93,172,63,16,110,93,63,15,2970,1
78,32,110,15,94,31,110,15,79,0,78,15,15,110,110,47,94,79,78,78,78,94,32,47,47,31,2738,1
16,62,32,31,78,15,16,63,78,125,125,94,16,78,94,93,0,47,93,172,63,16,94,93,63,15,2846,1
47,281,125,500,94,78,78,156,235,235,94,250,47,63,157,125,78,94,110,156,125,125,63,265,62,16,5096,1
250,16,125,15,94,63,78,15,78,94,109,141,109,63,47,125,43,78,62,203,109,141,156,93,62,32,4137,1
78,47,156,141,63,15,78,156,235,0,109,43,110,93,0,31,1063,94,110,156,125,125,93,78,62,16,5517,1
78,187,94,110,78,15,63,62,94,94,78,110,16,94,157,78,78,94,62,78,78,156,32,78,94,31,3534,1
110,15,78,79,78,31,47,47,62,94,79,62,265,32,78,78,16,110,62,156,125,94,62,78,125,16,3531,1
94,16,62,63,94,15,63,62,94,78,63,16,15,93,719,78,812,94,62,78,78,156,94,63,94,31,4454,1
109,31,109,79,94,32,93,32,110,110,62,63,16,63,157,62,562,47,63,32,79,782,47,16,15,62,5333,1
63,15,78,93,93,16,78,15,62,640,63,141,94,47,15,62,16,63,141,110,93,62,15,15,15,62,4297,1
94,157,15,63,63,31,93,32,110,0,125,16,16,47,738,832,719,47,63,32,79,782,31,16,15,62,7947,1
78,16,93,79,78,62,63,15,78,78,78,94,94,78,78,47,703,79,62,63,63,0,15,469,110,15,4015,1
94,15,94,156,204,15,110,15,93,47,219,94,78,15,63,78,94,78,62,63,62,93,78,78,94,31,3294,1
94,47,78,125,78,594,63,15,78,94,234,94,15,62,78,78,859,79,62,63,63,0,78,109,110,15,4452,1
93,16,94,94,78,140,94,78,125,125,78,250,109,172,140,110,906,156,78,94,203,78,94,109,78,78,5954,1
250,16,125,15,110,109,93,16,78,0,93,94,93,94,93,110,93,62,79,265,110,109,94,62,109,813,5530,1
140,16,94,110,172,15,94,78,125,891,172,93,78,78,78,156,1078,156,78,94,203,78,125,110,78,78,5998,1
562,16,78,110,78,109,94,0,94,94,94,93,15,79,94,93,94,62,94,94,78,594,78,78,93,47,4670,1
93,16,78,16,109,16,110,78,78,94,94,94,31,78,94,94,47,78,109,94,78,78,78,78,78,47,3172,1
156,47,78,94,79,31,94,0,94,94,94,47,31,78,110,109,62,62,94,94,78,594,94,94,93,47,4016,1
125,157,109,141,93,16,141,265,390,390,110,38,93,219,109,94,78,125,985,203,141,172,125,141,78,110,6223,1
38,129,297,47,594,94,172,250,31,0,187,140,125,125,94,62,31,172,109,16,78,282,344,16,156,313,6904,1
16,125,344,141,219,110,141,265,390,0,140,31,187,94,125,157,1312,125,985,203,141,172,391,109,78,110,7576,1
94,296,110,31,141,109,94,78,156,156,93,78,31,110,141,109,78,63,234,234,157,94,62,94,94,203,4641,1
78,94,94,63,128,63,94,16,62,0,125,94,94,62,78,108,94,94,78,156,109,78,32,47,78,63,4392,1
125,93,32,62,110,62,94,78,156,125,94,94,62,109,110,141,797,63,234,234,157,94,109,63,94,203,5392,1
141,16,93,172,94,125,62,391,110,110,110,93,109,79,204,109,109,78,235,297,141,282,344,360,93,32,5689,1
93,32,93,31,93,16,94,47,94,125,141,250,125,344,125,125,218,94,94,172,140,141,62,344,94,62,4655,1
234,141,62,16,79,31,62,391,110,0,109,218,188,109,156,78,1172,78,235,297,141,282,94,266,93,32,7678,1
62,32,109,234,78,94,63,15,109,109,62,63,47,63,93,78,62,47,94,109,31,47,15,47,62,32,3155,1
63,15,94,16,79,15,78,63,31,0,62,78,63,15,110,62,94,63,62,94,94,78,62,63,63,47,2765,1
78,63,62,203,63,47,63,15,109,125,63,94,16,79,125,109,884,47,94,109,31,47,94,47,62,32,3729,1
141,15,82,121,102,31,118,53,91,91,144,109,78,16,125,93,875,47,78,110,187,343,110,125,94,15,5127,1
109,188,62,78,16,141,110,15,63,78,94,157,16,110,94,109,110,78,93,94,78,125,110,109,156,15,4174,1
125,15,110,78,16,93,118,53,91,94,125,110,16,78,125,125,125,47,78,110,187,343,109,125,94,15,4970,1
94,31,78,94,78,16,94,15,63,63,63,78,32,46,93,94,657,15,79,63,140,16,79,47,15,47,3312,1
78,16,62,94,156,32,78,79,62,515,78,78,31,79,47,172,109,62,125,78,78,172,63,78,109,16,3658,1
140,31,63,78,46,16,94,15,63,94,79,109,172,16,78,109,63,15,79,63,140,16,79,62,15,47,2985,1
125,62,94,125,63,78,109,63,78,78,47,172,16,63,78,63,63,79,78,141,32,32,41,78,78,15,3560,1
172,16,78,31,62,63,94,31,94,78,203,110,116,41,141,46,63,62,79,156,94,46,47,62,78,47,3641,1
94,31,47,62,63,15,109,63,78,62,110,63,31,62,62,126,906,79,78,141,32,32,46,94,78,15,4048,1
78,62,110,125,78,31,78,156,141,141,125,203,16,94,110,78,109,63,94,94,78,16,109,109,79,78,3862,1
203,31,125,125,32,218,78,16,62,172,94,125,63,109,94,78,109,93,79,78,78,93,78,93,94,31,3611,1
78,47,78,125,94,31,78,156,141,125,125,109,15,63,93,110,129,63,94,94,78,16,63,47,79,78,3614,1
62,32,78,125,47,46,63,47,62,62,62,78,110,78,110,78,63,62,79,79,47,15,47,63,78,16,3080,1
78,47,62,110,78,78,62,32,93,78,62,125,203,47,156,94,141,109,47,109,62,47,47,62,63,47,3515,1
63,125,47,94,78,47,63,47,62,63,78,141,31,63,78,125,79,62,79,79,47,15,78,63,78,16,3141,1
94,141,93,157,47,47,78,250,328,328,172,313,78,125,47,250,1078,78,344,140,63,125,62,125,78,31,6577,1
313,109,32,47,141,62,46,79,31,0,172,140,235,62,515,63,62,78,78,16,63,78,156,78,62,281,5172,1
78,78,156,47,125,78,78,250,328,0,172,62,141,62,125,94,0,78,344,140,63,125,79,109,78,31,4420,1
93,282,93,94,78,891,78,234,94,94,94,63,218,47,109,62,78,78,78,63,94,828,78,78,63,219,6749,1
63,297,62,141,78,250,62,188,62,93,109,203,250,78,47,78,125,94,62,78,78,62,94,79,78,204,4935,1
62,797,94,94,47,235,78,234,94,141,109,125,375,47,78,94,110,78,78,63,94,828,62,63,63,219,6250,1
93,32,93,63,94,78,62,110,250,250,63,78,46,0,266,93,62,78,63,125,63,32,47,78,93,78,4202,1
78,16,94,47,62,47,78,31,78,125,63,141,16,47,516,78,94,93,63,125,78,93,0,31,62,16,3891,1
31,172,0,93,0,16,62,110,250,844,31,94,32,78,78,94,1047,78,63,125,63,32,78,187,93,78,7094,1
156,0,94,16,93,16,109,32,171,171,109,62,62,63,78,110,126,47,375,156,78,16,47,16,78,31,3624,1
62,16,94,141,63,47,94,93,47,110,109,78,109,47,16,125,140,78,78,78,125,109,62,62,94,15,3281,1
47,31,62,16,63,62,109,32,171,94,125,140,125,109,0,16,1176,47,375,156,78,16,94,78,78,31,4501,1
125,15,110,78,78,63,93,94,78,78,63,187,0,78,94,78,141,109,63,94,94,16,78,78,93,32,3703,1
187,16,78,125,94,62,78,31,63,0,94,125,63,78,94,94,94,328,110,110,78,93,78,62,94,31,3610,1
78,31,78,109,78,63,93,94,78,94,63,94,16,62,110,94,78,109,63,94,94,16,78,78,93,32,3280,1
125,172,94,203,109,110,109,250,78,78,78,110,140,63,125,47,94,78,110,47,79,265,63,78,93,94,4923,1
110,359,94,62,78,110,78,219,93,94,78,610,328,63,141,109,156,94,63,78,79,94,93,94,110,125,5672,1
94,313,93,109,63,15,109,250,78,93,94,156,187,78,94,156,78,78,110,47,79,265,93,63,93,94,4811,1
63,94,93,125,47,47,63,93,156,156,63,62,125,78,47,172,78,56,73,78,125,15,78,47,62,31,3755,1
62,16,47,140,63,62,47,16,47,0,656,16,125,78,78,62,15,78,63,140,63,110,31,63,63,31,3739,1
78,31,31,94,78,32,63,93,156,0,94,15,31,63,703,47,844,56,73,78,125,15,78,78,62,31,5098,1
109,16,110,47,109,78,47,391,438,438,46,94,31,94,140,79,78,31,78,109,109,16,15,31,78,0,4172,1
94,0,109,63,78,47,78,141,78,0,46,78,78,15,109,47,46,62,78,125,62,94,32,31,78,31,3593,1
78,109,32,31,94,31,47,391,438,0,94,46,31,94,94,687,765,31,78,109,109,16,94,63,78,0,5717,1
125,31,110,46,125,79,93,485,594,594,140,93,141,62,109,63,140,78,78,47,109,16,0,62,78,32,4935,1
93,16,94,31,78,125,109,47,78,125,141,109,110,0,110,109,109,94,62,125,125,78,94,63,94,47,3515,1
156,16,94,47,62,31,93,485,594,234,109,109,78,94,94,172,985,78,78,47,109,16,93,94,78,32,6516,1
62,63,93,110,47,78,31,125,63,63,79,172,32,78,78,78,63,47,93,78,47,172,63,63,46,79,3344,1
172,15,93,94,78,47,79,46,47,47,94,125,15,63,63,109,109,78,63,78,63,62,63,31,62,63,3125,1
62,0,63,78,78,47,31,125,63,46,94,109,16,62,79,125,62,47,93,78,47,172,78,32,46,79,2983,1
93,547,156,16,172,292,79,128,225,225,110,78,47,78,140,94,94,62,109,78,93,15,32,16,94,47,4488,1
78,16,109,47,109,0,78,47,62,609,0,172,93,32,47,125,62,78,78,79,172,94,78,63,15,62,4343,1
78,78,78,63,78,297,79,128,225,0,141,62,31,172,109,110,812,62,109,78,93,15,47,47,94,47,4134,1
63,15,63,93,63,16,93,63,140,140,109,62,578,94,125,62,63,94,141,78,188,78,47,47,93,63,3999,1
62,78,125,93,94,78,79,62,78,125,109,156,78,47,94,62,94,78,63,78,62,110,47,62,94,31,3941,1
62,31,47,109,94,62,93,63,140,47,94,94,453,78,766,93,63,94,141,78,188,78,94,62,93,63,5077,1
78,47,94,78,78,52,40,271,380,380,125,62,16,62,94,62,62,62,63,125,0,15,32,31,62,16,3507,1
62,31,78,110,78,31,78,32,78,0,125,15,31,32,94,78,94,62,63,312,94,94,62,62,78,31,3018,1
63,0,62,125,62,16,40,271,380,125,94,94,0,32,922,62,813,62,63,125,0,15,79,156,62,16,5659,1
78,94,94,109,78,563,78,140,79,79,93,63,141,62,125,63,63,47,63,63,63,125,63,62,62,110,4205,1
63,47,78,109,63,109,63,94,62,94,125,172,78,63,125,62,125,78,63,78,62,62,78,46,63,47,3438,1
63,78,78,125,62,78,78,140,79,78,125,125,125,83,78,110,63,47,63,63,63,125,78,47,62,110,3585,1
126,31,125,94,78,31,109,31,172,172,156,125,16,93,109,63,172,93,453,140,63,46,31,78,78,32,3983,1
125,46,125,172,109,0,125,15,78,110,156,47,63,31,125,62,15,110,78,829,93,78,62,94,157,31,4546,1
141,0,62,109,93,32,109,31,172,172,157,15,78,94,141,109,719,93,453,140,63,46,109,110,78,32,5156,1
62,78,110,62,78,16,63,78,62,62,94,94,31,94,94,31,47,62,110,78,63,0,31,46,78,62,3438,1
94,0,78,156,47,31,78,61,52,78,188,141,62,31,297,78,31,78,63,62,62,94,31,94,78,47,3129,1
94,47,31,110,94,62,63,78,62,79,78,31,47,78,62,141,895,62,110,78,63,0,78,78,78,62,3866,1
125,16,94,109,78,63,93,188,78,78,94,156,31,78,31,125,78,63,62,78,78,125,125,125,78,32,3953,1
156,16,62,63,109,31,78,0,78,0,109,313,31,125,141,125,78,47,63,62,62,94,125,94,62,235,3921,1
109,31,125,110,78,47,93,188,78,0,94,78,16,94,78,125,203,63,62,78,78,125,125,109,78,32,3623,1
125,16,109,15,125,0,47,109,203,203,62,47,63,31,297,31,93,62,94,157,62,31,156,62,78,16,3231,1
47,78,16,62,31,109,344,94,0,1469,31,63,62,156,32,31,47,78,78,0,63,156,31,15,63,31,4361,1
16,79,31,47,31,78,47,109,203,141,125,47,719,109,0,78,859,62,94,157,62,31,94,62,78,16,4186,1
141,62,110,250,94,62,78,203,78,78,88,109,344,407,94,78,94,79,93,94,79,47,78,109,78,109,5854,1
109,63,93,93,109,94,62,157,78,62,78,172,172,78,125,78,157,63,93,94,78,94,78,78,94,125,5009,1
110,0,78,110,407,15,78,203,78,1109,250,157,203,78,88,213,63,79,93,94,79,47,93,78,78,109,5833,1
156,47,47,62,140,32,78,79,110,110,110,15,16,110,62,78,469,78,79,63,15,31,48,84,46,109,3717,1
15,63,31,79,93,32,15,94,31,141,94,31,78,48,32,93,47,78,63,16,62,109,16,0,16,109,2360,1
63,15,16,328,110,15,78,79,110,438,31,47,32,79,0,31,0,78,79,63,15,31,16,15,46,109,3677,1
156,16,125,109,109,32,187,109,157,157,94,125,94,93,16,111,125,109,63,94,63,157,110,161,141,15,4960,1
125,110,109,16,94,125,78,141,47,172,172,500,125,110,47,109,125,110,62,16,62,172,531,516,125,63,5704,1
250,110,531,16,93,63,187,109,157,94,110,125,140,78,0,47,750,109,63,94,63,157,93,109,141,15,5814,1
125,93,125,94,94,93,94,125,125,125,125,141,63,93,157,93,94,62,94,125,78,110,94,109,109,62,4233,1
141,78,125,125,94,78,94,47,109,109,171,140,140,94,125,94,94,93,78,156,110,94,94,125,109,94,4563,1
109,16,94,31,93,63,94,125,125,125,141,94,110,78,94,187,125,62,94,125,78,110,94,141,109,62,4142,1
78,63,109,78,63,62,78,125,94,94,98,109,109,63,109,78,78,63,78,78,46,46,63,78,110,62,3677,1
109,32,62,109,62,47,94,31,78,94,78,125,15,63,125,78,63,109,47,94,78,63,63,93,78,109,3404,1
78,78,63,110,63,15,78,125,94,110,78,63,0,63,78,125,93,63,78,78,46,46,63,94,110,62,3484,1
93,47,110,93,171,16,94,47,156,156,140,94,31,109,93,125,110,141,94,250,125,16,78,16,125,0,4112,1
94,16,109,140,110,47,125,0,63,110,187,47,109,78,94,78,0,110,93,125,94,93,62,16,78,0,3546,1
250,0,62,63,109,32,94,47,156,125,140,0,15,94,109,110,860,141,94,250,125,16,125,109,125,0,4802,1
125,15,78,94,78,31,78,16,141,141,125,78,63,78,47,63,109,47,63,62,63,78,0,15,110,62,3298,1
78,15,94,109,125,16,78,78,63,0,125,110,78,0,47,63,47,109,63,78,32,109,94,94,94,31,3000,1
78,31,94,93,78,31,78,16,141,187,94,47,63,62,0,31,937,47,63,62,63,78,78,78,110,62,4078,1
93,47,94,141,109,203,297,16,203,203,137,172,16,94,109,94,94,62,125,94,109,94,94,125,109,31,4810,1
172,16,78,0,94,31,93,32,78,156,137,94,0,94,94,125,16,93,79,109,141,78,15,0,78,15,3762,1
62,110,15,219,94,16,297,16,203,0,140,16,16,172,94,375,110,62,125,94,109,94,78,141,109,31,4143,1
94,78,125,94,109,141,110,109,203,203,109,500,47,110,93,78,94,78,125,109,78,110,78,78,94,47,5623,1
500,15,156,16,109,485,125,47,62,0,109,609,109,78,94,78,141,62,94,78,109,94,79,78,78,31,5015,1
93,375,79,109,110,78,110,109,203,0,125,141,31,110,109,94,1020,78,125,109,78,110,94,203,94,47,6649,1
156,47,78,63,141,47,109,31,78,78,31,78,47,31,78,32,687,16,62,47,47,47,31,0,0,78,3281,1
78,156,32,125,47,63,31,156,16,531,31,172,79,31,47,63,0,94,62,94,62,109,32,31,31,62,3485,1
78,156,32,47,31,63,109,31,78,671,31,0,32,93,0,47,797,16,62,47,47,47,0,78,0,78,4676,1
110,15,109,63,141,15,110,31,125,125,125,47,125,203,32,93,610,47,93,47,31,16,46,16,15,93,4046,1
47,31,109,547,94,15,16,110,94,0,125,78,16,46,47,62,125,93,79,0,47,78,0,15,0,63,4154,1
32,62,0,63,203,16,110,31,125,657,15,125,78,453,78,1000,656,47,93,47,31,16,93,219,15,93,6861,1
94,62,62,125,63,31,63,172,78,78,78,78,79,62,203,47,109,60,106,47,63,94,63,62,78,79,3348,1
78,47,62,125,63,297,79,62,63,78,47,91,93,63,125,47,115,78,31,78,63,176,63,62,62,141,3587,1
63,62,63,126,62,47,63,172,78,62,78,115,140,63,67,101,62,60,106,47,63,94,62,235,78,79,3553,1
78,78,110,78,109,297,109,79,109,109,78,78,234,78,156,62,0,62,109,140,62,203,32,109,63,16,3921,2
78,47,78,47,93,203,125,63,62,0,141,203,109,32,187,63,62,78,63,109,78,63,78,110,78,16,3845,2
78,16,78,31,78,172,109,79,109,0,94,62,109,109,78,125,813,62,109,140,62,203,78,78,63,16,4874,2
375,16,78,94,62,94,94,156,250,250,141,94,62,94,78,141,93,63,62,94,94,47,156,109,93,47,4562,2
94,31,78,31,63,62,47,47,62,0,141,16,125,156,125,110,172,62,63,79,62,62,16,31,110,31,3488,2
171,63,16,63,94,47,94,156,250,62,94,172,15,62,78,94,953,63,62,94,94,47,78,172,93,47,5671,2
109,47,172,31,78,16,94,141,250,250,47,63,47,62,31,47,0,62,78,32,31,78,16,47,63,31,3049,2
63,15,109,62,94,31,78,172,16,0,47,47,125,16,31,49,141,63,78,31,31,63,16,16,63,31,3707,2
32,93,16,188,62,16,94,141,250,906,47,141,203,78,875,968,735,62,78,32,31,78,110,93,63,31,8140,2
62,16,109,16,62,32,78,31,109,109,63,47,32,78,110,94,0,188,359,218,16,47,16,16,47,46,3000,2
47,359,94,15,63,15,62,16,47,0,94,47,47,16,94,78,79,63,94,94,62,156,16,15,63,47,2969,2
63,78,16,203,78,15,78,31,109,0,94,79,78,78,78,94,703,188,359,218,16,47,47,94,47,46,4467,2
172,437,94,94,78,94,94,31,140,140,62,219,16,94,110,78,94,63,109,62,62,94,125,94,78,78,4296,2
219,15,94,16,94,62,94,62,78,0,62,110,109,125,203,78,94,78,63,94,62,78,16,46,78,63,3310,2
140,110,16,31,94,47,94,31,140,109,78,94,16,78,79,109,937,63,109,62,62,94,78,78,78,78,4249,2
57,4369,113,168,69,166,90,63,80,80,110,192,36,79,96,80,78,78,78,69,41,78,81,78,33,69,8445,2
192,4,79,80,98,49,78,31,78,70,65,187,24,81,94,78,172,68,150,78,94,62,79,85,78,63,4213,2
74,6,79,136,79,21,90,63,80,73,103,172,73,31,94,141,74,78,78,69,41,78,78,94,33,69,3365,2
110,156,125,31,94,172,109,63,172,172,109,94,78,78,156,94,78,250,78,156,141,47,15,78,78,78,4252,2
94,15,94,125,78,62,156,16,78,0,109,62,94,15,109,94,141,78,63,110,62,94,410,62,109,172,3846,2
187,78,410,15,78,109,109,63,172,0,109,141,172,94,125,109,828,250,78,156,141,47,125,109,78,78,5502,2
93,32,125,47,63,0,93,32,187,187,78,125,31,78,94,94,562,94,78,94,47,15,20,78,109,16,3638,2
125,32,94,125,94,16,62,16,62,110,78,78,117,20,47,156,94,47,63,94,63,172,32,421,63,46,3279,2
78,78,32,32,78,16,93,32,187,109,63,94,15,78,47,109,719,94,78,94,47,15,125,125,109,16,3657,2
62,141,78,109,63,94,78,219,62,62,47,62,109,47,109,63,78,63,1015,79,62,203,62,46,47,47,4983,2
62,78,63,125,47,125,62,63,78,63,78,125,125,62,109,63,125,828,62,93,93,62,47,63,63,62,5531,2
31,109,47,125,47,125,78,219,62,47,109,125,219,47,94,188,79,63,1015,79,62,203,63,78,47,47,5221,2
109,125,109,79,78,109,125,63,109,109,125,94,0,94,78,110,109,78,109,78,203,47,47,63,79,31,3750,2
94,16,78,15,78,63,94,31,110,78,187,46,62,47,78,94,63,78,78,109,62,94,78,94,78,31,3373,2
125,0,78,78,94,15,125,63,109,93,110,63,31,78,93,94,843,78,109,78,203,47,94,141,79,31,5093,2
93,47,125,47,110,93,94,31,79,79,140,94,16,46,78,78,172,62,79,125,109,15,31,16,94,16,3298,2
94,16,62,62,62,47,78,32,78,98,124,125,94,31,62,94,62,78,93,79,140,78,62,93,93,32,3122,2
79,31,62,156,46,110,94,31,79,94,125,62,16,94,78,78,609,62,79,125,109,15,62,78,94,16,3749,2
94,31,78,125,79,46,79,15,140,140,90,94,0,62,93,47,94,63,78,94,47,0,16,0,94,16,2996,2
94,0,63,62,62,579,78,32,94,0,93,31,140,16,63,78,31,78,78,78,78,78,78,79,62,16,3220,2
62,16,78,94,62,32,79,15,140,0,125,31,31,78,78,94,781,63,78,94,47,0,94,110,94,16,3423,2
63,343,63,219,46,188,47,62,78,78,79,63,16,62,156,94,62,62,156,63,62,234,47,110,62,31,3952,2
63,0,78,47,47,94,93,47,63,125,141,141,62,47,125,63,156,125,47,62,63,63,16,47,47,47,3300,2
203,47,16,203,62,94,47,62,78,79,110,156,16,62,63,140,922,62,156,63,62,234,62,63,62,31,4171,2
140,31,141,31,109,47,94,62,172,172,100,125,46,63,109,78,94,47,62,141,125,109,16,32,94,47,3582,2
125,32,110,16,94,31,93,32,78,94,110,62,141,16,109,63,78,94,46,109,110,78,16,47,78,62,3159,2
31,109,16,31,63,78,94,62,172,78,125,78,15,94,94,110,828,47,62,141,125,109,79,94,94,47,5580,2
63,78,78,94,62,63,62,63,78,78,79,78,78,62,94,62,62,62,94,78,63,78,47,78,63,47,3012,2
78,62,79,109,62,63,63,78,63,63,62,15,125,47,125,62,94,78,63,78,63,93,78,62,78,62,3267,2
94,78,78,109,62,47,62,63,78,47,63,94,78,63,843,79,62,62,94,78,63,78,63,125,63,47,3780,2
109,47,63,47,31,16,78,47,125,125,47,47,16,78,16,78,594,78,78,47,109,110,16,94,78,0,3142,2
47,16,78,78,78,16,16,93,32,484,47,0,47,16,63,31,110,63,78,31,79,109,0,16,16,94,3721,2
94,156,0,78,78,0,78,47,125,0,62,110,78,94,0,78,0,78,78,47,109,110,16,78,78,0,3562,2
94,32,109,703,78,94,62,157,78,78,62,94,78,93,109,63,125,62,79,79,78,63,94,94,62,31,4392,2
94,16,93,110,78,141,93,0,94,109,78,93,141,94,93,94,15,78,78,78,78,78,78,78,78,94,3658,2
110,78,78,125,93,79,62,157,78,47,94,15,63,78,78,141,0,62,79,79,78,63,94,94,62,31,3643,2
94,109,62,141,63,93,63,94,78,78,63,94,62,47,109,63,93,63,109,78,63,188,78,78,47,78,3596,2
94,47,63,125,78,78,62,63,62,63,78,172,94,78,125,63,110,78,78,63,78,62,63,62,63,62,3406,2
63,62,63,125,47,109,63,94,78,63,47,110,47,78,78,156,110,63,109,78,63,188,47,94,47,78,3410,2
78,47,157,62,125,46,156,0,78,78,180,94,16,78,47,62,0,94,62,31,47,93,31,47,78,31,3397,2
94,15,94,47,125,110,15,78,47,141,187,219,47,31,63,70,110,62,63,15,46,63,16,94,93,0,4740,2
47,47,16,94,78,15,156,0,78,0,172,110,94,94,1312,1390,984,94,62,31,47,93,63,156,78,31,7215,2
62,79,109,78,94,94,78,62,109,109,125,78,141,31,125,109,94,78,94,141,62,93,31,63,78,32,3421,2
78,125,93,109,94,109,47,78,31,110,125,109,78,31,15,111,120,94,46,63,16,125,78,94,63,93,3729,2
78,31,78,46,31,78,78,62,109,0,94,120,47,109,109,0,735,78,94,141,62,93,78,78,78,32,3667,2
