dtfk1,ft1,dtsk1,dtfk2,dtfk3,dtsk3,dtfk4,ft4,dtfk5,dtsk5,dtfk6,ft6,dtsk6,dtfk7,ft7,dtsk7,dtfk8,dtfk9,dtfk10,ft10,dtsk10,dtfk11,ft11,dtsk11,ft12,dtfk13,ft13,dtsk13,ft14,gender
78,187,94,94,78,63,63,62,94,78,78,32,110,62,16,94,78,78,31,94,62,78,47,78,156,32,79,78,31,1
110,15,78,93,78,78,47,47,94,79,62,63,62,203,265,32,62,16,47,110,62,156,63,125,94,62,78,78,16,1
94,16,62,78,94,63,63,62,78,63,16,109,16,32,15,93,110,812,31,94,62,78,47,78,156,94,31,63,31,1
109,31,109,109,94,93,93,32,110,62,32,62,63,78,16,63,79,562,656,47,63,32,78,79,782,47,125,16,62,1
63,15,78,16,93,32,78,15,640,63,63,62,141,47,94,47,16,16,78,63,141,110,15,93,62,15,78,15,62,1
94,157,15,46,63,78,93,32,0,125,110,31,16,703,16,47,62,719,656,47,63,32,78,79,782,31,109,16,62,1
78,16,93,93,78,63,63,15,78,78,78,109,94,63,94,78,94,703,31,79,62,63,93,63,0,15,94,469,15,1
94,15,94,93,204,78,110,15,47,219,62,47,94,79,78,15,15,94,63,78,62,63,94,62,93,78,156,78,31,1
94,47,78,78,78,78,63,15,94,234,15,62,94,141,15,62,78,859,31,79,62,63,93,63,0,78,32,109,15,1
93,16,94,94,78,94,94,78,125,78,78,141,250,125,109,172,94,906,94,156,78,94,94,203,78,94,63,109,78,1
250,16,125,172,110,78,93,16,0,93,78,78,94,141,93,94,47,93,172,62,79,265,78,110,109,94,703,62,813,1
140,16,94,93,172,78,94,78,891,172,94,141,93,94,78,78,156,1078,94,156,78,94,94,203,78,125,31,110,78,1
562,16,78,78,78,94,94,0,94,94,62,157,93,78,15,79,94,94,109,62,94,94,125,78,594,78,47,78,47,1
93,16,78,125,109,62,110,78,94,94,94,78,94,78,31,78,62,47,63,78,109,94,78,78,78,78,31,78,47,1
156,47,78,94,79,93,94,0,94,94,31,94,47,47,31,78,78,62,109,62,94,94,125,78,594,94,172,94,47,1
125,157,109,109,93,141,141,265,390,110,15,78,38,15,93,219,109,78,46,125,985,203,62,141,172,125,94,141,110,1
38,129,297,110,594,15,172,250,0,187,985,94,140,94,125,125,94,31,94,172,109,16,110,78,282,344,406,16,313,1
16,125,344,78,219,15,141,265,0,140,31,125,31,141,187,94,94,1312,46,125,985,203,62,141,172,391,31,109,110,1
94,296,110,110,141,94,94,78,156,93,93,63,78,109,31,110,94,78,78,63,234,234,63,157,94,62,125,94,203,1
78,94,94,172,128,93,94,16,0,125,234,78,94,94,94,62,641,94,78,94,78,156,47,109,78,32,93,47,63,1
125,93,32,344,110,94,94,78,125,94,93,94,94,125,62,109,94,797,78,63,234,234,63,157,94,109,156,63,203,1
141,16,93,93,94,62,62,391,110,110,78,235,93,78,109,79,125,109,297,78,235,297,31,141,282,344,62,360,32,1
93,32,93,172,93,78,94,47,125,141,235,78,250,16,125,344,125,218,78,94,94,172,31,140,141,62,94,344,62,1
234,141,62,394,79,94,62,391,0,109,16,63,218,125,188,109,94,1172,297,78,235,297,31,141,282,94,141,266,32,1
62,32,109,109,78,63,63,15,109,62,31,141,63,46,47,63,63,62,94,47,94,109,16,31,47,15,78,47,32,1
63,15,94,109,79,31,78,63,0,62,94,78,78,78,63,15,93,94,78,63,62,94,47,94,78,62,31,63,47,1
78,63,62,109,63,47,63,15,125,63,16,31,94,62,16,79,78,884,94,47,94,109,16,31,47,94,46,47,32,1
141,15,82,82,102,118,118,53,91,144,63,62,109,31,78,16,125,875,156,47,78,110,94,187,343,110,31,125,15,1
109,188,62,109,16,63,110,15,78,94,78,78,157,219,16,110,16,110,79,78,93,94,125,78,125,110,15,109,15,1
125,15,110,110,16,532,118,53,94,125,16,93,110,156,16,78,171,125,156,47,78,110,94,187,343,109,16,125,15,1
94,31,78,78,78,94,94,15,63,63,78,94,78,62,32,46,31,657,78,15,79,63,109,140,16,79,15,47,47,1
78,16,62,62,156,78,78,79,515,78,79,62,78,78,31,79,15,109,63,62,125,78,79,78,172,63,47,78,16,1
140,31,63,63,46,78,94,15,94,79,31,63,109,110,172,16,110,63,78,15,79,63,109,140,16,79,78,62,47,1
125,62,94,94,63,109,109,63,78,47,78,109,172,46,16,63,125,63,265,79,78,141,46,32,32,41,65,78,15,1
172,16,78,156,62,78,94,31,78,203,78,93,110,172,116,41,63,63,31,62,79,156,47,94,46,47,63,62,47,1
94,31,47,63,63,94,109,63,62,110,78,47,63,32,31,62,94,906,265,79,78,141,46,32,32,46,47,94,15,1
78,62,110,110,78,78,78,156,141,125,110,125,203,78,16,94,109,109,47,63,94,94,125,78,16,109,32,109,78,1
203,31,125,110,32,110,78,16,172,94,94,62,125,109,63,109,78,109,63,93,79,78,110,78,93,78,16,93,31,1
78,47,78,78,94,78,78,156,125,125,47,78,109,94,15,63,63,129,47,63,94,94,125,78,16,63,62,47,78,1
62,32,78,78,47,63,63,47,62,62,63,125,78,62,110,78,78,63,78,62,79,79,140,47,15,47,94,63,16,1
78,47,62,93,78,63,62,32,78,62,79,62,125,94,203,47,78,141,47,109,47,109,94,62,47,47,47,62,47,1
63,125,47,94,78,62,63,47,63,78,46,47,141,78,31,63,63,79,78,62,79,79,140,47,15,78,62,63,16,1
94,141,93,93,47,78,78,250,328,172,157,93,313,47,78,125,422,1078,62,78,344,140,234,63,125,62,125,125,31,1
313,109,32,31,141,157,46,79,0,172,344,94,140,140,235,62,359,62,62,78,78,16,93,63,78,156,16,78,281,1
78,78,156,297,125,15,78,250,0,172,47,63,62,109,141,62,94,0,62,78,344,140,234,63,125,79,31,109,31,1
93,282,93,93,78,78,78,234,94,94,63,984,63,63,218,47,79,78,78,78,78,63,140,94,828,78,297,78,219,1
63,297,62,47,78,63,62,188,93,109,78,63,203,78,250,78,93,125,62,94,62,78,140,78,62,94,484,79,204,1
62,797,94,78,47,62,78,234,141,109,219,78,125,78,375,47,62,110,78,78,78,63,140,94,828,62,375,63,219,1
93,32,93,93,94,62,62,110,250,63,78,94,78,125,46,0,187,62,78,78,63,125,47,63,32,47,78,78,78,1
78,16,94,94,62,78,78,31,125,63,63,62,141,78,16,47,62,94,63,93,63,125,15,78,93,0,78,31,16,1
31,172,0,172,0,78,62,110,844,31,16,46,94,109,32,78,94,1047,78,78,63,125,47,63,32,78,63,187,78,1
156,0,94,94,93,109,109,32,171,109,47,125,62,63,62,63,156,126,31,47,375,156,47,78,16,47,78,16,31,1
62,16,94,47,63,47,94,93,110,109,375,78,78,94,109,47,93,140,63,78,78,78,47,125,109,62,16,62,15,1
47,31,62,109,63,78,109,32,94,125,15,63,140,62,125,109,125,1176,31,47,375,156,47,78,16,94,62,78,31,1
125,15,110,110,78,93,93,94,78,63,63,94,187,141,0,78,78,141,141,109,63,94,78,94,16,78,78,78,32,1
187,16,78,93,94,63,78,31,0,94,63,62,125,94,63,78,93,94,234,328,110,110,93,78,93,78,32,62,31,1
78,31,78,63,78,78,93,94,94,63,15,78,94,109,16,62,79,78,141,109,63,94,78,94,16,78,16,78,32,1
125,172,94,94,109,109,109,250,78,78,78,156,110,125,140,63,62,94,94,78,110,47,156,79,265,63,422,78,94,1
110,359,94,79,78,78,78,219,94,78,110,93,610,62,328,63,109,156,93,94,63,78,109,79,94,93,547,94,125,1
94,313,93,94,63,94,109,250,93,94,78,63,156,94,187,78,109,78,94,78,110,47,156,79,265,93,203,63,94,1
63,94,93,93,47,63,63,93,156,63,63,469,62,78,125,78,141,78,78,56,73,78,31,125,15,78,78,47,31,1
62,16,47,63,63,63,47,16,0,656,73,166,16,62,125,78,78,15,62,78,63,140,0,63,110,31,47,63,31,1
78,31,31,47,78,62,63,93,0,94,62,141,15,94,31,63,78,844,78,56,73,78,31,125,15,78,172,78,31,1
109,16,110,110,109,47,47,391,438,46,94,62,94,78,31,94,110,78,94,31,78,109,125,109,16,15,78,31,0,1
94,0,109,93,78,94,78,141,0,46,78,94,78,31,78,15,63,46,63,62,78,125,31,62,94,32,110,31,31,1
78,109,32,203,94,78,47,391,0,94,78,47,46,110,31,94,0,765,94,31,78,109,125,109,16,94,62,63,0,1
125,31,110,110,125,93,93,485,594,140,94,47,93,78,141,62,125,140,47,78,78,47,62,109,16,0,125,62,32,1
93,16,94,125,78,94,109,47,125,141,78,79,109,32,110,0,78,109,62,94,62,125,62,125,78,94,15,63,47,1
156,16,94,188,62,94,93,485,234,109,94,94,109,125,78,94,109,985,47,78,78,47,62,109,16,93,125,94,32,1
62,63,93,93,47,31,31,125,63,79,63,109,172,62,32,78,78,63,63,47,93,78,78,47,172,63,78,63,79,1
172,15,93,94,78,63,79,46,47,94,93,63,125,78,15,63,78,109,62,78,63,78,94,63,62,63,125,31,63,1
62,0,63,78,78,62,31,125,46,94,94,47,109,62,16,62,62,62,63,47,93,78,78,47,172,78,62,32,79,1
93,547,156,156,172,79,79,128,225,110,63,78,78,63,47,78,15,94,47,62,109,78,63,93,15,32,93,16,47,1
78,16,109,109,109,63,78,47,609,0,109,63,172,79,93,32,109,62,78,78,78,79,78,172,94,78,0,63,62,1
78,78,78,15,78,78,79,128,0,141,93,32,62,94,31,172,47,812,47,62,109,78,63,93,15,47,78,47,47,1
63,15,63,63,63,93,93,63,140,109,31,141,62,63,578,94,78,63,47,94,141,78,94,188,78,47,109,47,63,1
62,78,125,79,94,31,79,62,125,109,141,62,156,94,78,47,94,94,47,78,63,78,125,62,110,47,438,62,31,1
62,31,47,63,94,78,93,63,47,94,78,62,94,125,453,78,63,63,47,94,141,78,94,188,78,94,47,62,63,1
78,47,94,94,78,40,40,271,380,125,79,15,62,47,16,62,94,62,47,62,63,125,32,0,15,32,94,31,16,1
62,31,78,31,78,79,78,32,0,125,63,157,15,62,31,32,78,94,63,62,63,312,63,94,94,62,32,62,31,1
63,0,62,141,62,94,40,271,125,94,63,0,94,62,0,32,76,813,47,62,63,125,32,0,15,79,31,156,16,1
78,94,94,94,78,78,78,140,79,93,62,125,63,47,141,62,62,63,125,47,63,63,93,63,125,63,125,62,110,1
63,47,78,94,63,62,63,94,94,125,63,62,172,78,78,63,78,125,62,78,63,78,110,62,62,78,63,46,47,1
63,78,78,94,62,47,78,140,78,125,62,63,125,63,125,83,47,63,125,47,63,63,93,63,125,78,78,47,110,1
126,31,125,125,78,109,109,31,172,156,110,46,125,94,16,93,109,172,0,93,453,140,47,63,46,31,94,78,32,1
125,46,125,47,109,110,125,15,110,156,453,94,47,31,63,31,94,15,93,110,78,829,31,93,78,62,47,94,31,1
141,0,62,78,93,78,109,31,172,157,31,78,15,94,78,94,94,719,0,93,453,140,47,63,46,109,0,110,32,1
62,78,110,110,78,63,63,78,62,94,62,47,94,78,31,94,93,47,32,62,110,78,94,63,0,31,79,46,62,1
94,0,78,0,47,62,78,61,78,188,110,62,141,63,62,31,47,31,78,78,63,62,110,62,94,31,31,94,47,1
94,47,31,93,94,47,63,78,79,78,16,94,31,94,47,78,109,895,32,62,110,78,94,63,0,78,47,78,62,1
125,16,94,94,78,93,93,188,78,94,94,62,156,110,31,78,109,78,78,63,62,78,110,78,125,125,125,125,32,1
156,16,62,140,109,94,78,0,0,109,62,94,313,156,31,125,78,78,78,47,63,62,94,62,94,125,0,94,235,1
109,31,125,78,78,109,93,188,0,94,0,62,78,156,16,94,78,203,78,63,62,78,110,78,125,125,31,109,32,1
125,16,109,109,125,47,47,109,203,62,31,78,47,31,63,31,47,93,16,62,94,157,31,62,31,156,110,62,16,1
47,78,16,32,31,31,344,94,1469,31,94,78,63,0,62,156,125,47,78,78,78,0,47,63,156,31,125,15,31,1
16,79,31,47,31,62,47,109,141,125,125,0,47,125,719,109,78,859,16,62,94,157,31,62,31,94,0,62,16,1
141,62,110,110,94,78,78,203,78,88,78,282,109,78,344,407,78,94,234,79,93,94,140,79,47,78,391,109,109,1
109,63,93,94,109,78,62,157,62,78,93,63,172,78,172,78,109,157,281,63,93,94,172,78,94,78,516,78,125,1
110,0,78,109,407,78,78,203,1109,250,32,93,157,94,203,78,78,63,234,79,93,94,140,79,47,93,235,78,109,1
156,47,47,47,140,78,78,79,110,110,31,47,15,78,16,110,94,469,63,78,79,63,47,15,31,48,5,84,109,1
15,63,31,31,93,31,15,94,141,94,79,188,31,16,78,48,46,47,31,78,63,16,78,62,109,16,94,0,109,1
63,15,16,235,110,16,78,79,438,31,93,32,47,625,32,79,93,0,63,78,79,63,47,15,31,16,110,15,109,1
156,16,125,125,109,187,187,109,157,94,109,203,125,110,94,93,218,125,94,109,63,94,203,63,157,110,93,161,15,1
125,110,109,156,94,109,78,141,172,172,63,93,500,125,125,110,297,125,93,110,62,16,141,62,172,531,140,516,63,1
250,110,531,312,93,125,187,109,94,110,94,78,125,141,140,78,110,750,94,109,63,94,203,63,157,93,110,109,15,1
125,93,125,125,94,94,94,125,125,125,94,109,141,109,63,93,78,94,94,62,94,125,94,78,110,94,47,109,62,1
141,78,125,125,94,94,94,47,109,171,94,94,140,110,140,94,109,94,47,93,78,156,47,110,94,94,31,125,94,1
109,16,94,156,93,109,94,125,125,141,47,140,94,125,110,78,110,125,94,62,94,125,94,78,110,94,78,141,62,1
78,63,109,109,63,78,78,125,94,98,78,94,109,78,109,63,94,78,93,63,78,78,110,46,46,63,94,78,62,1
109,32,62,78,62,78,94,31,94,78,78,62,125,110,15,63,94,63,78,109,47,94,93,78,63,63,16,93,109,1
78,78,63,109,63,94,78,125,110,78,15,109,63,93,0,63,94,93,93,63,78,78,110,46,46,63,31,94,62,1
93,47,110,110,171,94,94,47,156,140,172,15,94,94,31,109,141,110,15,141,94,250,31,125,16,78,109,16,0,1
94,16,109,0,110,172,125,0,110,187,94,109,47,62,109,78,94,0,62,110,93,125,93,94,93,62,140,16,0,1
250,0,62,312,109,78,94,47,125,140,16,125,0,141,15,94,94,860,15,141,94,250,31,125,16,125,0,109,0,1
125,15,78,78,78,78,78,16,141,125,78,79,78,78,63,78,140,109,47,47,63,62,140,63,78,0,110,15,62,1
78,15,94,32,125,78,78,78,0,125,63,62,110,78,78,0,172,47,78,109,63,78,93,32,109,94,15,94,31,1
78,31,94,79,78,94,78,16,187,94,94,0,47,140,63,62,78,937,47,47,63,62,140,63,78,78,141,78,62,1
93,47,94,94,109,297,297,16,203,137,78,63,172,125,16,94,78,94,157,62,125,94,78,109,94,94,109,125,31,1
172,16,78,219,94,78,93,32,156,137,125,78,94,109,0,94,94,16,110,93,79,109,63,141,78,15,78,0,15,1
62,110,15,63,94,125,297,16,0,140,32,125,16,47,16,172,78,110,157,62,125,94,78,109,94,78,15,141,31,1
94,78,125,125,109,110,110,109,203,109,78,390,500,125,47,110,110,94,156,78,125,109,63,78,110,78,94,78,47,1
500,15,156,141,109,78,125,47,0,109,125,63,609,46,109,78,110,141,79,62,94,78,110,109,94,79,78,78,31,1
93,375,79,94,110,93,110,109,0,125,78,78,141,141,31,110,78,1020,156,78,125,109,63,78,110,94,484,203,47,1
156,47,78,78,141,109,109,31,78,31,47,62,78,15,47,31,78,687,94,16,62,47,125,47,47,31,78,0,78,1
78,156,32,15,47,47,31,156,531,31,62,79,172,47,79,31,31,0,31,94,62,94,0,62,109,32,78,31,62,1
78,156,32,62,31,47,109,31,671,31,15,109,0,78,32,93,16,797,94,16,62,47,125,47,47,0,79,78,78,1
110,15,109,109,141,110,110,31,125,125,125,31,47,63,125,203,203,610,125,47,93,47,141,31,16,46,109,16,93,1
47,31,109,62,94,125,16,110,0,125,93,63,78,0,16,46,16,125,47,93,79,0,93,47,78,0,94,15,63,1
32,62,0,15,203,16,110,31,657,15,63,47,125,250,78,453,94,656,125,47,93,47,141,31,16,93,63,219,93,1
94,62,62,62,63,63,63,172,78,78,62,141,78,78,79,62,63,109,40,60,106,47,125,63,94,63,94,62,79,1
78,47,62,47,63,62,79,62,78,47,106,67,91,94,93,63,78,115,47,78,31,78,109,63,176,63,78,62,141,1
63,62,63,62,62,94,63,172,62,78,27,86,115,78,140,63,74,62,40,60,106,47,125,63,94,62,141,235,79,1
78,78,110,110,109,109,109,79,109,78,63,125,78,47,234,78,110,0,141,62,109,140,16,62,203,32,78,109,16,2
78,47,78,94,93,63,125,63,0,141,109,47,203,94,109,32,78,62,78,78,63,109,16,78,63,78,265,110,16,2
78,16,78,328,78,62,109,79,0,94,93,251,62,125,109,109,63,813,141,62,109,140,16,62,203,78,219,78,16,2
375,16,78,78,62,94,94,156,250,141,47,125,94,109,62,94,109,93,156,63,62,94,62,94,47,156,63,109,47,2
94,31,78,219,63,47,47,47,0,141,62,94,16,47,125,156,78,172,63,62,63,79,78,62,62,16,78,31,31,2
171,63,16,218,94,125,94,156,62,94,32,46,172,63,15,62,109,953,156,63,62,94,62,94,47,78,110,172,47,2
109,47,172,172,78,94,94,141,250,47,94,15,63,62,47,62,47,0,63,62,78,32,141,31,78,16,78,47,31,2
63,15,109,110,94,94,78,172,0,47,78,172,47,47,125,16,94,141,15,63,78,31,94,31,63,16,78,16,31,2
32,93,16,110,62,78,94,141,906,47,78,31,141,94,203,78,91,735,63,62,78,32,141,31,78,110,15,93,31,2
62,16,109,109,62,78,78,31,109,63,32,140,47,62,32,78,62,0,16,188,359,218,47,16,47,16,78,16,46,2
47,359,94,63,63,32,62,16,0,94,359,78,47,31,47,16,62,79,62,63,94,94,15,62,156,16,78,15,47,2
63,78,16,110,78,79,78,31,0,94,59,32,79,125,78,78,62,703,16,188,359,218,47,16,47,47,15,94,46,2
172,437,94,94,78,94,94,31,140,62,94,141,219,93,16,94,94,94,125,63,109,62,94,62,94,125,78,94,78,2
219,15,94,125,94,94,94,62,0,62,109,62,110,31,109,125,94,94,78,78,63,94,109,62,78,16,78,46,63,2
140,110,16,219,94,78,94,31,109,78,63,78,94,109,16,78,62,937,125,63,109,62,94,62,94,78,94,78,78,2
57,4369,113,113,69,90,90,63,80,110,65,101,192,89,36,79,79,78,47,78,78,69,111,41,78,81,37,78,69,2
192,4,79,68,98,65,78,31,70,65,78,94,187,89,24,81,94,172,58,68,150,78,94,94,62,79,13,85,63,2
74,6,79,39,79,104,90,63,73,103,109,31,172,11,73,31,47,74,47,78,78,69,111,41,78,78,15,94,69,2
110,156,125,125,94,109,109,63,172,109,63,78,94,79,78,78,109,78,110,250,78,156,63,141,47,15,63,78,78,2
94,15,94,78,78,63,156,16,0,109,78,94,62,109,94,15,110,141,78,78,63,110,47,62,94,410,94,62,172,2
187,78,410,110,78,78,109,63,0,109,47,93,141,93,172,94,141,828,110,250,78,156,63,141,47,125,266,109,78,2
93,32,125,125,63,93,93,32,187,78,93,47,125,63,31,78,78,562,16,94,78,94,78,47,15,20,88,78,16,2
125,32,94,47,94,93,62,16,110,78,78,78,78,47,117,20,94,94,47,47,63,94,31,63,172,32,32,421,46,2
78,78,32,125,78,93,93,32,109,63,16,94,94,63,15,78,94,719,16,94,78,94,78,47,15,125,15,125,16,2
62,141,78,78,63,78,78,219,62,47,46,157,62,63,109,47,94,78,547,63,1015,79,125,62,203,62,188,46,47,2
62,78,63,62,47,46,62,63,63,78,1015,78,125,79,125,62,63,125,31,828,62,93,110,93,62,47,172,63,62,2
31,109,47,47,47,62,78,219,47,109,79,62,125,94,219,47,63,79,547,63,1015,79,125,62,203,63,125,78,47,2
109,125,109,109,78,125,125,63,109,125,78,109,94,94,0,94,94,109,63,78,109,78,93,203,47,47,78,63,31,2
94,16,78,156,78,78,94,31,78,187,109,79,46,16,62,47,109,63,78,78,78,109,110,62,94,78,78,94,31,2
125,0,78,94,94,94,125,63,93,110,78,78,63,94,31,78,94,843,63,78,109,78,93,203,47,94,31,141,31,2
93,47,125,125,110,94,94,31,79,140,47,109,94,78,16,46,110,172,31,62,79,125,62,109,15,31,78,16,16,2
94,16,62,125,62,47,78,32,98,124,79,62,125,62,94,31,94,62,63,78,93,79,93,140,78,62,32,93,32,2
79,31,62,31,46,62,94,31,94,125,62,16,62,78,16,94,78,609,31,62,79,125,62,109,15,62,32,78,16,2
94,31,78,78,79,79,79,15,140,90,78,62,94,109,0,62,110,94,47,63,78,94,94,47,0,16,78,0,16,2
94,0,63,16,62,78,78,32,0,93,78,172,31,31,140,16,78,31,63,78,78,78,94,78,78,78,15,79,16,2
62,16,78,78,62,78,79,15,0,125,0,63,31,62,31,78,109,781,47,63,78,94,94,47,0,94,15,110,16,2
63,343,63,63,46,47,47,62,78,79,47,156,63,62,16,62,156,62,94,62,156,63,109,62,234,47,78,110,31,2
63,0,78,125,47,47,93,47,125,141,156,47,141,110,62,47,78,156,32,125,47,62,125,63,63,16,78,47,47,2
203,47,16,63,62,47,47,62,79,110,78,47,156,62,16,62,47,922,94,62,156,63,109,62,234,62,47,63,31,2
140,31,141,141,109,94,94,62,172,100,78,62,125,94,46,63,94,94,78,47,62,141,62,125,109,16,93,32,47,2
125,32,110,172,94,78,93,32,94,110,62,141,62,16,141,16,94,78,47,94,46,109,31,110,78,16,78,47,62,2
31,109,16,250,63,94,94,62,78,125,141,0,78,79,15,94,516,828,78,47,62,141,62,125,109,79,46,94,47,2
63,78,78,78,62,62,62,63,78,79,62,94,78,63,78,62,78,62,109,62,94,78,93,63,78,47,31,78,47,2
78,62,79,47,62,62,63,78,63,62,94,188,15,78,125,47,63,94,62,78,63,78,94,63,93,78,47,62,62,2
94,78,78,47,62,78,62,63,47,63,0,93,94,62,78,63,78,62,109,62,94,78,93,63,78,63,31,125,47,2
109,47,63,63,31,78,78,47,125,47,110,62,47,93,16,78,78,594,15,78,78,47,63,109,110,16,47,94,0,2
47,16,78,31,78,110,16,93,484,47,78,94,0,609,47,16,16,110,31,63,78,31,62,79,109,0,94,16,94,2
94,156,0,32,78,110,78,47,0,62,78,31,110,31,78,94,78,0,15,78,78,47,63,109,110,16,93,78,0,2
94,32,109,109,78,62,62,157,78,62,63,93,94,79,78,93,94,125,141,62,79,79,78,78,63,94,15,94,31,2
94,16,93,78,78,63,93,0,109,78,79,78,93,125,141,94,110,15,94,78,78,78,110,78,78,78,47,78,94,2
110,78,78,93,93,78,62,157,47,94,62,172,15,140,63,78,79,0,141,62,79,79,78,78,63,94,156,94,31,2
94,109,62,62,63,63,63,94,78,63,63,140,94,63,62,47,63,93,156,63,109,78,94,63,188,78,78,78,78,2
94,47,63,78,78,63,62,63,63,78,109,63,172,62,94,78,78,110,63,78,78,63,109,78,62,63,78,62,62,2
63,62,63,78,47,63,63,94,63,47,63,62,110,63,47,78,62,110,156,63,109,78,94,63,188,47,47,94,78,2
78,47,157,157,125,156,156,0,78,180,78,109,94,63,16,78,266,0,78,94,62,31,109,47,93,31,94,47,31,2
94,15,94,110,125,78,15,78,141,187,62,94,219,62,47,31,156,110,94,62,63,15,125,46,63,16,94,94,0,2
