dtfk1,ft1,dtfk3,dtsk3,ft4,ft5,dtsk5,ft6,dtsk6,dtfk7,ft9,dtsk9,ft10,dtsk10,dtfk11,ft11,dtfk12,ft12,ft13,dtfk14,sum,gender
94,47,78,78,15,125,234,62,94,141,78,79,79,62,63,93,78,0,32,110,4452,1
93,16,78,94,78,94,78,141,250,125,94,891,156,78,94,94,94,78,63,78,5954,1
250,16,110,78,16,62,93,78,94,141,266,63,62,79,265,78,156,109,703,109,5530,1
140,16,172,78,78,93,172,141,93,94,78,141,156,78,94,94,94,78,31,78,5998,1
562,16,78,94,0,109,94,157,93,78,109,234,62,94,94,125,78,594,47,93,4670,1
93,16,109,62,78,78,94,78,94,78,109,32,78,109,94,78,109,78,31,78,3172,1
156,47,79,93,0,78,94,94,47,47,94,78,62,94,94,125,78,594,172,93,4016,1
125,157,93,141,265,63,110,78,38,15,94,141,125,985,203,62,47,172,94,78,6223,1
38,129,594,15,250,15,187,94,140,94,78,235,172,109,16,110,157,282,406,156,6904,1
16,125,219,15,265,46,140,125,31,141,109,94,125,985,203,62,47,172,31,78,7576,1
94,296,141,94,78,63,93,63,78,109,78,78,63,234,234,63,109,94,125,94,4641,1
78,94,128,93,16,78,125,78,94,94,62,94,94,78,156,47,141,78,93,78,4392,1
125,93,110,94,78,62,94,94,94,125,94,94,63,234,234,63,109,94,156,94,5392,1
141,16,94,62,391,15,110,235,93,78,47,172,78,235,297,31,93,282,62,93,5689,1
93,32,93,78,47,15,141,78,250,16,157,15,94,94,172,31,78,141,94,94,4655,1
234,141,79,94,391,15,109,63,218,125,1313,16,78,235,297,31,93,282,141,93,7678,1
62,32,78,63,15,16,62,141,63,46,78,188,47,94,109,16,94,47,78,62,3155,1
63,15,79,31,63,15,62,78,78,78,62,94,63,62,94,47,109,78,31,63,2765,1
78,63,63,47,15,16,63,31,94,62,62,78,47,94,109,16,94,47,46,62,3729,1
141,15,102,118,53,259,144,62,109,31,125,125,47,78,110,94,110,343,31,94,5127,1
109,188,16,63,15,172,94,78,157,219,125,109,78,93,94,125,125,125,15,156,4174,1
125,15,16,532,53,223,125,93,110,156,110,219,47,78,110,94,110,343,16,94,4970,1
94,31,78,94,15,62,63,94,78,62,78,109,15,79,63,109,78,16,15,15,3312,1
78,16,156,78,79,63,78,62,78,78,63,94,62,125,78,79,109,172,47,109,3658,1
140,31,46,78,15,62,79,63,109,110,109,78,15,79,63,109,78,16,78,15,2985,1
125,62,63,109,63,125,47,109,172,46,172,78,79,78,141,46,62,32,65,78,3560,1
172,16,62,78,31,125,203,93,110,172,109,62,62,79,156,47,126,46,63,78,3641,1
94,31,63,94,63,125,110,47,63,32,94,172,79,78,141,46,62,32,47,78,4048,1
78,62,78,78,156,16,125,125,203,78,16,140,63,94,94,125,187,16,32,79,3862,1
203,31,32,110,16,15,94,62,125,109,79,15,93,79,78,110,110,93,16,94,3611,1
78,47,94,78,156,109,125,78,109,94,62,109,63,94,94,125,187,16,62,79,3614,1
62,32,47,63,47,141,62,125,78,62,140,79,62,79,79,140,63,15,94,78,3080,1
78,47,78,63,32,157,62,62,125,94,62,125,109,47,109,94,125,47,47,63,3515,1
63,125,78,62,47,140,78,47,141,78,171,94,62,79,79,140,63,15,62,78,3141,1
94,141,47,78,250,62,172,93,313,47,94,172,78,344,140,234,47,125,125,78,6577,1
313,109,141,157,79,62,172,94,140,140,188,282,78,78,16,93,94,78,16,62,5172,1
78,78,125,15,250,63,172,63,62,109,47,140,78,344,140,234,47,125,31,78,4420,1
93,282,78,78,234,47,94,984,63,63,156,78,78,78,63,140,78,828,297,63,6749,1
63,297,78,63,188,63,109,63,203,78,62,125,94,62,78,140,94,62,484,78,4935,1
62,797,47,62,234,203,109,78,125,78,141,78,78,78,63,140,78,828,375,63,6250,1
93,32,94,62,110,63,63,94,78,125,204,344,78,63,125,47,109,32,78,93,4202,1
78,16,62,78,31,16,63,62,141,78,266,16,93,63,125,15,94,93,78,62,3891,1
31,172,0,78,110,938,31,46,94,109,1203,78,78,63,125,47,109,32,63,93,7094,1
156,0,93,109,32,16,109,125,62,63,109,78,47,375,156,47,63,16,78,78,3624,1
62,16,63,47,93,31,109,78,78,94,94,78,78,78,78,47,16,109,16,94,3281,1
47,31,63,78,32,31,125,63,140,62,94,94,47,375,156,47,63,16,62,78,4501,1
125,15,78,93,94,203,63,94,187,141,0,203,109,63,94,78,93,16,78,93,3703,1
187,16,94,63,31,0,94,62,125,94,125,31,328,110,110,93,94,93,32,94,3610,1
78,31,78,78,94,171,63,78,94,109,93,94,109,63,94,78,93,16,16,93,3280,1
125,172,109,109,250,110,78,156,110,125,172,78,78,110,47,156,94,265,422,93,4923,1
110,359,78,78,219,78,78,93,610,62,94,141,94,63,78,109,156,94,547,110,5672,1
94,313,63,94,250,250,94,63,156,94,188,62,78,110,47,156,94,265,203,93,4811,1
63,94,47,63,93,31,63,469,62,78,63,141,56,73,78,31,79,15,78,62,3755,1
62,16,63,63,16,594,656,166,16,62,109,16,78,63,140,0,47,110,47,63,3739,1
78,31,78,62,93,16,94,141,15,94,891,62,56,73,78,31,79,15,172,62,5098,1
109,16,109,47,391,31,46,62,94,78,32,109,31,78,109,125,109,16,78,78,4172,1
94,0,78,94,141,32,46,94,78,31,125,110,62,78,125,31,687,94,110,78,3593,1
78,109,94,78,391,31,94,47,46,110,844,31,31,78,109,125,109,16,62,78,5717,1
125,31,125,93,485,47,140,47,93,78,16,125,78,78,47,62,125,16,125,78,4935,1
93,16,78,94,47,31,141,79,109,32,0,109,94,62,125,62,172,78,15,94,3515,1
156,16,62,94,485,16,109,94,109,125,1078,32,78,78,47,62,125,16,125,78,6516,1
62,63,47,31,125,171,79,109,172,62,156,78,47,93,78,78,78,172,78,46,3344,1
172,15,78,63,46,31,94,63,125,78,63,125,78,63,78,94,125,62,125,62,3125,1
62,0,78,62,125,47,94,47,109,62,141,78,47,93,78,78,78,172,62,46,2983,1
93,547,172,79,128,40,110,78,78,63,93,203,62,109,78,63,47,15,93,94,4488,1
78,16,109,63,47,734,0,63,172,79,94,78,78,78,79,78,110,94,0,15,4343,1
78,78,78,78,128,47,141,32,62,94,78,79,62,109,78,63,47,15,78,94,4134,1
63,15,63,93,63,188,109,141,62,63,109,78,94,141,78,94,47,78,109,93,3999,1
62,78,94,31,62,207,109,62,156,94,63,93,78,63,78,125,93,110,438,94,3941,1
62,31,94,78,63,687,94,62,94,125,125,94,94,141,78,94,47,78,47,93,5077,1
78,47,78,40,271,47,125,15,62,47,78,172,62,63,125,32,47,15,94,62,3507,1
62,31,78,79,32,47,125,157,15,62,31,125,62,63,312,63,62,94,32,78,3018,1
63,0,62,94,271,140,94,0,94,62,891,62,62,63,125,32,47,15,31,62,5659,1
78,94,78,78,140,250,93,125,63,47,156,47,47,63,63,93,63,125,125,62,4205,1
63,47,63,62,94,125,125,62,172,78,47,156,78,63,78,110,110,62,63,63,3438,1
63,78,62,47,140,172,125,63,125,63,187,78,47,63,63,93,63,125,78,62,3585,1
126,31,78,109,31,31,156,46,125,94,47,187,93,453,140,47,32,46,94,78,3983,1
125,46,109,110,15,125,156,94,47,31,141,0,110,78,829,31,109,78,47,157,4546,1
141,0,93,78,31,93,157,78,15,94,875,31,93,453,140,47,32,46,0,78,5156,1
62,78,78,63,78,94,94,47,94,78,547,93,62,110,78,94,141,0,79,78,3438,1
94,0,47,62,61,94,188,62,141,63,110,0,78,63,62,110,141,94,31,78,3129,1
94,47,94,47,78,78,78,94,31,94,62,63,62,110,78,94,141,0,47,78,3866,1
125,16,78,93,188,31,94,62,156,110,110,250,63,62,78,110,93,125,125,78,3953,1
156,16,109,94,0,31,109,94,313,156,156,16,47,63,62,94,125,94,0,62,3921,1
109,31,78,109,188,0,94,62,78,156,62,156,63,62,78,110,93,125,31,78,3623,1
125,16,125,47,109,47,62,78,47,31,0,125,62,94,157,31,31,31,110,78,3231,1
47,78,31,31,94,140,31,78,63,0,32,141,78,78,0,47,78,156,125,63,4361,1
16,79,31,62,109,15,125,0,47,125,110,0,62,94,157,31,31,31,0,78,4186,1
141,62,94,78,203,249,88,282,109,78,531,94,79,93,94,140,78,47,391,78,5854,1
109,63,109,78,157,204,78,63,172,78,78,156,63,93,94,172,213,94,516,94,5009,1
110,0,407,78,203,63,250,93,157,94,250,78,79,93,94,140,78,47,235,78,5833,1
156,47,140,78,79,15,110,47,15,78,578,16,78,79,63,47,63,31,5,46,3717,1
15,63,93,31,94,0,94,188,31,16,140,16,78,63,16,78,31,109,94,16,2360,1
63,15,110,16,79,125,31,32,47,625,62,16,78,79,63,47,63,31,110,46,3677,1
156,16,109,187,109,156,94,203,125,110,110,203,109,63,94,203,47,157,93,141,4960,1
125,110,94,109,141,0,172,93,500,125,156,157,110,62,16,141,47,172,140,125,5704,1
250,110,93,125,109,156,110,78,125,141,125,125,109,63,94,203,47,157,110,141,5814,1
125,93,94,94,125,78,125,109,141,109,109,125,62,94,125,94,109,110,47,109,4233,1
141,78,94,94,47,32,171,94,140,110,125,16,93,78,156,47,187,94,31,109,4563,1
109,16,93,109,125,47,141,140,94,125,94,110,62,94,125,94,109,110,78,109,4142,1
78,63,63,78,125,219,98,94,109,78,94,110,63,78,78,110,94,46,94,110,3677,1
109,32,62,78,31,187,78,62,125,110,78,109,109,47,94,93,125,63,16,78,3404,1
78,78,63,94,125,234,78,109,63,93,125,110,63,78,78,110,94,46,31,110,3484,1
93,47,171,94,47,32,140,15,94,94,47,203,141,94,250,31,125,16,109,125,4112,1
94,16,110,172,0,78,187,109,47,62,140,16,110,93,125,93,110,93,140,78,3546,1
250,0,109,78,47,79,140,125,0,141,125,62,141,94,250,31,125,16,0,125,4802,1
125,15,78,78,16,62,125,79,78,78,32,157,47,63,62,140,109,78,110,110,3298,1
78,15,125,78,78,15,125,62,110,78,93,79,109,63,78,93,31,109,15,94,3000,1
78,31,78,94,16,0,94,0,47,140,94,78,47,63,62,140,109,78,141,110,4078,1
93,47,109,297,16,15,137,63,172,125,188,125,62,125,94,78,141,94,109,109,4810,1
172,16,94,78,32,16,137,78,94,109,141,46,93,79,109,63,375,78,78,78,3762,1
62,110,94,125,16,47,140,125,16,47,78,109,62,125,94,78,141,94,15,109,4143,1
94,78,109,110,109,78,109,390,500,125,343,468,78,125,109,63,109,110,94,94,5623,1
500,15,109,78,47,15,109,63,609,46,266,15,62,94,78,110,94,94,78,78,5015,1
93,375,110,93,109,47,125,78,141,141,1114,46,78,125,109,63,109,110,484,94,6649,1
156,47,141,109,31,32,31,62,78,15,125,16,16,62,47,125,62,47,78,0,3281,1
78,156,47,47,156,625,31,79,172,47,78,32,94,62,94,0,47,109,78,31,3485,1
78,156,31,47,31,193,31,109,0,78,937,47,16,62,47,125,62,47,79,0,4676,1
110,15,141,110,31,31,125,31,47,63,109,125,47,93,47,141,31,16,109,15,4046,1
47,31,94,125,110,0,125,63,78,0,203,47,93,79,0,93,1000,78,94,0,4154,1
32,62,203,16,31,720,15,47,125,250,781,0,47,93,47,141,31,16,63,15,6861,1
94,62,63,63,172,31,78,141,78,78,125,78,60,106,47,125,63,94,94,78,3348,1
78,47,63,62,62,250,47,67,91,94,76,62,78,31,78,109,101,176,78,62,3587,1
63,62,62,94,172,188,78,86,115,78,63,94,60,106,47,125,63,94,141,78,3553,1
78,78,109,109,79,31,78,125,78,47,16,94,62,109,140,16,109,203,78,63,3921,2
78,47,93,63,63,31,141,47,203,94,203,110,78,63,109,16,125,63,265,78,3845,2
78,16,78,62,79,16,94,251,62,125,156,94,62,109,140,16,109,203,219,63,4874,2
375,16,62,94,156,31,141,125,94,109,157,235,63,62,94,62,109,47,63,93,4562,2
94,31,63,47,47,32,141,94,16,47,219,47,62,63,79,78,94,62,78,110,3488,2
171,63,94,125,156,94,94,46,172,63,1047,47,63,62,94,62,109,47,110,93,5671,2
109,47,78,94,141,47,47,15,63,62,31,94,62,78,32,141,16,78,78,63,3049,2
63,15,94,94,172,47,47,172,47,47,31,47,63,78,31,94,968,63,78,63,3707,2
32,93,62,78,141,1000,47,31,141,94,797,47,62,78,32,141,16,78,15,63,8140,2
62,16,62,78,31,31,63,140,47,62,47,94,188,359,218,47,16,47,78,47,3000,2
47,359,63,32,16,15,94,78,47,31,93,94,63,94,94,15,94,156,78,63,2969,2
63,78,78,79,31,31,94,32,79,125,766,31,188,359,218,47,16,47,15,47,4467,2
172,437,78,94,31,31,62,141,219,93,125,94,63,109,62,94,78,94,78,78,4296,2
219,15,94,94,62,16,62,62,110,31,46,32,78,63,94,109,109,78,78,78,3310,2
140,110,94,78,31,16,78,78,94,109,63,31,63,109,62,94,78,94,94,78,4249,2
57,4369,69,90,63,442,110,101,192,89,297,141,78,78,69,111,63,78,37,33,8445,2
192,4,98,65,31,411,65,94,187,89,94,406,68,150,78,94,141,62,13,78,4213,2
74,6,79,104,63,185,103,31,172,11,258,89,78,78,69,111,63,78,15,33,3365,2
110,156,94,109,63,47,109,78,94,79,109,63,250,78,156,63,78,47,63,78,4252,2
94,15,78,63,16,31,109,94,62,109,78,110,78,63,110,47,109,94,94,109,3846,2
187,78,78,78,63,15,109,93,141,93,94,109,250,78,156,63,78,47,266,78,5502,2
93,32,63,93,32,0,78,47,125,63,110,78,94,78,94,78,63,15,88,109,3638,2
125,32,94,93,16,31,78,78,78,47,78,15,47,63,94,31,109,172,32,63,3279,2
78,78,78,93,32,47,63,94,94,63,94,47,94,78,94,78,63,15,15,109,3657,2
62,141,63,78,219,31,47,157,62,63,109,94,63,1015,79,125,63,203,188,47,4983,2
62,78,47,46,63,94,78,78,125,79,94,78,828,62,93,110,188,62,172,63,5531,2
31,109,47,62,219,78,109,62,125,94,171,79,63,1015,79,125,63,203,125,47,5221,2
109,125,78,125,63,47,125,109,94,94,47,125,78,109,78,93,94,47,78,79,3750,2
94,16,78,78,31,78,187,79,46,16,93,125,78,78,109,110,94,94,78,78,3373,2
125,0,94,94,63,78,110,78,63,94,984,16,78,109,78,93,94,47,31,79,5093,2
93,47,110,94,31,31,140,109,94,78,78,94,62,79,125,62,110,15,78,94,3298,2
94,16,62,47,32,59,124,62,125,62,94,78,78,93,79,93,78,78,32,93,3122,2
79,31,46,62,31,31,125,16,62,78,94,62,62,79,125,62,110,15,32,94,3749,2
94,31,79,79,15,47,90,62,94,109,46,140,63,78,94,94,78,0,78,94,2996,2
94,0,62,78,32,16,93,172,31,31,125,0,78,78,78,94,94,78,15,62,3220,2
62,16,62,78,15,63,125,63,31,62,94,31,63,78,94,94,78,0,15,94,3423,2
63,343,46,47,62,125,79,156,63,62,157,78,62,156,63,109,110,234,78,62,3952,2
63,0,47,47,47,62,141,47,141,110,63,125,125,47,62,125,140,63,78,47,3300,2
203,47,62,47,62,46,110,47,156,62,62,110,62,156,63,109,110,234,47,62,4171,2
140,31,109,94,62,15,100,62,125,94,16,93,47,62,141,62,110,109,93,94,3582,2
125,32,94,78,32,46,110,141,62,16,62,94,94,46,109,31,110,78,78,78,3159,2
31,109,63,94,62,94,125,0,78,79,968,16,47,62,141,62,110,109,46,94,5580,2
63,78,62,62,63,62,79,94,78,63,63,124,62,94,78,93,63,78,31,63,3012,2
78,62,62,62,78,125,62,188,15,78,157,62,78,63,78,94,79,93,47,78,3267,2
94,78,62,78,63,125,63,93,94,62,63,78,62,94,78,93,63,78,31,63,3780,2
109,47,31,78,47,47,47,62,47,93,78,94,78,78,47,63,16,110,47,78,3142,2
47,16,78,110,93,500,47,94,0,609,31,93,63,78,31,62,78,109,94,16,3721,2
94,156,78,110,47,47,62,31,110,31,547,609,78,78,47,63,16,110,93,78,3562,2
94,32,78,62,157,172,62,93,94,79,141,266,62,79,79,78,78,63,15,62,4392,2
94,16,78,63,0,157,78,78,93,125,125,47,78,78,78,110,141,78,47,78,3658,2
110,78,93,78,157,156,94,172,15,140,32,125,62,79,79,78,78,63,156,62,3643,2
94,109,63,63,94,187,63,140,94,63,47,110,63,109,78,94,78,188,78,47,3596,2
94,47,78,63,63,62,78,63,172,62,78,109,78,78,63,109,156,62,78,63,3406,2
63,62,47,63,94,140,47,62,110,63,94,62,63,109,78,94,78,188,47,47,3410,2
78,47,125,156,0,78,180,109,94,63,16,141,94,62,31,109,46,93,94,78,3397,2
94,15,125,78,78,47,187,94,219,62,20,165,62,63,15,125,1390,63,94,93,4740,2
47,47,78,94,0,15,172,15,110,125,1094,62,94,62,31,109,46,93,31,78,7215,2
62,79,94,78,62,31,125,125,78,94,93,94,78,94,141,0,15,93,78,78,3421,2
78,125,94,63,78,31,125,78,109,78,94,62,94,46,63,172,0,125,78,63,3729,2
78,31,31,156,62,0,94,187,120,78,78,78,78,94,141,0,15,93,94,78,3667,2
