dtfk1,dtsk1,dtfk2,dtfk3,dtsk3,dtfk4,ft4,dtfk5,dtsk5,dtsk6,dtfk7,ft7,dtfk8,dtfk9,ft9,dtfk10,ft10,dtsk10,dtfk11,ft11,dtfk13,dtfk14,ft14,sum,gender
78,94,172,128,93,94,16,0,125,94,94,94,641,94,62,78,94,78,156,47,32,78,63,4392,1
125,32,344,110,94,94,78,125,94,94,125,62,94,797,94,78,63,234,234,63,109,94,203,5392,1
141,93,93,94,62,62,391,110,110,93,78,109,125,109,47,297,78,235,297,31,344,93,32,5689,1
93,93,172,93,78,94,47,125,141,250,16,125,125,218,157,78,94,94,172,31,62,94,62,4655,1
234,62,394,79,94,62,391,0,109,218,125,188,94,1172,1313,297,78,235,297,31,94,93,32,7678,1
62,109,109,78,63,63,15,109,62,63,46,47,63,62,78,94,47,94,109,16,15,62,32,3155,1
63,94,109,79,31,78,63,0,62,78,78,63,93,94,62,78,63,62,94,47,62,63,47,2765,1
78,62,109,63,47,63,15,125,63,94,62,16,78,884,62,94,47,94,109,16,94,62,32,3729,1
141,82,82,102,118,118,53,91,144,109,31,78,125,875,125,156,47,78,110,94,110,94,15,5127,1
109,62,109,16,63,110,15,78,94,157,219,16,16,110,125,79,78,93,94,125,110,156,15,4174,1
125,110,110,16,532,118,53,94,125,110,156,16,171,125,110,156,47,78,110,94,109,94,15,4970,1
94,78,78,78,94,94,15,63,63,78,62,32,31,657,78,78,15,79,63,109,79,15,47,3312,1
78,62,62,156,78,78,79,515,78,78,78,31,15,109,63,63,62,125,78,79,63,109,16,3658,1
140,63,63,46,78,94,15,94,79,109,110,172,110,63,109,78,15,79,63,109,79,15,47,2985,1
125,94,94,63,109,109,63,78,47,172,46,16,125,63,172,265,79,78,141,46,41,78,15,3560,1
172,78,156,62,78,94,31,78,203,110,172,116,63,63,109,31,62,79,156,47,47,78,47,3641,1
94,47,63,63,94,109,63,62,110,63,32,31,94,906,94,265,79,78,141,46,46,78,15,4048,1
78,110,110,78,78,78,156,141,125,203,78,16,109,109,16,47,63,94,94,125,109,79,78,3862,1
203,125,110,32,110,78,16,172,94,125,109,63,78,109,79,63,93,79,78,110,78,94,31,3611,1
78,78,78,94,78,78,156,125,125,109,94,15,63,129,62,47,63,94,94,125,63,79,78,3614,1
62,78,78,47,63,63,47,62,62,78,62,110,78,63,140,78,62,79,79,140,47,78,16,3080,1
78,62,93,78,63,62,32,78,62,125,94,203,78,141,62,47,109,47,109,94,47,63,47,3515,1
63,47,94,78,62,63,47,63,78,141,78,31,63,79,171,78,62,79,79,140,78,78,16,3141,1
94,93,93,47,78,78,250,328,172,313,47,78,422,1078,94,62,78,344,140,234,62,78,31,6577,1
313,32,31,141,157,46,79,0,172,140,140,235,359,62,188,62,78,78,16,93,156,62,281,5172,1
78,156,297,125,15,78,250,0,172,62,109,141,94,0,47,62,78,344,140,234,79,78,31,4420,1
93,93,93,78,78,78,234,94,94,63,63,218,79,78,156,78,78,78,63,140,78,63,219,6749,1
63,62,47,78,63,62,188,93,109,203,78,250,93,125,62,62,94,62,78,140,94,78,204,4935,1
62,94,78,47,62,78,234,141,109,125,78,375,62,110,141,78,78,78,63,140,62,63,219,6250,1
93,93,93,94,62,62,110,250,63,78,125,46,187,62,204,78,78,63,125,47,47,93,78,4202,1
78,94,94,62,78,78,31,125,63,141,78,16,62,94,266,63,93,63,125,15,0,62,16,3891,1
31,0,172,0,78,62,110,844,31,94,109,32,94,1047,1203,78,78,63,125,47,78,93,78,7094,1
156,94,94,93,109,109,32,171,109,62,63,62,156,126,109,31,47,375,156,47,47,78,31,3624,1
62,94,47,63,47,94,93,110,109,78,94,109,93,140,94,63,78,78,78,47,62,94,15,3281,1
47,62,109,63,78,109,32,94,125,140,62,125,125,1176,94,31,47,375,156,47,94,78,31,4501,1
125,110,110,78,93,93,94,78,63,187,141,0,78,141,0,141,109,63,94,78,78,93,32,3703,1
187,78,93,94,63,78,31,0,94,125,94,63,93,94,125,234,328,110,110,93,78,94,31,3610,1
78,78,63,78,78,93,94,94,63,94,109,16,79,78,93,141,109,63,94,78,78,93,32,3280,1
125,94,94,109,109,109,250,78,78,110,125,140,62,94,172,94,78,110,47,156,63,93,94,4923,1
110,94,79,78,78,78,219,94,78,610,62,328,109,156,94,93,94,63,78,109,93,110,125,5672,1
94,93,94,63,94,109,250,93,94,156,94,187,109,78,188,94,78,110,47,156,93,93,94,4811,1
63,93,93,47,63,63,93,156,63,62,78,125,141,78,63,78,56,73,78,31,78,62,31,3755,1
62,47,63,63,63,47,16,0,656,16,62,125,78,15,109,62,78,63,140,0,31,63,31,3739,1
78,31,47,78,62,63,93,0,94,15,94,31,78,844,891,78,56,73,78,31,78,62,31,5098,1
109,110,110,109,47,47,391,438,46,94,78,31,110,78,32,94,31,78,109,125,15,78,0,4172,1
94,109,93,78,94,78,141,0,46,78,31,78,63,46,125,63,62,78,125,31,32,78,31,3593,1
78,32,203,94,78,47,391,0,94,46,110,31,0,765,844,94,31,78,109,125,94,78,0,5717,1
125,110,110,125,93,93,485,594,140,93,78,141,125,140,16,47,78,78,47,62,0,78,32,4935,1
93,94,125,78,94,109,47,125,141,109,32,110,78,109,0,62,94,62,125,62,94,94,47,3515,1
156,94,188,62,94,93,485,234,109,109,125,78,109,985,1078,47,78,78,47,62,93,78,32,6516,1
62,93,93,47,31,31,125,63,79,172,62,32,78,63,156,63,47,93,78,78,63,46,79,3344,1
172,93,94,78,63,79,46,47,94,125,78,15,78,109,63,62,78,63,78,94,63,62,63,3125,1
62,63,78,78,62,31,125,46,94,109,62,16,62,62,141,63,47,93,78,78,78,46,79,2983,1
93,156,156,172,79,79,128,225,110,78,63,47,15,94,93,47,62,109,78,63,32,94,47,4488,1
78,109,109,109,63,78,47,609,0,172,79,93,109,62,94,78,78,78,79,78,78,15,62,4343,1
78,78,15,78,78,79,128,0,141,62,94,31,47,812,78,47,62,109,78,63,47,94,47,4134,1
63,63,63,63,93,93,63,140,109,62,63,578,78,63,109,47,94,141,78,94,47,93,63,3999,1
62,125,79,94,31,79,62,125,109,156,94,78,94,94,63,47,78,63,78,125,47,94,31,3941,1
62,47,63,94,78,93,63,47,94,94,125,453,63,63,125,47,94,141,78,94,94,93,63,5077,1
78,94,94,78,40,40,271,380,125,62,47,16,94,62,78,47,62,63,125,32,32,62,16,3507,1
62,78,31,78,79,78,32,0,125,15,62,31,78,94,31,63,62,63,312,63,62,78,31,3018,1
63,62,141,62,94,40,271,125,94,94,62,0,76,813,891,47,62,63,125,32,79,62,16,5659,1
78,94,94,78,78,78,140,79,93,63,47,141,62,63,156,125,47,63,63,93,63,62,110,4205,1
63,78,94,63,62,63,94,94,125,172,78,78,78,125,47,62,78,63,78,110,78,63,47,3438,1
63,78,94,62,47,78,140,78,125,125,63,125,47,63,187,125,47,63,63,93,78,62,110,3585,1
126,125,125,78,109,109,31,172,156,125,94,16,109,172,47,0,93,453,140,47,31,78,32,3983,1
125,125,47,109,110,125,15,110,156,47,31,63,94,15,141,93,110,78,829,31,62,157,31,4546,1
141,62,78,93,78,109,31,172,157,15,94,78,94,719,875,0,93,453,140,47,109,78,32,5156,1
62,110,110,78,63,63,78,62,94,94,78,31,93,47,547,32,62,110,78,94,31,78,62,3438,1
94,78,0,47,62,78,61,78,188,141,63,62,47,31,110,78,78,63,62,110,31,78,47,3129,1
94,31,93,94,47,63,78,79,78,31,94,47,109,895,62,32,62,110,78,94,78,78,62,3866,1
125,94,94,78,93,93,188,78,94,156,110,31,109,78,110,78,63,62,78,110,125,78,32,3953,1
156,62,140,109,94,78,0,0,109,313,156,31,78,78,156,78,47,63,62,94,125,62,235,3921,1
109,125,78,78,109,93,188,0,94,78,156,16,78,203,62,78,63,62,78,110,125,78,32,3623,1
125,109,109,125,47,47,109,203,62,47,31,63,47,93,0,16,62,94,157,31,156,78,16,3231,1
47,16,32,31,31,344,94,1469,31,63,0,62,125,47,32,78,78,78,0,47,31,63,31,4361,1
16,31,47,31,62,47,109,141,125,47,125,719,78,859,110,16,62,94,157,31,94,78,16,4186,1
141,110,110,94,78,78,203,78,88,109,78,344,78,94,531,234,79,93,94,140,78,78,109,5854,1
109,93,94,109,78,62,157,62,78,172,78,172,109,157,78,281,63,93,94,172,78,94,125,5009,1
110,78,109,407,78,78,203,1109,250,157,94,203,78,63,250,234,79,93,94,140,93,78,109,5833,1
156,47,47,140,78,78,79,110,110,15,78,16,94,469,578,63,78,79,63,47,48,46,109,3717,1
15,31,31,93,31,15,94,141,94,31,16,78,46,47,140,31,78,63,16,78,16,16,109,2360,1
63,16,235,110,16,78,79,438,31,47,625,32,93,0,62,63,78,79,63,47,16,46,109,3677,1
156,125,125,109,187,187,109,157,94,125,110,94,218,125,110,94,109,63,94,203,110,141,15,4960,1
125,109,156,94,109,78,141,172,172,500,125,125,297,125,156,93,110,62,16,141,531,125,63,5704,1
250,531,312,93,125,187,109,94,110,125,141,140,110,750,125,94,109,63,94,203,93,141,15,5814,1
125,125,125,94,94,94,125,125,125,141,109,63,78,94,109,94,62,94,125,94,94,109,62,4233,1
141,125,125,94,94,94,47,109,171,140,110,140,109,94,125,47,93,78,156,47,94,109,94,4563,1
109,94,156,93,109,94,125,125,141,94,125,110,110,125,94,94,62,94,125,94,94,109,62,4142,1
78,109,109,63,78,78,125,94,98,109,78,109,94,78,94,93,63,78,78,110,63,110,62,3677,1
109,62,78,62,78,94,31,94,78,125,110,15,94,63,78,78,109,47,94,93,63,78,109,3404,1
78,63,109,63,94,78,125,110,78,63,93,0,94,93,125,93,63,78,78,110,63,110,62,3484,1
93,110,110,171,94,94,47,156,140,94,94,31,141,110,47,15,141,94,250,31,78,125,0,4112,1
94,109,0,110,172,125,0,110,187,47,62,109,94,0,140,62,110,93,125,93,62,78,0,3546,1
250,62,312,109,78,94,47,125,140,0,141,15,94,860,125,15,141,94,250,31,125,125,0,4802,1
125,78,78,78,78,78,16,141,125,78,78,63,140,109,32,47,47,63,62,140,0,110,62,3298,1
78,94,32,125,78,78,78,0,125,110,78,78,172,47,93,78,109,63,78,93,94,94,31,3000,1
78,94,79,78,94,78,16,187,94,47,140,63,78,937,94,47,47,63,62,140,78,110,62,4078,1
93,94,94,109,297,297,16,203,137,172,125,16,78,94,188,157,62,125,94,78,94,109,31,4810,1
172,78,219,94,78,93,32,156,137,94,109,0,94,16,141,110,93,79,109,63,15,78,15,3762,1
62,15,63,94,125,297,16,0,140,16,47,16,78,110,78,157,62,125,94,78,78,109,31,4143,1
94,125,125,109,110,110,109,203,109,500,125,47,110,94,343,156,78,125,109,63,78,94,47,5623,1
500,156,141,109,78,125,47,0,109,609,46,109,110,141,266,79,62,94,78,110,79,78,31,5015,1
93,79,94,110,93,110,109,0,125,141,141,31,78,1020,1114,156,78,125,109,63,94,94,47,6649,1
156,78,78,141,109,109,31,78,31,78,15,47,78,687,125,94,16,62,47,125,31,0,78,3281,1
78,32,15,47,47,31,156,531,31,172,47,79,31,0,78,31,94,62,94,0,32,31,62,3485,1
78,32,62,31,47,109,31,671,31,0,78,32,16,797,937,94,16,62,47,125,0,0,78,4676,1
110,109,109,141,110,110,31,125,125,47,63,125,203,610,109,125,47,93,47,141,46,15,93,4046,1
47,109,62,94,125,16,110,0,125,78,0,16,16,125,203,47,93,79,0,93,0,0,63,4154,1
32,0,15,203,16,110,31,657,15,125,250,78,94,656,781,125,47,93,47,141,93,15,93,6861,1
94,62,62,63,63,63,172,78,78,78,78,79,63,109,125,40,60,106,47,125,63,78,79,3348,1
78,62,47,63,62,79,62,78,47,91,94,93,78,115,76,47,78,31,78,109,63,62,141,3587,1
63,63,62,62,94,63,172,62,78,115,78,140,74,62,63,40,60,106,47,125,62,78,79,3553,1
78,110,110,109,109,109,79,109,78,78,47,234,110,0,16,141,62,109,140,16,32,63,16,3921,2
78,78,94,93,63,125,63,0,141,203,94,109,78,62,203,78,78,63,109,16,78,78,16,3845,2
78,78,328,78,62,109,79,0,94,62,125,109,63,813,156,141,62,109,140,16,78,63,16,4874,2
375,78,78,62,94,94,156,250,141,94,109,62,109,93,157,156,63,62,94,62,156,93,47,4562,2
94,78,219,63,47,47,47,0,141,16,47,125,78,172,219,63,62,63,79,78,16,110,31,3488,2
171,16,218,94,125,94,156,62,94,172,63,15,109,953,1047,156,63,62,94,62,78,93,47,5671,2
109,172,172,78,94,94,141,250,47,63,62,47,47,0,31,63,62,78,32,141,16,63,31,3049,2
63,109,110,94,94,78,172,0,47,47,47,125,94,141,31,15,63,78,31,94,16,63,31,3707,2
32,16,110,62,78,94,141,906,47,141,94,203,91,735,797,63,62,78,32,141,110,63,31,8140,2
62,109,109,62,78,78,31,109,63,47,62,32,62,0,47,16,188,359,218,47,16,47,46,3000,2
47,94,63,63,32,62,16,0,94,47,31,47,62,79,93,62,63,94,94,15,16,63,47,2969,2
63,16,110,78,79,78,31,0,94,79,125,78,62,703,766,16,188,359,218,47,47,47,46,4467,2
172,94,94,78,94,94,31,140,62,219,93,16,94,94,125,125,63,109,62,94,125,78,78,4296,2
219,94,125,94,94,94,62,0,62,110,31,109,94,94,46,78,78,63,94,109,16,78,63,3310,2
140,16,219,94,78,94,31,109,78,94,109,16,62,937,63,125,63,109,62,94,78,78,78,4249,2
57,113,113,69,90,90,63,80,110,192,89,36,79,78,297,47,78,78,69,111,81,33,69,8445,2
192,79,68,98,65,78,31,70,65,187,89,24,94,172,94,58,68,150,78,94,79,78,63,4213,2
74,79,39,79,104,90,63,73,103,172,11,73,47,74,258,47,78,78,69,111,78,33,69,3365,2
110,125,125,94,109,109,63,172,109,94,79,78,109,78,109,110,250,78,156,63,15,78,78,4252,2
94,94,78,78,63,156,16,0,109,62,109,94,110,141,78,78,78,63,110,47,410,109,172,3846,2
187,410,110,78,78,109,63,0,109,141,93,172,141,828,94,110,250,78,156,63,125,78,78,5502,2
93,125,125,63,93,93,32,187,78,125,63,31,78,562,110,16,94,78,94,78,20,109,16,3638,2
125,94,47,94,93,62,16,110,78,78,47,117,94,94,78,47,47,63,94,31,32,63,46,3279,2
78,32,125,78,93,93,32,109,63,94,63,15,94,719,94,16,94,78,94,78,125,109,16,3657,2
62,78,78,63,78,78,219,62,47,62,63,109,94,78,109,547,63,1015,79,125,62,47,47,4983,2
62,63,62,47,46,62,63,63,78,125,79,125,63,125,94,31,828,62,93,110,47,63,62,5531,2
31,47,47,47,62,78,219,47,109,125,94,219,63,79,171,547,63,1015,79,125,63,47,47,5221,2
109,109,109,78,125,125,63,109,125,94,94,0,94,109,47,63,78,109,78,93,47,79,31,3750,2
94,78,156,78,78,94,31,78,187,46,16,62,109,63,93,78,78,78,109,110,78,78,31,3373,2
125,78,94,94,94,125,63,93,110,63,94,31,94,843,984,63,78,109,78,93,94,79,31,5093,2
93,125,125,110,94,94,31,79,140,94,78,16,110,172,78,31,62,79,125,62,31,94,16,3298,2
94,62,125,62,47,78,32,98,124,125,62,94,94,62,94,63,78,93,79,93,62,93,32,3122,2
79,62,31,46,62,94,31,94,125,62,78,16,78,609,94,31,62,79,125,62,62,94,16,3749,2
94,78,78,79,79,79,15,140,90,94,109,0,110,94,46,47,63,78,94,94,16,94,16,2996,2
94,63,16,62,78,78,32,0,93,31,31,140,78,31,125,63,78,78,78,94,78,62,16,3220,2
62,78,78,62,78,79,15,0,125,31,62,31,109,781,94,47,63,78,94,94,94,94,16,3423,2
63,63,63,46,47,47,62,78,79,63,62,16,156,62,157,94,62,156,63,109,47,62,31,3952,2
63,78,125,47,47,93,47,125,141,141,110,62,78,156,63,32,125,47,62,125,16,47,47,3300,2
203,16,63,62,47,47,62,79,110,156,62,16,47,922,62,94,62,156,63,109,62,62,31,4171,2
140,141,141,109,94,94,62,172,100,125,94,46,94,94,16,78,47,62,141,62,16,94,47,3582,2
125,110,172,94,78,93,32,94,110,62,16,141,94,78,62,47,94,46,109,31,16,78,62,3159,2
31,16,250,63,94,94,62,78,125,78,79,15,516,828,968,78,47,62,141,62,79,94,47,5580,2
63,78,78,62,62,62,63,78,79,78,63,78,78,62,63,109,62,94,78,93,47,63,47,3012,2
78,79,47,62,62,63,78,63,62,15,78,125,63,94,157,62,78,63,78,94,78,78,62,3267,2
94,78,47,62,78,62,63,47,63,94,62,78,78,62,63,109,62,94,78,93,63,63,47,3780,2
109,63,63,31,78,78,47,125,47,47,93,16,78,594,78,15,78,78,47,63,16,78,0,3142,2
47,78,31,78,110,16,93,484,47,0,609,47,16,110,31,31,63,78,31,62,0,16,94,3721,2
94,0,32,78,110,78,47,0,62,110,31,78,78,0,547,15,78,78,47,63,16,78,0,3562,2
94,109,109,78,62,62,157,78,62,94,79,78,94,125,141,141,62,79,79,78,94,62,31,4392,2
94,93,78,78,63,93,0,109,78,93,125,141,110,15,125,94,78,78,78,110,78,78,94,3658,2
110,78,93,93,78,62,157,47,94,15,140,63,79,0,32,141,62,79,79,78,94,62,31,3643,2
94,62,62,63,63,63,94,78,63,94,63,62,63,93,47,156,63,109,78,94,78,47,78,3596,2
94,63,78,78,63,62,63,63,78,172,62,94,78,110,78,63,78,78,63,109,63,63,62,3406,2
63,63,78,47,63,63,94,63,47,110,63,47,62,110,94,156,63,109,78,94,47,47,78,3410,2
78,157,157,125,156,156,0,78,180,94,63,16,266,0,16,78,94,62,31,109,31,78,31,3397,2
94,94,110,125,78,15,78,141,187,219,62,47,156,110,20,94,62,63,15,125,16,93,0,4740,2
47,16,16,78,94,156,0,0,172,110,125,94,31,984,1094,78,94,62,31,109,63,78,31,7215,2
62,109,109,94,78,78,62,109,125,78,94,141,110,94,93,63,78,94,141,0,31,78,32,3421,2
78,93,0,94,63,47,78,110,125,109,78,78,156,120,94,94,94,46,63,172,78,63,93,3729,2
78,78,97,31,156,78,62,0,94,120,78,47,63,735,78,63,78,94,141,0,78,78,32,3667,2
