dtfk1,ft1,dtfk2,dtfk3,ft4,dtsk4,dtfk5,ft5,dtfk6,dtsk6,dtfk7,ft7,dtfk9,dtsk9,dtfk10,ft10,dtsk10,dtfk11,ft11,dtfk12,dtsk12,ft13,dtsk13,dtfk14,ft14,dtsk14,gender
78,47,93,78,32,93,78,157,79,125,94,203,141,125,47,109,47,109,94,125,78,47,62,63,47,78,1
63,125,94,78,47,62,63,140,46,141,78,31,79,94,78,62,79,79,140,63,78,62,63,78,16,62,1
94,141,93,47,250,328,328,62,157,313,47,78,1078,172,62,78,344,140,234,47,78,125,125,78,31,94,1
313,109,31,141,79,31,0,62,344,140,140,235,62,282,62,78,78,16,93,94,62,16,78,62,281,79,1
78,78,297,125,250,328,0,63,47,62,109,141,0,140,62,78,344,140,234,47,78,31,109,78,31,94,1
93,282,93,78,234,94,94,47,63,63,63,218,78,78,78,78,78,63,140,78,78,297,78,63,219,78,1
63,297,47,78,188,62,93,63,78,203,78,250,125,125,62,94,62,78,140,94,344,484,79,78,204,62,1
62,797,78,47,234,94,141,203,219,125,78,375,110,78,78,78,78,63,140,78,78,375,63,63,219,78,1
93,32,93,94,110,250,250,63,78,78,125,46,62,344,78,78,63,125,47,109,93,78,78,93,78,63,1
78,16,94,62,31,78,125,16,63,141,78,16,94,16,63,93,63,125,15,94,547,78,31,62,16,78,1
31,172,172,0,110,250,844,938,16,94,109,32,1047,78,78,78,63,125,47,109,93,63,187,93,78,63,1
156,0,94,93,32,171,171,16,47,62,63,62,126,78,31,47,375,156,47,63,78,78,16,78,31,125,1
62,16,47,63,93,47,110,31,375,78,94,109,140,78,63,78,78,78,47,16,0,16,62,94,15,94,1
47,31,109,63,32,171,94,31,15,140,62,125,1176,94,31,47,375,156,47,63,78,62,78,78,31,125,1
125,15,110,78,94,78,78,203,63,187,141,0,141,203,141,109,63,94,78,93,78,78,78,93,32,62,1
187,16,93,94,31,63,0,0,63,125,94,63,94,31,234,328,110,110,93,94,32,32,62,94,31,78,1
78,31,63,78,94,78,94,171,15,94,109,16,78,94,141,109,63,94,78,93,78,16,78,93,32,62,1
125,172,94,109,250,78,78,110,78,110,125,140,94,78,94,78,110,47,156,94,94,422,78,93,94,78,1
110,359,79,78,219,93,94,78,110,610,62,328,156,141,93,94,63,78,109,156,140,547,94,110,125,93,1
94,313,94,63,250,78,93,250,78,156,94,187,78,62,94,78,110,47,156,94,94,203,63,93,94,78,1
63,94,93,47,93,156,156,31,63,62,78,125,78,141,78,56,73,78,31,79,110,78,47,62,31,63,1
62,16,63,63,16,47,0,594,73,16,62,125,15,16,62,78,63,140,0,47,62,47,63,63,31,78,1
78,31,47,78,93,156,0,16,62,15,94,31,844,62,78,56,73,78,31,79,110,172,78,62,31,63,1
109,16,110,109,391,438,438,31,94,94,78,31,78,109,94,31,78,109,125,109,78,78,31,78,0,94,1
94,0,93,78,141,78,0,32,78,78,31,78,46,110,63,62,78,125,31,687,78,110,31,78,31,94,1
78,109,203,94,391,438,0,31,78,46,110,31,765,31,94,31,78,109,125,109,78,62,63,78,0,94,1
125,31,110,125,485,594,594,47,94,93,78,141,140,125,47,78,78,47,62,125,93,125,62,78,32,93,1
93,16,125,78,47,78,125,31,78,109,32,110,109,109,62,94,62,125,62,172,94,15,63,94,47,93,1
156,16,188,62,485,594,234,16,94,109,125,78,985,32,47,78,78,47,62,125,93,125,94,78,32,93,1
62,63,93,47,125,63,63,171,63,172,62,32,63,78,63,47,93,78,78,78,78,78,63,46,79,78,1
172,15,94,78,46,47,47,31,93,125,78,15,109,125,62,78,63,78,94,125,47,125,31,62,63,78,1
62,0,78,78,125,63,46,47,94,109,62,16,62,78,63,47,93,78,78,78,78,62,32,46,79,78,1
93,547,156,172,128,225,225,40,63,78,63,47,94,203,47,62,109,78,63,47,62,93,16,94,47,94,1
78,16,109,109,47,62,609,734,109,172,79,93,62,78,78,78,78,79,78,110,78,0,63,15,62,47,1
78,78,15,78,128,225,0,47,93,62,94,31,812,79,47,62,109,78,63,47,62,78,47,94,47,94,1
63,15,63,63,63,140,140,188,31,62,63,578,63,78,47,94,141,78,94,47,62,109,47,93,63,62,1
62,78,79,94,62,78,125,207,141,156,94,78,94,93,47,78,63,78,125,93,78,438,62,94,31,94,1
62,31,63,94,63,140,47,687,78,94,125,453,63,94,47,94,141,78,94,47,62,47,62,93,63,62,1
78,47,94,78,271,380,380,47,79,62,47,16,62,172,47,62,63,125,32,47,78,94,31,62,16,78,1
62,31,31,78,32,78,0,47,63,15,62,31,94,125,63,62,63,312,63,62,141,32,62,78,31,79,1
63,0,141,62,271,380,125,140,63,94,62,0,813,62,47,62,63,125,32,47,78,31,156,62,16,78,1
78,94,94,78,140,79,79,250,62,63,47,141,63,47,125,47,63,63,93,63,62,125,62,62,110,78,1
63,47,94,63,94,62,94,125,63,172,78,78,125,156,62,78,63,78,110,110,78,63,46,63,47,78,1
63,78,94,62,140,79,78,172,62,125,63,125,63,78,125,47,63,63,93,63,62,78,47,62,110,78,1
126,31,125,78,31,172,172,31,110,125,94,16,172,187,0,93,453,140,47,32,79,94,78,78,32,78,1
125,46,47,109,15,78,110,125,453,47,31,63,15,0,93,110,78,829,31,109,110,47,94,157,31,109,1
141,0,78,93,31,172,172,93,31,15,94,78,719,31,0,93,453,140,47,32,79,0,110,78,32,78,1
62,78,110,78,78,62,62,94,62,94,78,31,47,93,32,62,110,78,94,141,78,79,46,78,62,63,1
94,0,0,47,61,52,78,94,110,141,63,62,31,0,78,78,63,62,110,141,15,31,94,78,47,78,1
94,47,93,94,78,62,79,78,16,31,94,47,895,63,32,62,110,78,94,141,78,47,78,78,62,63,1
125,16,94,78,188,78,78,31,94,156,110,31,78,250,78,63,62,78,110,93,110,125,125,78,32,125,1
156,16,140,109,0,78,0,31,62,313,156,31,78,16,78,47,63,62,94,125,235,0,94,62,235,125,1
109,31,78,78,188,78,0,0,0,78,156,16,203,156,78,63,62,78,110,93,110,31,109,78,32,125,1
125,16,109,125,109,203,203,47,31,47,31,63,93,125,16,62,94,157,31,31,47,110,62,78,16,62,1
47,78,32,31,94,0,1469,140,94,63,0,62,47,141,78,78,78,0,47,78,16,125,15,63,31,94,1
16,79,47,31,109,203,141,15,125,47,125,719,859,0,16,62,94,157,31,31,47,0,62,78,16,62,1
141,62,110,94,203,78,78,249,78,109,78,344,94,94,234,79,93,94,140,78,109,391,109,78,109,94,1
109,63,94,109,157,78,62,204,93,172,78,172,157,156,281,63,93,94,172,213,110,516,78,94,125,93,1
110,0,109,407,203,78,1109,63,32,157,94,203,63,78,234,79,93,94,140,78,109,235,78,78,109,94,1
156,47,47,140,79,110,110,15,31,15,78,16,469,16,63,78,79,63,47,63,63,5,84,46,109,78,1
15,63,31,93,94,31,141,0,79,31,16,78,47,16,31,78,63,16,78,31,31,94,0,16,109,16,1
63,15,235,110,79,110,438,125,93,47,625,32,0,16,63,78,79,63,47,63,63,110,15,46,109,78,1
156,16,125,109,109,157,157,156,109,125,110,94,125,203,94,109,63,94,203,47,171,93,161,141,15,94,1
125,110,156,94,141,47,172,0,63,500,125,125,125,157,93,110,62,16,141,47,78,140,516,125,63,93,1
250,110,312,93,109,157,94,156,94,125,141,140,750,125,94,109,63,94,203,47,171,110,109,141,15,94,1
125,93,125,94,125,125,125,78,94,141,109,63,94,125,94,62,94,125,94,109,93,47,109,109,62,79,1
141,78,125,94,47,109,109,32,94,140,110,140,94,16,47,93,78,156,47,187,453,31,125,109,94,94,1
109,16,156,93,125,125,125,47,47,94,125,110,125,110,94,62,94,125,94,109,93,78,141,109,62,79,1
78,63,109,63,125,94,94,219,78,109,78,109,78,110,93,63,78,78,110,94,63,94,78,110,62,94,1
109,32,78,62,31,78,94,187,78,125,110,15,63,109,78,109,47,94,93,125,109,16,93,78,109,63,1
78,78,109,63,125,94,110,234,15,63,93,0,93,110,93,63,78,78,110,94,63,31,94,110,62,94,1
93,47,110,171,47,156,156,32,172,94,94,31,110,203,15,141,94,250,31,125,114,109,16,125,0,109,1
94,16,0,110,0,63,110,78,94,47,62,109,0,16,62,110,93,125,93,110,110,140,16,78,0,125,1
250,0,312,109,47,156,125,79,16,0,141,15,860,62,15,141,94,250,31,125,114,0,109,125,0,109,1
125,15,78,78,16,141,141,62,78,78,78,63,109,157,47,47,63,62,140,109,16,110,15,110,62,156,1
78,15,32,125,78,63,0,15,63,110,78,78,47,79,78,109,63,78,93,31,187,15,94,94,31,78,1
78,31,79,78,16,141,187,0,94,47,140,63,937,78,47,47,63,62,140,109,16,141,78,110,62,156,1
93,47,94,109,16,203,203,15,78,172,125,16,94,125,157,62,125,94,78,141,78,109,125,109,31,110,1
172,16,219,94,32,78,156,16,125,94,109,0,16,46,110,93,79,109,63,375,109,78,0,78,15,78,1
62,110,63,94,16,203,0,47,32,16,47,16,110,109,157,62,125,94,78,141,78,15,141,109,31,110,1
94,78,125,109,109,203,203,78,78,500,125,47,94,468,156,78,125,109,63,109,93,94,78,94,47,78,1
500,15,141,109,47,62,0,15,125,609,46,109,141,15,79,62,94,78,110,94,172,78,78,78,31,94,1
93,375,94,110,109,203,0,47,78,141,141,31,1020,46,156,78,125,109,63,109,93,484,203,94,47,78,1
156,47,78,141,31,78,78,32,47,78,15,47,687,16,94,16,62,47,125,62,63,78,0,0,78,16,1
78,156,15,47,156,16,531,625,62,172,47,79,0,32,31,94,62,94,0,47,31,78,31,31,62,0,1
78,156,62,31,31,78,671,193,15,0,78,32,797,47,94,16,62,47,125,62,63,79,78,0,78,16,1
110,15,109,141,31,125,125,31,125,47,63,125,610,125,125,47,93,47,141,31,63,109,16,15,93,47,1
47,31,62,94,110,94,0,0,93,78,0,16,125,47,47,93,79,0,93,1000,156,94,15,0,63,93,1
32,62,15,203,31,125,657,720,63,125,250,78,656,0,125,47,93,47,141,31,63,63,219,15,93,47,1
94,62,62,63,172,78,78,31,62,78,78,79,109,78,40,60,106,47,125,63,62,94,62,78,79,62,1
78,47,47,63,62,63,78,250,106,91,94,93,115,62,47,78,31,78,109,101,13,78,62,62,141,62,1
63,62,62,62,172,78,62,188,27,115,78,140,62,94,40,60,106,47,125,63,62,141,235,78,79,62,1
78,78,110,109,79,109,109,31,63,78,47,234,0,94,141,62,109,140,16,109,63,78,109,63,16,62,2
78,47,94,93,63,62,0,31,109,203,94,109,62,110,78,78,63,109,16,125,94,265,110,78,16,78,2
78,16,328,78,79,109,0,16,93,62,125,109,813,94,141,62,109,140,16,109,63,219,78,63,16,62,2
375,16,78,62,156,250,250,31,47,94,109,62,93,235,156,63,62,94,62,109,78,63,109,93,47,110,2
94,31,219,63,47,62,0,32,62,16,47,125,172,47,63,62,63,79,78,94,266,78,31,110,31,78,2
171,63,218,94,156,250,62,94,32,172,63,15,953,47,156,63,62,94,62,109,78,110,172,93,47,110,2
109,47,172,78,141,250,250,47,94,63,62,47,0,94,63,62,78,32,141,16,16,78,47,63,31,78,2
63,15,110,94,172,16,0,47,78,47,47,125,141,47,15,63,78,31,94,968,125,78,16,63,31,110,2
32,93,110,62,141,250,906,1000,78,141,94,203,735,47,63,62,78,32,141,16,16,15,93,63,31,78,2
62,16,109,62,31,109,109,31,32,47,62,32,0,94,16,188,359,218,47,16,62,78,16,47,46,63,2
47,359,63,63,16,47,0,15,359,47,31,47,79,94,62,63,94,94,15,94,16,78,15,63,47,47,2
63,78,110,78,31,109,0,31,59,79,125,78,703,31,16,188,359,218,47,16,62,15,94,47,46,63,2
172,437,94,78,31,140,140,31,94,219,93,16,94,94,125,63,109,62,94,78,109,78,94,78,78,62,2
219,15,125,94,62,78,0,16,109,110,31,109,94,32,78,78,63,94,109,109,78,78,46,78,63,78,2
140,110,219,94,31,140,109,16,63,94,109,16,937,31,125,63,109,62,94,78,109,94,78,78,78,62,2
57,4369,113,69,63,80,80,442,65,192,89,36,78,141,47,78,78,69,111,63,109,37,78,33,69,61,2
192,4,68,98,31,78,70,411,78,187,89,24,172,406,58,68,150,78,94,141,141,13,85,78,63,78,2
74,6,39,79,63,80,73,185,109,172,11,73,74,89,47,78,78,69,111,63,109,15,94,33,69,61,2
110,156,125,94,63,172,172,47,63,94,79,78,78,63,110,250,78,156,63,78,125,63,78,78,78,125,2
94,15,78,78,16,78,0,31,78,62,109,94,141,110,78,78,63,110,47,109,62,94,62,109,172,125,2
187,78,110,78,63,172,0,15,47,141,93,172,828,109,110,250,78,156,63,78,125,266,109,78,78,125,2
93,32,125,63,32,187,187,0,93,125,63,31,562,78,16,94,78,94,78,63,78,88,78,109,16,93,2
125,32,47,94,16,62,110,31,78,78,47,117,94,15,47,47,63,94,31,109,15,32,421,63,46,125,2
78,78,125,78,32,187,109,47,16,94,63,15,719,47,16,94,78,94,78,63,78,15,125,109,16,93,2
62,141,78,63,219,62,62,31,46,62,63,109,78,94,547,63,1015,79,125,63,62,188,46,47,47,78,2
62,78,62,47,63,78,63,94,1015,125,79,125,125,78,31,828,62,93,110,188,485,172,63,63,62,63,2
31,109,47,47,219,62,47,78,79,125,94,219,79,79,547,63,1015,79,125,63,62,125,78,47,47,78,2
109,125,109,78,63,109,109,47,78,94,94,0,109,125,63,78,109,78,93,94,78,78,63,79,31,78,2
94,16,156,78,31,110,78,78,109,46,16,62,63,125,78,78,78,109,110,94,62,78,94,78,31,94,2
125,0,94,94,63,109,93,78,78,63,94,31,843,16,63,78,109,78,93,94,78,31,141,79,31,78,2
93,47,125,110,31,79,79,31,47,94,78,16,172,94,31,62,79,125,62,110,94,78,16,94,16,78,2
94,16,125,62,32,78,98,59,79,125,62,94,62,78,63,78,93,79,93,78,0,32,93,93,32,62,2
79,31,31,46,31,79,94,31,62,62,78,16,609,62,31,62,79,125,62,110,94,32,78,94,16,78,2
94,31,78,79,15,140,140,47,78,94,109,0,94,140,47,63,78,94,94,78,78,78,0,94,16,78,2
94,0,16,62,32,94,0,16,78,31,31,140,31,0,63,78,78,78,94,94,31,15,79,62,16,94,2
62,16,78,62,15,140,0,63,0,31,62,31,781,31,47,63,78,94,94,78,78,15,110,94,16,78,2
63,343,63,46,62,78,78,125,47,63,62,16,62,78,94,62,156,63,109,110,31,78,110,62,31,47,2
63,0,125,47,47,63,125,62,156,141,110,62,156,125,32,125,47,62,125,140,94,78,47,47,47,62,2
203,47,63,62,62,78,79,46,78,156,62,16,922,110,94,62,156,63,109,110,31,47,63,62,31,47,2
140,31,141,109,62,172,172,15,78,125,94,46,94,93,78,47,62,141,62,110,94,93,32,94,47,62,2
125,32,172,94,32,78,94,46,62,62,16,141,78,94,47,94,46,109,31,110,47,78,47,78,62,79,2
31,109,250,63,62,172,78,94,141,78,79,15,828,16,78,47,62,141,62,110,94,46,94,94,47,62,2
63,78,78,62,63,78,78,62,62,78,63,78,62,124,109,62,94,78,93,63,62,31,78,63,47,62,2
78,62,47,62,78,63,63,125,94,15,78,125,94,62,62,78,63,78,94,79,78,47,62,78,62,63,2
94,78,47,62,63,78,47,125,0,94,62,78,62,78,109,62,94,78,93,63,62,31,125,63,47,62,2
109,47,63,31,47,125,125,47,110,47,93,16,594,94,15,78,78,47,63,16,62,47,94,78,0,31,2
47,16,31,78,93,32,484,500,78,0,609,47,110,93,31,63,78,31,62,78,62,94,16,16,94,16,2
94,156,32,78,47,125,0,47,78,110,31,78,0,609,15,78,78,47,63,16,62,93,78,78,0,31,2
94,32,109,78,157,78,78,172,63,94,79,78,125,266,141,62,79,79,78,78,93,15,94,62,31,79,2
94,16,78,78,0,94,109,157,79,93,125,141,15,47,94,78,78,78,110,141,94,47,78,78,94,94,2
110,78,93,93,157,78,47,156,62,15,140,63,0,125,141,62,79,79,78,78,93,156,94,62,31,79,2
94,109,62,63,94,78,78,187,63,94,63,62,93,110,156,63,109,78,94,78,78,78,78,47,78,63,2
94,47,78,78,63,62,63,62,109,172,62,94,110,109,63,78,78,63,109,156,125,78,62,63,62,47,2
63,62,78,47,94,78,63,140,63,110,63,47,110,62,156,63,109,78,94,78,78,47,94,47,78,63,2
78,47,157,125,0,78,78,78,78,94,63,16,0,141,78,94,62,31,109,46,0,94,47,78,31,63,2
94,15,110,125,78,47,141,47,62,219,62,47,110,165,94,62,63,15,125,1390,141,94,94,93,0,63,2
47,47,16,78,0,78,0,15,94,110,125,94,984,62,78,94,62,31,109,46,0,31,156,78,31,63,2
62,79,109,94,62,109,109,31,63,78,94,141,94,94,63,78,94,141,0,15,32,78,63,78,32,93,2
78,125,0,94,78,31,110,31,94,109,78,78,120,62,94,94,46,63,172,0,500,78,94,63,93,78,2
78,31,97,31,62,109,0,0,0,120,78,47,735,78,63,78,94,141,0,15,32,94,78,78,32,93,2
