dtfk1,ft1,dtfk2,dtfk3,dtsk3,ft4,dtsk4,dtfk5,dtsk5,ft6,dtsk6,dtfk9,ft9,dtsk9,ft10,dtsk10,dtfk11,dtfk12,ft12,dtsk12,dtfk13,ft13,dtsk13,ft14,dtsk14,gender
62,32,109,78,63,15,109,109,62,141,63,62,78,188,47,94,109,94,47,125,15,78,47,32,78,1
63,15,109,79,31,63,31,0,62,78,78,94,62,94,63,62,94,109,78,110,62,31,63,47,94,1
78,63,109,63,47,15,109,125,63,31,94,884,62,78,47,94,109,94,47,125,94,46,47,32,78,1
141,15,82,102,118,53,91,91,144,62,109,875,125,125,47,78,110,110,343,125,110,31,125,15,125,1
109,188,109,16,63,15,63,78,94,78,157,110,125,109,78,93,94,125,125,250,110,15,109,15,109,1
125,15,110,16,532,53,91,94,125,93,110,125,110,219,47,78,110,110,343,125,109,16,125,15,125,1
94,31,78,78,94,15,63,63,63,94,78,657,78,109,15,79,63,78,16,62,79,15,47,47,16,1
78,16,62,156,78,79,62,515,78,62,78,109,63,94,62,125,78,109,172,15,63,47,78,16,79,1
140,31,63,46,78,15,63,94,79,63,109,63,109,78,15,79,63,78,16,62,79,78,62,47,16,1
125,62,94,63,109,63,78,78,47,109,172,63,172,78,79,78,141,62,32,109,41,65,78,15,63,1
172,16,156,62,78,31,94,78,203,93,110,63,109,62,62,79,156,126,46,219,47,63,62,47,46,1
94,31,63,63,94,63,78,62,110,47,63,906,94,172,79,78,141,62,32,109,46,47,94,15,63,1
78,62,110,78,78,156,141,141,125,125,203,109,16,140,63,94,94,187,16,94,109,32,109,78,62,1
203,31,110,32,110,16,62,172,94,62,125,109,79,15,93,79,78,110,93,32,78,16,93,31,63,1
78,47,78,94,78,156,141,125,125,78,109,129,62,109,63,94,94,187,16,94,63,62,47,78,62,1
62,32,78,47,63,47,62,62,62,125,78,63,140,79,62,79,79,63,15,78,47,94,63,16,62,1
78,47,93,78,63,32,93,78,62,62,125,141,62,125,109,47,109,125,47,78,47,47,62,47,78,1
63,125,94,78,62,47,62,63,78,47,141,79,171,94,62,79,79,63,15,78,78,62,63,16,62,1
94,141,93,47,78,250,328,328,172,93,313,1078,94,172,78,344,140,47,125,78,62,125,125,31,94,1
313,109,31,141,157,79,31,0,172,94,140,62,188,282,78,78,16,94,78,62,156,16,78,281,79,1
78,78,297,125,15,250,328,0,172,63,62,0,47,140,78,344,140,47,125,78,79,31,109,31,94,1
93,282,93,78,78,234,94,94,94,984,63,78,156,78,78,78,63,78,828,78,78,297,78,219,78,1
63,297,47,78,63,188,62,93,109,63,203,125,62,125,94,62,78,94,62,344,94,484,79,204,62,1
62,797,78,47,62,234,94,141,109,78,125,110,141,78,78,78,63,78,828,78,62,375,63,219,78,1
93,32,93,94,62,110,250,250,63,94,78,62,204,344,78,63,125,109,32,93,47,78,78,78,63,1
78,16,94,62,78,31,78,125,63,62,141,94,266,16,93,63,125,94,93,547,0,78,31,16,78,1
31,172,172,0,78,110,250,844,31,46,94,1047,1203,78,78,63,125,109,32,93,78,63,187,78,63,1
156,0,94,93,109,32,171,171,109,125,62,126,109,78,47,375,156,63,16,78,47,78,16,31,125,1
62,16,47,63,47,93,47,110,109,78,78,140,94,78,78,78,78,16,109,0,62,16,62,15,94,1
47,31,109,63,78,32,171,94,125,63,140,1176,94,94,47,375,156,63,16,78,94,62,78,31,125,1
125,15,110,78,93,94,78,78,63,94,187,141,0,203,109,63,94,93,16,78,78,78,78,32,62,1
187,16,93,94,63,31,63,0,94,62,125,94,125,31,328,110,110,94,93,32,78,32,62,31,78,1
78,31,63,78,78,94,78,94,63,78,94,78,93,94,109,63,94,93,16,78,78,16,78,32,62,1
125,172,94,109,109,250,78,78,78,156,110,94,172,78,78,110,47,94,265,94,63,422,78,94,78,1
110,359,79,78,78,219,93,94,78,93,610,156,94,141,94,63,78,156,94,140,93,547,94,125,93,1
94,313,94,63,94,250,78,93,94,63,156,78,188,62,78,110,47,94,265,94,93,203,63,94,78,1
63,94,93,47,63,93,156,156,63,469,62,78,63,141,56,73,78,79,15,110,78,78,47,31,63,1
62,16,63,63,63,16,47,0,656,166,16,15,109,16,78,63,140,47,110,62,31,47,63,31,78,1
78,31,47,78,62,93,156,0,94,141,15,844,891,62,56,73,78,79,15,110,78,172,78,31,63,1
109,16,110,109,47,391,438,438,46,62,94,78,32,109,31,78,109,109,16,78,15,78,31,0,94,1
94,0,93,78,94,141,78,0,46,94,78,46,125,110,62,78,125,687,94,78,32,110,31,31,94,1
78,109,203,94,78,391,438,0,94,47,46,765,844,31,31,78,109,109,16,78,94,62,63,0,94,1
125,31,110,125,93,485,594,594,140,47,93,140,16,125,78,78,47,125,16,93,0,125,62,32,93,1
93,16,125,78,94,47,78,125,141,79,109,109,0,109,94,62,125,172,78,94,94,15,63,47,93,1
156,16,188,62,94,485,594,234,109,94,109,985,1078,32,78,78,47,125,16,93,93,125,94,32,93,1
62,63,93,47,31,125,63,63,79,109,172,63,156,78,47,93,78,78,172,78,63,78,63,79,78,1
172,15,94,78,63,46,47,47,94,63,125,109,63,125,78,63,78,125,62,47,63,125,31,63,78,1
62,0,78,78,62,125,63,46,94,47,109,62,141,78,47,93,78,78,172,78,78,62,32,79,78,1
93,547,156,172,79,128,225,225,110,78,78,94,93,203,62,109,78,47,15,62,32,93,16,47,94,1
78,16,109,109,63,47,62,609,0,63,172,62,94,78,78,78,79,110,94,78,78,0,63,62,47,1
78,78,15,78,78,128,225,0,141,32,62,812,78,79,62,109,78,47,15,62,47,78,47,47,94,1
63,15,63,63,93,63,140,140,109,141,62,63,109,78,94,141,78,47,78,62,47,109,47,63,62,1
62,78,79,94,31,62,78,125,109,62,156,94,63,93,78,63,78,93,110,78,47,438,62,31,94,1
62,31,63,94,78,63,140,47,94,62,94,63,125,94,94,141,78,47,78,62,94,47,62,63,62,1
78,47,94,78,40,271,380,380,125,15,62,62,78,172,62,63,125,47,15,78,32,94,31,16,78,1
62,31,31,78,79,32,78,0,125,157,15,94,31,125,62,63,312,62,94,141,62,32,62,31,79,1
63,0,141,62,94,271,380,125,94,0,94,813,891,62,62,63,125,47,15,78,79,31,156,16,78,1
78,94,94,78,78,140,79,79,93,125,63,63,156,47,47,63,63,63,125,62,63,125,62,110,78,1
63,47,94,63,62,94,62,94,125,62,172,125,47,156,78,63,78,110,62,78,78,63,46,47,78,1
63,78,94,62,47,140,79,78,125,63,125,63,187,78,47,63,63,63,125,62,78,78,47,110,78,1
126,31,125,78,109,31,172,172,156,46,125,172,47,187,93,453,140,32,46,79,31,94,78,32,78,1
125,46,47,109,110,15,78,110,156,94,47,15,141,0,110,78,829,109,78,110,62,47,94,31,109,1
141,0,78,93,78,31,172,172,157,78,15,719,875,31,93,453,140,32,46,79,109,0,110,32,78,1
62,78,110,78,63,78,62,62,94,47,94,47,547,93,62,110,78,141,0,78,31,79,46,62,63,1
94,0,0,47,62,61,52,78,188,62,141,31,110,0,78,63,62,141,94,15,31,31,94,47,78,1
94,47,93,94,47,78,62,79,78,94,31,895,62,63,62,110,78,141,0,78,78,47,78,62,63,1
125,16,94,78,93,188,78,78,94,62,156,78,110,250,63,62,78,93,125,110,125,125,125,32,125,1
156,16,140,109,94,0,78,0,109,94,313,78,156,16,47,63,62,125,94,235,125,0,94,235,125,1
109,31,78,78,109,188,78,0,94,62,78,203,62,156,63,62,78,93,125,110,125,31,109,32,125,1
125,16,109,125,47,109,203,203,62,78,47,93,0,125,62,94,157,31,31,47,156,110,62,16,62,1
47,78,32,31,31,94,0,1469,31,78,63,47,32,141,78,78,0,78,156,16,31,125,15,31,94,1
16,79,47,31,62,109,203,141,125,0,47,859,110,0,62,94,157,31,31,47,94,0,62,16,62,1
141,62,110,94,78,203,78,78,88,282,109,94,531,94,79,93,94,78,47,109,78,391,109,109,94,1
109,63,94,109,78,157,78,62,78,63,172,157,78,156,63,93,94,213,94,110,78,516,78,125,93,1
110,0,109,407,78,203,78,1109,250,93,157,63,250,78,79,93,94,78,47,109,93,235,78,109,94,1
156,47,47,140,78,79,110,110,110,47,15,469,578,16,78,79,63,63,31,63,48,5,84,109,78,1
15,63,31,93,31,94,31,141,94,188,31,47,140,16,78,63,16,31,109,31,16,94,0,109,16,1
63,15,235,110,16,79,110,438,31,32,47,0,62,16,78,79,63,63,31,63,16,110,15,109,78,1
156,16,125,109,187,109,157,157,94,203,125,125,110,203,109,63,94,47,157,171,110,93,161,15,94,1
125,110,156,94,109,141,47,172,172,93,500,125,156,157,110,62,16,47,172,78,531,140,516,63,93,1
250,110,312,93,125,109,157,94,110,78,125,750,125,125,109,63,94,47,157,171,93,110,109,15,94,1
125,93,125,94,94,125,125,125,125,109,141,94,109,125,62,94,125,109,110,93,94,47,109,62,79,1
141,78,125,94,94,47,109,109,171,94,140,94,125,16,93,78,156,187,94,453,94,31,125,94,94,1
109,16,156,93,109,125,125,125,141,140,94,125,94,110,62,94,125,109,110,93,94,78,141,62,79,1
78,63,109,63,78,125,94,94,98,94,109,78,94,110,63,78,78,94,46,63,63,94,78,62,94,1
109,32,78,62,78,31,78,94,78,62,125,63,78,109,109,47,94,125,63,109,63,16,93,109,63,1
78,78,109,63,94,125,94,110,78,109,63,93,125,110,63,78,78,94,46,63,63,31,94,62,94,1
93,47,110,171,94,47,156,156,140,15,94,110,47,203,141,94,250,125,16,114,78,109,16,0,109,1
94,16,0,110,172,0,63,110,187,109,47,0,140,16,110,93,125,110,93,110,62,140,16,0,125,1
250,0,312,109,78,47,156,125,140,125,0,860,125,62,141,94,250,125,16,114,125,0,109,0,109,1
125,15,78,78,78,16,141,141,125,79,78,109,32,157,47,63,62,109,78,16,0,110,15,62,156,1
78,15,32,125,78,78,63,0,125,62,110,47,93,79,109,63,78,31,109,187,94,15,94,31,78,1
78,31,79,78,94,16,141,187,94,0,47,937,94,78,47,63,62,109,78,16,78,141,78,62,156,1
93,47,94,109,297,16,203,203,137,63,172,94,188,125,62,125,94,141,94,78,94,109,125,31,110,1
172,16,219,94,78,32,78,156,137,78,94,16,141,46,93,79,109,375,78,109,15,78,0,15,78,1
62,110,63,94,125,16,203,0,140,125,16,110,78,109,62,125,94,141,94,78,78,15,141,31,110,1
94,78,125,109,110,109,203,203,109,390,500,94,343,468,78,125,109,109,110,93,78,94,78,47,78,1
500,15,141,109,78,47,62,0,109,63,609,141,266,15,62,94,78,94,94,172,79,78,78,31,94,1
93,375,94,110,93,109,203,0,125,78,141,1020,1114,46,78,125,109,109,110,93,94,484,203,47,78,1
156,47,78,141,109,31,78,78,31,62,78,687,125,16,16,62,47,62,47,63,31,78,0,78,16,1
78,156,15,47,47,156,16,531,31,79,172,0,78,32,94,62,94,47,109,31,32,78,31,62,0,1
78,156,62,31,47,31,78,671,31,109,0,797,937,47,16,62,47,62,47,63,0,79,78,78,16,1
110,15,109,141,110,31,125,125,125,31,47,610,109,125,47,93,47,31,16,63,46,109,16,93,47,1
47,31,62,94,125,110,94,0,125,63,78,125,203,47,93,79,0,1000,78,156,0,94,15,63,93,1
32,62,15,203,16,31,125,657,15,47,125,656,781,0,47,93,47,31,16,63,93,63,219,93,47,1
94,62,62,63,63,172,78,78,78,141,78,109,125,78,60,106,47,63,94,62,63,94,62,79,62,1
78,47,47,63,62,62,63,78,47,67,91,115,76,62,78,31,78,101,176,13,63,78,62,141,62,1
63,62,62,62,94,172,78,62,78,86,115,62,63,94,60,106,47,63,94,62,62,141,235,79,62,1
78,78,110,109,109,79,109,109,78,125,78,0,16,94,62,109,140,109,203,63,32,78,109,16,62,2
78,47,94,93,63,63,62,0,141,47,203,62,203,110,78,63,109,125,63,94,78,265,110,16,78,2
78,16,328,78,62,79,109,0,94,251,62,813,156,94,62,109,140,109,203,63,78,219,78,16,62,2
375,16,78,62,94,156,250,250,141,125,94,93,157,235,63,62,94,109,47,78,156,63,109,47,110,2
94,31,219,63,47,47,62,0,141,94,16,172,219,47,62,63,79,94,62,266,16,78,31,31,78,2
171,63,218,94,125,156,250,62,94,46,172,953,1047,47,63,62,94,109,47,78,78,110,172,47,110,2
109,47,172,78,94,141,250,250,47,15,63,0,31,94,62,78,32,16,78,16,16,78,47,31,78,2
63,15,110,94,94,172,16,0,47,172,47,141,31,47,63,78,31,968,63,125,16,78,16,31,110,2
32,93,110,62,78,141,250,906,47,31,141,735,797,47,62,78,32,16,78,16,110,15,93,31,78,2
62,16,109,62,78,31,109,109,63,140,47,0,47,94,188,359,218,16,47,62,16,78,16,46,63,2
47,359,63,63,32,16,47,0,94,78,47,79,93,94,63,94,94,94,156,16,16,78,15,47,47,2
63,78,110,78,79,31,109,0,94,32,79,703,766,31,188,359,218,16,47,62,47,15,94,46,63,2
172,437,94,78,94,31,140,140,62,141,219,94,125,94,63,109,62,78,94,109,125,78,94,78,62,2
219,15,125,94,94,62,78,0,62,62,110,94,46,32,78,63,94,109,78,78,16,78,46,63,78,2
140,110,219,94,78,31,140,109,78,78,94,937,63,31,63,109,62,78,94,109,78,94,78,78,62,2
57,4369,113,69,90,63,80,80,110,101,192,78,297,141,78,78,69,63,78,109,81,37,78,69,61,2
192,4,68,98,65,31,78,70,65,94,187,172,94,406,68,150,78,141,62,141,79,13,85,63,78,2
74,6,39,79,104,63,80,73,103,31,172,74,258,89,78,78,69,63,78,109,78,15,94,69,61,2
110,156,125,94,109,63,172,172,109,78,94,78,109,63,250,78,156,78,47,125,15,63,78,78,125,2
94,15,78,78,63,16,78,0,109,94,62,141,78,110,78,63,110,109,94,62,410,94,62,172,125,2
187,78,110,78,78,63,172,0,109,93,141,828,94,109,250,78,156,78,47,125,125,266,109,78,125,2
93,32,125,63,93,32,187,187,78,47,125,562,110,78,94,78,94,63,15,78,20,88,78,16,93,2
125,32,47,94,93,16,62,110,78,78,78,94,78,15,47,63,94,109,172,15,32,32,421,46,125,2
78,78,125,78,93,32,187,109,63,94,94,719,94,47,94,78,94,63,15,78,125,15,125,16,93,2
62,141,78,63,78,219,62,62,47,157,62,78,109,94,63,1015,79,63,203,62,62,188,46,47,78,2
62,78,62,47,46,63,78,63,78,78,125,125,94,78,828,62,93,188,62,485,47,172,63,62,63,2
31,109,47,47,62,219,62,47,109,62,125,79,171,79,63,1015,79,63,203,62,63,125,78,47,78,2
109,125,109,78,125,63,109,109,125,109,94,109,47,125,78,109,78,94,47,78,47,78,63,31,78,2
94,16,156,78,78,31,110,78,187,79,46,63,93,125,78,78,109,94,94,62,78,78,94,31,94,2
125,0,94,94,94,63,109,93,110,78,63,843,984,16,78,109,78,94,47,78,94,31,141,31,78,2
93,47,125,110,94,31,79,79,140,109,94,172,78,94,62,79,125,110,15,94,31,78,16,16,78,2
94,16,125,62,47,32,78,98,124,62,125,62,94,78,78,93,79,78,78,0,62,32,93,32,62,2
79,31,31,46,62,31,79,94,125,16,62,609,94,62,62,79,125,110,15,94,62,32,78,16,78,2
94,31,78,79,79,15,140,140,90,62,94,94,46,140,63,78,94,78,0,78,16,78,0,16,78,2
94,0,16,62,78,32,94,0,93,172,31,31,125,0,78,78,78,94,78,31,78,15,79,16,94,2
62,16,78,62,78,15,140,0,125,63,31,781,94,31,63,78,94,78,0,78,94,15,110,16,78,2
63,343,63,46,47,62,78,78,79,156,63,62,157,78,62,156,63,110,234,31,47,78,110,31,47,2
63,0,125,47,47,47,63,125,141,47,141,156,63,125,125,47,62,140,63,94,16,78,47,47,62,2
203,47,63,62,47,62,78,79,110,47,156,922,62,110,62,156,63,110,234,31,62,47,63,31,47,2
140,31,141,109,94,62,172,172,100,62,125,94,16,93,47,62,141,110,109,94,16,93,32,47,62,2
125,32,172,94,78,32,78,94,110,141,62,78,62,94,94,46,109,110,78,47,16,78,47,62,79,2
31,109,250,63,94,62,172,78,125,0,78,828,968,16,47,62,141,110,109,94,79,46,94,47,62,2
63,78,78,62,62,63,78,78,79,94,78,62,63,124,62,94,78,63,78,62,47,31,78,47,62,2
78,62,47,62,62,78,63,63,62,188,15,94,157,62,78,63,78,79,93,78,78,47,62,62,63,2
94,78,47,62,78,63,78,47,63,93,94,62,63,78,62,94,78,63,78,62,63,31,125,47,62,2
109,47,63,31,78,47,125,125,47,62,47,594,78,94,78,78,47,16,110,62,16,47,94,0,31,2
47,16,31,78,110,93,32,484,47,94,0,110,31,93,63,78,31,78,109,62,0,94,16,94,16,2
94,156,32,78,110,47,125,0,62,31,110,0,547,609,78,78,47,16,110,62,16,93,78,0,31,2
94,32,109,78,62,157,78,78,62,93,94,125,141,266,62,79,79,78,63,93,94,15,94,31,79,2
94,16,78,78,63,0,94,109,78,78,93,15,125,47,78,78,78,141,78,94,78,47,78,94,94,2
110,78,93,93,78,157,78,47,94,172,15,0,32,125,62,79,79,78,63,93,94,156,94,31,79,2
94,109,62,63,63,94,78,78,63,140,94,93,47,110,63,109,78,78,188,78,78,78,78,78,63,2
94,47,78,78,63,63,62,63,78,63,172,110,78,109,78,78,63,156,62,125,63,78,62,62,47,2
63,62,78,47,63,94,78,63,47,62,110,110,94,62,63,109,78,78,188,78,47,47,94,78,63,2
78,47,157,125,156,0,78,78,180,109,94,0,16,141,94,62,31,46,93,0,31,94,47,31,63,2
94,15,110,125,78,78,47,141,187,94,219,110,20,165,62,63,15,1390,63,141,16,94,94,0,63,2
47,47,16,78,94,0,78,0,172,15,110,984,1094,62,94,62,31,46,93,0,63,31,156,31,63,2
62,79,109,94,78,62,109,109,125,125,78,94,93,94,78,94,141,15,93,32,31,78,63,32,93,2
78,125,0,94,63,78,31,110,125,78,109,120,94,62,94,46,63,0,125,500,78,78,94,93,78,2
78,31,97,31,156,62,109,0,94,187,120,735,78,78,78,94,141,15,93,32,78,94,78,32,93,2
