dtsk1,dtfk3,dtsk3,ft4,dtsk4,dtfk5,ft5,dtsk5,dtsk6,dtfk7,ft7,dtsk7,dtfk8,dtsk8,dtfk9,dtsk9,dtfk10,ft10,dtsk10,dtfk11,ft11,ft12,ft13,dtsk13,dtfk14,ft14,sum,gender
62,16,63,15,63,78,172,94,157,219,16,110,16,109,110,109,79,78,93,94,125,125,15,109,156,15,4174,1
110,16,532,53,91,94,223,125,110,156,16,78,171,125,125,219,156,47,78,110,94,343,16,125,94,15,4970,1
78,78,94,15,63,63,62,63,78,62,32,46,31,94,657,109,78,15,79,63,109,16,15,47,15,47,3312,1
62,156,78,79,62,515,63,78,78,78,31,79,15,172,109,94,63,62,125,78,79,172,47,78,109,16,3658,1
63,46,78,15,63,94,62,79,109,110,172,16,110,109,63,78,78,15,79,63,109,16,78,62,15,47,2985,1
94,63,109,63,78,78,125,47,172,46,16,63,125,63,63,78,265,79,78,141,46,32,65,78,78,15,3560,1
78,62,78,31,94,78,125,203,110,172,116,41,63,46,63,62,31,62,79,156,47,46,63,62,78,47,3641,1
47,63,94,63,78,62,125,110,63,32,31,62,94,126,906,172,265,79,78,141,46,32,47,94,78,15,4048,1
110,78,78,156,141,141,16,125,203,78,16,94,109,78,109,140,47,63,94,94,125,16,32,109,79,78,3862,1
125,32,110,16,62,172,15,94,125,109,63,109,78,78,109,15,63,93,79,78,110,93,16,93,94,31,3611,1
78,94,78,156,141,125,109,125,109,94,15,63,63,110,129,109,47,63,94,94,125,16,62,47,79,78,3614,1
78,47,63,47,62,62,141,62,78,62,110,78,78,78,63,79,78,62,79,79,140,15,94,63,78,16,3080,1
62,78,63,32,93,78,157,62,125,94,203,47,78,94,141,125,47,109,47,109,94,47,47,62,63,47,3515,1
47,78,62,47,62,63,140,78,141,78,31,63,63,125,79,94,78,62,79,79,140,15,62,63,78,16,3141,1
93,47,78,250,328,328,62,172,313,47,78,125,422,250,1078,172,62,78,344,140,234,125,125,125,78,31,6577,1
32,141,157,79,31,0,62,172,140,140,235,62,359,63,62,282,62,78,78,16,93,78,16,78,62,281,5172,1
156,125,15,250,328,0,63,172,62,109,141,62,94,94,0,140,62,78,344,140,234,125,31,109,78,31,4420,1
93,78,78,234,94,94,47,94,63,63,218,47,79,62,78,78,78,78,78,63,140,828,297,78,63,219,6749,1
62,78,63,188,62,93,63,109,203,78,250,78,93,78,125,125,62,94,62,78,140,62,484,79,78,204,4935,1
94,47,62,234,94,141,203,109,125,78,375,47,62,94,110,78,78,78,78,63,140,828,375,63,63,219,6250,1
93,94,62,110,250,250,63,63,78,125,46,0,187,93,62,344,78,78,63,125,47,32,78,78,93,78,4202,1
94,62,78,31,78,125,16,63,141,78,16,47,62,78,94,16,63,93,63,125,15,93,78,31,62,16,3891,1
0,0,78,110,250,844,938,31,94,109,32,78,94,94,1047,78,78,78,63,125,47,32,63,187,93,78,7094,1
94,93,109,32,171,171,16,109,62,63,62,63,156,110,126,78,31,47,375,156,47,16,78,16,78,31,3624,1
94,63,47,93,47,110,31,109,78,94,109,47,93,125,140,78,63,78,78,78,47,109,16,62,94,15,3281,1
62,63,78,32,171,94,31,125,140,62,125,109,125,16,1176,94,31,47,375,156,47,16,62,78,78,31,4501,1
110,78,93,94,78,78,203,63,187,141,0,78,78,78,141,203,141,109,63,94,78,16,78,78,93,32,3703,1
78,94,63,31,63,0,0,94,125,94,63,78,93,94,94,31,234,328,110,110,93,93,32,62,94,31,3610,1
78,78,78,94,78,94,171,63,94,109,16,62,79,94,78,94,141,109,63,94,78,16,16,78,93,32,3280,1
94,109,109,250,78,78,110,78,110,125,140,63,62,47,94,78,94,78,110,47,156,265,422,78,93,94,4923,1
94,78,78,219,93,94,78,78,610,62,328,63,109,109,156,141,93,94,63,78,109,94,547,94,110,125,5672,1
93,63,94,250,78,93,250,94,156,94,187,78,109,156,78,62,94,78,110,47,156,265,203,63,93,94,4811,1
93,47,63,93,156,156,31,63,62,78,125,78,141,172,78,141,78,56,73,78,31,15,78,47,62,31,3755,1
47,63,63,16,47,0,594,656,16,62,125,78,78,62,15,16,62,78,63,140,0,110,47,63,63,31,3739,1
31,78,62,93,156,0,16,94,15,94,31,63,78,47,844,62,78,56,73,78,31,15,172,78,62,31,5098,1
110,109,47,391,438,438,31,46,94,78,31,94,110,79,78,109,94,31,78,109,125,16,78,31,78,0,4172,1
109,78,94,141,78,0,32,46,78,31,78,15,63,47,46,110,63,62,78,125,31,94,110,31,78,31,3593,1
32,94,78,391,438,0,31,94,46,110,31,94,0,687,765,31,94,31,78,109,125,16,62,63,78,0,5717,1
110,125,93,485,594,594,47,140,93,78,141,62,125,63,140,125,47,78,78,47,62,16,125,62,78,32,4935,1
94,78,94,47,78,125,31,141,109,32,110,0,78,109,109,109,62,94,62,125,62,78,15,63,94,47,3515,1
94,62,94,485,594,234,16,109,109,125,78,94,109,172,985,32,47,78,78,47,62,16,125,94,78,32,6516,1
93,47,31,125,63,63,171,79,172,62,32,78,78,78,63,78,63,47,93,78,78,172,78,63,46,79,3344,1
93,78,63,46,47,47,31,94,125,78,15,63,78,109,109,125,62,78,63,78,94,62,125,31,62,63,3125,1
63,78,62,125,63,46,47,94,109,62,16,62,62,125,62,78,63,47,93,78,78,172,62,32,46,79,2983,1
156,172,79,128,225,225,40,110,78,63,47,78,15,94,94,203,47,62,109,78,63,15,93,16,94,47,4488,1
109,109,63,47,62,609,734,0,172,79,93,32,109,125,62,78,78,78,78,79,78,94,0,63,15,62,4343,1
78,78,78,128,225,0,47,141,62,94,31,172,47,110,812,79,47,62,109,78,63,15,78,47,94,47,4134,1
63,63,93,63,140,140,188,109,62,63,578,94,78,62,63,78,47,94,141,78,94,78,109,47,93,63,3999,1
125,94,31,62,78,125,207,109,156,94,78,47,94,62,94,93,47,78,63,78,125,110,438,62,94,31,3941,1
47,94,78,63,140,47,687,94,94,125,453,78,63,93,63,94,47,94,141,78,94,78,47,62,93,63,5077,1
94,78,40,271,380,380,47,125,62,47,16,62,94,62,62,172,47,62,63,125,32,15,94,31,62,16,3507,1
78,78,79,32,78,0,47,125,15,62,31,32,78,78,94,125,63,62,63,312,63,94,32,62,78,31,3018,1
62,62,94,271,380,125,140,94,94,62,0,32,76,62,813,62,47,62,63,125,32,15,31,156,62,16,5659,1
94,78,78,140,79,79,250,93,63,47,141,62,62,63,63,47,125,47,63,63,93,125,125,62,62,110,4205,1
78,63,62,94,62,94,125,125,172,78,78,63,78,62,125,156,62,78,63,78,110,62,63,46,63,47,3438,1
78,62,47,140,79,78,172,125,125,63,125,83,47,110,63,78,125,47,63,63,93,125,78,47,62,110,3585,1
125,78,109,31,172,172,31,156,125,94,16,93,109,63,172,187,0,93,453,140,47,46,94,78,78,32,3983,1
125,109,110,15,78,110,125,156,47,31,63,31,94,62,15,0,93,110,78,829,31,78,47,94,157,31,4546,1
62,93,78,31,172,172,93,157,15,94,78,94,94,109,719,31,0,93,453,140,47,46,0,110,78,32,5156,1
110,78,63,78,62,62,94,94,94,78,31,94,93,31,47,93,32,62,110,78,94,0,79,46,78,62,3438,1
78,47,62,61,52,78,94,188,141,63,62,31,47,78,31,0,78,78,63,62,110,94,31,94,78,47,3129,1
31,94,47,78,62,79,78,78,31,94,47,78,109,141,895,63,32,62,110,78,94,0,47,78,78,62,3866,1
94,78,93,188,78,78,31,94,156,110,31,78,109,125,78,250,78,63,62,78,110,125,125,125,78,32,3953,1
62,109,94,0,78,0,31,109,313,156,31,125,78,125,78,16,78,47,63,62,94,94,0,94,62,235,3921,1
125,78,109,188,78,0,0,94,78,156,16,94,78,125,203,156,78,63,62,78,110,125,31,109,78,32,3623,1
109,125,47,109,203,203,47,62,47,31,63,31,47,31,93,125,16,62,94,157,31,31,110,62,78,16,3231,1
16,31,31,94,0,1469,140,31,63,0,62,156,125,31,47,141,78,78,78,0,47,156,125,15,63,31,4361,1
31,31,62,109,203,141,15,125,47,125,719,109,78,78,859,0,16,62,94,157,31,31,0,62,78,16,4186,1
110,94,78,203,78,78,249,88,109,78,344,407,78,78,94,94,234,79,93,94,140,47,391,109,78,109,5854,1
93,109,78,157,78,62,204,78,172,78,172,78,109,78,157,156,281,63,93,94,172,94,516,78,94,125,5009,1
78,407,78,203,78,1109,63,250,157,94,203,78,78,213,63,78,234,79,93,94,140,47,235,78,78,109,5833,1
47,140,78,79,110,110,15,110,15,78,16,110,94,78,469,16,63,78,79,63,47,31,5,84,46,109,3717,1
31,93,31,94,31,141,0,94,31,16,78,48,46,93,47,16,31,78,63,16,78,109,94,0,16,109,2360,1
16,110,16,79,110,438,125,31,47,625,32,79,93,31,0,16,63,78,79,63,47,31,110,15,46,109,3677,1
125,109,187,109,157,157,156,94,125,110,94,93,218,111,125,203,94,109,63,94,203,157,93,161,141,15,4960,1
109,94,109,141,47,172,0,172,500,125,125,110,297,109,125,157,93,110,62,16,141,172,140,516,125,63,5704,1
531,93,125,109,157,94,156,110,125,141,140,78,110,47,750,125,94,109,63,94,203,157,110,109,141,15,5814,1
125,94,94,125,125,125,78,125,141,109,63,93,78,93,94,125,94,62,94,125,94,110,47,109,109,62,4233,1
125,94,94,47,109,109,32,171,140,110,140,94,109,94,94,16,47,93,78,156,47,94,31,125,109,94,4563,1
94,93,109,125,125,125,47,141,94,125,110,78,110,187,125,110,94,62,94,125,94,110,78,141,109,62,4142,1
109,63,78,125,94,94,219,98,109,78,109,63,94,78,78,110,93,63,78,78,110,46,94,78,110,62,3677,1
62,62,78,31,78,94,187,78,125,110,15,63,94,78,63,109,78,109,47,94,93,63,16,93,78,109,3404,1
63,63,94,125,94,110,234,78,63,93,0,63,94,125,93,110,93,63,78,78,110,46,31,94,110,62,3484,1
110,171,94,47,156,156,32,140,94,94,31,109,141,125,110,203,15,141,94,250,31,16,109,16,125,0,4112,1
109,110,172,0,63,110,78,187,47,62,109,78,94,78,0,16,62,110,93,125,93,93,140,16,78,0,3546,1
62,109,78,47,156,125,79,140,0,141,15,94,94,110,860,62,15,141,94,250,31,16,0,109,125,0,4802,1
78,78,78,16,141,141,62,125,78,78,63,78,140,63,109,157,47,47,63,62,140,78,110,15,110,62,3298,1
94,125,78,78,63,0,15,125,110,78,78,0,172,63,47,79,78,109,63,78,93,109,15,94,94,31,3000,1
94,78,94,16,141,187,0,94,47,140,63,62,78,31,937,78,47,47,63,62,140,78,141,78,110,62,4078,1
94,109,297,16,203,203,15,137,172,125,16,94,78,94,94,125,157,62,125,94,78,94,109,125,109,31,4810,1
78,94,78,32,78,156,16,137,94,109,0,94,94,125,16,46,110,93,79,109,63,78,78,0,78,15,3762,1
15,94,125,16,203,0,47,140,16,47,16,172,78,375,110,109,157,62,125,94,78,94,15,141,109,31,4143,1
125,109,110,109,203,203,78,109,500,125,47,110,110,78,94,468,156,78,125,109,63,110,94,78,94,47,5623,1
156,109,78,47,62,0,15,109,609,46,109,78,110,78,141,15,79,62,94,78,110,94,78,78,78,31,5015,1
79,110,93,109,203,0,47,125,141,141,31,110,78,94,1020,46,156,78,125,109,63,110,484,203,94,47,6649,1
78,141,109,31,78,78,32,31,78,15,47,31,78,32,687,16,94,16,62,47,125,47,78,0,0,78,3281,1
32,47,47,156,16,531,625,31,172,47,79,31,31,63,0,32,31,94,62,94,0,109,78,31,31,62,3485,1
32,31,47,31,78,671,193,31,0,78,32,93,16,47,797,47,94,16,62,47,125,47,79,78,0,78,4676,1
109,141,110,31,125,125,31,125,47,63,125,203,203,93,610,125,125,47,93,47,141,16,109,16,15,93,4046,1
109,94,125,110,94,0,0,125,78,0,16,46,16,62,125,47,47,93,79,0,93,78,94,15,0,63,4154,1
0,203,16,31,125,657,720,15,125,250,78,453,94,1000,656,0,125,47,93,47,141,16,63,219,15,93,6861,1
62,63,63,172,78,78,31,78,78,78,79,62,63,47,109,78,40,60,106,47,125,94,94,62,78,79,3348,1
62,63,62,62,63,78,250,47,91,94,93,63,78,47,115,62,47,78,31,78,109,176,78,62,62,141,3587,1
63,62,94,172,78,62,188,78,115,78,140,63,74,101,62,94,40,60,106,47,125,94,141,235,78,79,3553,1
110,109,109,79,109,109,31,78,78,47,234,78,110,62,0,94,141,62,109,140,16,203,78,109,63,16,3921,2
78,93,63,63,62,0,31,141,203,94,109,32,78,63,62,110,78,78,63,109,16,63,265,110,78,16,3845,2
78,78,62,79,109,0,16,94,62,125,109,109,63,125,813,94,141,62,109,140,16,203,219,78,63,16,4874,2
78,62,94,156,250,250,31,141,94,109,62,94,109,141,93,235,156,63,62,94,62,47,63,109,93,47,4562,2
78,63,47,47,62,0,32,141,16,47,125,156,78,110,172,47,63,62,63,79,78,62,78,31,110,31,3488,2
16,94,125,156,250,62,94,94,172,63,15,62,109,94,953,47,156,63,62,94,62,47,110,172,93,47,5671,2
172,78,94,141,250,250,47,47,63,62,47,62,47,47,0,94,63,62,78,32,141,78,78,47,63,31,3049,2
109,94,94,172,16,0,47,47,47,47,125,16,94,49,141,47,15,63,78,31,94,63,78,16,63,31,3707,2
16,62,78,141,250,906,1000,47,141,94,203,78,91,968,735,47,63,62,78,32,141,78,15,93,63,31,8140,2
109,62,78,31,109,109,31,63,47,62,32,78,62,94,0,94,16,188,359,218,47,47,78,16,47,46,3000,2
94,63,32,16,47,0,15,94,47,31,47,16,62,78,79,94,62,63,94,94,15,156,78,15,63,47,2969,2
16,78,79,31,109,0,31,94,79,125,78,78,62,94,703,31,16,188,359,218,47,47,15,94,47,46,4467,2
94,78,94,31,140,140,31,62,219,93,16,94,94,78,94,94,125,63,109,62,94,94,78,94,78,78,4296,2
94,94,94,62,78,0,16,62,110,31,109,125,94,78,94,32,78,78,63,94,109,78,78,46,78,63,3310,2
16,94,78,31,140,109,16,78,94,109,16,78,62,109,937,31,125,63,109,62,94,94,94,78,78,78,4249,2
113,69,90,63,80,80,442,110,192,89,36,79,79,80,78,141,47,78,78,69,111,78,37,78,33,69,8445,2
79,98,65,31,78,70,411,65,187,89,24,81,94,78,172,406,58,68,150,78,94,62,13,85,78,63,4213,2
79,79,104,63,80,73,185,103,172,11,73,31,47,141,74,89,47,78,78,69,111,78,15,94,33,69,3365,2
125,94,109,63,172,172,47,109,94,79,78,78,109,94,78,63,110,250,78,156,63,47,63,78,78,78,4252,2
94,78,63,16,78,0,31,109,62,109,94,15,110,94,141,110,78,78,63,110,47,94,94,62,109,172,3846,2
410,78,78,63,172,0,15,109,141,93,172,94,141,109,828,109,110,250,78,156,63,47,266,109,78,78,5502,2
125,63,93,32,187,187,0,78,125,63,31,78,78,94,562,78,16,94,78,94,78,15,88,78,109,16,3638,2
94,94,93,16,62,110,31,78,78,47,117,20,94,156,94,15,47,47,63,94,31,172,32,421,63,46,3279,2
32,78,93,32,187,109,47,63,94,63,15,78,94,109,719,47,16,94,78,94,78,15,15,125,109,16,3657,2
78,63,78,219,62,62,31,47,62,63,109,47,94,63,78,94,547,63,1015,79,125,203,188,46,47,47,4983,2
63,47,46,63,78,63,94,78,125,79,125,62,63,63,125,78,31,828,62,93,110,62,172,63,63,62,5531,2
47,47,62,219,62,47,78,109,125,94,219,47,63,188,79,79,547,63,1015,79,125,203,125,78,47,47,5221,2
109,78,125,63,109,109,47,125,94,94,0,94,94,110,109,125,63,78,109,78,93,47,78,63,79,31,3750,2
78,78,78,31,110,78,78,187,46,16,62,47,109,94,63,125,78,78,78,109,110,94,78,94,78,31,3373,2
78,94,94,63,109,93,78,110,63,94,31,78,94,94,843,16,63,78,109,78,93,47,31,141,79,31,5093,2
125,110,94,31,79,79,31,140,94,78,16,46,110,78,172,94,31,62,79,125,62,15,78,16,94,16,3298,2
62,62,47,32,78,98,59,124,125,62,94,31,94,94,62,78,63,78,93,79,93,78,32,93,93,32,3122,2
62,46,62,31,79,94,31,125,62,78,16,94,78,78,609,62,31,62,79,125,62,15,32,78,94,16,3749,2
78,79,79,15,140,140,47,90,94,109,0,62,110,47,94,140,47,63,78,94,94,0,78,0,94,16,2996,2
63,62,78,32,94,0,16,93,31,31,140,16,78,78,31,0,63,78,78,78,94,78,15,79,62,16,3220,2
78,62,78,15,140,0,63,125,31,62,31,78,109,94,781,31,47,63,78,94,94,0,15,110,94,16,3423,2
63,46,47,62,78,78,125,79,63,62,16,62,156,94,62,78,94,62,156,63,109,234,78,110,62,31,3952,2
78,47,47,47,63,125,62,141,141,110,62,47,78,63,156,125,32,125,47,62,125,63,78,47,47,47,3300,2
16,62,47,62,78,79,46,110,156,62,16,62,47,140,922,110,94,62,156,63,109,234,47,63,62,31,4171,2
141,109,94,62,172,172,15,100,125,94,46,63,94,78,94,93,78,47,62,141,62,109,93,32,94,47,3582,2
110,94,78,32,78,94,46,110,62,16,141,16,94,63,78,94,47,94,46,109,31,78,78,47,78,62,3159,2
16,63,94,62,172,78,94,125,78,79,15,94,516,110,828,16,78,47,62,141,62,109,46,94,94,47,5580,2
78,62,62,63,78,78,62,79,78,63,78,62,78,62,62,124,109,62,94,78,93,78,31,78,63,47,3012,2
79,62,62,78,63,63,125,62,15,78,125,47,63,62,94,62,62,78,63,78,94,93,47,62,78,62,3267,2
78,62,78,63,78,47,125,63,94,62,78,63,78,79,62,78,109,62,94,78,93,78,31,125,63,47,3780,2
63,31,78,47,125,125,47,47,47,93,16,78,78,78,594,94,15,78,78,47,63,110,47,94,78,0,3142,2
78,78,110,93,32,484,500,47,0,609,47,16,16,31,110,93,31,63,78,31,62,109,94,16,16,94,3721,2
0,78,110,47,125,0,47,62,110,31,78,94,78,78,0,609,15,78,78,47,63,110,93,78,78,0,3562,2
109,78,62,157,78,78,172,62,94,79,78,93,94,63,125,266,141,62,79,79,78,63,15,94,62,31,4392,2
93,78,63,0,94,109,157,78,93,125,141,94,110,94,15,47,94,78,78,78,110,78,47,78,78,94,3658,2
78,93,78,157,78,47,156,94,15,140,63,78,79,141,0,125,141,62,79,79,78,63,156,94,62,31,3643,2
62,63,63,94,78,78,187,63,94,63,62,47,63,63,93,110,156,63,109,78,94,188,78,78,47,78,3596,2
63,78,63,63,62,63,62,78,172,62,94,78,78,63,110,109,63,78,78,63,109,62,78,62,63,62,3406,2
63,47,63,94,78,63,140,47,110,63,47,78,62,156,110,62,156,63,109,78,94,188,47,94,47,78,3410,2
157,125,156,0,78,78,78,180,94,63,16,78,266,62,0,141,78,94,62,31,109,93,94,47,78,31,3397,2
94,125,78,78,47,141,47,187,219,62,47,31,156,70,110,165,94,62,63,15,125,63,94,94,93,0,4740,2
16,78,94,0,78,0,15,172,110,125,94,94,31,1390,984,62,78,94,62,31,109,93,31,156,78,31,7215,2
109,94,78,62,109,109,31,125,78,94,141,31,110,109,94,94,63,78,94,141,0,93,78,63,78,32,3421,2
93,94,63,78,31,110,31,125,109,78,78,31,156,111,120,62,94,94,46,63,172,125,78,94,63,93,3729,2
78,31,156,62,109,0,0,94,120,78,47,109,63,0,735,78,63,78,94,141,0,93,94,78,78,32,3667,2
