@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,11,13,15,17,18,19,21,22,23,25,26,27,29,32,33,35,37,39,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute ft5 numeric
@attribute dtfk6 numeric
@attribute ft7 numeric
@attribute dtsk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute dtfk12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
94,296,141,141,109,94,94,156,63,93,31,109,78,234,234,109,63,125,94,203,1
78,94,156,128,63,93,94,62,78,234,94,108,78,78,156,141,140,93,78,63,1
125,93,94,110,62,94,94,156,62,93,62,141,78,234,234,109,63,156,94,203,1
141,16,94,94,125,62,62,110,15,78,109,109,297,235,297,93,109,62,93,32,1
93,32,125,93,16,78,94,94,15,235,125,125,78,94,172,78,15,94,94,62,1
234,141,94,79,31,94,62,110,15,16,188,78,297,235,297,93,109,141,93,32,1
62,32,78,78,94,63,63,109,16,31,47,78,94,94,109,94,125,78,62,32,1
63,15,78,79,15,31,78,31,15,94,63,62,78,62,94,109,110,31,63,47,1
78,63,16,63,47,47,63,109,16,16,16,109,94,94,109,94,125,46,62,32,1
141,15,102,102,31,118,118,91,259,63,78,93,156,78,110,110,125,31,94,15,1
109,188,94,16,141,63,110,63,172,78,16,109,79,93,94,125,250,15,156,15,1
125,15,109,16,93,532,118,91,223,16,16,125,156,78,110,110,125,16,94,15,1
94,31,78,78,16,94,94,63,62,78,32,94,78,79,63,78,62,15,15,47,1
78,16,125,156,32,78,78,62,63,79,31,172,63,125,78,109,15,47,109,16,1
140,31,78,46,16,78,94,63,62,31,172,109,78,79,63,78,62,78,15,47,1
125,62,63,63,78,109,109,78,125,78,16,63,265,78,141,62,109,65,78,15,1
172,16,63,62,63,78,94,94,125,78,116,46,31,79,156,126,219,63,78,47,1
94,31,78,63,15,94,109,78,125,78,31,126,265,78,141,62,109,47,78,15,1
78,62,78,78,31,78,78,141,16,110,16,78,47,94,94,187,94,32,79,78,1
203,31,94,32,218,110,78,62,15,94,63,78,63,79,78,110,32,16,94,31,1
78,47,110,94,31,78,78,141,109,47,15,110,47,94,94,187,94,62,79,78,1
62,32,47,47,46,63,63,62,141,63,110,78,78,79,79,63,78,94,78,16,1
78,47,94,78,78,63,62,93,157,79,203,94,47,47,109,125,78,47,63,47,1
63,125,62,78,47,62,63,62,140,46,31,125,78,79,79,63,78,62,78,16,1
94,141,47,47,47,78,78,328,62,157,78,250,62,344,140,47,78,125,78,31,1
313,109,110,141,62,157,46,31,62,344,235,63,62,78,16,94,62,16,62,281,1
78,78,78,125,78,15,78,328,63,47,141,94,62,344,140,47,78,31,78,31,1
93,282,78,78,891,78,78,94,47,63,218,62,78,78,63,78,78,297,63,219,1
63,297,62,78,250,63,62,62,63,78,250,78,62,62,78,94,344,484,78,204,1
62,797,62,47,235,62,78,94,203,219,375,94,78,78,63,78,78,375,63,219,1
93,32,94,94,78,62,62,250,63,78,46,93,78,63,125,109,93,78,93,78,1
78,16,109,62,47,78,78,78,16,63,16,78,63,63,125,94,547,78,62,16,1
31,172,78,0,16,78,62,250,938,16,32,94,78,63,125,109,93,63,93,78,1
156,0,93,93,16,109,109,171,16,47,62,110,31,375,156,63,78,78,78,31,1
62,16,16,63,47,47,94,47,31,375,109,125,63,78,78,16,0,16,94,15,1
47,31,93,63,62,78,109,171,31,15,125,16,31,375,156,63,78,62,78,31,1
125,15,78,78,63,93,93,78,203,63,0,78,141,63,94,93,78,78,93,32,1
187,16,63,94,62,63,78,63,0,63,63,94,234,110,110,94,32,32,94,31,1
78,31,62,78,63,78,93,78,171,15,16,94,141,63,94,93,78,16,93,32,1
125,172,109,109,110,109,109,78,110,78,140,47,94,110,47,94,94,422,93,94,1
110,359,78,78,110,78,78,93,78,110,328,109,93,63,78,156,140,547,110,125,1
94,313,78,63,15,94,109,78,250,78,187,156,94,110,47,94,94,203,93,94,1
63,94,47,47,47,63,63,156,31,63,125,172,78,73,78,79,110,78,62,31,1
62,16,47,63,62,63,47,47,594,73,125,62,62,63,140,47,62,47,63,31,1
78,31,63,78,32,62,63,156,16,62,31,47,78,73,78,79,110,172,62,31,1
109,16,109,109,78,47,47,438,31,94,31,79,94,78,109,109,78,78,78,0,1
94,0,110,78,47,94,78,78,32,78,78,47,63,78,125,687,78,110,78,31,1
78,109,93,94,31,78,47,438,31,78,31,687,94,78,109,109,78,62,78,0,1
125,31,125,125,79,93,93,594,47,94,141,63,47,78,47,125,93,125,78,32,1
93,16,125,78,125,94,109,78,31,78,110,109,62,62,125,172,94,15,94,47,1
156,16,63,62,31,94,93,594,16,94,78,172,47,78,47,125,93,125,78,32,1
62,63,47,47,78,31,31,63,171,63,32,78,63,93,78,78,78,78,46,79,1
172,15,47,78,47,63,79,47,31,93,15,109,62,63,78,125,47,125,62,63,1
62,0,63,78,47,62,31,63,47,94,16,125,63,93,78,78,78,62,46,79,1
93,547,172,172,292,79,79,225,40,63,47,94,47,109,78,47,62,93,94,47,1
78,16,109,109,0,63,78,62,734,109,93,125,78,78,79,110,78,0,15,62,1
78,78,47,78,297,78,79,225,47,93,31,110,47,109,78,47,62,78,94,47,1
63,15,63,63,16,93,93,140,188,31,578,62,47,141,78,47,62,109,93,63,1
62,78,63,94,78,31,79,78,207,141,78,62,47,63,78,93,78,438,94,31,1
62,31,63,94,62,78,93,140,687,78,453,93,47,141,78,47,62,47,93,63,1
78,47,78,78,52,40,40,380,47,79,16,62,47,63,125,47,78,94,62,16,1
62,31,0,78,31,79,78,78,47,63,31,78,63,63,312,62,141,32,78,31,1
63,0,78,62,16,94,40,380,140,63,0,62,47,63,125,47,78,31,62,16,1
78,94,78,78,563,78,78,79,250,62,141,63,125,63,63,63,62,125,62,110,1
63,47,63,63,109,62,63,62,125,63,78,62,62,63,78,110,78,63,63,47,1
63,78,47,62,78,47,78,79,172,62,125,110,125,63,63,63,62,78,62,110,1
126,31,78,78,31,109,109,172,31,110,16,63,0,453,140,32,79,94,78,32,1
125,46,16,109,0,110,125,78,125,453,63,62,93,78,829,109,110,47,157,31,1
141,0,110,93,32,78,109,172,93,31,78,109,0,453,140,32,79,0,78,32,1
62,78,78,78,16,63,63,62,94,62,31,31,32,110,78,141,78,79,78,62,1
94,0,16,47,31,62,78,52,94,110,62,78,78,63,62,141,15,31,78,47,1
94,47,94,94,62,47,63,62,78,16,47,141,32,110,78,141,78,47,78,62,1
125,16,78,78,63,93,93,78,31,94,31,125,78,62,78,93,110,125,78,32,1
156,16,78,109,31,94,78,78,31,62,31,125,78,63,62,125,235,0,62,235,1
109,31,78,78,47,109,93,78,0,0,16,125,78,62,78,93,110,31,78,32,1
125,16,125,125,0,47,47,203,47,31,63,31,16,94,157,31,47,110,78,16,1
47,78,63,31,109,31,344,0,140,94,62,31,78,78,0,78,16,125,63,31,1
16,79,62,31,78,62,47,203,15,125,719,78,16,94,157,31,47,0,78,16,1
141,62,94,94,62,78,78,78,249,78,344,78,234,93,94,78,109,391,78,109,1
109,63,94,109,94,78,62,78,204,93,172,78,281,93,94,213,110,516,94,125,1
110,0,78,407,15,78,78,78,63,32,203,213,234,93,94,78,109,235,78,109,1
156,47,140,140,32,78,78,110,15,31,16,78,63,79,63,63,63,5,46,109,1
15,63,46,93,32,31,15,31,0,79,78,93,31,63,16,31,31,94,16,109,1
63,15,32,110,15,16,78,110,125,93,32,31,63,79,63,63,63,110,46,109,1
156,16,109,109,32,187,187,157,156,109,94,111,94,63,94,47,171,93,141,15,1
125,110,94,94,125,109,78,47,0,63,125,109,93,62,16,47,78,140,125,63,1
250,110,125,93,63,125,187,157,156,94,140,47,94,63,94,47,171,110,141,15,1
125,93,94,94,93,94,94,125,78,94,63,93,94,94,125,109,93,47,109,62,1
141,78,94,94,78,94,94,109,32,94,140,94,47,78,156,187,453,31,109,94,1
109,16,78,93,63,109,94,125,47,47,110,187,94,94,125,109,93,78,109,62,1
78,63,63,63,62,78,78,94,219,78,109,78,93,78,78,94,63,94,110,62,1
109,32,47,62,47,78,94,78,187,78,15,78,78,47,94,125,109,16,78,109,1
78,78,62,63,15,94,78,94,234,15,0,125,93,78,78,94,63,31,110,62,1
93,47,171,171,16,94,94,156,32,172,31,125,15,94,250,125,114,109,125,0,1
94,16,63,110,47,172,125,63,78,94,109,78,62,93,125,110,110,140,78,0,1
250,0,125,109,32,78,94,156,79,16,15,110,15,94,250,125,114,0,125,0,1
125,15,78,78,31,78,78,141,62,78,63,63,47,63,62,109,16,110,110,62,1
78,15,16,125,16,78,78,63,15,63,78,63,78,63,78,31,187,15,94,31,1
78,31,110,78,31,94,78,141,0,94,63,31,47,63,62,109,16,141,110,62,1
93,47,109,109,203,297,297,203,15,78,16,94,157,125,94,141,78,109,109,31,1
172,16,125,94,31,78,93,78,16,125,0,125,110,79,109,375,109,78,78,15,1
62,110,62,94,16,125,297,203,47,32,16,375,157,125,94,141,78,15,109,31,1
94,78,109,109,141,110,110,203,78,78,47,78,156,125,109,109,93,94,94,47,1
500,15,93,109,485,78,125,62,15,125,109,78,79,94,78,94,172,78,78,31,1
93,375,63,110,78,93,110,203,47,78,31,94,156,125,109,109,93,484,94,47,1
156,47,141,141,47,109,109,78,32,47,47,32,94,62,47,62,63,78,0,78,1
78,156,47,47,63,47,31,16,625,62,79,63,31,62,94,47,31,78,31,62,1
78,156,62,31,63,47,109,78,193,15,32,47,94,62,47,62,63,79,0,78,1
110,15,141,141,15,110,110,125,31,125,125,93,125,93,47,31,63,109,15,93,1
47,31,125,94,15,125,16,94,0,93,16,62,47,79,0,1000,156,94,0,63,1
32,62,47,203,16,16,110,125,720,63,78,1000,125,93,47,31,63,63,15,93,1
94,62,63,63,31,63,63,78,31,62,79,47,40,106,47,63,62,94,78,79,1
78,47,46,63,297,62,79,63,250,106,93,47,47,31,78,101,13,78,62,141,1
63,62,46,62,47,94,63,78,188,27,140,101,40,106,47,63,62,141,78,79,1
78,78,109,109,297,109,109,109,31,63,234,62,141,109,140,109,63,78,63,16,2
78,47,94,93,203,63,125,62,31,109,109,63,78,63,109,125,94,265,78,16,2
78,16,125,78,172,62,109,109,16,93,109,125,141,109,140,109,63,219,63,16,2
375,16,62,62,94,94,94,250,31,47,62,141,156,62,94,109,78,63,93,47,2
94,31,110,63,62,47,47,62,32,62,125,110,63,63,79,94,266,78,110,31,2
171,63,31,94,47,125,94,250,94,32,15,94,156,62,94,109,78,110,93,47,2
109,47,78,78,16,94,94,250,47,94,47,47,63,78,32,16,16,78,63,31,2
63,15,109,94,31,94,78,16,47,78,125,49,15,78,31,968,125,78,63,31,2
32,93,62,62,16,78,94,250,1000,78,203,968,63,78,32,16,16,15,63,31,2
62,16,62,62,32,78,78,109,31,32,32,94,16,359,218,16,62,78,47,46,2
47,359,47,63,15,32,62,47,15,359,47,78,62,94,94,94,16,78,63,47,2
63,78,16,78,15,79,78,109,31,59,78,94,16,359,218,16,62,15,47,46,2
172,437,78,78,94,94,94,140,31,94,16,78,125,109,62,78,109,78,78,78,2
219,15,78,94,62,94,94,78,16,109,109,78,78,63,94,109,78,78,78,63,2
140,110,63,94,47,78,94,140,16,63,16,109,125,109,62,78,109,94,78,78,2
57,4369,69,69,166,90,90,80,442,65,36,80,47,78,69,63,109,37,33,69,2
192,4,72,98,49,65,78,78,411,78,24,78,58,150,78,141,141,13,78,63,2
74,6,79,79,21,104,90,80,185,109,73,141,47,78,69,63,109,15,33,69,2
110,156,94,94,172,109,109,172,47,63,78,94,110,78,156,78,125,63,78,78,2
94,15,78,78,62,63,156,78,31,78,94,94,78,63,110,109,62,94,109,172,2
187,78,94,78,109,78,109,172,15,47,172,109,110,78,156,78,125,266,78,78,2
93,32,63,63,0,93,93,187,0,93,31,94,16,78,94,63,78,88,109,16,2
125,32,32,94,16,93,62,62,31,78,117,156,47,63,94,109,15,32,63,46,2
78,78,78,78,16,93,93,187,47,16,15,109,16,78,94,63,78,15,109,16,2
62,141,63,63,94,78,78,62,31,46,109,63,547,1015,79,63,62,188,47,47,2
62,78,47,47,125,46,62,78,94,1015,125,63,31,62,93,188,485,172,63,62,2
31,109,78,47,125,62,78,62,78,79,219,188,547,1015,79,63,62,125,47,47,2
109,125,78,78,109,125,125,109,47,78,0,110,63,109,78,94,78,78,79,31,2
94,16,78,78,63,78,94,110,78,109,62,94,78,78,109,94,62,78,78,31,2
125,0,94,94,15,94,125,109,78,78,31,94,63,109,78,94,78,31,79,31,2
93,47,110,110,93,94,94,79,31,47,16,78,31,79,125,110,94,78,94,16,2
94,16,125,62,47,47,78,78,59,79,94,94,63,93,79,78,0,32,93,32,2
79,31,344,46,110,62,94,79,31,62,16,78,31,79,125,110,94,32,94,16,2
94,31,79,79,46,79,79,140,47,78,0,47,47,78,94,78,78,78,94,16,2
94,0,94,62,579,78,78,94,16,78,140,78,63,78,78,94,31,15,62,16,2
62,16,63,62,32,78,79,140,63,0,31,94,47,78,94,78,78,15,94,16,2
63,343,46,46,188,47,47,78,125,47,16,94,94,156,63,110,31,78,62,31,2
63,0,47,47,94,47,93,63,62,156,62,63,32,47,62,140,94,78,47,47,2
203,47,16,62,94,47,47,78,46,78,16,140,94,156,63,110,31,47,62,31,2
140,31,109,109,47,94,94,172,15,78,46,78,78,62,141,110,94,93,94,47,2
125,32,78,94,31,78,93,78,46,62,141,63,47,46,109,110,47,78,78,62,2
31,109,94,63,78,94,94,172,94,141,15,110,78,62,141,110,94,46,94,47,2
63,78,62,62,63,62,62,78,62,62,78,62,109,94,78,63,62,31,63,47,2
78,62,63,62,63,62,63,63,125,94,125,62,62,63,78,79,78,47,78,62,2
94,78,63,62,47,78,62,78,125,0,78,79,109,94,78,63,62,31,63,47,2
109,47,31,31,16,78,78,125,47,110,16,78,15,78,47,16,62,47,78,0,2
47,16,78,78,16,110,16,32,500,78,47,31,31,78,31,78,62,94,16,94,2
94,156,47,78,0,110,78,125,47,78,78,78,15,78,47,16,62,93,78,0,2
94,32,78,78,94,62,62,78,172,63,78,63,141,79,79,78,93,15,62,31,2
94,16,62,78,141,63,93,94,157,79,141,94,94,78,78,141,94,47,78,94,2
110,78,63,93,79,78,62,78,156,62,63,141,141,79,79,78,93,156,62,31,2
94,109,63,63,93,63,63,78,187,63,62,63,156,109,78,78,78,78,47,78,2
94,47,62,78,78,63,62,62,62,109,94,63,63,78,63,156,125,78,63,62,2
63,62,47,47,109,63,63,78,140,63,47,156,156,109,78,78,78,47,47,78,2
78,47,125,125,46,156,156,78,78,78,16,62,78,62,31,46,0,94,78,31,2
94,15,94,125,110,78,15,47,47,62,47,70,94,63,15,1390,141,94,93,0,2
47,47,0,78,15,94,156,78,15,94,94,1390,78,62,31,46,0,31,78,31,2
62,79,94,94,94,78,78,109,31,63,141,109,63,94,141,15,32,78,78,32,2
78,125,16,94,109,63,47,31,31,94,78,111,94,46,63,0,500,78,63,93,2
78,31,94,31,78,156,78,109,0,0,47,0,63,94,141,15,32,94,78,32,2
