@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,3,4,5,9,13,14,16,17,19,20,22,23,24,25,26,27,29,32,33,37,39,42,43'

@attribute dtfk1 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute dtsk6 numeric
@attribute dtsk7 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
187,63,94,62,78,31,63,94,125,78,234,110,110,94,93,32,32,94,31,1
78,62,78,63,93,94,78,63,94,62,141,63,94,93,16,78,16,93,32,1
125,109,109,110,109,250,78,78,110,63,94,110,47,94,265,94,422,93,94,1
110,78,78,110,78,219,93,78,610,63,93,63,78,156,94,140,547,110,125,1
94,78,63,15,109,250,78,94,156,78,94,110,47,94,265,94,203,93,94,1
63,47,47,47,63,93,156,63,62,78,78,73,78,79,15,110,78,62,31,1
62,47,63,62,47,16,47,656,16,78,62,63,140,47,110,62,47,63,31,1
78,63,78,32,63,93,156,94,15,63,78,73,78,79,15,110,172,62,31,1
109,109,109,78,47,391,438,46,94,94,94,78,109,109,16,78,78,78,0,1
94,110,78,47,78,141,78,46,78,15,63,78,125,687,94,78,110,78,31,1
78,93,94,31,47,391,438,94,46,94,94,78,109,109,16,78,62,78,0,1
125,125,125,79,93,485,594,140,93,62,47,78,47,125,16,93,125,78,32,1
93,125,78,125,109,47,78,141,109,0,62,62,125,172,78,94,15,94,47,1
156,63,62,31,93,485,594,109,109,94,47,78,47,125,16,93,125,78,32,1
62,47,47,78,31,125,63,79,172,78,63,93,78,78,172,78,78,46,79,1
172,47,78,47,79,46,47,94,125,63,62,63,78,125,62,47,125,62,63,1
62,63,78,47,31,125,63,94,109,62,63,93,78,78,172,78,62,46,79,1
93,172,172,292,79,128,225,110,78,78,47,109,78,47,15,62,93,94,47,1
78,109,109,0,78,47,62,0,172,32,78,78,79,110,94,78,0,15,62,1
78,47,78,297,79,128,225,141,62,172,47,109,78,47,15,62,78,94,47,1
63,63,63,16,93,63,140,109,62,94,47,141,78,47,78,62,109,93,63,1
62,63,94,78,79,62,78,109,156,47,47,63,78,93,110,78,438,94,31,1
62,63,94,62,93,63,140,94,94,78,47,141,78,47,78,62,47,93,63,1
78,78,78,52,40,271,380,125,62,62,47,63,125,47,15,78,94,62,16,1
62,0,78,31,78,32,78,125,15,32,63,63,312,62,94,141,32,78,31,1
63,78,62,16,40,271,380,94,94,32,47,63,125,47,15,78,31,62,16,1
78,78,78,563,78,140,79,93,63,62,125,63,63,63,125,62,125,62,110,1
63,63,63,109,63,94,62,125,172,63,62,63,78,110,62,78,63,63,47,1
63,47,62,78,78,140,79,125,125,83,125,63,63,63,125,62,78,62,110,1
126,78,78,31,109,31,172,156,125,93,0,453,140,32,46,79,94,78,32,1
125,16,109,0,125,15,78,156,47,31,93,78,829,109,78,110,47,157,31,1
141,110,93,32,109,31,172,157,15,94,0,453,140,32,46,79,0,78,32,1
62,78,78,16,63,78,62,94,94,94,32,110,78,141,0,78,79,78,62,1
94,16,47,31,78,61,52,188,141,31,78,63,62,141,94,15,31,78,47,1
94,94,94,62,63,78,62,78,31,78,32,110,78,141,0,78,47,78,62,1
125,78,78,63,93,188,78,94,156,78,78,62,78,93,125,110,125,78,32,1
156,78,109,31,78,0,78,109,313,125,78,63,62,125,94,235,0,62,235,1
109,78,78,47,93,188,78,94,78,94,78,62,78,93,125,110,31,78,32,1
125,125,125,0,47,109,203,62,47,31,16,94,157,31,31,47,110,78,16,1
47,63,31,109,344,94,0,31,63,156,78,78,0,78,156,16,125,63,31,1
16,62,31,78,47,109,203,125,47,109,16,94,157,31,31,47,0,78,16,1
141,94,94,62,78,203,78,88,109,407,234,93,94,78,47,109,391,78,109,1
109,94,109,94,62,157,78,78,172,78,281,93,94,213,94,110,516,94,125,1
110,78,407,15,78,203,78,250,157,78,234,93,94,78,47,109,235,78,109,1
156,140,140,32,78,79,110,110,15,110,63,79,63,63,31,63,5,46,109,1
15,46,93,32,15,94,31,94,31,48,31,63,16,31,109,31,94,16,109,1
63,32,110,15,78,79,110,31,47,79,63,79,63,63,31,63,110,46,109,1
156,109,109,32,187,109,157,94,125,93,94,63,94,47,157,171,93,141,15,1
125,94,94,125,78,141,47,172,500,110,93,62,16,47,172,78,140,125,63,1
250,125,93,63,187,109,157,110,125,78,94,63,94,47,157,171,110,141,15,1
125,94,94,93,94,125,125,125,141,93,94,94,125,109,110,93,47,109,62,1
141,94,94,78,94,47,109,171,140,94,47,78,156,187,94,453,31,109,94,1
109,78,93,63,94,125,125,141,94,78,94,94,125,109,110,93,78,109,62,1
78,63,63,62,78,125,94,98,109,63,93,78,78,94,46,63,94,110,62,1
109,47,62,47,94,31,78,78,125,63,78,47,94,125,63,109,16,78,109,1
78,62,63,15,78,125,94,78,63,63,93,78,78,94,46,63,31,110,62,1
93,171,171,16,94,47,156,140,94,109,15,94,250,125,16,114,109,125,0,1
94,63,110,47,125,0,63,187,47,78,62,93,125,110,93,110,140,78,0,1
250,125,109,32,94,47,156,140,0,94,15,94,250,125,16,114,0,125,0,1
125,78,78,31,78,16,141,125,78,78,47,63,62,109,78,16,110,110,62,1
78,16,125,16,78,78,63,125,110,0,78,63,78,31,109,187,15,94,31,1
78,110,78,31,78,16,141,94,47,62,47,63,62,109,78,16,141,110,62,1
93,109,109,203,297,16,203,137,172,94,157,125,94,141,94,78,109,109,31,1
172,125,94,31,93,32,78,137,94,94,110,79,109,375,78,109,78,78,15,1
62,62,94,16,297,16,203,140,16,172,157,125,94,141,94,78,15,109,31,1
94,109,109,141,110,109,203,109,500,110,156,125,109,109,110,93,94,94,47,1
500,93,109,485,125,47,62,109,609,78,79,94,78,94,94,172,78,78,31,1
93,63,110,78,110,109,203,125,141,110,156,125,109,109,110,93,484,94,47,1
156,141,141,47,109,31,78,31,78,31,94,62,47,62,47,63,78,0,78,1
78,47,47,63,31,156,16,31,172,31,31,62,94,47,109,31,78,31,62,1
78,62,31,63,109,31,78,31,0,93,94,62,47,62,47,63,79,0,78,1
110,141,141,15,110,31,125,125,47,203,125,93,47,31,16,63,109,15,93,1
47,125,94,15,16,110,94,125,78,46,47,79,0,1000,78,156,94,0,63,1
32,47,203,16,110,31,125,15,125,453,125,93,47,31,16,63,63,15,93,1
94,63,63,31,63,172,78,78,78,62,40,106,47,63,94,62,94,78,79,1
78,46,63,297,79,62,63,47,91,63,47,31,78,101,176,13,78,62,141,1
63,46,62,47,63,172,78,78,115,63,40,106,47,63,94,62,141,78,79,1
78,109,109,297,109,79,109,78,78,78,141,109,140,109,203,63,78,63,16,2
78,94,93,203,125,63,62,141,203,32,78,63,109,125,63,94,265,78,16,2
78,125,78,172,109,79,109,94,62,109,141,109,140,109,203,63,219,63,16,2
375,62,62,94,94,156,250,141,94,94,156,62,94,109,47,78,63,93,47,2
94,110,63,62,47,47,62,141,16,156,63,63,79,94,62,266,78,110,31,2
171,31,94,47,94,156,250,94,172,62,156,62,94,109,47,78,110,93,47,2
109,78,78,16,94,141,250,47,63,62,63,78,32,16,78,16,78,63,31,2
63,109,94,31,78,172,16,47,47,16,15,78,31,968,63,125,78,63,31,2
32,62,62,16,94,141,250,47,141,78,63,78,32,16,78,16,15,63,31,2
62,62,62,32,78,31,109,63,47,78,16,359,218,16,47,62,78,47,46,2
47,47,63,15,62,16,47,94,47,16,62,94,94,94,156,16,78,63,47,2
63,16,78,15,78,31,109,94,79,78,16,359,218,16,47,62,15,47,46,2
172,78,78,94,94,31,140,62,219,94,125,109,62,78,94,109,78,78,78,2
219,78,94,62,94,62,78,62,110,125,78,63,94,109,78,78,78,78,63,2
140,63,94,47,94,31,140,78,94,78,125,109,62,78,94,109,94,78,78,2
57,69,69,166,90,63,80,110,192,79,47,78,69,63,78,109,37,33,69,2
192,72,98,49,78,31,78,65,187,81,58,150,78,141,62,141,13,78,63,2
74,79,79,21,90,63,80,103,172,31,47,78,69,63,78,109,15,33,69,2
110,94,94,172,109,63,172,109,94,78,110,78,156,78,47,125,63,78,78,2
94,78,78,62,156,16,78,109,62,15,78,63,110,109,94,62,94,109,172,2
187,94,78,109,109,63,172,109,141,94,110,78,156,78,47,125,266,78,78,2
93,63,63,0,93,32,187,78,125,78,16,78,94,63,15,78,88,109,16,2
125,32,94,16,62,16,62,78,78,20,47,63,94,109,172,15,32,63,46,2
78,78,78,16,93,32,187,63,94,78,16,78,94,63,15,78,15,109,16,2
62,63,63,94,78,219,62,47,62,47,547,1015,79,63,203,62,188,47,47,2
62,47,47,125,62,63,78,78,125,62,31,62,93,188,62,485,172,63,62,2
31,78,47,125,78,219,62,109,125,47,547,1015,79,63,203,62,125,47,47,2
109,78,78,109,125,63,109,125,94,94,63,109,78,94,47,78,78,79,31,2
94,78,78,63,94,31,110,187,46,47,78,78,109,94,94,62,78,78,31,2
125,94,94,15,125,63,109,110,63,78,63,109,78,94,47,78,31,79,31,2
93,110,110,93,94,31,79,140,94,46,31,79,125,110,15,94,78,94,16,2
94,125,62,47,78,32,78,124,125,31,63,93,79,78,78,0,32,93,32,2
79,344,46,110,94,31,79,125,62,94,31,79,125,110,15,94,32,94,16,2
94,79,79,46,79,15,140,90,94,62,47,78,94,78,0,78,78,94,16,2
94,94,62,579,78,32,94,93,31,16,63,78,78,94,78,31,15,62,16,2
62,63,62,32,79,15,140,125,31,78,47,78,94,78,0,78,15,94,16,2
63,46,46,188,47,62,78,79,63,62,94,156,63,110,234,31,78,62,31,2
63,47,47,94,93,47,63,141,141,47,32,47,62,140,63,94,78,47,47,2
203,16,62,94,47,62,78,110,156,62,94,156,63,110,234,31,47,62,31,2
140,109,109,47,94,62,172,100,125,63,78,62,141,110,109,94,93,94,47,2
125,78,94,31,93,32,78,110,62,16,47,46,109,110,78,47,78,78,62,2
31,94,63,78,94,62,172,125,78,94,78,62,141,110,109,94,46,94,47,2
63,62,62,63,62,63,78,79,78,62,109,94,78,63,78,62,31,63,47,2
78,63,62,63,63,78,63,62,15,47,62,63,78,79,93,78,47,78,62,2
94,63,62,47,62,63,78,63,94,63,109,94,78,63,78,62,31,63,47,2
109,31,31,16,78,47,125,47,47,78,15,78,47,16,110,62,47,78,0,2
47,78,78,16,16,93,32,47,0,16,31,78,31,78,109,62,94,16,94,2
94,47,78,0,78,47,125,62,110,94,15,78,47,16,110,62,93,78,0,2
94,78,78,94,62,157,78,62,94,93,141,79,79,78,63,93,15,62,31,2
94,62,78,141,93,0,94,78,93,94,94,78,78,141,78,94,47,78,94,2
110,63,93,79,62,157,78,94,15,78,141,79,79,78,63,93,156,62,31,2
94,63,63,93,63,94,78,63,94,47,156,109,78,78,188,78,78,47,78,2
94,62,78,78,62,63,62,78,172,78,63,78,63,156,62,125,78,63,62,2
63,47,47,109,63,94,78,47,110,78,156,109,78,78,188,78,47,47,78,2
78,125,125,46,156,0,78,180,94,78,78,62,31,46,93,0,94,78,31,2
94,94,125,110,15,78,47,187,219,31,94,63,15,1390,63,141,94,93,0,2
47,0,78,15,156,0,78,172,110,94,78,62,31,46,93,0,31,78,31,2
62,94,94,94,78,62,109,125,78,31,63,94,141,15,93,32,78,78,32,2
78,16,94,109,47,78,31,125,109,31,94,46,63,0,125,500,78,63,93,2
78,94,31,78,78,62,109,94,120,109,63,94,141,15,93,32,94,78,32,2
