@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,4,8,11,12,17,21,23,25,26,27,29,31,32,33,36,43'

@attribute dtsk1 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute dtsk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
109,47,109,109,63,78,609,734,0,109,172,79,93,109,125,78,78,110,94,78,0,63,15,62,47,1
78,63,47,78,78,79,0,47,141,93,62,94,31,47,110,47,109,47,15,47,78,47,94,47,94,1
63,93,63,63,93,93,140,188,109,31,62,63,578,78,62,47,141,47,78,47,109,47,93,63,62,1
125,93,63,94,31,79,125,207,109,141,156,94,78,94,62,47,63,93,110,47,438,62,94,31,94,1
47,109,63,94,78,93,47,687,94,78,94,125,453,63,93,47,141,47,78,94,47,62,93,63,62,1
94,78,78,78,40,40,380,47,125,79,62,47,16,94,62,47,63,47,15,32,94,31,62,16,78,1
78,110,0,78,79,78,0,47,125,63,15,62,31,78,78,63,63,62,94,62,32,62,78,31,79,1
62,125,78,62,94,40,125,140,94,63,94,62,0,76,62,47,63,47,15,79,31,156,62,16,78,1
94,109,78,78,78,78,79,250,93,62,63,47,141,62,63,125,63,63,125,63,125,62,62,110,78,1
78,109,63,63,62,63,94,125,125,63,172,78,78,78,62,62,63,110,62,78,63,46,63,47,78,1
78,125,47,62,47,78,78,172,125,62,125,63,125,47,110,125,63,63,125,78,78,47,62,110,78,1
125,94,78,78,109,109,172,31,156,110,125,94,16,109,63,0,453,32,46,31,94,78,78,32,78,1
125,172,16,109,110,125,110,125,156,453,47,31,63,94,62,93,78,109,78,62,47,94,157,31,109,1
62,109,110,93,78,109,172,93,157,31,15,94,78,94,109,0,453,32,46,109,0,110,78,32,78,1
110,62,78,78,63,63,62,94,94,62,94,78,31,93,31,32,110,141,0,31,79,46,78,62,63,1
78,156,16,47,62,78,78,94,188,110,141,63,62,47,78,78,63,141,94,31,31,94,78,47,78,1
31,110,94,94,47,63,79,78,78,16,31,94,47,109,141,32,110,141,0,78,47,78,78,62,63,1
94,109,78,78,93,93,78,31,94,94,156,110,31,109,125,78,62,93,125,125,125,125,78,32,125,1
62,63,78,109,94,78,0,31,109,62,313,156,31,78,125,78,63,125,94,125,0,94,62,235,125,1
125,110,78,78,109,93,0,0,94,0,78,156,16,78,125,78,62,93,125,125,31,109,78,32,125,1
109,15,125,125,47,47,203,47,62,31,47,31,63,47,31,16,94,31,31,156,110,62,78,16,62,1
16,62,63,31,31,344,1469,140,31,94,63,0,62,125,31,78,78,78,156,31,125,15,63,31,94,1
31,47,62,31,62,47,141,15,125,125,47,125,719,78,78,16,94,31,31,94,0,62,78,16,62,1
110,250,94,94,78,78,78,249,88,78,109,78,344,78,78,234,93,78,47,78,391,109,78,109,94,1
93,93,94,109,78,62,62,204,78,93,172,78,172,109,78,281,93,213,94,78,516,78,94,125,93,1
78,110,78,407,78,78,1109,63,250,32,157,94,203,78,213,234,93,78,47,93,235,78,78,109,94,1
47,62,140,140,78,78,110,15,110,31,15,78,16,94,78,63,79,63,31,48,5,84,46,109,78,1
31,79,46,93,31,15,141,0,94,79,31,16,78,46,93,31,63,31,109,16,94,0,16,109,16,1
16,328,32,110,16,78,438,125,31,93,47,625,32,93,31,63,79,63,31,16,110,15,46,109,78,1
125,109,109,109,187,187,157,156,94,109,125,110,94,218,111,94,63,47,157,110,93,161,141,15,94,1
109,16,94,94,109,78,172,0,172,63,500,125,125,297,109,93,62,47,172,531,140,516,125,63,93,1
531,16,125,93,125,187,94,156,110,94,125,141,140,110,47,94,63,47,157,93,110,109,141,15,94,1
125,94,94,94,94,94,125,78,125,94,141,109,63,78,93,94,94,109,110,94,47,109,109,62,79,1
125,125,94,94,94,94,109,32,171,94,140,110,140,109,94,47,78,187,94,94,31,125,109,94,94,1
94,31,78,93,109,94,125,47,141,47,94,125,110,110,187,94,94,109,110,94,78,141,109,62,79,1
109,78,63,63,78,78,94,219,98,78,109,78,109,94,78,93,78,94,46,63,94,78,110,62,94,1
62,109,47,62,78,94,94,187,78,78,125,110,15,94,78,78,47,125,63,63,16,93,78,109,63,1
63,110,62,63,94,78,110,234,78,15,63,93,0,94,125,93,78,94,46,63,31,94,110,62,94,1
110,93,171,171,94,94,156,32,140,172,94,94,31,141,125,15,94,125,16,78,109,16,125,0,109,1
109,140,63,110,172,125,110,78,187,94,47,62,109,94,78,62,93,110,93,62,140,16,78,0,125,1
62,63,125,109,78,94,125,79,140,16,0,141,15,94,110,15,94,125,16,125,0,109,125,0,109,1
78,94,78,78,78,78,141,62,125,78,78,78,63,140,63,47,63,109,78,0,110,15,110,62,156,1
94,109,16,125,78,78,0,15,125,63,110,78,78,172,63,78,63,31,109,94,15,94,94,31,78,1
94,93,110,78,94,78,187,0,94,94,47,140,63,78,31,47,63,109,78,78,141,78,110,62,156,1
94,141,109,109,297,297,203,15,137,78,172,125,16,78,94,157,125,141,94,94,109,125,109,31,110,1
78,0,125,94,78,93,156,16,137,125,94,109,0,94,125,110,79,375,78,15,78,0,78,15,78,1
15,219,62,94,125,297,0,47,140,32,16,47,16,78,375,157,125,141,94,78,15,141,109,31,110,1
125,94,109,109,110,110,203,78,109,78,500,125,47,110,78,156,125,109,110,78,94,78,94,47,78,1
156,16,93,109,78,125,0,15,109,125,609,46,109,110,78,79,94,94,94,79,78,78,78,31,94,1
79,109,63,110,93,110,0,47,125,78,141,141,31,78,94,156,125,109,110,94,484,203,94,47,78,1
78,63,141,141,109,109,78,32,31,47,78,15,47,78,32,94,62,62,47,31,78,0,0,78,16,1
32,125,47,47,47,31,531,625,31,62,172,47,79,31,63,31,62,47,109,32,78,31,31,62,0,1
32,47,62,31,47,109,671,193,31,15,0,78,32,16,47,94,62,62,47,0,79,78,0,78,16,1
109,63,141,141,110,110,125,31,125,125,47,63,125,203,93,125,93,31,16,46,109,16,15,93,47,1
109,547,125,94,125,16,0,0,125,93,78,0,16,16,62,47,79,1000,78,0,94,15,0,63,93,1
0,63,47,203,16,110,657,720,15,63,125,250,78,94,1000,125,93,31,16,93,63,219,15,93,47,1
62,125,63,63,63,63,78,31,78,62,78,78,79,63,47,40,106,63,94,63,94,62,78,79,62,1
62,125,46,63,62,79,78,250,47,106,91,94,93,78,47,47,31,101,176,63,78,62,62,141,62,1
63,126,46,62,94,63,62,188,78,27,115,78,140,74,101,40,106,63,94,62,141,235,78,79,62,1
110,78,109,109,109,109,109,31,78,63,78,47,234,110,62,141,109,109,203,32,78,109,63,16,62,2
78,47,94,93,63,125,0,31,141,109,203,94,109,78,63,78,63,125,63,78,265,110,78,16,78,2
78,31,125,78,62,109,0,16,94,93,62,125,109,63,125,141,109,109,203,78,219,78,63,16,62,2
78,94,62,62,94,94,250,31,141,47,94,109,62,109,141,156,62,109,47,156,63,109,93,47,110,2
78,31,110,63,47,47,0,32,141,62,16,47,125,78,110,63,63,94,62,16,78,31,110,31,78,2
16,63,31,94,125,94,62,94,94,32,172,63,15,109,94,156,62,109,47,78,110,172,93,47,110,2
172,31,78,78,94,94,250,47,47,94,63,62,47,47,47,63,78,16,78,16,78,47,63,31,78,2
109,62,109,94,94,78,0,47,47,78,47,47,125,94,49,15,78,968,63,16,78,16,63,31,110,2
16,188,62,62,78,94,906,1000,47,78,141,94,203,91,968,63,78,16,78,110,15,93,63,31,78,2
109,16,62,62,78,78,109,31,63,32,47,62,32,62,94,16,359,16,47,16,78,16,47,46,63,2
94,15,47,63,32,62,0,15,94,359,47,31,47,62,78,62,94,94,156,16,78,15,63,47,47,2
16,203,16,78,79,78,0,31,94,59,79,125,78,62,94,16,359,16,47,47,15,94,47,46,63,2
94,94,78,78,94,94,140,31,62,94,219,93,16,94,78,125,109,78,94,125,78,94,78,78,62,2
94,16,78,94,94,94,0,16,62,109,110,31,109,94,78,78,63,109,78,16,78,46,78,63,78,2
16,31,63,94,78,94,109,16,78,63,94,109,16,62,109,125,109,78,94,78,94,78,78,78,62,2
113,168,69,69,90,90,80,442,110,65,192,89,36,79,80,47,78,63,78,81,37,78,33,69,61,2
79,80,72,98,65,78,70,411,65,78,187,89,24,94,78,58,150,141,62,79,13,85,78,63,78,2
79,136,79,79,104,90,73,185,103,109,172,11,73,47,141,47,78,63,78,78,15,94,33,69,61,2
125,31,94,94,109,109,172,47,109,63,94,79,78,109,94,110,78,78,47,15,63,78,78,78,125,2
94,125,78,78,63,156,0,31,109,78,62,109,94,110,94,78,63,109,94,410,94,62,109,172,125,2
410,15,94,78,78,109,0,15,109,47,141,93,172,141,109,110,78,78,47,125,266,109,78,78,125,2
125,47,63,63,93,93,187,0,78,93,125,63,31,78,94,16,78,63,15,20,88,78,109,16,93,2
94,125,32,94,93,62,110,31,78,78,78,47,117,94,156,47,63,109,172,32,32,421,63,46,125,2
32,32,78,78,93,93,109,47,63,16,94,63,15,94,109,16,78,63,15,125,15,125,109,16,93,2
78,109,63,63,78,78,62,31,47,46,62,63,109,94,63,547,1015,63,203,62,188,46,47,47,78,2
63,125,47,47,46,62,63,94,78,1015,125,79,125,63,63,31,62,188,62,47,172,63,63,62,63,2
47,125,78,47,62,78,47,78,109,79,125,94,219,63,188,547,1015,63,203,63,125,78,47,47,78,2
109,79,78,78,125,125,109,47,125,78,94,94,0,94,110,63,109,94,47,47,78,63,79,31,78,2
78,15,78,78,78,94,78,78,187,109,46,16,62,109,94,78,78,94,94,78,78,94,78,31,94,2
78,78,94,94,94,125,93,78,110,78,63,94,31,94,94,63,109,94,47,94,31,141,79,31,78,2
125,47,110,110,94,94,79,31,140,47,94,78,16,110,78,31,79,110,15,31,78,16,94,16,78,2
62,62,125,62,47,78,98,59,124,79,125,62,94,94,94,63,93,78,78,62,32,93,93,32,62,2
62,156,344,46,62,94,94,31,125,62,62,78,16,78,78,31,79,110,15,62,32,78,94,16,78,2
78,125,79,79,79,79,140,47,90,78,94,109,0,110,47,47,78,78,0,16,78,0,94,16,78,2
63,62,94,62,78,78,0,16,93,78,31,31,140,78,78,63,78,94,78,78,15,79,62,16,94,2
78,94,63,62,78,79,0,63,125,0,31,62,31,109,94,47,78,78,0,94,15,110,94,16,78,2
63,219,46,46,47,47,78,125,79,47,63,62,16,156,94,94,156,110,234,47,78,110,62,31,47,2
78,47,47,47,47,93,125,62,141,156,141,110,62,78,63,32,47,140,63,16,78,47,47,47,62,2
16,203,16,62,47,47,79,46,110,78,156,62,16,47,140,94,156,110,234,62,47,63,62,31,47,2
141,31,109,109,94,94,172,15,100,78,125,94,46,94,78,78,62,110,109,16,93,32,94,47,62,2
110,16,78,94,78,93,94,46,110,62,62,16,141,94,63,47,46,110,78,16,78,47,78,62,79,2
16,31,94,63,94,94,78,94,125,141,78,79,15,516,110,78,62,110,109,79,46,94,94,47,62,2
78,94,62,62,62,62,78,62,79,62,78,63,78,78,62,109,94,63,78,47,31,78,63,47,62,2
79,109,63,62,62,63,63,125,62,94,15,78,125,63,62,62,63,79,93,78,47,62,78,62,63,2
78,109,63,62,78,62,47,125,63,0,94,62,78,78,79,109,94,63,78,63,31,125,63,47,62,2
63,47,31,31,78,78,125,47,47,110,47,93,16,78,78,15,78,16,110,16,47,94,78,0,31,2
78,78,78,78,110,16,484,500,47,78,0,609,47,16,31,31,78,78,109,0,94,16,16,94,16,2
0,78,47,78,110,78,0,47,62,78,110,31,78,78,78,15,78,16,110,16,93,78,78,0,31,2
109,703,78,78,62,62,78,172,62,63,94,79,78,94,63,141,79,78,63,94,15,94,62,31,79,2
93,110,62,78,63,93,109,157,78,79,93,125,141,110,94,94,78,141,78,78,47,78,78,94,94,2
78,125,63,93,78,62,47,156,94,62,15,140,63,79,141,141,79,78,63,94,156,94,62,31,79,2
62,141,63,63,63,63,78,187,63,63,94,63,62,63,63,156,109,78,188,78,78,78,47,78,63,2
63,125,62,78,63,62,63,62,78,109,172,62,94,78,63,63,78,156,62,63,78,62,63,62,47,2
63,125,47,47,63,63,63,140,47,63,110,63,47,62,156,156,109,78,188,47,47,94,47,78,63,2
157,62,125,125,156,156,78,78,180,78,94,63,16,266,62,78,62,46,93,31,94,47,78,31,63,2
94,47,94,125,78,15,141,47,187,62,219,62,47,156,70,94,63,1390,63,16,94,94,93,0,63,2
16,94,0,78,94,156,0,15,172,94,110,125,94,31,1390,78,62,46,93,63,31,156,78,31,63,2
109,78,94,94,78,78,109,31,125,63,78,94,141,110,109,63,94,15,93,31,78,63,78,32,93,2
93,109,16,94,63,47,110,31,125,94,109,78,78,156,111,94,46,0,125,78,78,94,63,93,78,2
78,46,94,31,156,78,0,0,94,0,120,78,47,63,0,63,94,15,93,78,94,78,78,32,93,2
