@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,3,7,8,10,13,15,16,17,21,22,23,24,25,27,31,32,33,36,38,41,43'

@attribute dtfk2 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute ft5 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
31,47,110,157,79,31,62,140,140,235,188,62,78,78,94,78,156,78,62,79,1
297,47,78,15,250,328,63,62,109,141,47,62,78,344,47,125,79,109,78,94,1
93,94,78,78,234,94,47,63,63,218,156,78,78,78,78,828,78,78,63,78,1
47,141,62,63,188,62,63,203,78,250,62,62,94,62,94,62,94,79,78,62,1
78,94,62,62,234,94,203,125,78,375,141,78,78,78,78,828,62,63,63,78,1
93,63,94,62,110,250,63,78,125,46,204,78,78,63,109,32,47,78,93,63,1
94,47,109,78,31,78,16,141,78,16,266,63,93,63,94,93,0,31,62,78,1
172,93,78,78,110,250,938,94,109,32,1203,78,78,63,109,32,78,187,93,63,1
94,16,93,109,32,171,16,62,63,62,109,31,47,375,63,16,47,16,78,125,1
47,141,16,47,93,47,31,78,94,109,94,63,78,78,16,109,62,62,94,94,1
109,16,93,78,32,171,31,140,62,125,94,31,47,375,63,16,94,78,78,125,1
110,78,78,93,94,78,203,187,141,0,0,141,109,63,93,16,78,78,93,62,1
93,125,63,63,31,63,0,125,94,63,125,234,328,110,94,93,78,62,94,78,1
63,109,62,78,94,78,171,94,109,16,93,141,109,63,93,16,78,78,93,62,1
94,203,109,109,250,78,110,110,125,140,172,94,78,110,94,265,63,78,93,78,1
79,62,78,78,219,93,78,610,62,328,94,93,94,63,156,94,93,94,110,93,1
94,109,78,94,250,78,250,156,94,187,188,94,78,110,94,265,93,63,93,78,1
93,125,47,63,93,156,31,62,78,125,63,78,56,73,79,15,78,47,62,63,1
63,140,47,63,16,47,594,16,62,125,109,62,78,63,47,110,31,63,63,78,1
47,94,63,62,93,156,16,15,94,31,891,78,56,73,79,15,78,78,62,63,1
110,47,109,47,391,438,31,94,78,31,32,94,31,78,109,16,15,31,78,94,1
93,63,110,94,141,78,32,78,31,78,125,63,62,78,687,94,32,31,78,94,1
203,31,93,78,391,438,31,46,110,31,844,94,31,78,109,16,94,63,78,94,1
110,46,125,93,485,594,47,93,78,141,16,47,78,78,125,16,0,62,78,93,1
125,31,125,94,47,78,31,109,32,110,0,62,94,62,172,78,94,63,94,93,1
188,47,63,94,485,594,16,109,125,78,1078,47,78,78,125,16,93,94,78,93,1
93,110,47,31,125,63,171,172,62,32,156,63,47,93,78,172,63,63,46,78,1
94,94,47,63,46,47,31,125,78,15,63,62,78,63,125,62,63,31,62,78,1
78,78,63,62,125,63,47,109,62,16,141,63,47,93,78,172,78,32,46,78,1
156,16,172,79,128,225,40,78,63,47,93,47,62,109,47,15,32,16,94,94,1
109,47,109,63,47,62,734,172,79,93,94,78,78,78,110,94,78,63,15,47,1
15,63,47,78,128,225,47,62,94,31,78,47,62,109,47,15,47,47,94,94,1
63,93,63,93,63,140,188,62,63,578,109,47,94,141,47,78,47,47,93,62,1
79,93,63,31,62,78,207,156,94,78,63,47,78,63,93,110,47,62,94,94,1
63,109,63,78,63,140,687,94,125,453,125,47,94,141,47,78,94,62,93,62,1
94,78,78,40,271,380,47,62,47,16,78,47,62,63,47,15,32,31,62,78,1
31,110,0,79,32,78,47,15,62,31,31,63,62,63,62,94,62,62,78,79,1
141,125,78,94,271,380,140,94,62,0,891,47,62,63,47,15,79,156,62,78,1
94,109,78,78,140,79,250,63,47,141,156,125,47,63,63,125,63,62,62,78,1
94,109,63,62,94,62,125,172,78,78,47,62,78,63,110,62,78,46,63,78,1
94,125,47,47,140,79,172,125,63,125,187,125,47,63,63,125,78,47,62,78,1
125,94,78,109,31,172,31,125,94,16,47,0,93,453,32,46,31,78,78,78,1
47,172,16,110,15,78,125,47,31,63,141,93,110,78,109,78,62,94,157,109,1
78,109,110,78,31,172,93,15,94,78,875,0,93,453,32,46,109,110,78,78,1
110,62,78,63,78,62,94,94,78,31,547,32,62,110,141,0,31,46,78,63,1
0,156,16,62,61,52,94,141,63,62,110,78,78,63,141,94,31,94,78,78,1
93,110,94,47,78,62,78,31,94,47,62,32,62,110,141,0,78,78,78,63,1
94,109,78,93,188,78,31,156,110,31,110,78,63,62,93,125,125,125,78,125,1
140,63,78,94,0,78,31,313,156,31,156,78,47,63,125,94,125,94,62,125,1
78,110,78,109,188,78,0,78,156,16,62,78,63,62,93,125,125,109,78,125,1
109,15,125,47,109,203,47,47,31,63,0,16,62,94,31,31,156,62,78,62,1
32,62,63,31,94,0,140,63,0,62,32,78,78,78,78,156,31,15,63,94,1
47,47,62,62,109,203,15,47,125,719,110,16,62,94,31,31,94,62,78,62,1
110,250,94,78,203,78,249,109,78,344,531,234,79,93,78,47,78,109,78,94,1
94,93,94,78,157,78,204,172,78,172,78,281,63,93,213,94,78,78,94,93,1
109,110,78,78,203,78,63,157,94,203,250,234,79,93,78,47,93,78,78,94,1
47,62,140,78,79,110,15,15,78,16,578,63,78,79,63,31,48,84,46,78,1
31,79,46,31,94,31,0,31,16,78,140,31,78,63,31,109,16,0,16,16,1
235,328,32,16,79,110,125,47,625,32,62,63,78,79,63,31,16,15,46,78,1
125,109,109,187,109,157,156,125,110,94,110,94,109,63,47,157,110,161,141,94,1
156,16,94,109,141,47,0,500,125,125,156,93,110,62,47,172,531,516,125,93,1
312,16,125,125,109,157,156,125,141,140,125,94,109,63,47,157,93,109,141,94,1
125,94,94,94,125,125,78,141,109,63,109,94,62,94,109,110,94,109,109,79,1
125,125,94,94,47,109,32,140,110,140,125,47,93,78,187,94,94,125,109,94,1
156,31,78,109,125,125,47,94,125,110,94,94,62,94,109,110,94,141,109,79,1
109,78,63,78,125,94,219,109,78,109,94,93,63,78,94,46,63,78,110,94,1
78,109,47,78,31,78,187,125,110,15,78,78,109,47,125,63,63,93,78,63,1
109,110,62,94,125,94,234,63,93,0,125,93,63,78,94,46,63,94,110,94,1
110,93,171,94,47,156,32,94,94,31,47,15,141,94,125,16,78,16,125,109,1
0,140,63,172,0,63,78,47,62,109,140,62,110,93,110,93,62,16,78,125,1
312,63,125,78,47,156,79,0,141,15,125,15,141,94,125,16,125,109,125,109,1
78,94,78,78,16,141,62,78,78,63,32,47,47,63,109,78,0,15,110,156,1
32,109,16,78,78,63,15,110,78,78,93,78,109,63,31,109,94,94,94,78,1
79,93,110,94,16,141,0,47,140,63,94,47,47,63,109,78,78,78,110,156,1
94,141,109,297,16,203,15,172,125,16,188,157,62,125,141,94,94,125,109,110,1
219,0,125,78,32,78,16,94,109,0,141,110,93,79,375,78,15,0,78,78,1
63,219,62,125,16,203,47,16,47,16,78,157,62,125,141,94,78,141,109,110,1
125,94,109,110,109,203,78,500,125,47,343,156,78,125,109,110,78,78,94,78,1
141,16,93,78,47,62,15,609,46,109,266,79,62,94,94,94,79,78,78,94,1
94,109,63,93,109,203,47,141,141,31,1114,156,78,125,109,110,94,203,94,78,1
78,63,141,109,31,78,32,78,15,47,125,94,16,62,62,47,31,0,0,16,1
15,125,47,47,156,16,625,172,47,79,78,31,94,62,47,109,32,31,31,0,1
62,47,62,47,31,78,193,0,78,32,937,94,16,62,62,47,0,78,0,16,1
109,63,141,110,31,125,31,47,63,125,109,125,47,93,31,16,46,16,15,47,1
62,547,125,125,110,94,0,78,0,16,203,47,93,79,1000,78,0,15,0,93,1
15,63,47,16,31,125,720,125,250,78,781,125,47,93,31,16,93,219,15,47,1
62,125,63,63,172,78,31,78,78,79,125,40,60,106,63,94,63,62,78,62,1
47,125,46,62,62,63,250,91,94,93,76,47,78,31,101,176,63,62,62,62,1
62,126,46,94,172,78,188,115,78,140,63,40,60,106,63,94,62,235,78,62,1
110,78,109,109,79,109,31,78,47,234,16,141,62,109,109,203,32,109,63,62,2
94,47,94,63,63,62,31,203,94,109,203,78,78,63,125,63,78,110,78,78,2
328,31,125,62,79,109,16,62,125,109,156,141,62,109,109,203,78,78,63,62,2
78,94,62,94,156,250,31,94,109,62,157,156,63,62,109,47,156,109,93,110,2
219,31,110,47,47,62,32,16,47,125,219,63,62,63,94,62,16,31,110,78,2
218,63,31,125,156,250,94,172,63,15,1047,156,63,62,109,47,78,172,93,110,2
172,31,78,94,141,250,47,63,62,47,31,63,62,78,16,78,16,47,63,78,2
110,62,109,94,172,16,47,47,47,125,31,15,63,78,968,63,16,16,63,110,2
110,188,62,78,141,250,1000,141,94,203,797,63,62,78,16,78,110,93,63,78,2
109,16,62,78,31,109,31,47,62,32,47,16,188,359,16,47,16,16,47,63,2
63,15,47,32,16,47,15,47,31,47,93,62,63,94,94,156,16,15,63,47,2
110,203,16,79,31,109,31,79,125,78,766,16,188,359,16,47,47,94,47,63,2
94,94,78,94,31,140,31,219,93,16,125,125,63,109,78,94,125,94,78,62,2
125,16,78,94,62,78,16,110,31,109,46,78,78,63,109,78,16,46,78,78,2
219,31,63,78,31,140,16,94,109,16,63,125,63,109,78,94,78,78,78,62,2
113,168,69,90,63,80,442,192,89,36,297,47,78,78,63,78,81,78,33,61,2
68,80,72,65,31,78,411,187,89,24,94,58,68,150,141,62,79,85,78,78,2
39,136,79,104,63,80,185,172,11,73,258,47,78,78,63,78,78,94,33,61,2
125,31,94,109,63,172,47,94,79,78,109,110,250,78,78,47,15,78,78,125,2
78,125,78,63,16,78,31,62,109,94,78,78,78,63,109,94,410,62,109,125,2
110,15,94,78,63,172,15,141,93,172,94,110,250,78,78,47,125,109,78,125,2
125,47,63,93,32,187,0,125,63,31,110,16,94,78,63,15,20,78,109,93,2
47,125,32,93,16,62,31,78,47,117,78,47,47,63,109,172,32,421,63,125,2
125,32,78,93,32,187,47,94,63,15,94,16,94,78,63,15,125,125,109,93,2
78,109,63,78,219,62,31,62,63,109,109,547,63,1015,63,203,62,46,47,78,2
62,125,47,46,63,78,94,125,79,125,94,31,828,62,188,62,47,63,63,63,2
47,125,78,62,219,62,78,125,94,219,171,547,63,1015,63,203,63,78,47,78,2
109,79,78,125,63,109,47,94,94,0,47,63,78,109,94,47,47,63,79,78,2
156,15,78,78,31,110,78,46,16,62,93,78,78,78,94,94,78,94,78,94,2
94,78,94,94,63,109,78,63,94,31,984,63,78,109,94,47,94,141,79,78,2
125,47,110,94,31,79,31,94,78,16,78,31,62,79,110,15,31,16,94,78,2
125,62,125,47,32,78,59,125,62,94,94,63,78,93,78,78,62,93,93,62,2
31,156,344,62,31,79,31,62,78,16,94,31,62,79,110,15,62,78,94,78,2
78,125,79,79,15,140,47,94,109,0,46,47,63,78,78,0,16,0,94,78,2
16,62,94,78,32,94,16,31,31,140,125,63,78,78,94,78,78,79,62,94,2
78,94,63,78,15,140,63,31,62,31,94,47,63,78,78,0,94,110,94,78,2
63,219,46,47,62,78,125,63,62,16,157,94,62,156,110,234,47,110,62,47,2
125,47,47,47,47,63,62,141,110,62,63,32,125,47,140,63,16,47,47,62,2
63,203,16,47,62,78,46,156,62,16,62,94,62,156,110,234,62,63,62,47,2
141,31,109,94,62,172,15,125,94,46,16,78,47,62,110,109,16,32,94,62,2
172,16,78,78,32,78,46,62,16,141,62,47,94,46,110,78,16,47,78,79,2
250,31,94,94,62,172,94,78,79,15,968,78,47,62,110,109,79,94,94,62,2
78,94,62,62,63,78,62,78,63,78,63,109,62,94,63,78,47,78,63,62,2
47,109,63,62,78,63,125,15,78,125,157,62,78,63,79,93,78,62,78,63,2
47,109,63,78,63,78,125,94,62,78,63,109,62,94,63,78,63,125,63,62,2
63,47,31,78,47,125,47,47,93,16,78,15,78,78,16,110,16,94,78,31,2
31,78,78,110,93,32,500,0,609,47,31,31,63,78,78,109,0,16,16,16,2
32,78,47,110,47,125,47,110,31,78,547,15,78,78,16,110,16,78,78,31,2
109,703,78,62,157,78,172,94,79,78,141,141,62,79,78,63,94,94,62,79,2
78,110,62,63,0,94,157,93,125,141,125,94,78,78,141,78,78,78,78,94,2
93,125,63,78,157,78,156,15,140,63,32,141,62,79,78,63,94,94,62,79,2
62,141,63,63,94,78,187,94,63,62,47,156,63,109,78,188,78,78,47,63,2
78,125,62,63,63,62,62,172,62,94,78,63,78,78,156,62,63,62,63,47,2
78,125,47,63,94,78,140,110,63,47,94,156,63,109,78,188,47,94,47,63,2
157,62,125,156,0,78,78,94,63,16,16,78,94,62,46,93,31,47,78,63,2
110,47,94,78,78,47,47,219,62,47,20,94,62,63,1390,63,16,94,93,63,2
16,94,0,94,0,78,15,110,125,94,1094,78,94,62,46,93,63,156,78,63,2
109,78,94,78,62,109,31,78,94,141,93,63,78,94,15,93,31,63,78,93,2
0,109,16,63,78,31,31,109,78,78,94,94,94,46,0,125,78,94,63,78,2
97,46,94,156,62,109,0,120,78,47,78,63,78,94,15,93,78,78,78,93,2
