dtfk2,dtfk3,ft4,dtsk4,ft7,dtsk8,ft9,dtfk10,ft10,dtfk11,ft11,ft12,dtfk14,ft14,dtsk14,gender
63,63,156,235,110,31,1172,156,94,156,47,125,62,16,94,1
94,78,62,94,16,78,109,31,94,78,47,156,94,31,78,1
93,78,47,62,265,78,94,47,110,156,63,94,125,16,94,1
78,94,62,94,15,78,63,31,94,78,47,156,94,31,78,1
109,94,32,110,16,62,94,656,47,32,78,782,15,62,47,1
16,93,15,62,94,62,31,78,63,110,15,62,15,62,31,1
46,63,32,110,16,832,812,656,47,32,78,782,15,62,47,1
93,78,15,78,94,47,109,31,79,63,93,0,110,15,78,1
93,204,15,93,78,78,63,63,78,63,94,93,94,31,78,1
78,78,15,78,15,78,78,31,79,63,93,0,110,15,78,1
94,78,78,125,109,110,94,94,156,94,94,78,78,78,78,1
172,110,16,78,93,110,266,172,62,265,78,109,109,813,125,1
93,172,78,125,78,156,78,94,156,94,94,78,78,78,78,1
78,78,0,94,15,93,109,109,62,94,125,594,93,47,78,1
125,109,78,78,31,94,109,63,78,94,78,78,78,47,94,1
94,79,0,94,31,109,94,109,62,94,125,594,93,47,78,1
109,93,265,390,93,94,94,46,125,203,62,172,78,110,109,1
110,594,250,31,125,62,78,94,172,16,110,282,156,313,391,1
78,219,265,390,187,157,109,46,125,203,62,172,78,110,109,1
110,141,78,156,31,109,78,78,63,234,63,94,94,203,140,1
172,128,16,62,94,108,62,78,94,156,47,78,78,63,109,1
344,110,78,156,62,141,94,78,63,234,63,94,94,203,140,1
93,94,391,110,109,109,47,297,78,297,31,282,93,32,109,1
172,93,47,94,125,125,157,78,94,172,31,141,94,62,94,1
394,79,391,110,188,78,1313,297,78,297,31,282,93,32,109,1
109,78,15,109,47,78,78,94,47,109,16,47,62,32,78,1
109,79,63,31,63,62,62,78,63,94,47,78,63,47,94,1
109,63,15,109,16,109,62,94,47,109,16,47,62,32,78,1
82,102,53,91,78,93,125,156,47,110,94,343,94,15,125,1
109,16,15,63,16,109,125,79,78,94,125,125,156,15,109,1
110,16,53,91,16,125,110,156,47,110,94,343,94,15,125,1
78,78,15,63,32,94,78,78,15,63,109,16,15,47,16,1
62,156,79,62,31,172,63,63,62,78,79,172,109,16,79,1
63,46,15,63,172,109,109,78,15,63,109,16,15,47,16,1
94,63,63,78,16,63,172,265,79,141,46,32,78,15,63,1
156,62,31,94,116,46,109,31,62,156,47,46,78,47,46,1
63,63,63,78,31,126,94,265,79,141,46,32,78,15,63,1
110,78,156,141,16,78,16,47,63,94,125,16,79,78,62,1
110,32,16,62,63,78,79,63,93,78,110,93,94,31,63,1
78,94,156,141,15,110,62,47,63,94,125,16,79,78,62,1
78,47,47,62,110,78,140,78,62,79,140,15,78,16,62,1
93,78,32,93,203,94,62,47,109,109,94,47,63,47,78,1
94,78,47,62,31,125,171,78,62,79,140,15,78,16,62,1
93,47,250,328,78,250,94,62,78,140,234,125,78,31,94,1
31,141,79,31,235,63,188,62,78,16,93,78,62,281,79,1
297,125,250,328,141,94,47,62,78,140,234,125,78,31,94,1
93,78,234,94,218,62,156,78,78,63,140,828,63,219,78,1
47,78,188,62,250,78,62,62,94,78,140,62,78,204,62,1
78,47,234,94,375,94,141,78,78,63,140,828,63,219,78,1
93,94,110,250,46,93,204,78,78,125,47,32,93,78,63,1
94,62,31,78,16,78,266,63,93,125,15,93,62,16,78,1
172,0,110,250,32,94,1203,78,78,125,47,32,93,78,63,1
94,93,32,171,62,110,109,31,47,156,47,16,78,31,125,1
47,63,93,47,109,125,94,63,78,78,47,109,94,15,94,1
109,63,32,171,125,16,94,31,47,156,47,16,78,31,125,1
110,78,94,78,0,78,0,141,109,94,78,16,93,32,62,1
93,94,31,63,63,94,125,234,328,110,93,93,94,31,78,1
63,78,94,78,16,94,93,141,109,94,78,16,93,32,62,1
94,109,250,78,140,47,172,94,78,47,156,265,93,94,78,1
79,78,219,93,328,109,94,93,94,78,109,94,110,125,93,1
94,63,250,78,187,156,188,94,78,47,156,265,93,94,78,1
93,47,93,156,125,172,63,78,56,78,31,15,62,31,63,1
63,63,16,47,125,62,109,62,78,140,0,110,63,31,78,1
47,78,93,156,31,47,891,78,56,78,31,15,62,31,63,1
110,109,391,438,31,79,32,94,31,109,125,16,78,0,94,1
93,78,141,78,78,47,125,63,62,125,31,94,78,31,94,1
203,94,391,438,31,687,844,94,31,109,125,16,78,0,94,1
110,125,485,594,141,63,16,47,78,47,62,16,78,32,93,1
125,78,47,78,110,109,0,62,94,125,62,78,94,47,93,1
188,62,485,594,78,172,1078,47,78,47,62,16,78,32,93,1
93,47,125,63,32,78,156,63,47,78,78,172,46,79,78,1
94,78,46,47,15,109,63,62,78,78,94,62,62,63,78,1
78,78,125,63,16,125,141,63,47,78,78,172,46,79,78,1
156,172,128,225,47,94,93,47,62,78,63,15,94,47,94,1
109,109,47,62,93,125,94,78,78,79,78,94,15,62,47,1
15,78,128,225,31,110,78,47,62,78,63,15,94,47,94,1
63,63,63,140,578,62,109,47,94,78,94,78,93,63,62,1
79,94,62,78,78,62,63,47,78,78,125,110,94,31,94,1
63,94,63,140,453,93,125,47,94,78,94,78,93,63,62,1
94,78,271,380,16,62,78,47,62,125,32,15,62,16,78,1
31,78,32,78,31,78,31,63,62,312,63,94,78,31,79,1
141,62,271,380,0,62,891,47,62,125,32,15,62,16,78,1
94,78,140,79,141,63,156,125,47,63,93,125,62,110,78,1
94,63,94,62,78,62,47,62,78,78,110,62,63,47,78,1
94,62,140,79,125,110,187,125,47,63,93,125,62,110,78,1
125,78,31,172,16,63,47,0,93,140,47,46,78,32,78,1
47,109,15,78,63,62,141,93,110,829,31,78,157,31,109,1
78,93,31,172,78,109,875,0,93,140,47,46,78,32,78,1
110,78,78,62,31,31,547,32,62,78,94,0,78,62,63,1
0,47,61,52,62,78,110,78,78,62,110,94,78,47,78,1
93,94,78,62,47,141,62,32,62,78,94,0,78,62,63,1
94,78,188,78,31,125,110,78,63,78,110,125,78,32,125,1
140,109,0,78,31,125,156,78,47,62,94,94,62,235,125,1
78,78,188,78,16,125,62,78,63,78,110,125,78,32,125,1
109,125,109,203,63,31,0,16,62,157,31,31,78,16,62,1
32,31,94,0,62,31,32,78,78,0,47,156,63,31,94,1
47,31,109,203,719,78,110,16,62,157,31,31,78,16,62,1
110,94,203,78,344,78,531,234,79,94,140,47,78,109,94,1
94,109,157,78,172,78,78,281,63,94,172,94,94,125,93,1
109,407,203,78,203,213,250,234,79,94,140,47,78,109,94,1
47,140,79,110,16,78,578,63,78,63,47,31,46,109,78,1
31,93,94,31,78,93,140,31,78,16,78,109,16,109,16,1
235,110,79,110,32,31,62,63,78,63,47,31,46,109,78,1
125,109,109,157,94,111,110,94,109,94,203,157,141,15,94,1
156,94,141,47,125,109,156,93,110,16,141,172,125,63,93,1
312,93,109,157,140,47,125,94,109,94,203,157,141,15,94,1
125,94,125,125,63,93,109,94,62,125,94,110,109,62,79,1
125,94,47,109,140,94,125,47,93,156,47,94,109,94,94,1
156,93,125,125,110,187,94,94,62,125,94,110,109,62,79,1
109,63,125,94,109,78,94,93,63,78,110,46,110,62,94,1
78,62,31,78,15,78,78,78,109,94,93,63,78,109,63,1
109,63,125,94,0,125,125,93,63,78,110,46,110,62,94,1
110,171,47,156,31,125,47,15,141,250,31,16,125,0,109,1
0,110,0,63,109,78,140,62,110,125,93,93,78,0,125,1
312,109,47,156,15,110,125,15,141,250,31,16,125,0,109,1
78,78,16,141,63,63,32,47,47,62,140,78,110,62,156,1
32,125,78,63,78,63,93,78,109,78,93,109,94,31,78,1
79,78,16,141,63,31,94,47,47,62,140,78,110,62,156,1
94,109,16,203,16,94,188,157,62,94,78,94,109,31,110,1
219,94,32,78,0,125,141,110,93,109,63,78,78,15,78,1
63,94,16,203,16,375,78,157,62,94,78,94,109,31,110,1
125,109,109,203,47,78,343,156,78,109,63,110,94,47,78,1
141,109,47,62,109,78,266,79,62,78,110,94,78,31,94,1
94,110,109,203,31,94,1114,156,78,109,63,110,94,47,78,1
78,141,31,78,47,32,125,94,16,47,125,47,0,78,16,1
15,47,156,16,79,63,78,31,94,94,0,109,31,62,0,1
62,31,31,78,32,47,937,94,16,47,125,47,0,78,16,1
109,141,31,125,125,93,109,125,47,47,141,16,15,93,47,1
62,94,110,94,16,62,203,47,93,0,93,78,0,63,93,1
15,203,31,125,78,1000,781,125,47,47,141,16,15,93,47,1
62,63,172,78,79,47,125,40,60,47,125,94,78,79,62,1
47,63,62,63,93,47,76,47,78,78,109,176,62,141,62,1
62,62,172,78,140,101,63,40,60,47,125,94,78,79,62,1
110,109,79,109,234,62,16,141,62,140,16,203,63,16,62,2
94,93,63,62,109,63,203,78,78,109,16,63,78,16,78,2
328,78,79,109,109,125,156,141,62,140,16,203,63,16,62,2
78,62,156,250,62,141,157,156,63,94,62,47,93,47,110,2
219,63,47,62,125,110,219,63,62,79,78,62,110,31,78,2
218,94,156,250,15,94,1047,156,63,94,62,47,93,47,110,2
172,78,141,250,47,47,31,63,62,32,141,78,63,31,78,2
110,94,172,16,125,49,31,15,63,31,94,63,63,31,110,2
110,62,141,250,203,968,797,63,62,32,141,78,63,31,78,2
109,62,31,109,32,94,47,16,188,218,47,47,47,46,63,2
63,63,16,47,47,78,93,62,63,94,15,156,63,47,47,2
110,78,31,109,78,94,766,16,188,218,47,47,47,46,63,2
94,78,31,140,16,78,125,125,63,62,94,94,78,78,62,2
125,94,62,78,109,78,46,78,78,94,109,78,78,63,78,2
219,94,31,140,16,109,63,125,63,62,94,94,78,78,62,2
113,69,63,80,36,80,297,47,78,69,111,78,33,69,61,2
68,98,31,78,24,78,94,58,68,78,94,62,78,63,78,2
39,79,63,80,73,141,258,47,78,69,111,78,33,69,61,2
125,94,63,172,78,94,109,110,250,156,63,47,78,78,125,2
78,78,16,78,94,94,78,78,78,110,47,94,109,172,125,2
110,78,63,172,172,109,94,110,250,156,63,47,78,78,125,2
125,63,32,187,31,94,110,16,94,94,78,15,109,16,93,2
47,94,16,62,117,156,78,47,47,94,31,172,63,46,125,2
125,78,32,187,15,109,94,16,94,94,78,15,109,16,93,2
78,63,219,62,109,63,109,547,63,79,125,203,47,47,78,2
62,47,63,78,125,63,94,31,828,93,110,62,63,62,63,2
47,47,219,62,219,188,171,547,63,79,125,203,47,47,78,2
109,78,63,109,0,110,47,63,78,78,93,47,79,31,78,2
156,78,31,110,62,94,93,78,78,109,110,94,78,31,94,2
94,94,63,109,31,94,984,63,78,78,93,47,79,31,78,2
125,110,31,79,16,78,78,31,62,125,62,15,94,16,78,2
125,62,32,78,94,94,94,63,78,79,93,78,93,32,62,2
31,46,31,79,16,78,94,31,62,125,62,15,94,16,78,2
78,79,15,140,0,47,46,47,63,94,94,0,94,16,78,2
16,62,32,94,140,78,125,63,78,78,94,78,62,16,94,2
78,62,15,140,31,94,94,47,63,94,94,0,94,16,78,2
63,46,62,78,16,94,157,94,62,63,109,234,62,31,47,2
125,47,47,63,62,63,63,32,125,62,125,63,47,47,62,2
63,62,62,78,16,140,62,94,62,63,109,234,62,31,47,2
141,109,62,172,46,78,16,78,47,141,62,109,94,47,62,2
172,94,32,78,141,63,62,47,94,109,31,78,78,62,79,2
250,63,62,172,15,110,968,78,47,141,62,109,94,47,62,2
78,62,63,78,78,62,63,109,62,78,93,78,63,47,62,2
47,62,78,63,125,62,157,62,78,78,94,93,78,62,63,2
47,62,63,78,78,79,63,109,62,78,93,78,63,47,62,2
63,31,47,125,16,78,78,15,78,47,63,110,78,0,31,2
31,78,93,32,47,31,31,31,63,31,62,109,16,94,16,2
32,78,47,125,78,78,547,15,78,47,63,110,78,0,31,2
109,78,157,78,78,63,141,141,62,79,78,63,62,31,79,2
78,78,0,94,141,94,125,94,78,78,110,78,78,94,94,2
93,93,157,78,63,141,32,141,62,79,78,63,62,31,79,2
62,63,94,78,62,63,47,156,63,78,94,188,47,78,63,2
78,78,63,62,94,63,78,63,78,63,109,62,63,62,47,2
78,47,94,78,47,156,94,156,63,78,94,188,47,78,63,2
157,125,0,78,16,62,16,78,94,31,109,93,78,31,63,2
110,125,78,47,47,70,20,94,62,15,125,63,93,0,63,2
16,78,0,78,94,1390,1094,78,94,31,109,93,78,31,63,2
109,94,62,109,141,109,93,63,78,141,0,93,78,32,93,2
0,94,78,31,78,111,94,94,94,63,172,125,63,93,78,2
97,31,62,109,47,0,78,63,78,141,0,93,78,32,93,2
