dtfk2,dtsk3,ft4,dtsk4,ft9,dtfk10,ft10,dtsk10,dtfk11,ft11,ft12,dtfk13,ft13,dtfk14,ft14,dtsk14,gender
110,78,63,78,94,31,63,93,94,78,31,94,78,78,16,94,1
109,78,31,78,62,62,78,79,75,86,93,62,47,93,16,109,1
78,94,63,78,172,31,63,93,94,78,31,109,63,78,16,94,1
157,62,62,156,109,219,78,78,31,141,94,62,47,78,32,93,1
187,109,63,31,78,78,47,78,15,94,78,93,32,31,78,47,1
62,79,62,156,78,219,78,78,31,141,94,47,63,78,32,93,1
63,16,63,78,63,47,47,93,172,15,16,110,125,63,15,79,1
141,47,15,79,31,78,79,78,78,15,94,32,63,47,31,94,1
203,63,63,78,31,47,47,93,172,15,16,94,63,63,15,79,1
125,78,156,235,94,156,94,110,156,47,125,63,47,62,16,94,1
156,62,15,78,173,79,78,62,203,31,141,156,32,62,32,93,1
63,94,156,235,1172,156,94,110,156,47,125,93,32,62,16,94,1
94,63,62,94,109,31,94,62,78,47,156,32,79,94,31,78,1
93,78,47,62,94,47,110,62,156,63,94,62,78,125,16,94,1
78,63,62,94,63,31,94,62,78,47,156,94,31,94,31,78,1
109,93,32,110,94,656,47,63,32,78,782,47,125,15,62,47,1
16,32,15,62,31,78,63,141,110,15,62,15,78,15,62,31,1
46,78,32,110,812,656,47,63,32,78,782,31,109,15,62,47,1
93,63,15,78,109,31,79,62,63,93,0,15,94,110,15,78,1
93,78,15,93,63,63,78,62,63,94,93,78,156,94,31,78,1
78,78,15,78,78,31,79,62,63,93,0,78,32,110,15,78,1
94,94,78,125,94,94,156,78,94,94,78,94,63,78,78,78,1
172,78,16,78,266,172,62,79,265,78,109,94,703,109,813,125,1
93,78,78,125,78,94,156,78,94,94,78,125,31,78,78,78,1
78,94,0,94,109,109,62,94,94,125,594,78,47,93,47,78,1
125,62,78,78,109,63,78,109,94,78,78,78,31,78,47,94,1
94,93,0,94,94,109,62,94,94,125,594,94,172,93,47,78,1
109,141,265,390,94,46,125,985,203,62,172,125,94,78,110,109,1
110,15,250,31,78,94,172,109,16,110,282,344,406,156,313,391,1
78,15,265,390,109,46,125,985,203,62,172,391,31,78,110,109,1
110,94,78,156,78,78,63,234,234,63,94,62,125,94,203,140,1
172,93,16,62,62,78,94,78,156,47,78,32,93,78,63,109,1
344,94,78,156,94,78,63,234,234,63,94,109,156,94,203,140,1
93,62,391,110,47,297,78,235,297,31,282,344,62,93,32,109,1
172,78,47,94,157,78,94,94,172,31,141,62,94,94,62,94,1
394,94,391,110,1313,297,78,235,297,31,282,94,141,93,32,109,1
109,63,15,109,78,94,47,94,109,16,47,15,78,62,32,78,1
109,31,63,31,62,78,63,62,94,47,78,62,31,63,47,94,1
109,47,15,109,62,94,47,94,109,16,47,94,46,62,32,78,1
82,118,53,91,125,156,47,78,110,94,343,110,31,94,15,125,1
109,63,15,63,125,79,78,93,94,125,125,110,15,156,15,109,1
110,532,53,91,110,156,47,78,110,94,343,109,16,94,15,125,1
78,94,15,63,78,78,15,79,63,109,16,79,15,15,47,16,1
62,78,79,62,63,63,62,125,78,79,172,63,47,109,16,79,1
63,78,15,63,109,78,15,79,63,109,16,79,78,15,47,16,1
94,109,63,78,172,265,79,78,141,46,32,41,65,78,15,63,1
156,78,31,94,109,31,62,79,156,47,46,47,63,78,47,46,1
63,94,63,78,94,265,79,78,141,46,32,46,47,78,15,63,1
110,78,156,141,16,47,63,94,94,125,16,109,32,79,78,62,1
110,110,16,62,79,63,93,79,78,110,93,78,16,94,31,63,1
78,78,156,141,62,47,63,94,94,125,16,63,62,79,78,62,1
78,63,47,62,140,78,62,79,79,140,15,47,94,78,16,62,1
93,63,32,93,62,47,109,47,109,94,47,47,47,63,47,78,1
94,62,47,62,171,78,62,79,79,140,15,78,62,78,16,62,1
93,78,250,328,94,62,78,344,140,234,125,62,125,78,31,94,1
31,157,79,31,188,62,78,78,16,93,78,156,16,62,281,79,1
297,15,250,328,47,62,78,344,140,234,125,79,31,78,31,94,1
93,78,234,94,156,78,78,78,63,140,828,78,297,63,219,78,1
47,63,188,62,62,62,94,62,78,140,62,94,484,78,204,62,1
78,62,234,94,141,78,78,78,63,140,828,62,375,63,219,78,1
93,62,110,250,204,78,78,63,125,47,32,47,78,93,78,63,1
94,78,31,78,266,63,93,63,125,15,93,0,78,62,16,78,1
172,78,110,250,1203,78,78,63,125,47,32,78,63,93,78,63,1
94,109,32,171,109,31,47,375,156,47,16,47,78,78,31,125,1
47,47,93,47,94,63,78,78,78,47,109,62,16,94,15,94,1
109,78,32,171,94,31,47,375,156,47,16,94,62,78,31,125,1
110,93,94,78,0,141,109,63,94,78,16,78,78,93,32,62,1
93,63,31,63,125,234,328,110,110,93,93,78,32,94,31,78,1
63,78,94,78,93,141,109,63,94,78,16,78,16,93,32,62,1
94,109,250,78,172,94,78,110,47,156,265,63,422,93,94,78,1
79,78,219,93,94,93,94,63,78,109,94,93,547,110,125,93,1
94,94,250,78,188,94,78,110,47,156,265,93,203,93,94,78,1
93,63,93,156,63,78,56,73,78,31,15,78,78,62,31,63,1
63,63,16,47,109,62,78,63,140,0,110,31,47,63,31,78,1
47,62,93,156,891,78,56,73,78,31,15,78,172,62,31,63,1
110,47,391,438,32,94,31,78,109,125,16,15,78,78,0,94,1
93,94,141,78,125,63,62,78,125,31,94,32,110,78,31,94,1
203,78,391,438,844,94,31,78,109,125,16,94,62,78,0,94,1
110,93,485,594,16,47,78,78,47,62,16,0,125,78,32,93,1
125,94,47,78,0,62,94,62,125,62,78,94,15,94,47,93,1
188,94,485,594,1078,47,78,78,47,62,16,93,125,78,32,93,1
93,31,125,63,156,63,47,93,78,78,172,63,78,46,79,78,1
94,63,46,47,63,62,78,63,78,94,62,63,125,62,63,78,1
78,62,125,63,141,63,47,93,78,78,172,78,62,46,79,78,1
156,79,128,225,93,47,62,109,78,63,15,32,93,94,47,94,1
109,63,47,62,94,78,78,78,79,78,94,78,0,15,62,47,1
15,78,128,225,78,47,62,109,78,63,15,47,78,94,47,94,1
63,93,63,140,109,47,94,141,78,94,78,47,109,93,63,62,1
79,31,62,78,63,47,78,63,78,125,110,47,438,94,31,94,1
63,78,63,140,125,47,94,141,78,94,78,94,47,93,63,62,1
94,40,271,380,78,47,62,63,125,32,15,32,94,62,16,78,1
31,79,32,78,31,63,62,63,312,63,94,62,32,78,31,79,1
141,94,271,380,891,47,62,63,125,32,15,79,31,62,16,78,1
94,78,140,79,156,125,47,63,63,93,125,63,125,62,110,78,1
94,62,94,62,47,62,78,63,78,110,62,78,63,63,47,78,1
94,47,140,79,187,125,47,63,63,93,125,78,78,62,110,78,1
125,109,31,172,47,0,93,453,140,47,46,31,94,78,32,78,1
47,110,15,78,141,93,110,78,829,31,78,62,47,157,31,109,1
78,78,31,172,875,0,93,453,140,47,46,109,0,78,32,78,1
110,63,78,62,547,32,62,110,78,94,0,31,79,78,62,63,1
0,62,61,52,110,78,78,63,62,110,94,31,31,78,47,78,1
93,47,78,62,62,32,62,110,78,94,0,78,47,78,62,63,1
94,93,188,78,110,78,63,62,78,110,125,125,125,78,32,125,1
140,94,0,78,156,78,47,63,62,94,94,125,0,62,235,125,1
78,109,188,78,62,78,63,62,78,110,125,125,31,78,32,125,1
109,47,109,203,0,16,62,94,157,31,31,156,110,78,16,62,1
32,31,94,0,32,78,78,78,0,47,156,31,125,63,31,94,1
47,62,109,203,110,16,62,94,157,31,31,94,0,78,16,62,1
110,78,203,78,531,234,79,93,94,140,47,78,391,78,109,94,1
94,78,157,78,78,281,63,93,94,172,94,78,516,94,125,93,1
109,78,203,78,250,234,79,93,94,140,47,93,235,78,109,94,1
47,78,79,110,578,63,78,79,63,47,31,48,5,46,109,78,1
31,31,94,31,140,31,78,63,16,78,109,16,94,16,109,16,1
235,16,79,110,62,63,78,79,63,47,31,16,110,46,109,78,1
125,187,109,157,110,94,109,63,94,203,157,110,93,141,15,94,1
156,109,141,47,156,93,110,62,16,141,172,531,140,125,63,93,1
312,125,109,157,125,94,109,63,94,203,157,93,110,141,15,94,1
125,94,125,125,109,94,62,94,125,94,110,94,47,109,62,79,1
125,94,47,109,125,47,93,78,156,47,94,94,31,109,94,94,1
156,109,125,125,94,94,62,94,125,94,110,94,78,109,62,79,1
109,78,125,94,94,93,63,78,78,110,46,63,94,110,62,94,1
78,78,31,78,78,78,109,47,94,93,63,63,16,78,109,63,1
109,94,125,94,125,93,63,78,78,110,46,63,31,110,62,94,1
110,94,47,156,47,15,141,94,250,31,16,78,109,125,0,109,1
0,172,0,63,140,62,110,93,125,93,93,62,140,78,0,125,1
312,78,47,156,125,15,141,94,250,31,16,125,0,125,0,109,1
78,78,16,141,32,47,47,63,62,140,78,0,110,110,62,156,1
32,78,78,63,93,78,109,63,78,93,109,94,15,94,31,78,1
79,94,16,141,94,47,47,63,62,140,78,78,141,110,62,156,1
94,297,16,203,188,157,62,125,94,78,94,94,109,109,31,110,1
219,78,32,78,141,110,93,79,109,63,78,15,78,78,15,78,1
63,125,16,203,78,157,62,125,94,78,94,78,15,109,31,110,1
125,110,109,203,343,156,78,125,109,63,110,78,94,94,47,78,1
141,78,47,62,266,79,62,94,78,110,94,79,78,78,31,94,1
94,93,109,203,1114,156,78,125,109,63,110,94,484,94,47,78,1
78,109,31,78,125,94,16,62,47,125,47,31,78,0,78,16,1
15,47,156,16,78,31,94,62,94,0,109,32,78,31,62,0,1
62,47,31,78,937,94,16,62,47,125,47,0,79,0,78,16,1
109,110,31,125,109,125,47,93,47,141,16,46,109,15,93,47,1
62,125,110,94,203,47,93,79,0,93,78,0,94,0,63,93,1
15,16,31,125,781,125,47,93,47,141,16,93,63,15,93,47,1
62,63,172,78,125,40,60,106,47,125,94,63,94,78,79,62,1
47,62,62,63,76,47,78,31,78,109,176,63,78,62,141,62,1
62,94,172,78,63,40,60,106,47,125,94,62,141,78,79,62,1
110,109,79,109,16,141,62,109,140,16,203,32,78,63,16,62,2
94,63,63,62,203,78,78,63,109,16,63,78,265,78,16,78,2
328,62,79,109,156,141,62,109,140,16,203,78,219,63,16,62,2
78,94,156,250,157,156,63,62,94,62,47,156,63,93,47,110,2
219,47,47,62,219,63,62,63,79,78,62,16,78,110,31,78,2
218,125,156,250,1047,156,63,62,94,62,47,78,110,93,47,110,2
172,94,141,250,31,63,62,78,32,141,78,16,78,63,31,78,2
110,94,172,16,31,15,63,78,31,94,63,16,78,63,31,110,2
110,78,141,250,797,63,62,78,32,141,78,110,15,63,31,78,2
109,78,31,109,47,16,188,359,218,47,47,16,78,47,46,63,2
63,32,16,47,93,62,63,94,94,15,156,16,78,63,47,47,2
110,79,31,109,766,16,188,359,218,47,47,47,15,47,46,63,2
94,94,31,140,125,125,63,109,62,94,94,125,78,78,78,62,2
125,94,62,78,46,78,78,63,94,109,78,16,78,78,63,78,2
219,78,31,140,63,125,63,109,62,94,94,78,94,78,78,62,2
113,90,63,80,297,47,78,78,69,111,78,81,37,33,69,61,2
68,65,31,78,94,58,68,150,78,94,62,79,13,78,63,78,2
39,104,63,80,258,47,78,78,69,111,78,78,15,33,69,61,2
125,109,63,172,109,110,250,78,156,63,47,15,63,78,78,125,2
78,63,16,78,78,78,78,63,110,47,94,410,94,109,172,125,2
110,78,63,172,94,110,250,78,156,63,47,125,266,78,78,125,2
125,93,32,187,110,16,94,78,94,78,15,20,88,109,16,93,2
47,93,16,62,78,47,47,63,94,31,172,32,32,63,46,125,2
125,93,32,187,94,16,94,78,94,78,15,125,15,109,16,93,2
78,78,219,62,109,547,63,1015,79,125,203,62,188,47,47,78,2
62,46,63,78,94,31,828,62,93,110,62,47,172,63,62,63,2
47,62,219,62,171,547,63,1015,79,125,203,63,125,47,47,78,2
109,125,63,109,47,63,78,109,78,93,47,47,78,79,31,78,2
156,78,31,110,93,78,78,78,109,110,94,78,78,78,31,94,2
94,94,63,109,984,63,78,109,78,93,47,94,31,79,31,78,2
125,94,31,79,78,31,62,79,125,62,15,31,78,94,16,78,2
125,47,32,78,94,63,78,93,79,93,78,62,32,93,32,62,2
31,62,31,79,94,31,62,79,125,62,15,62,32,94,16,78,2
78,79,15,140,46,47,63,78,94,94,0,16,78,94,16,78,2
16,78,32,94,125,63,78,78,78,94,78,78,15,62,16,94,2
78,78,15,140,94,47,63,78,94,94,0,94,15,94,16,78,2
63,47,62,78,157,94,62,156,63,109,234,47,78,62,31,47,2
125,47,47,63,63,32,125,47,62,125,63,16,78,47,47,62,2
63,47,62,78,62,94,62,156,63,109,234,62,47,62,31,47,2
141,94,62,172,16,78,47,62,141,62,109,16,93,94,47,62,2
172,78,32,78,62,47,94,46,109,31,78,16,78,78,62,79,2
250,94,62,172,968,78,47,62,141,62,109,79,46,94,47,62,2
78,62,63,78,63,109,62,94,78,93,78,47,31,63,47,62,2
47,62,78,63,157,62,78,63,78,94,93,78,47,78,62,63,2
47,78,63,78,63,109,62,94,78,93,78,63,31,63,47,62,2
63,78,47,125,78,15,78,78,47,63,110,16,47,78,0,31,2
31,110,93,32,31,31,63,78,31,62,109,0,94,16,94,16,2
32,110,47,125,547,15,78,78,47,63,110,16,93,78,0,31,2
109,62,157,78,141,141,62,79,79,78,63,94,15,62,31,79,2
78,63,0,94,125,94,78,78,78,110,78,78,47,78,94,94,2
93,78,157,78,32,141,62,79,79,78,63,94,156,62,31,79,2
62,63,94,78,47,156,63,109,78,94,188,78,78,47,78,63,2
78,63,63,62,78,63,78,78,63,109,62,63,78,63,62,47,2
78,63,94,78,94,156,63,109,78,94,188,47,47,47,78,63,2
157,156,0,78,16,78,94,62,31,109,93,31,94,78,31,63,2
110,78,78,47,20,94,62,63,15,125,63,16,94,93,0,63,2
16,94,0,78,1094,78,94,62,31,109,93,63,31,78,31,63,2
109,78,62,109,93,63,78,94,141,0,93,31,78,78,32,93,2
0,63,78,31,94,94,94,46,63,172,125,78,78,63,93,78,2
97,156,62,109,78,63,78,94,141,0,93,78,94,78,32,93,2
