@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,4,5,7,8,9,10,16,17,18,21,22,23,25,26,27,28,29,30,34,35,36,38,39,43'

@attribute dtsk1 numeric
@attribute dtsk2 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk8 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
94,78,271,380,380,47,125,47,16,62,125,32,0,32,62,16,78,1
78,0,32,78,0,47,125,62,31,78,312,63,94,62,78,31,79,1
62,78,271,380,125,140,94,62,0,62,125,32,0,79,62,16,78,1
94,78,140,79,79,250,93,47,141,63,63,93,63,63,62,110,78,1
78,63,94,62,94,125,125,78,78,62,78,110,62,78,63,47,78,1
78,47,140,79,78,172,125,63,125,110,63,93,63,78,62,110,78,1
125,78,31,172,172,31,156,94,16,63,140,47,63,31,78,32,78,1
125,16,15,78,110,125,156,31,63,62,829,31,93,62,157,31,109,1
62,110,31,172,172,93,157,94,78,109,140,47,63,109,78,32,78,1
110,78,78,62,62,94,94,78,31,31,78,94,63,31,78,62,63,1
78,16,61,52,78,94,188,63,62,78,62,110,62,31,78,47,78,1
31,94,78,62,79,78,78,94,47,141,78,94,63,78,78,62,63,1
94,78,188,78,78,31,94,110,31,125,78,110,78,125,78,32,125,1
62,78,0,78,0,31,109,156,31,125,62,94,62,125,62,235,125,1
125,78,188,78,0,0,94,156,16,125,78,110,78,125,78,32,125,1
109,125,109,203,203,47,62,31,63,31,157,31,62,156,78,16,62,1
16,63,94,0,1469,140,31,0,62,31,0,47,63,31,63,31,94,1
31,62,109,203,141,15,125,125,719,78,157,31,62,94,78,16,62,1
110,94,203,78,78,249,88,78,344,78,94,140,79,78,78,109,94,1
93,94,157,78,62,204,78,78,172,78,94,172,78,78,94,125,93,1
78,78,203,78,1109,63,250,94,203,213,94,140,79,93,78,109,94,1
47,140,79,110,110,15,110,78,16,78,63,47,15,48,46,109,78,1
31,46,94,31,141,0,94,16,78,93,16,78,62,16,16,109,16,1
16,32,79,110,438,125,31,625,32,31,63,47,15,16,46,109,78,1
125,109,109,157,157,156,94,110,94,111,94,203,63,110,141,15,94,1
109,94,141,47,172,0,172,125,125,109,16,141,62,531,125,63,93,1
531,125,109,157,94,156,110,141,140,47,94,203,63,93,141,15,94,1
125,94,125,125,125,78,125,109,63,93,125,94,78,94,109,62,79,1
125,94,47,109,109,32,171,110,140,94,156,47,110,94,109,94,94,1
94,78,125,125,125,47,141,125,110,187,125,94,78,94,109,62,79,1
109,63,125,94,94,219,98,78,109,78,78,110,46,63,110,62,94,1
62,47,31,78,94,187,78,110,15,78,94,93,78,63,78,109,63,1
63,62,125,94,110,234,78,93,0,125,78,110,46,63,110,62,94,1
110,171,47,156,156,32,140,94,31,125,250,31,125,78,125,0,109,1
109,63,0,63,110,78,187,62,109,78,125,93,94,62,78,0,125,1
62,125,47,156,125,79,140,141,15,110,250,31,125,125,125,0,109,1
78,78,16,141,141,62,125,78,63,63,62,140,63,0,110,62,156,1
94,16,78,63,0,15,125,78,78,63,78,93,32,94,94,31,78,1
94,110,16,141,187,0,94,140,63,31,62,140,63,78,110,62,156,1
94,109,16,203,203,15,137,125,16,94,94,78,109,94,109,31,110,1
78,125,32,78,156,16,137,109,0,125,109,63,141,15,78,15,78,1
15,62,16,203,0,47,140,47,16,375,94,78,109,78,109,31,110,1
125,109,109,203,203,78,109,125,47,78,109,63,78,78,94,47,78,1
156,93,47,62,0,15,109,46,109,78,78,110,109,79,78,31,94,1
79,63,109,203,0,47,125,141,31,94,109,63,78,94,94,47,78,1
78,141,31,78,78,32,31,15,47,32,47,125,47,31,0,78,16,1
32,47,156,16,531,625,31,47,79,63,94,0,62,32,31,62,0,1
32,62,31,78,671,193,31,78,32,47,47,125,47,0,0,78,16,1
109,141,31,125,125,31,125,63,125,93,47,141,31,46,15,93,47,1
109,125,110,94,0,0,125,0,16,62,0,93,47,0,0,63,93,1
0,47,31,125,657,720,15,250,78,1000,47,141,31,93,15,93,47,1
62,63,172,78,78,31,78,78,79,47,47,125,63,63,78,79,62,1
62,46,62,63,78,250,47,94,93,47,78,109,63,63,62,141,62,1
63,46,172,78,62,188,78,78,140,101,47,125,63,62,78,79,62,1
110,109,79,109,109,31,78,47,234,62,140,16,62,32,63,16,62,2
78,94,63,62,0,31,141,94,109,63,109,16,78,78,78,16,78,2
78,125,79,109,0,16,94,125,109,125,140,16,62,78,63,16,62,2
78,62,156,250,250,31,141,109,62,141,94,62,94,156,93,47,110,2
78,110,47,62,0,32,141,47,125,110,79,78,62,16,110,31,78,2
16,31,156,250,62,94,94,63,15,94,94,62,94,78,93,47,110,2
172,78,141,250,250,47,47,62,47,47,32,141,31,16,63,31,78,2
109,109,172,16,0,47,47,47,125,49,31,94,31,16,63,31,110,2
16,62,141,250,906,1000,47,94,203,968,32,141,31,110,63,31,78,2
109,62,31,109,109,31,63,62,32,94,218,47,16,16,47,46,63,2
94,47,16,47,0,15,94,31,47,78,94,15,62,16,63,47,47,2
16,16,31,109,0,31,94,125,78,94,218,47,16,47,47,46,63,2
94,78,31,140,140,31,62,93,16,78,62,94,62,125,78,78,62,2
94,78,62,78,0,16,62,31,109,78,94,109,62,16,78,63,78,2
16,63,31,140,109,16,78,109,16,109,62,94,62,78,78,78,62,2
113,69,63,80,80,442,110,89,36,80,69,111,41,81,33,69,61,2
79,72,31,78,70,411,65,89,24,78,78,94,94,79,78,63,78,2
79,79,63,80,73,185,103,11,73,141,69,111,41,78,33,69,61,2
125,94,63,172,172,47,109,79,78,94,156,63,141,15,78,78,125,2
94,78,16,78,0,31,109,109,94,94,110,47,62,410,109,172,125,2
410,94,63,172,0,15,109,93,172,109,156,63,141,125,78,78,125,2
125,63,32,187,187,0,78,63,31,94,94,78,47,20,109,16,93,2
94,32,16,62,110,31,78,47,117,156,94,31,63,32,63,46,125,2
32,78,32,187,109,47,63,63,15,109,94,78,47,125,109,16,93,2
78,63,219,62,62,31,47,63,109,63,79,125,62,62,47,47,78,2
63,47,63,78,63,94,78,79,125,63,93,110,93,47,63,62,63,2
47,78,219,62,47,78,109,94,219,188,79,125,62,63,47,47,78,2
109,78,63,109,109,47,125,94,0,110,78,93,203,47,79,31,78,2
78,78,31,110,78,78,187,16,62,94,109,110,62,78,78,31,94,2
78,94,63,109,93,78,110,94,31,94,78,93,203,94,79,31,78,2
125,110,31,79,79,31,140,78,16,78,125,62,109,31,94,16,78,2
62,125,32,78,98,59,124,62,94,94,79,93,140,62,93,32,62,2
62,344,31,79,94,31,125,78,16,78,125,62,109,62,94,16,78,2
78,79,15,140,140,47,90,109,0,47,94,94,47,16,94,16,78,2
63,94,32,94,0,16,93,31,140,78,78,94,78,78,62,16,94,2
78,63,15,140,0,63,125,62,31,94,94,94,47,94,94,16,78,2
63,46,62,78,78,125,79,62,16,94,63,109,62,47,62,31,47,2
78,47,47,63,125,62,141,110,62,63,62,125,63,16,47,47,62,2
16,16,62,78,79,46,110,62,16,140,63,109,62,62,62,31,47,2
141,109,62,172,172,15,100,94,46,78,141,62,125,16,94,47,62,2
110,78,32,78,94,46,110,16,141,63,109,31,110,16,78,62,79,2
16,94,62,172,78,94,125,79,15,110,141,62,125,79,94,47,62,2
78,62,63,78,78,62,79,63,78,62,78,93,63,47,63,47,62,2
79,63,78,63,63,125,62,78,125,62,78,94,63,78,78,62,63,2
78,63,63,78,47,125,63,62,78,79,78,93,63,63,63,47,62,2
63,31,47,125,125,47,47,93,16,78,47,63,109,16,78,0,31,2
78,78,93,32,484,500,47,609,47,31,31,62,79,0,16,94,16,2
0,47,47,125,0,47,62,31,78,78,47,63,109,16,78,0,31,2
109,78,157,78,78,172,62,79,78,63,79,78,78,94,62,31,79,2
93,62,0,94,109,157,78,125,141,94,78,110,78,78,78,94,94,2
78,63,157,78,47,156,94,140,63,141,79,78,78,94,62,31,79,2
62,63,94,78,78,187,63,63,62,63,78,94,63,78,47,78,63,2
63,62,63,62,63,62,78,62,94,63,63,109,78,63,63,62,47,2
63,47,94,78,63,140,47,63,47,156,78,94,63,47,47,78,63,2
157,125,0,78,78,78,180,63,16,62,31,109,47,31,78,31,63,2
94,94,78,47,141,47,187,62,47,70,15,125,46,16,93,0,63,2
16,0,0,78,0,15,172,125,94,1390,31,109,47,63,78,31,63,2
109,94,62,109,109,31,125,94,141,109,141,0,62,31,78,32,93,2
93,16,78,31,110,31,125,78,78,111,63,172,16,78,63,93,78,2
78,94,62,109,0,0,94,78,47,0,141,0,62,78,78,32,93,2
